50, 1, ['1/2', '1/2'], 
51, 1, ['1/2', '1/2'], 
52, 1, ['1/2', '1/2'], 
53, 1, ['1/2', '1/2'], 
54, 1, ['1/2', '1/2'], 
55, 1, ['1/2', '1/2'], 
56, 1, ['1/2', '1/2'], 
57, 1, ['1/2', '1/2'], 
58, 1, ['1/2', '1/2'], 
59, 1, ['1/2', '1/2'], 
60, 1, ['1/2', '1/2'], 
61, 1, ['1/2', '1/2'], 
62, 1, ['1/2', '1/2'], 
63, 1, ['1/2', '1/2'], 
64, 1, ['1/2', '1/2'], 
65, 1, ['1/2', '1/2'], 
66, 1, ['1/2', '1/2'], 
67, 1, ['1/2', '1/2'], 
68, 1, ['1/2', '1/2'], 
69, 1, ['1/2', '1/2'], 
70, 1, ['1/2', '1/2'], 
71, 1, ['1/2', '1/2'], 
72, 1, ['1/2', '1/2'], 
73, 1, ['1/2', '1/2'], 
74, 1, ['1/2', '1/2'], 
75, 1, ['1/2', '1/2'], 
76, 1, ['1/2', '1/2'], 
77, 1, ['1/2', '1/2'], 
78, 1, ['1/2', '1/2'], 
79, 1, ['1/2', '1/2'], 
80, 1, ['1/2', '1/2'], 
81, 1, ['1/2', '1/2'], 
82, 1, ['1/2', '1/2'], 
83, 1, ['1/2', '1/2'], 
84, 1, ['1/2', '1/2'], 
85, 1, ['1/2', '1/2'], 
86, 1, ['1/2', '1/2'], 
87, 1, ['1/2', '1/2'], 
88, 1, ['1/2', '1/2'], 
89, 1, ['1/2', '1/2'], 
90, 1, ['1/2', '1/2'], 
91, 1, ['1/2', '1/2'], 
92, 1, ['1/2', '1/2'], 
93, 1, ['1/2', '1/2'], 
94, 1, ['1/2', '1/2'], 
95, 1, ['1/2', '1/2'], 
96, 1, ['1/2', '1/2'], 
97, 1, ['1/2', '1/2'], 
98, 1, ['1/2', '1/2'], 
99, 1, ['1/2', '1/2'], 
0.0, 0.0, 
0.0, 0.0, 
