0, 5, ['0', '0', '0', '1/15', '1/15', '7/30', '7/30', '2/5'], 
20, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
21, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
22, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
23, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
24, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
25, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
26, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
27, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
28, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
29, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
30, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
31, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
32, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
33, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
34, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
35, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
36, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
37, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
38, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
39, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
40, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
41, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
42, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
43, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
44, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
45, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
46, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
47, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
48, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
49, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
50, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
51, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
52, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
53, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
54, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
55, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
56, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
57, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
58, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
59, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
60, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
61, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
62, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
63, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
64, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
65, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
66, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
67, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
68, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
69, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
70, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
71, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
72, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
73, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
74, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
75, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
76, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
77, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
78, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
79, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
80, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
81, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
82, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
83, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
84, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
85, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
86, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
87, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
88, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
89, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
90, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
91, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
92, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
93, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
94, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
95, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
96, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
97, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
98, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
99, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
