['0', '7227581/4363736229', '390707/117938817', '21686749/4363736229', '28920353/4363736229', '72315953/8727472458', '43400651/4363736229', '101298793/8727472458', '57905245/4363736229', '65169256/4363736229', '72442487/4363736229', '17716891/969719162', '87020933/4363736229', '94328354/4363736229', '11294382/484859581', '217970633/8727472458', '12926356/484859581', '6686827/235877634', '262187747/8727472458', '92334137/2909157486', '97286413/2909157486', '153380500/4363736229', '321710519/8727472458', '168355369/4363736229', '117254911/2909157486', '366875687/8727472458', '191023459/4363736229', '198640967/4363736229', '206292191/4363736229', '427958099/8727472458', '443407177/8727472458', '229467953/4363736229', '237274426/4363736229', '245125465/4363736229', '506047369/8727472458']
['13853361/8852457206', '27708485/8852457206', '166268585/35409828824', '221724465/35409828824', '138604347/17704914412', '166364233/17704914412', '194145495/17704914412', '221951771/17704914412', '249786755/17704914412', '277654167/17704914412', '611115555/35409828824', '166750715/8852457206', '90372258/4426228603', '779048975/35409828824', '835223901/35409828824', '891510927/35409828824', '947918591/35409828824', '502227773/17704914412', '1061130695/35409828824', '139744146/4426228603', '1174932413/35409828824', '1232078141/35409828824', '161175050/4426228603', '1346909617/35409828824', '175577074/4426228603', '1462532557/35409828824', '380167311/8852457206', '789519441/17704914412', '818827137/17704914412', '848264449/17704914412', '1755676911/35409828824', '907556629/17704914412', '1874853817/35409828824', '241864430/4426228603', '249414516/4426228603']
['106353455/35853001269', '159545837/35853001269', '70918991/11951000423', '265993147/35853001269', '319260755/35853001269', '124188715/11951000423', '141971897/11951000423', '479315977/35853001269', '177591171/11951000423', '586294907/35853001269', '213295657/11951000423', '231185501/11951000423', '747310447/35853001269', '267051961/11951000423', '855100087/35853001269', '303050107/11951000423', '321104749/11951000423', '339199843/11951000423', '1072014049/35853001269', '1126566049/35853001269', '393754617/11951000423', '1236116063/35853001269', '430377227/11951000423', '448773303/11951000423', '1401690257/35853001269', '1457252753/35853001269', '1513017691/35853001269', '1568995801/35853001269', '1625198441/35853001269', '1681637369/35853001269', '1738324921/35853001269', '1795274255/35853001269', '617499699/11951000423', '636671341/11951000423', '1967834671/35853001269']
['306535067/72486568067', '408765189/72486568067', '511039819/72486568067', '613370097/72486568067', '715767359/72486568067', '818243021/72486568067', '920808485/72486568067', '1023475393/72486568067', '1126255515/72486568067', '1229160647/72486568067', '1332202885/72486568067', '1435394475/72486568067', '1538747873/72486568067', '1642275651/72486568067', '1745990877/72486568067', '1849906591/72486568067', '1954036351/72486568067', '2058393987/72486568067', '2162993569/72486568067', '2267849677/72486568067', '2372977293/72486568067', '2478391731/72486568067', '2584108909/72486568067', '2690145291/72486568067', '2796517763/72486568067', '2903243987/72486568067', '3010342309/72486568067', '3117831681/72486568067', '3225732021/72486568067', '3334064131/72486568067', '3442849681/72486568067', '3552111579/72486568067', '3661873945/72486568067', '3772162113/72486568067', '3883003105/72486568067']
['98288380/18295953421', '122879012/18295953421', '147482041/18295953421', '172099958/18295953421', '196735326/18295953421', '221390650/18295953421', '246068532/18295953421', '270771569/18295953421', '295502384/18295953421', '320263639/18295953421', '345058063/18295953421', '369888361/18295953421', '394757362/18295953421', '419667889/18295953421', '444622845/18295953421', '469625177/18295953421', '494677931/18295953421', '519784172/18295953421', '544947084/18295953421', '570169923/18295953421', '595456019/18295953421', '620808813/18295953421', '646231868/18295953421', '671728812/18295953421', '697303447/18295953421', '722959689/18295953421', '748701592/18295953421', '774533377/18295953421', '800459459/18295953421', '826484395/18295953421', '852612996/18295953421', '878850291/18295953421', '905201544/18295953421', '931672315/18295953421', '958268506/18295953421']
['473249273/73801792901', '567996343/73801792901', '662796623/73801792901', '757659165/73801792901', '852592979/73801792901', '947607273/73801792901', '1042711327/73801792901', '1137914435/73801792901', '1233226091/73801792901', '1328655931/73801792901', '1424213637/73801792901', '1519909085/73801792901', '1615752413/73801792901', '1711753737/73801792901', '1807923543/73801792901', '1904272505/73801792901', '2000811409/73801792901', '2097551419/73801792901', '2194503939/73801792901', '2291680589/73801792901', '2389093383/73801792901', '2486754691/73801792901', '2584677127/73801792901', '2682873803/73801792901', '2781358283/73801792901', '2880144459/73801792901', '2979246841/73801792901', '3078680485/73801792901', '3178460927/73801792901', '3278604467/73801792901', '3379128093/73801792901', '3480049471/73801792901', '3581387219/73801792901', '3683160907/73801792901', '3785391029/73801792901']
['30416941/4130991573', '11831039/1376997191', '365151409/37178924157', '410896781/37178924157', '152226043/12392974719', '502499641/37178924157', '548365483/37178924157', '594279913/37178924157', '640247099/37178924157', '686271511/37178924157', '732357449/37178924157', '778509383/37178924157', '274910629/12392974719', '290343193/12392974719', '305802361/12392974719', '107096591/4130991573', '1010421097/37178924157', '1057067441/37178924157', '122645945/4130991573', '127851617/4130991573', '133069543/4130991573', '1244703175/37178924157', '430634009/12392974719', '1339228315/37178924157', '1386688129/37178924157', '1434287725/37178924157', '1482033487/37178924157', '1529932243/37178924157', '1577990855/37178924157', '542072189/12392974719', '558205645/12392974719', '1723199825/37178924157', '65628643/1376997191', '1820946289/37178924157', '623375851/12392974719']
['616443745/74853649061', '704649827/74853649061', '792913283/74853649061', '881241445/74853649061', '969641687/74853649061', '1058121543/74853649061', '1146688531/74853649061', '1235350287/74853649061', '1324114571/74853649061', '1412989229/74853649061', '1501982189/74853649061', '1591101547/74853649061', '1680355517/74853649061', '1769752437/74853649061', '1859300843/74853649061', '1949009397/74853649061', '2038886937/74853649061', '2128942553/74853649061', '2219185493/74853649061', '2309625221/74853649061', '2400271489/74853649061', '2491134261/74853649061', '2582223779/74853649061', '2673550637/74853649061', '2765125697/74853649061', '2856960145/74853649061', '2949065625/74853649061', '3041454119/74853649061', '3134138013/74853649061', '3227130291/74853649061', '3320444309/74853649061', '3414094023/74853649061', '3508094055/74853649061', '3602459633/74853649061', '3697206703/74853649061']
['12153901/1344693415', '95732492/9412853905', '106394986/9412853905', '117065569/9412853905', '127745138/9412853905', '4259523/289626274', '8521973/537877366', '319692167/18825707810', '48734303/2689386830', '27893433/1448131370', '54873941/2689386830', '15601952/724065685', '213608013/9412853905', '34524253/1448131370', '470450499/18825707810', '49212356/1882570781', '51383656/1882570781', '535591491/18825707810', '278695234/9412853905', '44556587/1448131370', '300564603/9412853905', '23964361/724065685', '645070563/18825707810', '667123063/18825707810', '689233351/18825707810', '355701973/9412853905', '366818744/9412853905', '755936609/18825707810', '155660833/3765141562', '800742989/18825707810', '823256103/18825707810', '845846611/18825707810', '434258897/9412853905', '178254593/3765141562', '914115757/18825707810']
['740426577/75705555817', '822880797/75705555817', '905393729/75705555817', '987971351/75705555817', '1070619817/75705555817', '1153345327/75705555817', '1236154055/75705555817', '1319052357/75705555817', '1402046655/75705555817', '1485143343/75705555817', '1568349047/75705555817', '1651670459/75705555817', '1735114305/75705555817', '1818687503/75705555817', '1902397113/75705555817', '1986250217/75705555817', '2070254141/75705555817', '2154416375/75705555817', '2238744459/75705555817', '2323246199/75705555817', '2407929621/75705555817', '2492802805/75705555817', '2577874183/75705555817', '2663152403/75705555817', '2748646193/75705555817', '2834364791/75705555817', '2920317613/75705555817', '3006514261/75705555817', '3092964787/75705555817', '3179679607/75705555817', '3266669419/75705555817', '3353945401/75705555817', '3441519199/75705555817', '3529402813/75705555817', '3617608895/75705555817']
['398158823/38036370797', '438076653/38036370797', '478023665/38036370797', '518002869/38036370797', '558016851/38036370797', '20623055/1311598993', '638160779/38036370797', '678296469/38036370797', '718478395/38036370797', '758709677/38036370797', '798993177/38036370797', '839332055/38036370797', '879729279/38036370797', '920188147/38036370797', '960711685/38036370797', '1001303311/38036370797', '1041966227/38036370797', '1082703917/38036370797', '1123519727/38036370797', '1164417369/38036370797', '1205400273/38036370797', '1246472305/38036370797', '1287637165/38036370797', '1328898827/38036370797', '1370261215/38036370797', '1411728617/38036370797', '1453305085/38036370797', '1494995147/38036370797', '1536803225/38036370797', '1578734083/38036370797', '1620792445/38036370797', '1662983471/38036370797', '1705312187/38036370797', '1747784171/38036370797', '1790404911/38036370797']
['848593641/76403611699', '925960075/76403611699', '1003384761/76403611699', '1080872795/76403611699', '1158429205/76403611699', '1236059167/76403611699', '1313767933/76403611699', '1391560691/76403611699', '1469442825/76403611699', '1547419765/76403611699', '1625496927/76403611699', '1703679911/76403611699', '1781974401/76403611699', '97915057/4021242721', '1938920827/76403611699', '2017584629/76403611699', '110335973/4021242721', '2175323653/76403611699', '2254411297/76403611699', '2333653173/76403611699', '2413055529/76403611699', '2492625387/76403611699', '2572369505/76403611699', '2652295033/76403611699', '2732409351/76403611699', '2812719819/76403611699', '2893234147/76403611699', '2973960341/76403611699', '3054906523/76403611699', '3136081149/76403611699', '3217492987/76403611699', '3299150997/76403611699', '3381064567/76403611699', '182275971/4021242721', '3545697669/76403611699']
['448811423/38353532507', '486331349/38353532507', '523880207/38353532507', '561460095/38353532507', '599073581/38353532507', '636722735/38353532507', '674410263/38353532507', '712138305/38353532507', '749909505/38353532507', '787726185/38353532507', '825591033/38353532507', '863506375/38353532507', '901475049/38353532507', '939499469/38353532507', '977582467/38353532507', '1015726649/38353532507', '1053934929/38353532507', '1092210011/38353532507', '1130554743/38353532507', '1168972337/38353532507', '1207465487/38353532507', '1246037457/38353532507', '1284691405/38353532507', '1323430433/38353532507', '1362258067/38353532507', '23748771/650059873', '1440192365/38353532507', '1479306185/38353532507', '1518522803/38353532507', '1557845825/38353532507', '1597279449/38353532507', '1636827539/38353532507', '1676494473/38353532507', '1716284495/38353532507', '1756202325/38353532507']
['943634813/76981760879', '1016475359/76981760879', '1089372735/76981760879', '1162331171/76981760879', '1235354963/76981760879', '1308448453/76981760879', '1381616035/76981760879', '1454862117/76981760879', '1528191237/76981760879', '1601607923/76981760879', '1675116779/76981760879', '1748722517/76981760879', '1822429883/76981760879', '1896243685/76981760879', '1970168877/76981760879', '2044210427/76981760879', '2118373365/76981760879', '2192663321/76981760879', '2267084449/76981760879', '2341643777/76981760879', '2416345345/76981760879', '2491195713/76981760879', '2566200221/76981760879', '2641364961/76981760879', '2716695897/76981760879', '2792199245/76981760879', '2867881447/76981760879', '2943749023/76981760879', '3019808707/76981760879', '3096067465/76981760879', '3172532461/76981760879', '3249211063/76981760879', '3326110957/76981760879', '3403240027/76981760879', '3480606461/76981760879']
['123366737/9654383669', '132212074/9654383669', '141064347/9654383669', '299848251/19308767338', '317583673/19308767338', '167668050/9654383669', '25221884/1379197667', '185447849/9654383669', '194352472/9654383669', '203267644/9654383669', '424387683/19308767338', '221131663/9654383669', '460163167/19308767338', '239044236/9654383669', '496040233/19308767338', '514019707/19308767338', '38001995/1379197667', '550066403/19308767338', '284067877/9654383669', '41874140/1379197667', '604373643/19308767338', '622544515/19308767338', '320375831/9654383669', '47071185/1379197667', '677280535/19308767338', '347802537/9654383669', '713971529/19308767338', '52312964/1379197667', '53631173/1379197667', '769338001/19308767338', '787887717/19308767338', '403243706/9654383669', '412569337/9654383669', '421921706/9654383669', '862603375/19308767338']
['1027694875/77465323789', '156641115/11066474827', '1165335533/77465323789', '176320231/11066474827', '1303209737/77465323789', '1372243605/77465323789', '1441346891/77465323789', '215789057/11066474827', '1579776955/77465323789', '1649111405/77465323789', '1718530665/77465323789', '1788038755/77465323789', '1857639639/77465323789', '1927337453/77465323789', '1997136387/77465323789', '2067040657/77465323789', '2137054223/77465323789', '2207182795/77465323789', '2277428373/77465323789', '2347798379/77465323789', '2418295179/77465323789', '355560697/11066474827', '2559691665/77465323789', '2630600809/77465323789', '2701657233/77465323789', '2772866227/77465323789', '2844233109/77465323789', '2915763315/77465323789', '2987462475/77465323789', '3059336419/77465323789', '3131391017/77465323789', '3203632433/77465323789', '3276066993/77465323789', '3348701171/77465323789', '3421541717/77465323789']
['266542880/19419680383', '283274650/19419680383', '300019928/19419680383', '316779341/19419680383', '333553945/19419680383', '350344386/19419680383', '367151713/19419680383', '383976630/19419680383', '400820175/19419680383', '417683083/19419680383', '434566431/19419680383', '451470960/19419680383', '468397766/19419680383', '485347650/19419680383', '502321710/19419680383', '519320803/19419680383', '536345922/19419680383', '553398358/19419680383', '570478577/19419680383', '587588258/19419680383', '604728011/19419680383', '621899148/19419680383', '639102756/19419680383', '656339897/19419680383', '673611858/19419680383', '690919709/19419680383', '708264795/19419680383', '725648238/19419680383', '743071477/19419680383', '16181610/413184689', '778042337/19419680383', '795592724/19419680383', '813188421/19419680383', '830830751/19419680383', '848521425/19419680383']
['367498909/25957809341', '389217175/25957809341', '1232858771/77873428023', '1298121533/77873428023', '1363442923/77873428023', '1428826099/77873428023', '498091431/25957809341', '519930223/25957809341', '1625378543/77873428023', '563680405/25957809341', '1756782019/77873428023', '1822604359/77873428023', '1888511725/77873428023', '651502517/25957809341', '2020595419/77873428023', '2086779151/77873428023', '2153061499/77873428023', '739816083/25957809341', '761980113/25957809341', '2352544447/77873428023', '2419262435/77873428023', '828699875/25957809341', '851019813/25957809341', '2620146401/77873428023', '2687364709/77873428023', '918239581/25957809341', '2822213021/77873428023', '2889852179/77873428023', '985880303/25957809341', '73794733/1899351903', '3093686647/77873428023', '3161953733/77873428023', '1076796875/25957809341', '3299002759/77873428023', '1122598563/25957809341']
['142110525/9756840284', '300089067/19513680568', '315969761/19513680568', '331864089/19513680568', '173886275/9756840284', '181848037/9756840284', '379635221/19513680568', '395590925/19513680568', '51445468/2439210071', '106888663/4878420142', '443564233/19513680568', '459593441/19513680568', '237821463/9756840284', '491713659/19513680568', '507806269/19513680568', '523921871/19513680568', '540060855/19513680568', '556224779/19513680568', '71551712/2439210071', '147157323/4878420142', '302435921/9756840284', '621142741/19513680568', '318721311/9756840284', '653772671/19513680568', '83766714/2439210071', '686526923/19513680568', '351476577/9756840284', '359706831/9756840284', '183977339/4878420142', '188110375/4878420142', '96126387/2439210071', '785619481/19513680568', '401133833/9756840284', '818957109/19513680568', '835688879/19513680568']
['1169435053/78220698407', '1231304379/78220698407', '1293223737/78220698407', '1355195673/78220698407', '1417222889/78220698407', '1479308145/78220698407', '1541454165/78220698407', '1603663725/78220698407', '1665939671/78220698407', '1728284843/78220698407', '1790702107/78220698407', '1853194433/78220698407', '1915764761/78220698407', '1978416103/78220698407', '2041151459/78220698407', '2103974367/78220698407', '2166886751/78220698407', '2229893905/78220698407', '2292996659/78220698407', '2356200457/78220698407', '2419507213/78220698407', '2482921243/78220698407', '2546445585/78220698407', '2610084087/78220698407', '2673840275/78220698407', '2737717949/78220698407', '2801720929/78220698407', '2865853123/78220698407', '2930118531/78220698407', '2994521275/78220698407', '3059065549/78220698407', '3123755679/78220698407', '3188596107/78220698407', '3253591391/78220698407', '3318746189/78220698407']
['600165451/39187955013', '210112485/13062651671', '660534157/39187955013', '690756163/39187955013', '240335089/13062651671', '751282241/39187955013', '781588801/39187955013', '270641949/13062651671', '842295095/39187955013', '290899141/13062651671', '903134645/39187955013', '933607691/39187955013', '964118311/39187955013', '331555857/13062651671', '1025257189/39187955013', '351962825/13062651671', '362187565/13062651671', '16192491/567941377', '1148046877/39187955013', '1178859751/39187955013', '1209721843/39187955013', '1240634693/39187955013', '1271600173/39187955013', '1302619637/39187955013', '1333695083/39187955013', '1364827949/39187955013', '465340113/13062651671', '3030305/83201603', '1458590189/39187955013', '1489971419/39187955013', '1521419653/39187955013', '1552936537/39187955013', '1584524491/39187955013', '538728389/13062651671', '549307067/13062651671']
['614824213/39259223491', '644268688/39259223491', '673737099/39259223491', '703230379/39259223491', '732749713/39259223491', '762296282/39259223491', '791871259/39259223491', '821475858/39259223491', '851111318/39259223491', '880778845/39259223491', '910479711/39259223491', '940215191/39259223491', '969986550/39259223491', '999795112/39259223491', '1029642131/39259223491', '1059529214/39259223491', '1089457156/39259223491', '1119428143/39259223491', '1149442773/39259223491', '1179503113/39259223491', '1209610220/39259223491', '1239765799/39259223491', '1269971239/39259223491', '1300228161/39259223491', '1330538096/39259223491', '1360902664/39259223491', '1391323507/39259223491', '1421802275/39259223491', '1452340703/39259223491', '1482940549/39259223491', '1513603582/39259223491', '1544331652/39259223491', '1575126653/39259223491', '1605990490/39259223491', '1636925153/39259223491']
['314385953/19663069338', '164380618/9831534669', '171574057/9831534669', '119182417/6554356446', '371958913/19663069338', '386383891/19663069338', '400822493/19663069338', '207637765/9831534669', '429743321/19663069338', '20192122/893775879', '229362989/9831534669', '14340667/595850586', '243887581/9831534669', '251163139/9831534669', '516895691/19663069338', '531484399/19663069338', '546092567/19663069338', '186907121/6554356446', '17435483/595850586', '98340401/3277178223', '604736069/19663069338', '309726463/9831534669', '634193425/19663069338', '72106501/2184785482', '73749855/2184785482', '339282472/9831534669', '231135929/6554356446', '78697581/2184785482', '361588424/9831534669', '246034889/6554356446', '753062297/19663069338', '768050819/19663069338', '783070855/19663069338', '266041181/6554356446', '813209545/19663069338']
['642037850/39387762277', '670124501/39387762277', '698234292/39387762277', '726367783/39387762277', '754525860/39387762277', '782709538/39387762277', '810919842/39387762277', '839157798/39387762277', '867424471/39387762277', '895720955/39387762277', '924048313/39387762277', '952407666/39387762277', '980800134/39387762277', '1009226872/39387762277', '1037688908/39387762277', '1066187713/39387762277', '1094724008/39387762277', '1123299509/39387762277', '1151915008/39387762277', '1180572054/39387762277', '1209271705/39387762277', '1238015399/39387762277', '1266804338/39387762277', '1295639920/39387762277', '1324523487/39387762277', '1353456404/39387762277', '1382440093/39387762277', '1411476025/39387762277', '1440565633/39387762277', '1469710447/39387762277', '1498912001/39387762277', '1528171850/39387762277', '1557491599/39387762277', '1586872913/39387762277', '1616317388/39387762277']
['654690081/39445842301', '682141943/39445842301', '709617041/39445842301', '737115089/39445842301', '764637405/39445842301', '792184287/39445842301', '819757263/39445842301', '847356731/39445842301', '874984183/39445842301', '902640149/39445842301', '930326127/39445842301', '958042629/39445842301', '985791233/39445842301', '1013572531/39445842301', '1041387925/39445842301', '1069238331/39445842301', '1097124955/39445842301', '1125048803/39445842301', '1153011213/39445842301', '1181013083/39445842301', '1209055891/39445842301', '1237140511/39445842301', '1265268549/39445842301', '1293440795/39445842301', '1321659001/39445842301', '1349923969/39445842301', '1378237475/39445842301', '1406600427/39445842301', '1435014649/39445842301', '1463481027/39445842301', '1492001515/39445842301', '1520577045/39445842301', '1549209581/39445842301', '1577900149/39445842301', '1606650715/39445842301']
