['0', '7227581/4363736229', '390707/117938817', '21686749/4363736229', '28920353/4363736229', '72315953/8727472458', '43400651/4363736229', '101298793/8727472458', '57905245/4363736229', '65169256/4363736229', '72442487/4363736229', '17716891/969719162', '87020933/4363736229', '94328354/4363736229', '11294382/484859581', '217970633/8727472458', '12926356/484859581', '6686827/235877634', '262187747/8727472458', '92334137/2909157486', '97286413/2909157486', '153380500/4363736229', '321710519/8727472458', '168355369/4363736229', '117254911/2909157486', '366875687/8727472458', '191023459/4363736229', '198640967/4363736229', '206292191/4363736229', '427958099/8727472458', '443407177/8727472458', '229467953/4363736229', '237274426/4363736229', '245125465/4363736229', '506047369/8727472458']
['1333502245/78998943761', '1387189387/78998943761', '1440922459/78998943761', '1494701291/78998943761', '1548527041/78998943761', '1602401211/78998943761', '1656325489/78998943761', '1710301595/78998943761', '1764331385/78998943761', '16092183/699105697', '1872559383/78998943761', '1926761419/78998943761', '1981024729/78998943761', '2035351353/78998943761', '2089743097/78998943761', '2144202403/78998943761', '2198730805/78998943761', '2253330937/78998943761', '2308004523/78998943761', '2362753989/78998943761', '2417581397/78998943761', '2472489071/78998943761', '2527479241/78998943761', '2582554251/78998943761', '2637716433/78998943761', '2692968195/78998943761', '2748312033/78998943761', '2803750393/78998943761', '2859285815/78998943761', '2914920893/78998943761', '2970658267/78998943761', '104362089/2724101509', '3082450579/78998943761', '3138510945/78998943761', '3194684247/78998943761']
['678281413/39550204327', '704541847/39550204327', '730825155/39550204327', '757131461/39550204327', '783460559/39550204327', '809813601/39550204327', '836190721/39550204327', '862593307/39550204327', '889021611/39550204327', '915477007/39550204327', '941959875/39550204327', '968471617/39550204327', '995012587/39550204327', '1021584311/39550204327', '1048187085/39550204327', '1074822523/39550204327', '1101490929/39550204327', '1128193945/39550204327', '1154931915/39550204327', '1181706483/39550204327', '1208518103/39550204327', '1235368325/39550204327', '1262257749/39550204327', '1289187929/39550204327', '1316159447/39550204327', '1343173973/39550204327', '1370232119/39550204327', '1397335523/39550204327', '1424484887/39550204327', '1451681913/39550204327', '1478927261/39550204327', '1506222731/39550204327', '1533568995/39550204327', '1560967779/39550204327', '1588419641/39550204327']
['65647503/3771159083', '75262981/4168123197', '1481443027/79194340743', '1532934901/79194340743', '226353199/11313477249', '1636056365/79194340743', '1687687937/79194340743', '1739368517/79194340743', '597033187/26398113581', '614294203/26398113581', '631573085/26398113581', '1946611193/79194340743', '15026767/595446171', '2050567567/79194340743', '2102635411/79194340743', '307823653/11313477249', '2206959565/79194340743', '2259219509/79194340743', '770515673/26398113581', '2363944171/79194340743', '2416412795/79194340743', '2468954863/79194340743', '2521572337/79194340743', '2574267289/79194340743', '2627041705/79194340743', '2679897715/79194340743', '2732837417/79194340743', '928620981/26398113581', '135189355/3771159083', '2892180211/79194340743', '981825451/26398113581', '2998867159/79194340743', '3052354817/79194340743', '1035313793/26398113581', '150458501/3771159083']
['349928885/19820881966', '181254474/9910440983', '375101383/19820881966', '387705173/19820881966', '200160247/9910440983', '206473568/9910440983', '425585609/19820881966', '438235915/19820881966', '450898637/19820881966', '463573847/19820881966', '25066431/1043204314', '488963757/19820881966', '501679201/19820881966', '257204340/9910440983', '527152813/19820881966', '539911807/19820881966', '552686295/19820881966', '282738239/9910440983', '578283021/19820881966', '591106133/19820881966', '301973250/9910440983', '616804325/19820881966', '629680333/19820881966', '321287364/9910440983', '655488247/19820881966', '668421119/19820881966', '340687040/9910440983', '347173686/9910440983', '707341759/19820881966', '37913551/1043204314', '366697640/9910440983', '746455417/19820881966', '39975717/1043204314', '386322524/9910440983', '785775265/19820881966']
['709972453/39683158275', '734612701/39683158275', '759278468/39683158275', '783967783/39683158275', '53911999/2645543885', '166683004/7936631655', '286057713/13227719425', '294318247/13227719425', '302586784/13227719425', '310863523/13227719425', '957446017/39683158275', '982327379/39683158275', '1007235353/39683158275', '1032170683/39683158275', '1057134058/39683158275', '1082126327/39683158275', '1107148177/39683158275', '1132200461/39683158275', '231456796/7936631655', '1182399511/39683158275', '402515974/13227719425', '82182004/2645543885', '419315587/13227719425', '1283198906/39683158275', '1308487388/39683158275', '444604357/13227719425', '1359176864/39683158275', '461526563/13227719425', '470007477/13227719425', '1435506007/39683158275', '1461031321/39683158275', '1486599202/39683158275', '302442092/7936631655', '1537865749/39683158275', '521188429/13227719425']
['143938633/7944522541', '743831687/39722612705', '153599367/7944522541', '792186703/39722612705', '816399533/39722612705', '168127117/7944522541', '864894293/39722612705', '889176497/39722612705', '913481961/39722612705', '937811799/39722612705', '962165943/39722612705', '986545553/39722612705', '1010950699/39722612705', '207076525/7944522541', '211968273/7944522541', '1084328283/39722612705', '221768691/7944522541', '1133388171/39722612705', '1157962707/39722612705', '236513651/7944522541', '1207205087/39722612705', '246374911/7944522541', '1256576871/39722612705', '1281313379/39722612705', '1306084367/39722612705', '1330891187/39722612705', '1355734077/39722612705', '1380614469/39722612705', '1405532581/39722612705', '1430489769/39722612705', '1455486263/39722612705', '1480523339/39722612705', '1505600987/39722612705', '1530720267/39722612705', '1555880393/39722612705']
['729031033/39759341480', '94085462/4969917685', '776365133/39759341480', '800072067/39759341480', '20595073/993983537', '847557007/39759341480', '871334081/39759341480', '22378355/993983537', '22973940/993983537', '942804639/39759341480', '483337869/19879670740', '990571419/39759341480', '126811524/4969917685', '54654667/2092596920', '1062411427/39759341480', '135801391/4969917685', '1110438383/39759341480', '113449385/3975934148', '1158578321/39759341480', '591346153/19879670740', '1206836657/39759341480', '153876504/4969917685', '1255219153/39759341480', '1279458771/39759341480', '325932901/9939835370', '1328038397/39759341480', '1352379887/39759341480', '1376756807/39759341480', '1401169857/39759341480', '1425619737/39759341480', '181263384/4969917685', '1474632413/39759341480', '374799039/9939835370', '761899219/19879670740', '774219343/19879670740']
['369016553/19897245794', '190303744/9948622897', '196107046/9948622897', '201917001/9948622897', '415466521/19897245794', '427110767/19897245794', '438766789/19897245794', '225217101/9948622897', '231056671/9948622897', '236901997/9948622897', '242753318/9948622897', '248610580/9948622897', '254474035/9948622897', '520687351/19897245794', '266219768/9948622897', '544204611/19897245794', '555983179/19897245794', '283887598/9948622897', '289790681/9948622897', '295700782/9948622897', '603236529/19897245794', '615086219/19897245794', '626951287/19897245794', '638831761/19897245794', '325364125/9948622897', '331320405/9948622897', '674570051/19897245794', '343257990/9948622897', '698479217/19897245794', '710459731/19897245794', '361229027/9948622897', '734474083/19897245794', '373254099/9948622897', '379279987/9948622897', '770629235/19897245794']
['1493414369/79654633877', '1538864225/79654633877', '1584381217/79654633877', '17911601/875325647', '1675582343/79654633877', '1721258121/79654633877', '1766981329/79654633877', '1812751123/79654633877', '1858567251/79654633877', '1904429757/79654633877', '1950339025/79654633877', '1996295629/79654633877', '291757173/11379233411', '5817141/221879203', '304922391/11379233411', '2180610487/79654633877', '2226815967/79654633877', '2273073923/79654633877', '331340875/11379233411', '2365752787/79654633877', '2412175799/79654633877', '2458655889/79654633877', '2505194381/79654633877', '2551792415/79654633877', '2598451117/79654633877', '377881661/11379233411', '2691955101/79654633877', '2738802519/79654633877', '397959269/11379233411', '217899463/6127279529', '411391077/11379233411', '418121251/11379233411', '2974026487/79654633877', '3021269541/79654633877', '3068574867/79654633877']
['188774553/9964716842', '194344627/9964716842', '399847503/19929433684', '205510693/9964716842', '422208923/19929433684', '216704717/9964716842', '111155500/4982358421', '455846591/19929433684', '233541349/9964716842', '478330571/19929433684', '244794955/9964716842', '250430547/9964716842', '512143933/19929433684', '261719443/9964716842', '133686454/4982358421', '273032611/9964716842', '557397051/19929433684', '284370847/9964716842', '580099339/19929433684', '147867557/4982358421', '301427271/9964716842', '307126349/9964716842', '156416177/4982358421', '318545547/9964716842', '648531809/19929433684', '659987389/19929433684', '671457757/19929433684', '170735854/4982358421', '173611060/4982358421', '705960653/19929433684', '717492413/19929433684', '729039795/19929433684', '185150567/4982358421', '188044916/4982358421', '763770599/19929433684']
['109030058/5698347247', '785056936/39888430729', '806943314/39888430729', '828863108/39888430729', '121544620/5698347247', '124684075/5698347247', '894790075/39888430729', '916815967/39888430729', '938865579/39888430729', '960938591/39888430729', '983034824/39888430729', '143593471/5698347247', '1027297112/39888430729', '1049463449/39888430729', '1071653547/39888430729', '1093867722/39888430729', '159443767/5698347247', '162624220/5698347247', '1160658232/39888430729', '1182972128/39888430729', '1205312201/39888430729', '1227678567/39888430729', '1250071748/39888430729', '1272492124/39888430729', '1294940099/39888430729', '69337686/2099391091', '70522119/2099391091', '1362453073/39888430729', '1385014635/39888430729', '1407605041/39888430729', '1430224210/39888430729', '10923848/299913013', '1475547009/39888430729', '78855183/2099391091', '217281915/5698347247']
['771087197/39916974821', '792509801/39916974821', '813976331/39916974821', '835478807/39916974821', '857013233/39916974821', '878575883/39916974821', '900165435/39916974821', '921779863/39916974821', '943418897/39916974821', '965081365/39916974821', '986767535/39916974821', '1008476607/39916974821', '1030209189/39916974821', '1051964707/39916974821', '1073743889/39916974821', '1095546339/39916974821', '1117373013/39916974821', '1139223139/39916974821', '1161098381/39916974821', '1182997605/39916974821', '1204922369/39916974821', '1226872059/39916974821', '1248847737/39916974821', '1270849039/39916974821', '1292876907/39916974821', '1314930969/39916974821', '1337012019/39916974821', '1359119609/39916974821', '1381254359/39916974821', '1403415513/39916974821', '1425603415/39916974821', '1447816763/39916974821', '1470055053/39916974821', '1492315749/39916974821', '1514596045/39916974821']
