['0', '106340988/71808016103', '212694443/71808016103', '319072918/71808016103', '425488929/71808016103', '531955045/71808016103', '638483972/71808016103', '745088437/71808016103', '851781275/71808016103', '958575499/71808016103', '1065484212/71808016103', '1172520676/71808016103', '1279698400/71808016103', '1387031023/71808016103', '1494532516/71808016103', '1602216886/71808016103', '1710098763/71808016103', '1818192727/71808016103', '1926513967/71808016103', '2035077876/71808016103', '2143900289/71808016103', '2252997530/71808016103', '2362386333/71808016103', '2472083961/71808016103', '2582108283/71808016103', '2692477747/71808016103', '2803211460/71808016103', '2914329325/71808016103', '3025851996/71808016103', '3137800999/71808016103', '3250198906/71808016103', '3363069288/71808016103', '3476436900/71808016103', '3590327888/71808016103', '3704769788/71808016103', '3819791799/71808016103', '3935425059/71808016103']
['536428209/40035078712', '2265442695/160140314848', '74539326/5004384839', '2505164849/160140314848', '1312583387/80070157424', '2745269035/160140314848', '716369153/40035078712', '746448609/40035078712', '3106227525/160140314848', '1613390491/80070157424', '104608123/5004384839', '216766847/10008769678', '57890567/2582908304', '3710302041/160140314848', '1915767803/80070157424', '3952921389/160140314848', '131434347/5165816608', '4196172037/160140314848', '269877967/10008769678', '4440099029/160140314848', '4562330471/160140314848', '4684749473/160140314848', '4807361189/160140314848', '1232543083/40035078712', '5053189095/160140314848', '2588209019/80070157424', '5299865729/160140314848', '5423538985/160140314848', '5547444695/160140314848', '5671589869/160140314848', '2897990901/80070157424', '1480156961/40035078712', '6045535539/160140314848', '3085356347/80070157424', '6296167245/160140314848', '3210953661/80070157424', '6547941377/160140314848']
['1104485837/80245899919', '1162886405/80245899919', '1221328823/80245899919', '1279815611/80245899919', '1338348697/80245899919', '1396930681/80245899919', '1455563546/80245899919', '1514249879/80245899919', '1572991763/80245899919', '1631791824/80245899919', '1690652176/80245899919', '1749575525/80245899919', '24774850/1099258903', '1867620474/80245899919', '1926747089/80245899919', '1985946700/80245899919', '2045221497/80245899919', '2104574810/80245899919', '2164008231/80245899919', '2223525731/80245899919', '2283128894/80245899919', '2342821431/80245899919', '2402605527/80245899919', '2462484562/80245899919', '34554262/1099258903', '2582538510/80245899919', '2642719542/80245899919', '2703007590/80245899919', '2763405587/80245899919', '2823917070/80245899919', '2884545110/80245899919', '2945293368/80245899919', '3006165090/80245899919', '3067164114/80245899919', '3128293808/80245899919', '3189558253/80245899919', '3250960988/80245899919']
['4538061575/321630551579', '4766071689/321630551579', '4994245979/321630551579', '5222592681/321630551579', '5451120127/321630551579', '5679836843/321630551579', '5908751357/321630551579', '6137872309/321630551579', '6367208393/321630551579', '6596768495/321630551579', '6826561455/321630551579', '7056596359/321630551579', '7286882337/321630551579', '7517428625/321630551579', '7748244569/321630551579', '135243049/5451365281', '8210723413/321630551579', '8442406873/321630551579', '8674397055/321630551579', '8906707623/321630551579', '9139345677/321630551579', '9372323883/321630551579', '9605651425/321630551579', '9839339843/321630551579', '10073399735/321630551579', '10307842431/321630551579', '10542679227/321630551579', '10777921813/321630551579', '11013581951/321630551579', '11249671787/321630551579', '11486203643/321630551579', '11723190161/321630551579', '11960644217/321630551579', '12198579097/321630551579', '12437008225/321630551579', '12675945549/321630551579', '12915405267/321630551579']
['290773760/20139835533', '609381791/40279671066', '637236221/40279671066', '110851924/6713278511', '115501488/6713278511', '240309735/13426557022', '124812252/6713278511', '388421356/20139835533', '804837989/40279671066', '832860197/40279671066', '1721821079/80559342132', '1777979867/80559342132', '611399713/26853114044', '472620197/20139835533', '486706825/20139835533', '667746875/26853114044', '2059723091/80559342132', '176356434/6713278511', '2172904811/80559342132', '3953207/142835713', '762130359/26853114044', '2343254333/80559342132', '600050254/20139835533', '2457233525/80559342132', '2514354565/80559342132', '642891629/20139835533', '1314436153/40279671066', '671568577/20139835533', '2743775579/80559342132', '2801378663/80559342132', '2859086659/80559342132', '972300743/26853114044', '247902390/6713278511', '758217179/20139835533', '772756451/20139835533', '39864593/1019738508', '3207703415/80559342132']
['4761154099/322797385993', '4978725677/322797385993', '305673771/18988081529', '5414346127/322797385993', '5632409117/322797385993', '5850650387/322797385993', '6069077449/322797385993', '202828963/10412818903', '6506519193/322797385993', '6725549171/322797385993', '6944795627/322797385993', '7164266365/322797385993', '7383969423/322797385993', '7603912867/322797385993', '7824104805/322797385993', '8044553821/322797385993', '8265267413/322797385993', '8486255829/322797385993', '512207375/18988081529', '8929087181/322797385993', '9150948243/322797385993', '9373118869/322797385993', '309535727/10412818903', '9818423937/322797385993', '10041577405/322797385993', '10265077731/322797385993', '10488934641/322797385993', '10713158223/322797385993', '643397573/18988081529', '11162746555/322797385993', '11388132341/322797385993', '11613926961/322797385993', '11840141473/322797385993', '12066787225/322797385993', '12293875849/322797385993', '12521419131/322797385993', '12749429245/322797385993']
['2432451689/161662274097', '2538798407/161662274097', '881740493/53887424699', '917241549/53887424699', '2858310575/161662274097', '988327809/53887424699', '3071745943/161662274097', '3178602403/161662274097', '3285555665/161662274097', '3392609995/161662274097', '1166589467/53887424699', '3607035221/161662274097', '1238137839/53887424699', '3821907755/161662274097', '3929521063/161662274097', '1345752701/53887424699', '1381707251/53887424699', '1417705797/53887424699', '4361247443/161662274097', '4469517575/161662274097', '4577930615/161662274097', '4686491837/161662274097', '1598401561/53887424699', '1634691419/53887424699', '1671034763/53887424699', '1707433325/53887424699', '1743888409/53887424699', '5341205363/161662274097', '5450924539/161662274097', '5560828237/161662274097', '5670920713/161662274097', '5781207731/161662274097', '1963897915/53887424699', '2000794897/53887424699', '6113285273/161662274097', '6224401693/161662274097', '6335738777/161662274097']
['2481912703/161906149850', '1292960938/80953074925', '1345003147/80953074925', '279416851/16190614985', '2898411591/161906149850', '1501369356/80953074925', '1553576583/80953074925', '1605829116/80953074925', '1658128612/80953074925', '3420953579/161906149850', '1762875337/80953074925', '3630651953/161906149850', '3735660953/161906149850', '3840781209/161906149850', '1973008111/80953074925', '2025684932/80953074925', '4156845347/161906149850', '2131223527/80953074925', '2184089026/80953074925', '2237021411/80953074925', '458004473/16190614985', '2343094051/80953074925', '4792476727/161906149850', '2449457386/80953074925', '5005506363/161906149850', '2556127852/80953074925', '5219167051/161906149850', '2663122418/80953074925', '2716746727/80953074925', '5540917417/161906149850', '5648521361/161906149850', '2878154988/80953074925', '2932144014/80953074925', '2986230228/80953074925', '6080832227/161906149850', '618940841/16190614985', '6298194199/161906149850']
['2529186785/162136493467', '2630956791/162136493467', '2732801303/162136493467', '2834721399/162136493467', '225901589/12472037959', '3038801221/162136493467', '3140966905/162136493467', '249478459/12472037959', '3345564347/162136493467', '93189255/4382067391', '3550538159/162136493467', '3653174059/162136493467', '3755914125/162136493467', '3858760943/162136493467', '3961718571/162136493467', '312676145/12472037959', '4167978617/162136493467', '4271288145/162136493467', '4374722129/162136493467', '4478283909/162136493467', '4581977533/162136493467', '4685806201/162136493467', '4789774215/162136493467', '4893884797/162136493467', '4998142463/162136493467', '5102550439/162136493467', '5207113493/162136493467', '5311834965/162136493467', '5416719677/162136493467', '5521771175/162136493467', '5626994475/162136493467', '5732393181/162136493467', '5837972565/162136493467', '5943736369/162136493467', '6049690011/162136493467', '6155837419/162136493467', '6262184137/162136493467']
['2574349482/162350120561', '2673970228/162350120561', '2773664127/162350120561', '2873432516/162350120561', '2973277749/162350120561', '3073202461/162350120561', '3173209460/162350120561', '3273301565/162350120561', '3373481711/162350120561', '3473752861/162350120561', '3574117994/162350120561', '3674580154/162350120561', '3775142436/162350120561', '18368758/769431851', '3976579760/162350120561', '4077461292/162350120561', '4178455425/162350120561', '4279565850/162350120561', '4380795510/162350120561', '4482148068/162350120561', '4583626728/162350120561', '4685235106/162350120561', '4786976625/162350120561', '4888854902/162350120561', '4990873552/162350120561', '5093036252/162350120561', '5195346778/162350120561', '5297808928/162350120561', '5400426548/162350120561', '5503203597/162350120561', '5606144102/162350120561', '5709252116/162350120561', '5812531816/162350120561', '5915987423/162350120561', '6019623222/162350120561', '6123443553/162350120561', '6227452726/162350120561']
['1308801125/81276272509', '1357579979/81276272509', '1406394957/81276272509', '1455246789/81276272509', '1504135983/81276272509', '1553064159/81276272509', '1602032106/81276272509', '1651041579/81276272509', '1700093526/81276272509', '1749189708/81276272509', '1798331128/81276272509', '1847519637/81276272509', '1896756230/81276272509', '1946042800/81276272509', '1995380412/81276272509', '2044771004/81276272509', '2094215590/81276272509', '2143716269/81276272509', '2193274035/81276272509', '2242890988/81276272509', '2292568284/81276272509', '2342307941/81276272509', '2392111219/81276272509', '2441980215/81276272509', '2491916187/81276272509', '2541921283/81276272509', '2591996884/81276272509', '2642145118/81276272509', '2692367416/81276272509', '2742666052/81276272509', '2793042442/81276272509', '2843498927/81276272509', '2894037037/81276272509', '2944659114/81276272509', '2995366727/81276272509', '3046162328/81276272509', '3097047331/81276272509']
['531800951/32548140879', '2754577204/162740704395', '950074112/54246901465', '2945939941/162740704395', '3041731348/162740704395', '3137598491/162740704395', '1077847859/54246901465', '3329569021/162740704395', '3425677252/162740704395', '1173956954/54246901465', '3618152441/162740704395', '3714524648/162740704395', '1270330053/54246901465', '781510354/32548140879', '4004212132/162740704395', '4100974249/162740704395', '4197840743/162740704395', '4294814731/162740704395', '4391898929/162740704395', '897819298/32548140879', '917282057/32548140879', '4683843449/162740704395', '956279807/32548140879', '4879080206/162740704395', '4976890127/162740704395', '1691610693/54246901465', '5172909283/162740704395', '1054225022/32548140879', '5369482933/162740704395', '1822662068/54246901465', '371109226/10849380293', '1888481021/54246901465', '5764403764/162740704395', '1954508046/54246901465', '397520520/10849380293', '2020752784/54246901465', '6161879098/162740704395']
['2698737401/162919559575', '558479949/32583911915', '577227187/32583911915', '2979943749/162919559575', '3073824859/162919559575', '3167779803/162919559575', '3261811353/162919559575', '3355920753/162919559575', '690022221/32583911915', '3544383853/162919559575', '3638742311/162919559575', '3733188067/162919559575', '765544891/32583911915', '3922353263/162919559575', '4017077811/162919559575', '4111900033/162919559575', '841364659/32583911915', '4301849631/162919559575', '4396982451/162919559575', '4492223849/162919559575', '4587577397/162919559575', '936609033/32583911915', '4778630877/162919559575', '974867331/32583911915', '994033257/32583911915', '5066122021/162919559575', '5162207721/162919559575', '1051685133/32583911915', '5354779893/162919559575', '5451272739/162919559575', '5547908287/162919559575', '5644688977/162919559575', '1148323797/32583911915', '1167740141/32583911915', '5935938367/162919559575', '6033334203/162919559575', '6130891911/162919559575']
['144044561/8583483238', '2828667473/163086181522', '1460281477/81543090761', '3012530753/163086181522', '3104570801/163086181522', '1598342014/81543090761', '3288871967/163086181522', '3381136377/163086181522', '3473479239/163086181522', '1782951333/81543090761', '15117392/673909841', '170500003/7413008251', '349425331/14826016502', '3936446973/163086181522', '2014653697/81543090761', '2061131253/81543090761', '2107657341/81543090761', '4308466535/163086181522', '2200860308/81543090761', '4495079535/163086181522', '2294272963/81543090761', '2341061255/81543090761', '2387905991/81543090761', '4869617087/163086181522', '2481770332/81543090761', '2528792756/81543090761', '5151754493/163086181522', '5246050549/163086181522', '2670238310/81543090761', '494094149/14826016502', '145519228/4291741619', '5624564677/163086181522', '5719540703/163086181522', '528605615/14826016502', '48842403/1347819682', '49630995/1347819682', '3050461422/81543090761']
['1386749029/81622534031', '1431771210/81622534031', '1476831548/81622534031', '1521928712/81622534031', '1567061727/81622534031', '1612231268/81622534031', '1657437356/81622534031', '1702681168/81622534031', '1747963105/81622534031', '1793284535/81622534031', '1838645982/81622534031', '1884048947/81622534031', '1929494039/81622534031', '1974982804/81622534031', '2020515909/81622534031', '2066094971/81622534031', '2111720669/81622534031', '2157394672/81622534031', '2203117723/81622534031', '2248891460/81622534031', '2294716734/81622534031', '2340595201/81622534031', '2386527694/81622534031', '2432515963/81622534031', '2478560863/81622534031', '2524664143/81622534031', '2570826722/81622534031', '2617050384/81622534031', '2663336041/81622534031', '2709685529/81622534031', '95037923/2814570139', '2802580581/81622534031', '2849128889/81622534031', '2895746487/81622534031', '2942434133/81622534031', '2989193447/81622534031', '3036024619/81622534031']
['5617458381/326786861335', '5794110777/326786861335', '5970922643/326786861335', '6147883849/326786861335', '6324990491/326786861335', '1300448375/65357372267', '6679638979/326786861335', '6857183799/326786861335', '1406975811/65357372267', '7212727901/326786861335', '134376977/5941579297', '7568900283/326786861335', '7747231377/326786861335', '7925731081/326786861335', '736763947/29707896485', '8283252761/326786861335', '8462283263/326786861335', '1728299893/65357372267', '8820905829/326786861335', '818227883/29707896485', '9180307047/326786861335', '1872062257/65357372267', '173464077/5941579297', '9720950711/326786861335', '1980319113/65357372267', '58280137/1888941395', '10263560081/326786861335', '10444889729/326786861335', '10626457621/326786861335', '10808268813/326786861335', '10990328333/326786861335', '11172641101/326786861335', '11355211953/326786861335', '11538045513/326786861335', '1065558713/29707896485', '11904516251/326786861335', '12088157879/326786861335']
['1421346461/81767685636', '1464678325/81767685636', '377013074/20441921409', '775732241/40883842818', '1594913891/81767685636', '819199715/40883842818', '560640505/27255895212', '1725479927/81767685636', '442268914/20441921409', '906354403/40883842818', '1856380597/81767685636', '633363791/27255895212', '1943842417/81767685636', '662544731/27255895212', '677156035/27255895212', '2075344637/81767685636', '23288629/898545996', '540807625/20441921409', '735747301/27255895212', '1125649979/40883842818', '55985521/1994333796', '1169780791/40883842818', '794589085/27255895212', '2428024033/81767685636', '2472333469/81767685636', '2516696249/81767685636', '853704667/27255895212', '200429797/6289821972', '50963807/1572455493', '2694706487/81767685636', '391336357/11681097948', '232005218/6813973803', '1414416193/40883842818', '136841153/3893699316', '162142189/4542649202', '987839311/27255895212', '1504270057/40883842818']
