['0', '106340988/71808016103', '212694443/71808016103', '319072918/71808016103', '425488929/71808016103', '531955045/71808016103', '638483972/71808016103', '745088437/71808016103', '851781275/71808016103', '958575499/71808016103', '1065484212/71808016103', '1172520676/71808016103', '1279698400/71808016103', '1387031023/71808016103', '1494532516/71808016103', '1602216886/71808016103', '1710098763/71808016103', '1818192727/71808016103', '1926513967/71808016103', '2035077876/71808016103', '2143900289/71808016103', '2252997530/71808016103', '2362386333/71808016103', '2472083961/71808016103', '2582108283/71808016103', '2692477747/71808016103', '2803211460/71808016103', '2914329325/71808016103', '3025851996/71808016103', '3137800999/71808016103', '3250198906/71808016103', '3363069288/71808016103', '3476436900/71808016103', '3590327888/71808016103', '3704769788/71808016103', '3819791799/71808016103', '3935425059/71808016103']
['51076253/36392481211', '204316067/72784962422', '153250910/36392481211', '408720863/72784962422', '255492169/36392481211', '306651753/36392481211', '357844818/36392481211', '409077040/36392481211', '460354181/36392481211', '1023364051/72784962422', '1126132855/72784962422', '1229026695/72784962422', '666028799/36392481211', '1435237741/72784962422', '1538579699/72784962422', '821047992/36392481211', '872899795/36392481211', '1849703687/72784962422', '976910877/36392481211', '2058167559/72784962422', '1081377648/36392481211', '1133799735/36392481211', '2372714999/72784962422', '1239058658/36392481211', '2583822269/72784962422', '2689846249/72784962422', '2796206271/72784962422', '2902919921/72784962422', '1505002735/36392481211', '3117481997/72784962422', '1612684670/36392481211', '3333688231/72784962422', '1721230233/36392481211', '3551708867/72784962422', '3661457473/72784962422', '1885865877/36392481211', '1941279321/36392481211']
['392936473/147297242688', '589454003/147297242688', '786030763/147297242688', '491343311/73648621344', '1179441487/147297242688', '1376315435/147297242688', '524442897/49099080896', '1770501583/147297242688', '1967854693/147297242688', '180450735/12274770224', '2363184949/147297242688', '53358425/3068692556', '2759488819/147297242688', '739515007/36824310672', '3156940495/147297242688', '559358803/24549540448', '888930047/36824310672', '1251888741/49099080896', '3956015105/147297242688', '4156791503/147297242688', '1452673587/49099080896', '4559728885/147297242688', '2380971269/73648621344', '4964689217/147297242688', '2583998633/73648621344', '5371895863/147297242688', '5576415251/147297242688', '5781586741/147297242688', '1496860687/36824310672', '3097008509/73648621344', '1066890781/24549540448', '826182793/18412155336', '6818408309/147297242688', '146421307/3068692556', '7238947741/147297242688', '2483542585/49099080896', '2554436577/49099080896']
['189146919/49614373723', '252223289/49614373723', '945969613/148843121169', '1135357657/148843121169', '1324851935/148843121169', '1514470547/148843121169', '1704231463/148843121169', '631384357/49614373723', '2084253911/148843121169', '758184175/49614373723', '2465067881/148843121169', '2655819227/148843121169', '2846825857/148843121169', '3038107523/148843121169', '1076561483/49614373723', '3421576847/148843121169', '3613805635/148843121169', '3806392123/148843121169', '1333119283/49614373723', '4192725095/148843121169', '4386516647/148843121169', '4580755673/148843121169', '1591822055/49614373723', '4970672819/148843121169', '5166400789/148843121169', '1787558761/49614373723', '1853175449/49614373723', '5756978711/148843121169', '5955062333/148843121169', '2051269093/49614373723', '6353244521/148843121169', '6553406591/148843121169', '6754327405/148843121169', '6956042189/148843121169', '7158588097/148843121169', '7362004183/148843121169', '2522110435/49614373723']
['1458264801/300435687515', '364613551/60087137503', '437605767/60087137503', '2553180077/300435687515', '2918553699/300435687515', '3284182017/300435687515', '3650097751/300435687515', '4016333921/300435687515', '876584749/60087137503', '4749900961/300435687515', '5117299679/300435687515', '5485154381/300435687515', '5853500211/300435687515', '6222372699/300435687515', '6591808059/300435687515', '6961843089/300435687515', '1466503075/60087137503', '7703863109/300435687515', '8075925401/300435687515', '8448742267/300435687515', '1764470897/60087137503', '9196804021/300435687515', '9572133897/300435687515', '9948388203/300435687515', '10325612419/300435687515', '10703853353/300435687515', '11083159197/300435687515', '11463579843/300435687515', '11845166883/300435687515', '12227973677/300435687515', '12612055667/300435687515', '12997470533/300435687515', '13384278187/300435687515', '13772541283/300435687515', '14162325329/300435687515', '14553698823/300435687515', '14946733883/300435687515']
['879284635/151456440049', '1055297589/151456440049', '1231395929/151456440049', '1407593983/151456440049', '1583906413/151456440049', '1760347765/151456440049', '1936932799/151456440049', '2113676459/151456440049', '2290593787/151456440049', '2467699955/151456440049', '2645010483/151456440049', '2822540913/151456440049', '3000307117/151456440049', '3178325197/151456440049', '3356611535/151456440049', '3535182705/151456440049', '3714055755/151456440049', '3893247913/151456440049', '4072776807/151456440049', '4252660525/151456440049', '4432917495/151456440049', '4613566543/151456440049', '4794627131/151456440049', '4976119065/151456440049', '5158062773/151456440049', '5340479321/151456440049', '5523390345/151456440049', '5706818127/151456440049', '5890785841/151456440049', '6075317317/151456440049', '6260437271/151456440049', '6446171439/151456440049', '6632546493/151456440049', '6819590153/151456440049', '7007331543/151456440049', '7195800909/151456440049', '7385030019/151456440049']
['101891710/15256411331', '237786111/30512822662', '679516899/76282056655', '764619976/76282056655', '849781068/76282056655', '133572398/10897436665', '204060770/15256411331', '2211357989/152564113310', '76847679/4921423010', '364768823/21794873330', '43946501/2460711505', '2896196077/152564113310', '1533967634/76282056655', '1619957583/76282056655', '1706075289/76282056655', '3584656653/152564113310', '121208023/4921423010', '3930542381/152564113310', '4103953697/152564113310', '4277698941/152564113310', '890358949/30512822662', '925251651/30512822662', '4801106923/152564113310', '4976358641/152564113310', '736004557/21794873330', '532814559/15256411331', '5504719167/152564113310', '5681772777/152564113310', '5859327101/152564113310', '3018701758/76282056655', '3108012119/76282056655', '3197606093/76282056655', '6574991137/152564113310', '965055133/21794873330', '6936422309/152564113310', '203375061/4358974666', '3650264306/76282056655']
['574536211/76784236022', '328364212/38392118011', '738967055/76784236022', '821258077/76784236022', '903607391/76784236022', '493010549/38392118011', '1068505215/76784236022', '1151065897/76784236022', '1233709345/76784236022', '658220929/38392118011', '699634866/38392118011', '741099735/38392118011', '1565237561/76784236022', '824195323/38392118011', '1731665469/76784236022', '1815068887/76784236022', '949303918/38392118011', '1982289481/76784236022', '2066121023/76784236022', '2150109875/76784236022', '1117131800/38392118011', '2318589939/76784236022', '2403096763/76784236022', '2487792249/76784236022', '1286342337/38392118011', '1328891297/38392118011', '1371547406/38392118011', '1414315192/38392118011', '224184507/5906479694', '3000409129/76784236022', '3086671885/76784236022', '3173197167/76784236022', '3259995645/76784236022', '1673539200/38392118011', '1717228441/38392118011', '1761071570/38392118011', '3610149617/76784236022']
['317634454/38617847957', '1429622261/154471391828', '794400741/77235695914', '437021571/38617847957', '476871877/38617847957', '516754036/38617847957', '2226683269/154471391828', '2386500035/154471391828', '2546477753/154471391828', '676656970/38617847957', '716740494/38617847957', '3027491773/154471391828', '3188229193/154471391828', '3349186287/154471391828', '877593835/38617847957', '3671808849/154471391828', '3833499473/154471391828', '3995460169/154471391828', '4157704129/154471391828', '4320244769/154471391828', '2241547925/77235695914', '4646271429/154471391828', '4809785839/154471391828', '2486826903/77235695914', '5137890439/154471391828', '1325627792/38617847957', '2733765965/77235695914', '2816484551/77235695914', '223032287/5941207378', '1491290101/38617847957', '6131949853/154471391828', '3149613139/77235695914', '3233504427/77235695914', '6635317443/154471391828', '1701043151/38617847957', '6973595761/154471391828', '1785902304/38617847957']
['692084020/77647495873', '769133025/77647495873', '846230009/77647495873', '923379734/77647495873', '1000587282/77647495873', '1077857614/77647495873', '1155195798/77647495873', '1232606896/77647495873', '1310096178/77647495873', '1387668725/77647495873', '1465329935/77647495873', '1543085131/77647495873', '1620939743/77647495873', '1698899261/77647495873', '1776969375/77647495873', '1855155663/77647495873', '1933464001/77647495873', '2011900268/77647495873', '2090470463/77647495873', '2169180690/77647495873', '2248037295/77647495873', '2327046550/77647495873', '2406215074/77647495873', '2485549540/77647495873', '2565056777/77647495873', '2644743797/77647495873', '2724617914/77647495873', '2804686399/77647495873', '2884956954/77647495873', '2965437411/77647495873', '3046135859/77647495873', '3127060611/77647495873', '3208220390/77647495873', '3289623992/77647495873', '3371280760/77647495873', '3453200263/77647495873', '3535392476/77647495873']
['1490569791/156039000172', '409990239/39009750043', '894724095/78019500086', '1939040517/156039000172', '522186759/39009750043', '131680993/9178764716', '217139939/14185363652', '2538643729/156039000172', '1344449765/78019500086', '1419658143/78019500086', '747475928/39009750043', '1570335791/78019500086', '3291629861/156039000172', '3442788663/156039000172', '3594158201/156039000172', '1872874455/78019500086', '3897571405/156039000172', '184074383/7092681826', '4201954985/156039000172', '4354538285/156039000172', '132570521/4589382358', '1165136238/39009750043', '4813991939/156039000172', '2483875413/78019500086', '1280458523/39009750043', '5276254581/156039000172', '2715512675/78019500086', '1396539959/39009750043', '1435417983/39009750043', '2948787907/78019500086', '6053886165/156039000172', '141150411/3546340913', '3183893563/78019500086', '6525409419/156039000172', '1670875408/39009750043', '6842080995/156039000172', '1750291360/39009750043']
['1590447389/156721429079', '1735398359/156721429079', '1880444997/156721429079', '2025595831/156721429079', '2170858975/156721429079', '2316243067/156721429079', '2461756345/156721429079', '2607407653/156721429079', '2753205431/156721429079', '2899158629/156721429079', '3045275999/156721429079', '3191566707/156721429079', '3338039653/156721429079', '3484704345/156721429079', '3631569973/156721429079', '3778646233/156721429079', '3925942717/156721429079', '4073469447/156721429079', '4221236275/156721429079', '4369253725/156721429079', '4517531939/156721429079', '4666081839/156721429079', '4814914137/156721429079', '4964040127/156721429079', '5113471003/156721429079', '5263218667/156721429079', '5413294819/156721429079', '5563711879/156721429079', '5714482347/156721429079', '5865619277/156721429079', '6017135759/156721429079', '6169045737/156721429079', '6321363105/156721429079', '6474102601/156721429079', '6627279137/156721429079', '6780908473/156721429079', '6935006483/156721429079']
['1684268964/157340649275', '365003593/31468129855', '1965862032/157340649275', '421361768/31468129855', '2247866006/157340649275', '2389041241/157340649275', '2530342409/157340649275', '2671777379/157340649275', '2813354089/157340649275', '2955080672/157340649275', '3096965264/157340649275', '129560645/6293625971', '3381241687/157340649275', '3523650442/157340649275', '733250197/31468129855', '761810432/31468129855', '3952062841/157340649275', '4095292079/157340649275', '4238749102/157340649275', '4382443493/157340649275', '4526384422/157340649275', '934116422/31468129855', '4815046249/157340649275', '991957423/31468129855', '5104815157/157340649275', '5250140986/157340649275', '1079155096/31468129855', '5541729928/157340649275', '1137603151/31468129855', '5834644704/157340649275', '5981628931/157340649275', '1225796176/31468129855', '6276713329/157340649275', '1284967913/31468129855', '6573373188/157340649275', '6722328268/157340649275', '6871719433/157340649275']
['886309289/78955777902', '159116121/13159296317', '511565648/39477888951', '363872101/26318592634', '193359240/13159296317', '1228752127/78955777902', '432470037/26318592634', '455377619/26318592634', '717462110/39477888951', '751893880/39477888951', '262121227/13159296317', '820873369/39477888951', '1710849863/78955777902', '31228781/1385189086', '1849322827/78955777902', '959350346/39477888951', '1988178325/78955777902', '342959969/13159296317', '1063724710/39477888951', '1098625795/39477888951', '377861743/13159296317', '779070261/26318592634', '401229497/13159296317', '825891255/26318592634', '1274052982/39477888951', '1309339166/39477888951', '2689396025/78955777902', '920088009/26318592634', '943762559/26318592634', '1451236132/39477888951', '2973823421/78955777902', '1522673341/39477888951', '519508008/13159296317', '3188933377/78955777902', '3261008993/78955777902', '3333281171/78955777902', '1702878328/39477888951']
['206206353/17603520419', '662954191/52810561257', '2121960701/158431683771', '250573114/17603520419', '18806780/1247493573', '840625457/52810561257', '295045626/17603520419', '2789070524/158431683771', '2922862852/158431683771', '1018931497/52810561257', '46244527/2296111359', '3325103518/158431683771', '3459495104/158431683771', '3594054317/158431683771', '3728788516/158431683771', '3863705146/158431683771', '1332937253/52810561257', '4134116111/158431683771', '474402851/17603520419', '1468449760/52810561257', '4541293739/158431683771', '1559156180/52810561257', '1604627096/52810561257', '4950540962/158431683771', '1695818735/52810561257', '580515111/17603520419', '5362089526/158431683771', '5499826162/158431683771', '1879285163/52810561257', '5776187377/158431683771', '657203548/17603520419', '6053799500/158431683771', '6193100765/158431683771', '6332746684/158431683771', '6472748534/158431683771', '6613117943/158431683771', '6753866944/158431683771']
['1934473407/158913529747', '2063905141/158913529747', '2193427899/158913529747', '2323048005/158913529747', '2452771127/158913529747', '21702553/1335407813', '2712551685/158913529747', '406088773/22701932821', '424688421/22701932821', '3103150901/158913529747', '461946199/22701932821', '3364243333/158913529747', '3495016873/158913529747', '3625951071/158913529747', '3757052441/158913529747', '3888328079/158913529747', '4019784693/158913529747', '593061417/22701932821', '611895693/22701932821', '4415313657/158913529747', '4547566707/158913529747', '4680038397/158913529747', '4812735233/158913529747', '4945665973/158913529747', '5078838087/158913529747', '5212260261/158913529747', '5345940631/158913529747', '5479888019/158913529747', '802015855/22701932821', '821231279/22701932821', '5883420731/158913529747', '6018526211/158913529747', '6153944859/158913529747', '6289686933/158913529747', '6425762435/158913529747', '6562182409/158913529747', '6698957283/158913529747']
['4017492863/318708283617', '1423186991/106236094539', '4521808117/318708283617', '4774245397/318708283617', '5026884025/318708283617', '5279735233/318708283617', '614756715/35412031513', '1928707057/106236094539', '6039679019/318708283617', '6293495773/318708283617', '727509265/35412031513', '6801953839/318708283617', '7056619379/318708283617', '812399157/35412031513', '7566885439/318708283617', '7822511215/318708283617', '8078482613/318708283617', '2778271127/106236094539', '8591514785/318708283617', '8848604159/318708283617', '9106090963/318708283617', '3121330931/106236094539', '9622321817/318708283617', '9881093669/318708283617', '1126702535/35412031513', '10400024657/318708283617', '10660214585/318708283617', '10920908525/318708283617', '11182122725/318708283617', '3814624577/106236094539', '43196231/1176045327', '3989684923/106236094539', '12232520077/318708283617', '12496592915/318708283617', '4253764057/106236094539', '13026637199/318708283617', '13292647991/318708283617']
['297012553/22823448711', '733964447/53254713659', '332112407/22823448711', '2447772949/159764140977', '856952475/53254713659', '898014987/53254713659', '134159111/7607816237', '2940751441/159764140977', '1021427047/53254713659', '1062645131/53254713659', '1103906747/53254713659', '1145213603/53254713659', '508529023/22823448711', '3683912675/159764140977', '3808275559/159764140977', '3932797283/159764140977', '4057484201/159764140977', '597477499/22823448711', '4307377357/159764140977', '1477532285/53254713659', '4558005491/159764140977', '4683611119/159764140977', '4809419717/159764140977', '4935438175/159764140977', '5061673489/159764140977', '5188132429/159764140977', '5314822501/159764140977', '259130981/7607816237', '5568924677/159764140977', '5696351917/159764140977', '5824040561/159764140977', '850285463/22823448711', '2026744529/53254713659', '6208754557/159764140977', '301789063/7607816237', '2155563087/53254713659', '6596120995/159764140977']
