['0', '41773/14944774', '41780/7472387', '250741/29889548', '334439/29889548', '104560/7472387', '502167/29889548', '11274/574799', '167628/7472387', '377491/14944774', '419849/14944774', '462333/14944774', '1009945/29889548', '1095545/29889548', '1181513/29889548', '1267875/29889548', '1354671/29889548', '1441943/29889548', '382431/7472387', '404516/7472387', '426753/7472387', '138201/2299196', '943463/14944774', '1978013/29889548', '2069939/29889548', '540695/7472387', '1128313/14944774']
['316301/121777786', '632683/121777786', '474621/60888893', '633028/60888893', '791606/60888893', '950402/60888893', '2218919/121777786', '1268822/60888893', '49260/2099617', '1588654/60888893', '1749232/60888893', '1910295/60888893', '2071923/60888893', '4468307/121777786', '82657/2099617', '2560678/60888893', '5450179/121777786', '2890357/60888893', '6113099/121777786', '3223741/60888893', '116966/2099617', '3561453/60888893', '3732150/60888893', '3904211/60888893', '8155491/121777786', '4252876/60888893', '8859495/121777786']
['42864/8834441', '9187/1262063', '600384/61841087', '750760/61841087', '901314/61841087', '1052092/61841087', '1203135/61841087', '79675/3637711', '1506158/61841087', '1658221/61841087', '1810716/61841087', '1963673/61841087', '2117152/61841087', '2271189/61841087', '2425837/61841087', '2581154/61841087', '2737184/61841087', '2893988/61841087', '3051632/61841087', '3210171/61841087', '3369677/61841087', '3530229/61841087', '3691895/61841087', '3854768/61841087', '4018944/61841087', '4184518/61841087', '4351610/61841087']
['855502/125297809', '1140963/125297809', '1426673/125297809', '244672/17899687', '1999117/125297809', '2285975/125297809', '2573352/125297809', '2861312/125297809', '3149928/125297809', '3439263/125297809', '532773/17899687', '4020427/125297809', '616058/17899687', '4605424/125297809', '4899563/125297809', '5194921/125297809', '5491587/125297809', '827094/17899687', '6089241/125297809', '912921/17899687', '514876/9638293', '6998195/125297809', '7305000/125297809', '585688/9638293', '7925194/125297809', '1176988/17899687', '8555298/125297809']
['543158/63351011', '679152/63351011', '815284/63351011', '951577/63351011', '35099/2043581', '1224778/63351011', '1361741/63351011', '1498985/63351011', '1636544/63351011', '57240/2043581', '1912721/63351011', '2051407/63351011', '2190539/63351011', '2330154/63351011', '2470284/63351011', '2610970/63351011', '2752260/63351011', '2894185/63351011', '3036797/63351011', '3180144/63351011', '3324274/63351011', '3469238/63351011', '3615104/63351011', '3761922/63351011', '3909763/63351011', '4058703/63351011', '4208818/63351011']
['2590913/255811135', '3110139/255811135', '725987/51162227', '4150399/255811135', '4671637/255811135', '5193747/255811135', '5716829/255811135', '6240987/255811135', '6766349/255811135', '7292993/255811135', '7821063/255811135', '1670133/51162227', '8881911/255811135', '9414951/255811135', '9949899/255811135', '2097377/51162227', '11026069/255811135', '11567591/255811135', '12111607/255811135', '2531657/51162227', '2641561/51162227', '13760331/255811135', '14316089/255811135', '14875283/255811135', '15438117/255811135', '16004867/255811135', '16575789/255811135']
['1485799/128964319', '1734067/128964319', '1982615/128964319', '2231509/128964319', '2480769/128964319', '2730471/128964319', '2980625/128964319', '3231307/128964319', '3482553/128964319', '3734413/128964319', '3986929/128964319', '4240175/128964319', '4494177/128964319', '4749009/128964319', '454975/11724029', '5261387/128964319', '5519045/128964319', '5777789/128964319', '6037653/128964319', '6298745/128964319', '6561119/128964319', '6824861/128964319', '7090045/128964319', '7356793/128964319', '7625165/128964319', '7895293/128964319', '8167281/128964319']
['1659386/129880129', '1897167/129880129', '2135244/129880129', '2373655/129880129', '2612432/129880129', '2851626/129880129', '3091269/129880129', '3331400/129880129', '3572073/129880129', '3813325/129880129', '4055196/129880129', '4297740/129880129', '4541001/129880129', '4785026/129880129', '5029869/129880129', '5275582/129880129', '117494/2763407', '5769838/129880129', '6018505/129880129', '6268277/129880129', '6519214/129880129', '6771399/129880129', '7024895/129880129', '7279792/129880129', '7536167/129880129', '7794110/129880129', '8053723/129880129']
['1818419/130694699', '2046529/130694699', '2274953/130694699', '2503687/130694699', '2732795/130694699', '2962283/130694699', '3192229/130694699', '3422617/130694699', '3653531/130694699', '3884983/130694699', '4117029/130694699', '4349687/130694699', '4583031/130694699', '4817075/130694699', '5051879/130694699', '5287493/130694699', '5523959/130694699', '5761319/130694699', '5999663/130694699', '6238989/130694699', '6479395/130694699', '6720937/130694699', '6963681/130694699', '7207675/130694699', '7453031/130694699', '7699781/130694699', '7948049/130694699']
['3928645/262810273', '396997/23891843', '4805863/262810273', '5245399/262810273', '5685641/262810273', '6126631/262810273', '6568461/262810273', '7011181/262810273', '7454859/262810273', '7899575/262810273', '8345391/262810273', '8792375/262810273', '9240613/262810273', '9690201/262810273', '10141121/262810273', '10593629/262810273', '11047655/262810273', '1045761/23891843', '11960843/262810273', '12420167/262810273', '12881455/262810273', '13344825/262810273', '13810377/262810273', '14278223/262810273', '14748513/262810273', '15221365/262810273', '15696927/262810273']
['1049401/66021706', '577419/33010853', '1260401/66021706', '683065/33010853', '736011/33010853', '1578103/66021706', '1684373/66021706', '1790867/66021706', '1897577/66021706', '2004539/66021706', '2111755/66021706', '2219251/66021706', '1163515/33010853', '1217573/33010853', '1271769/33010853', '2652331/66021706', '2761455/66021706', '1435491/33010853', '1490450/33010853', '3091261/66021706', '1601032/33010853', '1656674/33010853', '3425127/66021706', '3537435/66021706', '3650291/66021706', '3763743/66021706', '1938899/33010853']
