['0', '46923/14370121', '93861/14370121', '140837/14370121', '187867/14370121', '234967/14370121', '282159/14370121', '329461/14370121', '376890/14370121', '424462/14370121', '472227/14370121', '520157/14370121', '568316/14370121', '616709/14370121', '665364/14370121', '714312/14370121', '763577/14370121', '813193/14370121', '863190/14370121', '913608/14370121', '964483/14370121', '1015863/14370121', '1067797/14370121', '1120338/14370121', '1173560/14370121']
['604311/32009293', '659593/32009293', '714951/32009293', '770415/32009293', '825975/32009293', '881661/32009293', '937453/32009293', '993395/32009293', '1049463/32009293', '1105689/32009293', '1162065/32009293', '1218637/32009293', '1275313/32009293', '1332293/32009293', '1389373/32009293', '1446729/32009293', '1504275/32009293', '1562077/32009293', '1620113/32009293', '1678431/32009293', '1737013/32009293', '1795899/32009293', '1855085/32009293', '1914613/32009293', '1974471/32009293']
['181261/9179301', '1375267/64255107', '493961/21418369', '529561/21418369', '80747/3059767', '1802905/64255107', '1910353/64255107', '2018057/64255107', '2126017/64255107', '2234263/64255107', '2342803/64255107', '2451709/64255107', '2560801/64255107', '2670455/64255107', '2780305/64255107', '963553/21418369', '3001373/64255107', '444649/9179301', '3224173/64255107', '3336295/64255107', '3448913/64255107', '3562079/64255107', '1225271/21418369', '3790141/64255107', '1301701/21418369']
['662293/32234989', '713589/32234989', '764997/32234989', '816475/32234989', '868061/32234989', '919743/32234989', '971545/32234989', '1023449/32234989', '1075495/32234989', '1127659/32234989', '1179967/32234989', '1232451/32234989', '1285023/32234989', '1337843/32234989', '1390773/32234989', '1443919/32234989', '1497245/32234989', '1550775/32234989', '1604527/32234989', '1658489/32234989', '1712699/32234989', '1767145/32234989', '1821863/32234989', '1876841/32234989', '1932123/32234989']
['275239/12931781', '295045/12931781', '1574449/64658905', '1673841/64658905', '1773413/64658905', '1873189/64658905', '394635/12931781', '2073379/64658905', '2173821/64658905', '26759/760693', '2375447/64658905', '495349/12931781', '2578181/64658905', '2680093/64658905', '163659/3803465', '2884727/64658905', '2987571/64658905', '3090811/64658905', '3194439/64658905', '3298481/64658905', '680591/12931781', '3507889/64658905', '212547/3803465', '3719211/64658905', '3825651/64658905']
['356068/16208031', '126663/5402677', '19236/771811', '142657/5402677', '150674/5402677', '476131/16208031', '166760/5402677', '524488/16208031', '548749/16208031', '573074/16208031', '597445/16208031', '29615/771811', '646409/16208031', '671015/16208031', '695669/16208031', '720421/16208031', '248414/5402677', '770165/16208031', '795167/16208031', '11888/234899', '845473/16208031', '870785/16208031', '298733/5402677', '131677/2315433', '135341/2315433']
['1469103/64985477', '1561593/64985477', '1654315/64985477', '1747211/64985477', '1840287/64985477', '1933541/64985477', '2026985/64985477', '2120633/64985477', '2214493/64985477', '2308585/64985477', '2402871/64985477', '2497491/64985477', '2592257/64985477', '2687393/64985477', '2782741/64985477', '2878431/64985477', '2974411/64985477', '3070731/64985477', '3167375/64985477', '3264383/64985477', '3361763/64985477', '3459533/64985477', '3557707/64985477', '3656307/64985477', '3755337/64985477']
['755583/32563721', '47077/1915513', '49717/1915513', '890143/32563721', '935207/32563721', '980341/32563721', '1025583/32563721', '1070907/32563721', '14131/412199', '1161885/32563721', '1207529/32563721', '1253311/32563721', '1299185/32563721', '1345209/32563721', '1391359/32563721', '1437641/32563721', '1484085/32563721', '1530665/32563721', '1577411/32563721', '1624313/32563721', '1671405/32563721', '1718657/32563721', '1766115/32563721', '1813749/32563721', '1861591/32563721']
['387659/16313497', '818609/32626994', '431030/16313497', '905615/32626994', '474632/16313497', '992999/32626994', '518415/16313497', '540376/16313497', '562385/16313497', '1168899/32626994', '606557/16313497', '628733/16313497', '650953/16313497', '1346489/32626994', '1391179/32626994', '718006/16313497', '1480977/32626994', '763040/16313497', '1571333/32626994', '1616741/32626994', '831154/16313497', '1708041/32626994', '1753945/32626994', '1800021/32626994', '923133/16313497']
['397000/16343107', '37996/1485737', '438998/16343107', '460109/16343107', '481260/16343107', '502466/16343107', '523711/16343107', '545009/16343107', '51486/1485737', '587745/16343107', '609175/16343107', '630680/16343107', '652220/16343107', '673832/16343107', '695490/16343107', '65202/1485737', '739005/16343107', '24544/527197', '782784/16343107', '804783/16343107', '75168/1485737', '27387/527197', '871212/16343107', '893516/16343107', '915879/16343107']
['1623435/65479021', '1704559/65479021', '1786127/65479021', '1867971/65479021', '1950035/65479021', '2032293/65479021', '2114747/65479021', '2197383/65479021', '2280199/65479021', '2363225/65479021', '2446415/65479021', '2529843/65479021', '2613447/65479021', '2697285/65479021', '2781337/65479021', '2865629/65479021', '2950145/65479021', '3034915/65479021', '3119943/65479021', '3205229/65479021', '3290785/65479021', '3376613/65479021', '3462713/65479021', '3549083/65479021', '3635665/65479021']
['414334/16395007', '433957/16395007', '453721/16395007', '473554/16395007', '493459/16395007', '513410/16395007', '533418/16395007', '553465/16395007', '573567/16395007', '593710/16395007', '613904/16395007', '634145/16395007', '654439/16395007', '674775/16395007', '695177/16395007', '715621/16395007', '736128/16395007', '756688/16395007', '777313/16395007', '797988/16395007', '818735/16395007', '839531/16395007', '860396/16395007', '881308/16395007', '902264/16395007']
['844869/32835892', '882857/32835892', '921139/32835892', '959609/32835892', '499111/16417946', '1036953/32835892', '268947/8208973', '1114725/32835892', '288438/8208973', '1192881/32835892', '1232095/32835892', '635705/16417946', '1310823/32835892', '1350321/32835892', '29573/698636', '1429637/32835892', '1469449/32835892', '1509367/32835892', '1549391/32835892', '397381/8208973', '1629763/32835892', '1670109/32835892', '1710553/32835892', '1751081/32835892', '1791643/32835892']
['860539/32879925', '897289/32879925', '103817/3653325', '64777/2191995', '336367/10959975', '1046699/32879925', '1084391/32879925', '1122209/32879925', '386701/10959975', '239623/6575985', '1236199/32879925', '254879/6575985', '4039/101169', '270209/6575985', '463171/10959975', '1428083/32879925', '1466737/32879925', '1505503/32879925', '1544347/32879925', '19547/405925', '1622341/32879925', '1661483/32879925', '1700683/32879925', '1739957/32879925', '1779203/32879925']
['1751355/65840713', '1822389/65840713', '1894171/65840713', '1966457/65840713', '2039109/65840713', '2112059/65840713', '2185259/65840713', '2258689/65840713', '2332313/65840713', '2406145/65840713', '2480157/65840713', '2554349/65840713', '2628761/65840713', '2703283/65840713', '2778047/65840713', '2852959/65840713', '2928061/65840713', '3003331/65840713', '3078777/65840713', '3154395/65840713', '3230165/65840713', '3306079/65840713', '3382097/65840713', '3458165/65840713', '3534141/65840713']
['222617/8239906', '462381/16479812', '119937/4119953', '124312/4119953', '514861/16479812', '532549/16479812', '550315/16479812', '568133/16479812', '293007/8239906', '301969/8239906', '621917/16479812', '639931/16479812', '658013/16479812', '169026/4119953', '347135/8239906', '712457/16479812', '730697/16479812', '374483/8239906', '191821/4119953', '196407/4119953', '201003/4119953', '205603/4119953', '840835/16479812', '859245/16479812', '219405/4119953']
['1809629/65991905', '267981/9427415', '1943027/65991905', '2010821/65991905', '415817/13198381', '2147721/65991905', '2216659/65991905', '457173/13198381', '2355299/65991905', '2424951/65991905', '498959/13198381', '512961/13198381', '2635069/65991905', '2705379/65991905', '2775959/65991905', '2846639/65991905', '583497/13198381', '597693/13198381', '3059583/65991905', '626163/13198381', '3202133/65991905', '93529/1885483', '3344899/65991905', '488029/9427415', '3487237/65991905']
['183789/6606317', '190179/6606317', '983329/33031585', '1016133/33031585', '1049179/33031585', '216491/6606317', '223175/6606317', '1149461/33031585', '1183153/33031585', '243395/6606317', '1250879/33031585', '256977/6606317', '1319003/33031585', '270631/6606317', '277485/6606317', '45863/1065535', '1456139/33031585', '1490607/33031585', '49197/1065535', '1559671/33031585', '1594243/33031585', '1628841/33031585', '1663393/33031585', '339579/6606317', '1732189/33031585']
['1865465/66129559', '1927041/66129559', '1989697/66129559', '2053121/66129559', '2117123/66129559', '2181581/66129559', '2246405/66129559', '2311547/66129559', '2376951/66129559', '2442593/66129559', '2508455/66129559', '2574465/66129559', '2640749/66129559', '2707067/66129559', '2773639/66129559', '2840279/66129559', '2907069/66129559', '2973957/66129559', '3040929/66129559', '3107959/66129559', '3175003/66129559', '3242021/66129559', '3308939/66129559', '3375633/66129559', '3441871/66129559']
['105155/3677509', '108447/3677509', '1006249/33097581', '1036873/33097581', '355945/11032527', '1099025/33097581', '102767/3008871', '1162001/33097581', '1193725/33097581', '136173/3677509', '139725/3677509', '1289545/33097581', '1321723/33097581', '1353901/33097581', '462073/11032527', '1418545/33097581', '1450963/33097581', '1483397/33097581', '168431/3677509', '516119/11032527', '143713/3008871', '1613273/33097581', '548549/11032527', '1677847/33097581', '1709797/33097581']
['1919423/66256451', '1976457/66256451', '2034717/66256451', '2093875/66256451', '2153719/66256451', '2214101/66256451', '2274925/66256451', '2336113/66256451', '2397605/66256451', '2459365/66256451', '2521371/66256451', '2583521/66256451', '2645951/66256451', '66059/1616011', '2771115/66256451', '2833867/66256451', '2896741/66256451', '2959665/66256451', '3022627/66256451', '3085585/66256451', '3148489/66256451', '3211277/66256451', '3273849/66256451', '3336049/66256451', '3397625/66256451']
['972961/33158663', '1000367/33158663', '1028403/33158663', '1056939/33158663', '1085823/33158663', '1115019/33158663', '1144435/33158663', '1174063/33158663', '1203839/33158663', '1233773/33158663', '1263817/33158663', '1293955/33158663', '1324215/33158663', '1354513/33158663', '1384901/33158663', '1415333/33158663', '1445795/33158663', '1476295/33158663', '1506783/33158663', '1537269/33158663', '1567695/33158663', '1598057/33158663', '1628259/33158663', '1658263/33158663', '1687891/33158663']
['394355/13274863', '2024397/66374315', '415675/13274863', '304767/9482045', '2189147/66374315', '320793/9482045', '2302463/66374315', '337113/9482045', '2417473/66374315', '2475447/66374315', '2533691/66374315', '370299/9482045', '530153/13274863', '387071/9482045', '2768421/66374315', '2827393/66374315', '2886447/66374315', '2945521/66374315', '3004583/66374315', '612715/13274863', '3122449/66374315', '3181107/66374315', '3239433/66374315', '471037/9482045', '3354293/66374315']
['99878/3321555', '170666/5535925', '34998/1107185', '538199/16607775', '183882/5535925', '188417/5535925', '7720/221437', '197617/5535925', '606806/16607775', '620827/16607775', '211643/5535925', '8216/210225', '663272/16607775', '45166/1107185', '230587/5535925', '706033/16607775', '720331/16607775', '9299/210225', '149782/3321555', '254388/5535925', '51826/1107185', '791539/16607775', '268534/5535925', '819514/16607775', '277739/5535925']
['2022595/66484199', '2070957/66484199', '2120779/66484199', '2171717/66484199', '2223533/66484199', '2276049/66484199', '2329139/66484199', '2382701/66484199', '2436657/66484199', '2490929/66484199', '2545505/66484199', '2600253/66484199', '2655249/66484199', '2710339/66484199', '2765581/66484199', '2820863/66484199', '2876199/66484199', '2931513/66484199', '2986769/66484199', '3041895/66484199', '3096829/66484199', '3151455/66484199', '3205649/66484199', '3259211/66484199', '3311833/66484199']
['255950/8317151', '523473/16634302', '267706/8317151', '273826/8317151', '560113/16634302', '572767/16634302', '585563/16634302', '598493/16634302', '611517/16634302', '624633/16634302', '637819/16634302', '325530/8317151', '664351/16634302', '677679/16634302', '345515/8317151', '352200/8317151', '717771/16634302', '365570/8317151', '744479/16634302', '757789/16634302', '771031/16634302', '784195/16634302', '797229/16634302', '810099/16634302', '822707/16634302']
['2071851/66586741', '2116117/66586741', '2161921/66586741', '2208931/66586741', '2256895/66586741', '2305629/66586741', '2354995/66586741', '2404881/66586741', '2455197/66586741', '2505863/66586741', '2556849/66586741', '2608033/66586741', '2659443/66586741', '2710979/66586741', '2762625/66586741', '2814309/66586741', '2866015/66586741', '2917659/66586741', '2969201/66586741', '3020559/66586741', '3071647/66586741', '240181/5122057', '3172525/66586741', '3221951/66586741', '3270313/66586741']
['1048045/33318119', '1069165/33318119', '1091091/33318119', '1113621/33318119', '1136663/33318119', '1160089/33318119', '1183863/33318119', '1207889/33318119', '1232159/33318119', '1256593/33318119', '1281207/33318119', '1305911/33318119', '1330739/33318119', '1355621/33318119', '1380565/33318119', '1405511/33318119', '1430475/33318119', '1455383/33318119', '1480247/33318119', '1504985/33318119', '1529591/33318119', '1553969/33318119', '1578073/33318119', '1601759/33318119', '1624905/33318119']
['529861/16670585', '215979/6668234', '1100869/33341170', '561239/16670585', '572298/16670585', '1167131/33341170', '238001/6668234', '121316/3334117', '123655/3334117', '1260127/33341170', '128387/3334117', '1307727/33341170', '1331683/33341170', '1355721/33341170', '1379791/33341170', '701941/16670585', '713982/16670585', '1452001/33341170', '737982/16670585', '1499809/33341170', '761744/16670585', '1546939/33341170', '1570077/33341170', '796397/16670585', '1614927/33341170']
['1071397/33364215', '363541/11121405', '24681/741427', '377111/11121405', '1152527/33364215', '1174171/33364215', '26581/741427', '135381/3707135', '1240939/33364215', '1263659/33364215', '41501/1076265', '1309543/33364215', '444209/11121405', '1355819/33364215', '459673/11121405', '1402253/33364215', '475151/11121405', '1448621/33364215', '490561/11121405', '298927/6672843', '1517387/33364215', '1539911/33364215', '1562083/33364215', '1583831/33364215', '1604951/33364215']
['2165249/66771277', '2201871/66771277', '2240129/66771277', '2279709/66771277', '2320359/66771277', '2361891/66771277', '2404139/66771277', '2446991/66771277', '2490339/66771277', '2534085/66771277', '2578177/66771277', '2622523/66771277', '2667039/66771277', '2711747/66771277', '2756483/66771277', '2801259/66771277', '2845987/66771277', '2890597/66771277', '2935015/66771277', '2979157/66771277', '3022903/66771277', '3066127/66771277', '3108653/66771277', '3150251/66771277', '3190597/66771277']
['1093851/33407059', '1111247/33407059', '1129483/33407059', '1148375/33407059', '166833/4772437', '1187719/33407059', '1207993/33407059', '1228561/33407059', '1249399/33407059', '1270425/33407059', '1291645/33407059', '1312979/33407059', '1334411/33407059', '1355927/33407059', '1377465/33407059', '1399007/33407059', '1420535/33407059', '1441977/33407059', '1463333/33407059', '1484523/33407059', '1505517/33407059', '218031/4772437', '1546571/33407059', '1566421/33407059', '226521/4772437']
['64975/1966288', '1121123/33426896', '569249/16713448', '144569/4178362', '69127/1966288', '74639/2089181', '1213667/33426896', '1233425/33426896', '1253443/33426896', '636835/16713448', '38061/983144', '164327/4178362', '667617/16713448', '338989/8356724', '688339/16713448', '349355/8356724', '709061/16713448', '1438751/33426896', '1459269/33426896', '739813/16713448', '93735/2089181', '379901/8356724', '1539069/33426896', '1558035/33426896', '788173/16713448']
['1115299/33446733', '1130999/33446733', '1147513/33446733', '388243/11148911', '1182487/33446733', '400243/11148911', '406447/11148911', '412763/11148911', '1257487/33446733', '1276915/33446733', '1296503/33446733', '438751/11148911', '1336057/33446733', '451995/11148911', '1375891/33446733', '1395833/33446733', '471903/11148911', '1435525/33446733', '1455205/33446733', '1474729/33446733', '498001/11148911', '1512991/33446733', '1531567/33446733', '1549649/33446733', '1567045/33446733']
['1125519/33465059', '1140409/33465059', '1156126/33465059', '1172530/33465059', '1189498/33465059', '1206939/33465059', '1224772/33465059', '1242928/33465059', '1261356/33465059', '1280000/33465059', '1298821/33465059', '1317793/33465059', '1336831/33465059', '1355977/33465059', '1375116/33465059', '1394270/33465059', '1413370/33465059', '1432389/33465059', '1451280/33465059', '1469989/33465059', '1488458/33465059', '1506611/33465059', '1524359/33465059', '1541585/33465059', '1558133/33465059']
['1135739/33483385', '1149819/33483385', '1164739/33483385', '1180331/33483385', '1196509/33483385', '1213149/33483385', '94631/2575645', '1247567/33483385', '19465/515129', '256617/6696677', '1301139/33483385', '1319333/33483385', '267521/6696677', '1355969/33483385', '1374341/33483385', '1392707/33483385', '1411031/33483385', '1429253/33483385', '22267/515129', '1465249/33483385', '1482913/33483385', '1500231/33483385', '1517151/33483385', '1533521/33483385', '1549221/33483385']
['327261/9571499', '2317507/67000493', '335117/9571499', '2375505/67000493', '2406339/67000493', '2438127/67000493', '2470721/67000493', '2503975/67000493', '362541/9571499', '2572043/67000493', '2606655/67000493', '2641579/67000493', '2676631/67000493', '2711893/67000493', '2747135/67000493', '2782391/67000493', '2817525/67000493', '2852475/67000493', '2887141/67000493', '2921411/67000493', '422167/9571499', '2988255/67000493', '3020497/67000493', '3051653/67000493', '3081433/67000493']
['288772/8379277', '291922/8379277', '295270/8379277', '597587/16758554', '604915/16758554', '612489/16758554', '620259/16758554', '314102/8379277', '636281/16758554', '644479/16758554', '326379/8379277', '661123/16758554', '669513/16758554', '338981/8379277', '686397/16758554', '347421/8379277', '703247/16758554', '711611/16758554', '719893/16758554', '728081/16758554', '368064/8379277', '372006/8379277', '751673/16758554', '379533/8379277', '383053/8379277']
['332637/9580739', '2352253/67065173', '339663/9580739', '343485/9580739', '347471/9580739', '2461157/67065173', '34121/918701', '2521181/67065173', '2552091/67065173', '2583459/67065173', '2615177/67065173', '2647213/67065173', '2679385/67065173', '2711743/67065173', '2744085/67065173', '2776429/67065173', '2808633/67065173', '2840637/67065173', '2872333/67065173', '2903609/67065173', '2934343/67065173', '2964383/67065173', '2993547/67065173', '3021605/67065173', '3048285/67065173']
['1173371/33548065', '236913/6709613', '1196561/33548065', '1209221/33548065', '1222467/33548065', '1236179/33548065', '250063/6709613', '1264773/33548065', '1279529/33548065', '1294501/33548065', '1309661/33548065', '1324967/33548065', '1340359/33548065', '1355819/33548065', '1371291/33548065', '277349/6709613', '1402139/33548065', '283483/6709613', '1432547/33548065', '1447447/33548065', '1462087/33548065', '1476359/33548065', '1490201/33548065', '1503473/33548065', '1516073/33548065']
['1181947/33562211', '1192506/33562211', '1203841/33562211', '1215845/33562211', '1228418/33562211', '1241470/33562211', '1254929/33562211', '1268726/33562211', '1282807/33562211', '1297118/33562211', '1311603/33562211', '1326247/33562211', '1340965/33562211', '1355758/33562211', '1370554/33562211', '1385339/33562211', '1400048/33562211', '1414651/33562211', '1429090/33562211', '1443309/33562211', '1457249/33562211', '1470831/33562211', '1483967/33562211', '1496548/33562211', '1508445/33562211']
['396841/11192119', '400149/11192119', '403707/11192119', '1222469/33576357', '1234369/33576357', '415587/11192119', '1259543/33576357', '1272679/33576357', '428695/11192119', '433245/11192119', '1313545/33576357', '442509/11192119', '1341571/33576357', '451899/11192119', '1369817/33576357', '461311/11192119', '1397957/33576357', '470629/11192119', '475211/11192119', '1439171/33576357', '484137/11192119', '1465303/33576357', '1477733/33576357', '496541/11192119', '1500817/33576357']
['599277/16794628', '301971/8397314', '608979/16794628', '307171/8397314', '1239969/33589256', '1251729/33589256', '631945/16794628', '1276391/33589256', '1289173/33589256', '651093/16794628', '1315373/33589256', '1328713/33589256', '1342135/33589256', '1355617/33589256', '1369109/33589256', '1382579/33589256', '1395971/33589256', '704625/16794628', '1422357/33589256', '1435241/33589256', '361959/8397314', '1460069/33589256', '1471855/33589256', '1483087/33589256', '746823/16794628']
['241317/6720431', '1215321/33602155', '244959/6720431', '1234899/33602155', '1245569/33602155', '1256697/33602155', '1268237/33602155', '1280103/33602155', '1292261/33602155', '1304637/33602155', '1317201/33602155', '1329899/33602155', '1342699/33602155', '1355537/33602155', '1368401/33602155', '276245/6720431', '278797/6720431', '1406613/33602155', '1419081/33602155', '1431311/33602155', '1443261/33602155', '290967/6720431', '1465977/33602155', '1476551/33602155', '297295/6720431']
['242811/6722773', '1222259/33613865', '1231171/33613865', '1240713/33613865', '1250799/33613865', '1261352/33613865', '254460/6722773', '1283583/33613865', '1295144/33613865', '1306936/33613865', '263780/6722773', '1331008/33613865', '1343209/33613865', '1355453/33613865', '1367714/33613865', '1379944/33613865', '278419/6722773', '1404126/33613865', '1415982/33613865', '1427611/33613865', '1438947/33613865', '1449922/33613865', '292090/6722773', '1470431/33613865', '1479761/33613865']
['5429/149447', '1229197/33625575', '1237547/33625575', '138503/3736175', '1256029/33625575', '74471/1977975', '1276363/33625575', '143007/3736175', '1298027/33625575', '261847/6725115', '1320599/33625575', '148013/3736175', '1343719/33625575', '1355369/33625575', '1367027/33625575', '1378663/33625575', '278041/6725115', '467213/11208525', '156987/3736175', '474637/11208525', '478211/11208525', '1445009/33625575', '1454923/33625575', '1464311/33625575', '1473047/33625575']
['2456919/67272359', '2471275/67272359', '2486969/67272359', '2503871/67272359', '2521821/67272359', '362955/9610337', '2560319/67272359', '2580609/67272359', '2601447/67272359', '238431/6115669', '2644371/67272359', '2666277/67272359', '2688381/67272359', '246413/6115669', '2732753/67272359', '2754883/67272359', '2776853/67272359', '2798577/67272359', '2819945/67272359', '2840857/67272359', '2861185/67272359', '2880795/67272359', '2899517/67272359', '2917179/67272359', '2933587/67272359']
['617697/16823392', '621039/16823392', '624711/16823392', '19646/525731', '19778/525731', '637339/16823392', '320989/8411696', '646773/16823392', '325855/8411696', '656753/16823392', '330943/8411696', '83385/2102924', '672331/16823392', '677587/16823392', '682863/16823392', '344055/8411696', '173331/4205848', '698469/16823392', '703531/16823392', '708473/16823392', '178319/4205848', '717893/16823392', '722297/16823392', '363217/8411696', '365135/8411696']
['2483571/67312685', '2496069/67312685', '2509821/67312685', '2524719/67312685', '2540627/67312685', '2557411/67312685', '2574949/67312685', '518625/13462537', '2611833/67312685', '526197/13462537', '2650473/67312685', '242747/6119335', '2690167/67312685', '2710159/67312685', '2730203/67312685', '2750151/67312685', '553989/13462537', '2789483/67312685', '2808667/67312685', '2827399/67312685', '2845551/67312685', '2862991/67312685', '2879571/67312685', '2895121/67312685', '2909477/67312685']
['416059/11221967', '417997/11221967', '420133/11221967', '1267375/33665901', '424945/11221967', '1282733/33665901', '430331/11221967', '433193/11221967', '1308413/33665901', '1317479/33665901', '1326701/33665901', '1336057/33665901', '1345505/33665901', '1354985/33665901', '1364477/33665901', '457977/11221967', '461099/11221967', '1392545/33665901', '1401605/33665901', '470151/11221967', '1418999/33665901', '475735/11221967', '1434977/33665901', '480751/11221967', '482979/11221967']
['358303/9621285', '503789/13469799', '168729/4489933', '508801/13469799', '2558039/67348995', '2572909/67348995', '862837/22449665', '868243/22449665', '2621459/67348995', '879541/22449665', '2656117/67348995', '891283/22449665', '384541/9621285', '2709761/67348995', '909261/22449665', '2745703/67348995', '394781/9621285', '556195/13469799', '559627/13469799', '562969/13469799', '566197/13469799', '406633/9621285', '572209/13469799', '136889/3207095', '962389/22449665']
['629972/16841547', '632477/16841547', '211756/5613849', '638315/16841547', '641602/16841547', '645088/16841547', '7457/193581', '217525/5613849', '72947/1871283', '660572/16841547', '664708/16841547', '668896/16841547', '673141/16841547', '225796/5613849', '681653/16841547', '685886/16841547', '690085/16841547', '77135/1871283', '77585/1871283', '702196/16841547', '235331/5613849', '709613/16841547', '79226/1871283', '238736/5613849', '239705/5613849']
['2530635/67381571', '2539957/67381571', '2550359/67381571', '2561769/67381571', '2574091/67381571', '2587211/67381571', '2601031/67381571', '2615441/67381571', '2630349/67381571', '2645671/67381571', '2661317/67381571', '2677185/67381571', '2693253/67381571', '2709355/67381571', '2725501/67381571', '2741539/67381571', '2757421/67381571', '2773053/67381571', '2788343/67381571', '2803185/67381571', '2817479/67381571', '2831097/67381571', '2843915/67381571', '2855795/67381571', '2866619/67381571']
['1270691/33698477', '1275003/33698477', '1279823/33698477', '1285139/33698477', '1290887/33698477', '1297035/33698477', '1303513/33698477', '1310291/33698477', '1317303/33698477', '1324527/33698477', '1331901/33698477', '1339393/33698477', '1346971/33698477', '1354579/33698477', '1362195/33698477', '1369767/33698477', '1377251/33698477', '1384623/33698477', '1391813/33698477', '1398793/33698477', '1405493/33698477', '1411871/33698477', '1417847/33698477', '1423379/33698477', '1428389/33698477']
