['0', '46923/14370121', '93861/14370121', '140837/14370121', '187867/14370121', '234967/14370121', '282159/14370121', '329461/14370121', '376890/14370121', '424462/14370121', '472227/14370121', '520157/14370121', '568316/14370121', '616709/14370121', '665364/14370121', '714312/14370121', '763577/14370121', '813193/14370121', '863190/14370121', '913608/14370121', '964483/14370121', '1015863/14370121', '1067797/14370121', '1120338/14370121', '1173560/14370121']
['88453/29321925', '176929/29321925', '265471/29321925', '354101/29321925', '442849/29321925', '177251/9773975', '620839/29321925', '710137/29321925', '799693/29321925', '889511/29321925', '979673/29321925', '14269/390959', '387027/9773975', '417471/9773975', '1344229/29321925', '1436567/29321925', '20393/390959', '541003/9773975', '1717223/29321925', '1812173/29321925', '381587/5864385', '80183/1172877', '28029/390959', '733611/9773975', '2300653/29321925']
['83560/14903001', '250741/29806002', '334439/29806002', '209120/14903001', '167389/9935334', '97708/4967667', '111752/4967667', '377491/14903001', '419849/14903001', '154111/4967667', '1009945/29806002', '1095545/29806002', '1181513/29806002', '140875/3311778', '50173/1103926', '1441943/29806002', '254954/4967667', '809032/14903001', '94834/1655889', '598871/9935334', '943463/14903001', '1978013/29806002', '2069939/29806002', '1081390/14903001', '1128313/14903001']
['237405/30219901', '316639/30219901', '395965/30219901', '475395/30219901', '554951/30219901', '634673/30219901', '714561/30219901', '794649/30219901', '874977/30219901', '955539/30219901', '1036385/30219901', '1117541/30219901', '1199021/30219901', '1280867/30219901', '1363113/30219901', '1445783/30219901', '1528911/30219901', '1612553/30219901', '1696723/30219901', '1781479/30219901', '1866875/30219901', '1952943/30219901', '2039747/30219901', '2127365/30219901', '2215841/30219901']
['600823/61137153', '751309/61137153', '901975/61137153', '3545/205849', '401339/20379051', '1355471/61137153', '502423/20379051', '1659443/61137153', '258865/8733879', '1965127/61137153', '706241/20379051', '324697/8733879', '346807/8733879', '2583085/61137153', '913079/20379051', '2896165/61137153', '1017979/20379051', '292055/5557923', '160583/2911293', '3532927/61137153', '1231577/20379051', '3857743/61137153', '4022063/61137153', '85465/1247697', '4355027/61137153']
['357183/30871091', '428791/30871091', '500501/30871091', '572315/30871091', '644267/30871091', '716359/30871091', '788623/30871091', '861061/30871091', '933707/30871091', '1006565/30871091', '1079673/30871091', '1153037/30871091', '1226683/30871091', '1300637/30871091', '1374919/30871091', '1449551/30871091', '1524567/30871091', '1599987/30871091', '1675843/30871091', '1752167/30871091', '1829001/30871091', '1906361/30871091', '1984309/30871091', '2062875/30871091', '2142109/30871091']
['81692/6225749', '476747/31128745', '545127/31128745', '613623/31128745', '682246/31128745', '751003/31128745', '43154/1638355', '177804/6225749', '958299/31128745', '35441/1073405', '1097503/31128745', '12289/327671', '1237669/31128745', '261633/6225749', '275792/6225749', '15264/327671', '1521546/31128745', '1593372/31128745', '1665601/31128745', '1738251/31128745', '1811349/31128745', '1884932/31128745', '1959029/31128745', '406735/6225749', '2108918/31128745']
['227513/15677645', '260137/15677645', '292806/15677645', '325534/15677645', '358319/15677645', '391176/15677645', '424106/15677645', '457118/15677645', '490218/15677645', '523418/15677645', '556717/15677645', '590134/15677645', '623668/15677645', '657333/15677645', '691134/15677645', '145017/3135529', '759189/15677645', '793464/15677645', '165584/3135529', '172513/3135529', '897411/15677645', '932478/15677645', '193554/3135529', '1003314/15677645', '1039118/15677645']
['82900/5258359', '559843/31550154', '622381/31550154', '342514/15775077', '747793/31550154', '270229/10516718', '873727/31550154', '468460/15775077', '333427/10516718', '177304/5258359', '375853/10516718', '1191503/31550154', '1255667/31550154', '440029/10516718', '692368/15775077', '241612/5258359', '1514887/31550154', '1580417/31550154', '823136/15775077', '1712467/31550154', '1779029/31550154', '615329/10516718', '318893/5258359', '1981171/31550154', '1024729/15775077']
['536161/31723573', '596019/31723573', '655989/31723573', '716045/31723573', '776229/31723573', '836529/31723573', '896971/31723573', '136793/4531939', '1018303/31723573', '154173/4531939', '162901/4531939', '171657/4531939', '1263081/31723573', '1324821/31723573', '1386757/31723573', '1448961/31723573', '1511425/31723573', '1574175/31723573', '1637217/31723573', '1700567/31723573', '1764267/31723573', '1828307/31723573', '1892731/31723573', '1957551/31723573', '2022799/31723573']
['1143289/63747963', '419417/21249321', '1373395/63747963', '1488737/63747963', '534769/21249321', '191123/7083107', '1836169/63747963', '1952509/63747963', '229905/7083107', '728699/21249321', '2303395/63747963', '269007/7083107', '846347/21249321', '295287/7083107', '308489/7083107', '965257/21249321', '3015599/63747963', '3135943/63747963', '3256825/63747963', '3378293/63747963', '3500369/63747963', '402565/7083107', '3746489/63747963', '3870607/63747963', '1331831/21249321']
