['0', '1909/410876', '3819/410876', '5731/410876', '15295/821752', '19137/821752', '2874/102719', '26861/821752', '30755/821752', '34657/821752', '19297/410876', '21277/410876', '46547/821752', '25287/410876', '54643/821752', '58755/821752', '31459/410876', '67137/821752', '17855/205438', '75777/821752', '40109/410876']
['9305/339021', '109679/3729231', '13007/414359', '124471/3729231', '131903/3729231', '4223/113007', '16315/414359', '154339/3729231', '161857/3729231', '56479/1243077', '176999/3729231', '184631/3729231', '17479/339021', '66653/1243077', '207673/3729231', '71809/1243077', '223225/3729231', '231067/3729231', '238949/3729231', '911/13761', '28317/414359']
['26422/934633', '28178/934633', '29950/934633', '31732/934633', '33518/934633', '35314/934633', '37111/934633', '38918/934633', '5818/133519', '42550/934633', '44369/934633', '46206/934633', '48042/934633', '49892/934633', '51745/934633', '53611/934633', '55483/934633', '57369/934633', '59260/934633', '61164/934633', '63073/934633']
['108841/3746735', '115561/3746735', '122371/3746735', '129221/3746735', '136099/3746735', '143009/3746735', '149939/3746735', '156897/3746735', '32773/749347', '170883/3746735', '177901/3746735', '184967/3746735', '192047/3746735', '199161/3746735', '206303/3746735', '213483/3746735', '220689/3746735', '45587/749347', '235209/3746735', '48503/749347', '249839/3746735']
['5593/187725', '5914/187725', '6241/187725', '438/12515', '11502/312875', '36167/938625', '37838/938625', '13171/312875', '13731/312875', '14294/312875', '1783/37545', '46274/938625', '15994/312875', '49693/938625', '10283/187725', '17714/312875', '54877/938625', '56617/938625', '58367/938625', '60119/938625', '165/2503']
['114735/3761449', '120881/3761449', '127143/3761449', '133471/3761449', '139839/3761449', '146241/3761449', '152673/3761449', '159135/3761449', '165609/3761449', '172123/3761449', '178651/3761449', '185201/3761449', '191781/3761449', '198387/3761449', '205015/3761449', '211671/3761449', '218347/3761449', '225047/3761449', '231769/3761449', '238505/3761449', '245225/3761449']
['29384/942041', '30852/942041', '32349/942041', '33869/942041', '35398/942041', '36940/942041', '38486/942041', '40045/942041', '41603/942041', '43173/942041', '44747/942041', '46325/942041', '47910/942041', '49503/942041', '51097/942041', '52701/942041', '54306/942041', '55919/942041', '57531/942041', '59149/942041', '60754/942041']
['30064/943569', '10487/314523', '65789/1887138', '11450/314523', '71641/1887138', '12434/314523', '2351/57186', '80581/1887138', '41794/943569', '86609/1887138', '44824/943569', '30895/629046', '4352/85779', '98809/1887138', '33961/629046', '52484/943569', '18010/314523', '55579/943569', '10387/171558', '19559/314523', '120427/1887138']
['61469/1890137', '64121/1890137', '66863/1890137', '69645/1890137', '72469/1890137', '75313/1890137', '78181/1890137', '81061/1890137', '83961/1890137', '86865/1890137', '89799/1890137', '92717/1890137', '95669/1890137', '98615/1890137', '101579/1890137', '104543/1890137', '107519/1890137', '110491/1890137', '113467/1890137', '116427/1890137', '119363/1890137']
['125527/3785761', '130573/3785761', '135795/3785761', '141125/3785761', '146533/3785761', '151995/3785761', '157503/3785761', '163049/3785761', '24089/540823', '174219/3785761', '179867/3785761', '185485/3785761', '191169/3785761', '196843/3785761', '202541/3785761', '208249/3785761', '213961/3785761', '219671/3785761', '225371/3785761', '231037/3785761', '236625/3785761']
['183/5416', '2373/67700', '17231/473900', '4467/118475', '9257/236950', '19169/473900', '19829/473900', '40991/947800', '6047/135400', '1747/37912', '45033/947800', '5798/118475', '955/18956', '9823/189560', '50483/947800', '10371/189560', '6653/118475', '7799/135400', '11191/189560', '8187/135400', '11727/189560']
['130601/3796209', '45043/1265403', '15539/421801', '144703/3796209', '49883/1265403', '154661/3796209', '53243/1265403', '54947/1265403', '169987/3796209', '19461/421801', '180379/3796209', '185569/3796209', '190823/3796209', '21785/421801', '67109/1265403', '206585/3796209', '211841/3796209', '217079/3796209', '222293/3796209', '75817/1265403', '25833/421801']
['16637/475150', '34341/950300', '1043/27950', '18307/475150', '7559/190060', '38991/950300', '11/260', '10357/237575', '10666/237575', '43899/950300', '11289/237575', '464/9503', '23831/475150', '24459/475150', '1167/22100', '25719/475150', '26349/475150', '13487/237575', '55193/950300', '28209/475150', '11523/190060']
['67746/1902889', '69762/1902889', '71884/1902889', '74078/1902889', '76325/1902889', '78614/1902889', '80932/1902889', '83277/1902889', '85644/1902889', '88015/1902889', '90421/1902889', '92812/1902889', '95230/1902889', '97640/1902889', '100058/1902889', '102469/1902889', '104875/1902889', '107268/1902889', '109637/1902889', '111969/1902889', '114233/1902889']
['68943/1905175', '70841/1905175', '72843/1905175', '74927/1905175', '77059/1905175', '15849/381035', '81453/1905175', '83697/1905175', '85959/1905175', '88231/1905175', '90529/1905175', '3713/76207', '19027/381035', '19489/381035', '19951/381035', '102063/1905175', '20871/381035', '106641/1905175', '108889/1905175', '111103/1905175', '113237/1905175']
['140187/3814541', '143751/3814541', '147535/3814541', '151481/3814541', '155539/3814541', '159695/3814541', '163915/3814541', '168193/3814541', '172523/3814541', '176865/3814541', '181265/3814541', '185655/3814541', '190081/3814541', '194495/3814541', '198915/3814541', '203319/3814541', '207699/3814541', '212045/3814541', '216325/3814541', '220513/3814541', '224545/3814541']
['35622/954683', '36455/954683', '37346/954683', '38277/954683', '39240/954683', '40225/954683', '41231/954683', '42248/954683', '646/14249', '44317/954683', '45368/954683', '46415/954683', '47473/954683', '48525/954683', '740/14249', '50628/954683', '51672/954683', '52702/954683', '53718/954683', '54705/954683', '55654/954683']
['18083/477818', '9237/238909', '75571/1911272', '19333/477818', '79155/1911272', '20257/477818', '82939/1911272', '84879/1911272', '10856/238909', '44413/955636', '22707/477818', '11604/238909', '94847/1911272', '48429/955636', '98867/1911272', '50433/955636', '4675/86876', '104809/1911272', '106731/1911272', '54299/955636', '27595/477818']
['36710/956589', '37441/956589', '38225/956589', '39055/956589', '13305/318863', '13601/318863', '41708/956589', '42631/956589', '14522/318863', '44509/956589', '45460/956589', '46417/956589', '47374/956589', '16111/318863', '16429/318863', '16746/318863', '51178/956589', '17369/318863', '17671/318863', '53893/956589', '18242/318863']
['74451/1914908', '18953/478727', '38643/957454', '39423/957454', '80473/1914908', '20538/478727', '20968/478727', '42811/957454', '87403/1914908', '22299/478727', '45503/957454', '92829/1914908', '23663/478727', '48237/957454', '24573/478727', '25024/478727', '50941/957454', '51819/957454', '26338/478727', '107005/1914908', '108569/1914908']
['37741/958319', '38371/958319', '39061/958319', '39791/958319', '40558/958319', '41349/958319', '42164/958319', '42991/958319', '43837/958319', '44687/958319', '45546/958319', '46412/958319', '47278/958319', '48141/958319', '49005/958319', '49858/958319', '50704/958319', '51531/958319', '52339/958319', '53112/958319', '53843/958319']
['152885/3836389', '155233/3836389', '157805/3836389', '160553/3836389', '163437/3836389', '166427/3836389', '169507/3836389', '172647/3836389', '175849/3836389', '179085/3836389', '182339/3836389', '185635/3836389', '188917/3836389', '192201/3836389', '195471/3836389', '198711/3836389', '201907/3836389', '205033/3836389', '208071/3836389', '210977/3836389', '213699/3836389']
['25801/639917', '78491/1919751', '26561/639917', '80971/1919751', '82321/1919751', '83729/1919751', '28393/639917', '86665/1919751', '88175/1919751', '89711/1919751', '91247/1919751', '30937/639917', '94361/1919751', '31973/639917', '32487/639917', '98995/1919751', '100499/1919751', '101971/1919751', '103393/1919751', '104753/1919751', '106013/1919751']
['156597/3842297', '158609/3842297', '160833/3842297', '163235/3842297', '165775/3842297', '168421/3842297', '171159/3842297', '173963/3842297', '176823/3842297', '179727/3842297', '182639/3842297', '185599/3842297', '188537/3842297', '191483/3842297', '194405/3842297', '197297/3842297', '200139/3842297', '202905/3842297', '205577/3842297', '208113/3842297', '210461/3842297']
['39597/961273', '40059/961273', '40575/961273', '41132/961273', '41727/961273', '42346/961273', '42990/961273', '43649/961273', '44324/961273', '45008/961273', '45696/961273', '46394/961273', '47088/961273', '47782/961273', '48472/961273', '49151/961273', '49820/961273', '50467/961273', '51092/961273', '51680/961273', '52224/961273']
['26672/641263', '80870/1923789', '81826/1923789', '3946/91609', '27992/641263', '12163/274827', '86350/1923789', '87593/1923789', '88864/1923789', '30053/641263', '4355/91609', '92777/1923789', '94085/1923789', '95398/1923789', '13814/274827', '13997/274827', '33078/641263', '100451/1923789', '101617/1923789', '34238/641263', '103720/1923789']
['40419/962516', '40811/962516', '41251/962516', '20867/481258', '42249/962516', '42795/962516', '10840/240629', '10986/240629', '11135/240629', '45151/962516', '45759/962516', '46383/962516', '46997/962516', '11904/240629', '24113/481258', '12207/240629', '24707/481258', '12496/240629', '50525/962516', '25517/481258', '314/5869']
['40797/963068', '10289/240767', '41563/963068', '42011/963068', '10623/240767', '43001/963068', '10883/240767', '88159/1926136', '89281/1926136', '45215/963068', '45789/963068', '46375/963068', '46955/963068', '95073/1926136', '48111/963068', '97351/1926136', '98451/1926136', '49757/963068', '100525/1926136', '101467/1926136', '102321/1926136']
['8235/192724', '41501/963620', '8375/192724', '10572/240905', '1221/27532', '43207/963620', '10926/240905', '8843/192724', '44741/963620', '45279/963620', '45819/963620', '46367/963620', '46913/963620', '47457/963620', '11999/240905', '48523/963620', '49037/963620', '4953/96362', '2500/48181', '50433/963620', '10165/192724']
['41516/964105', '1371/31610', '84317/1928210', '85083/1928210', '42956/964105', '43397/964105', '8772/192821', '8868/192821', '44832/964105', '45338/964105', '9169/192821', '152/3161', '46872/964105', '47384/964105', '47888/964105', '19353/385642', '48862/964105', '181/3538', '19903/385642', '50159/964105', '1742/33245']
['41857/964590', '383/8769', '21221/482295', '2853/64306', '43177/964590', '14529/321530', '7336/160765', '8893/192918', '44923/964590', '4127/87690', '45871/964590', '15451/321530', '46831/964590', '4301/87690', '4778/96459', '24121/482295', '16229/321530', '893/17538', '3301/64306', '907/17538', '16737/321530']
['168665/3860063', '169655/3860063', '170803/3860063', '172099/3860063', '173517/3860063', '175037/3860063', '176639/3860063', '178311/3860063', '180029/3860063', '181797/3860063', '183579/3860063', '185379/3860063', '187175/3860063', '188967/3860063', '190725/3860063', '192445/3860063', '194107/3860063', '195693/3860063', '197177/3860063', '198533/3860063', '199731/3860063']
['84951/1930883', '85395/1930883', '85919/1930883', '86509/1930883', '87163/1930883', '87863/1930883', '88607/1930883', '89381/1930883', '90183/1930883', '91003/1930883', '91837/1930883', '92673/1930883', '93513/1930883', '94345/1930883', '95165/1930883', '95961/1930883', '96733/1930883', '97463/1930883', '98147/1930883', '98763/1930883', '99309/1930883']
['85501/1931622', '28635/643874', '86381/1931622', '43462/965811', '43763/965811', '88175/1931622', '12695/275946', '89587/1931622', '4106/87801', '91099/1931622', '15313/321937', '15443/321937', '46721/965811', '6730/137973', '47491/965811', '13675/275946', '48220/965811', '97117/1931622', '1481/29267', '49156/965811', '98807/1931622']
['86051/1932361', '86415/1932361', '86843/1932361', '87339/1932361', '87889/1932361', '88487/1932361', '89123/1932361', '89793/1932361', '90481/1932361', '91195/1932361', '91919/1932361', '92643/1932361', '93371/1932361', '94095/1932361', '94799/1932361', '95489/1932361', '96147/1932361', '96771/1932361', '97345/1932361', '97861/1932361', '98305/1932361']
['173083/3866003', '173737/3866003', '174517/3866003', '175419/3866003', '176433/3866003', '177533/3866003', '178713/3866003', '179953/3866003', '181235/3866003', '182557/3866003', '183911/3866003', '185255/3866003', '186615/3866003', '187957/3866003', '189269/3866003', '190545/3866003', '191767/3866003', '192913/3866003', '193969/3866003', '194907/3866003', '195715/3866003']
['43516/966821', '43661/966821', '43837/966821', '44040/966821', '44272/966821', '44523/966821', '44795/966821', '45080/966821', '45377/966821', '45681/966821', '45996/966821', '46306/966821', '46622/966821', '46931/966821', '47235/966821', '47528/966821', '47810/966821', '48071/966821', '48312/966821', '48523/966821', '48705/966821']
['174923/3868381', '175445/3868381', '176079/3868381', '176821/3868381', '177665/3868381', '178593/3868381', '179591/3868381', '180649/3868381', '181747/3868381', '182877/3868381', '184043/3868381', '185199/3868381', '186369/3868381', '17047/351671', '188641/3868381', '189729/3868381', '190763/3868381', '191727/3868381', '10137/203599', '193373/3868381', '194027/3868381']
['29297/644913', '88123/1934739', '88405/1934739', '88741/1934739', '29707/644913', '29849/644913', '90001/1934739', '30163/644913', '30331/644913', '30505/644913', '92051/1934739', '92587/1934739', '93125/1934739', '93655/1934739', '94171/1934739', '94673/1934739', '95143/1934739', '95585/1934739', '31993/644913', '10703/214971', '96617/1934739']
['176537/3870417', '58983/1290139', '177457/3870417', '178063/3870417', '178757/3870417', '179533/3870417', '180371/3870417', '181267/3870417', '182201/3870417', '183163/3870417', '184157/3870417', '61715/1290139', '186145/3870417', '187121/3870417', '188077/3870417', '188999/3870417', '8255/168279', '190669/3870417', '191389/3870417', '64005/1290139', '64179/1290139']
['44323/967839', '44413/967839', '14842/322613', '14887/322613', '44818/967839', '44993/967839', '45185/967839', '45389/967839', '45604/967839', '45824/967839', '15351/322613', '46279/967839', '46510/967839', '46733/967839', '15651/322613', '15721/322613', '15787/322613', '47542/967839', '47705/967839', '15948/322613', '47960/967839']
['205/4461', '12733/276582', '44666/968037', '44788/968037', '44930/968037', '15030/322679', '45265/968037', '15151/322679', '13043/276582', '4367/92194', '46064/968037', '4407/92194', '92971/1936074', '15564/322679', '46894/968037', '47087/968037', '13505/276582', '15811/322679', '15860/322679', '95411/1936074', '95617/1936074']
['44647/968235', '14906/322745', '44806/968235', '8983/193647', '15014/322745', '45187/968235', '3023/64549', '45517/968235', '45697/968235', '2699/56955', '9215/193647', '46268/968235', '911/18985', '46651/968235', '551/11391', '47011/968235', '47174/968235', '47324/968235', '9491/193647', '47567/968235', '47657/968235']
['179149/3873609', '19933/430401', '179713/3873609', '180101/3873609', '60187/1291203', '181085/3873609', '181663/3873609', '60763/1291203', '182953/3873609', '61211/1291203', '61447/1291203', '20561/430401', '185761/3873609', '186455/3873609', '187133/3873609', '62591/1291203', '188369/3873609', '188911/3873609', '189385/3873609', '7029/143467', '190105/3873609']
['89855/1937139', '29987/645713', '90101/1937139', '90271/1937139', '30159/645713', '30237/645713', '90973/1937139', '91255/1937139', '91559/1937139', '91867/1937139', '92191/1937139', '92513/1937139', '92839/1937139', '31051/645713', '93463/1937139', '93751/1937139', '94021/1937139', '31421/645713', '94475/1937139', '94649/1937139', '31597/645713']
['90092/1937417', '90186/1937417', '90308/1937417', '90461/1937417', '90645/1937417', '90857/1937417', '91094/1937417', '91352/1937417', '91628/1937417', '91912/1937417', '92207/1937417', '92504/1937417', '92801/1937417', '93090/1937417', '93371/1937417', '93635/1937417', '93879/1937417', '94098/1937417', '94287/1937417', '94443/1937417', '94567/1937417']
['90329/1937695', '90411/1937695', '18103/387539', '90651/1937695', '90813/1937695', '91003/1937695', '18243/387539', '91449/1937695', '91697/1937695', '91957/1937695', '92223/1937695', '18499/387539', '92763/1937695', '93027/1937695', '93279/1937695', '93519/1937695', '93737/1937695', '93933/1937695', '94099/1937695', '94237/1937695', '94343/1937695']
['181061/3875853', '60401/1291951', '181387/3875853', '181625/3875853', '1479/31511', '182257/3875853', '182641/3875853', '61021/1291951', '183517/3875853', '183989/3875853', '184475/3875853', '61657/1291951', '185461/3875853', '185941/3875853', '186401/3875853', '186833/3875853', '187229/3875853', '187579/3875853', '187877/3875853', '188119/3875853', '62769/1291951']
['45366/969079', '45396/969079', '45436/969079', '45487/969079', '45552/969079', '45627/969079', '45713/969079', '45807/969079', '45910/969079', '46016/969079', '46126/969079', '46238/969079', '46349/969079', '46457/969079', '46561/969079', '46657/969079', '46746/969079', '46823/969079', '46889/969079', '46941/969079', '46982/969079']
['90899/1938347', '90951/1938347', '91021/1938347', '91111/1938347', '91225/1938347', '91361/1938347', '91515/1938347', '91685/1938347', '91871/1938347', '92065/1938347', '92263/1938347', '92469/1938347', '92669/1938347', '92866/1938347', '93054/1938347', '93228/1938347', '93387/1938347', '93526/1938347', '93642/1938347', '93734/1938347', '93805/1938347']
['45533/969268', '45555/969268', '45585/969268', '11406/242317', '45673/969268', '22867/484634', '22901/484634', '22939/484634', '45961/969268', '46049/969268', '46137/969268', '46231/969268', '11580/242317', '46409/969268', '46493/969268', '46571/969268', '46641/969268', '46703/969268', '46753/969268', '46793/969268', '46823/969268']
['91206/1938691', '91243/1938691', '91295/1938691', '91363/1938691', '91450/1938691', '91557/1938691', '91680/1938691', '91816/1938691', '91966/1938691', '92125/1938691', '92285/1938691', '92454/1938691', '92616/1938691', '92776/1938691', '92928/1938691', '93068/1938691', '93194/1938691', '93303/1938691', '93392/1938691', '93461/1938691', '93513/1938691']
['45673/969423', '45688/969423', '6530/138489', '863/18291', '15259/323141', '45823/969423', '6554/138489', '45938/969423', '15335/323141', '46076/969423', '46148/969423', '46223/969423', '15432/323141', '46367/969423', '46435/969423', '15499/323141', '3581/74571', '46600/969423', '46639/969423', '15556/323141', '6670/138489']
['91459/1938970', '18297/387794', '45761/969485', '91573/1938970', '91639/1938970', '91721/1938970', '45909/969485', '8357/176270', '46023/969485', '18435/387794', '46152/969485', '9244/193897', '92571/1938970', '9270/193897', '92821/1938970', '92933/1938970', '46516/969485', '46558/969485', '93183/1938970', '46617/969485', '93271/1938970']
['45786/969547', '45797/969547', '45812/969547', '45834/969547', '45862/969547', '45898/969547', '45940/969547', '45989/969547', '46041/969547', '46099/969547', '46156/969547', '46217/969547', '46275/969547', '46333/969547', '46386/969547', '46436/969547', '46479/969547', '46516/969547', '46544/969547', '46566/969547', '46581/969547']
['3395/71822', '10187/215466', '91709/1939194', '1699/35911', '91795/1939194', '45929/969597', '91933/1939194', '30673/646398', '92113/1939194', '46108/969597', '46160/969597', '46214/969597', '92533/1939194', '46318/969597', '46366/969597', '15470/323199', '92897/1939194', '3443/71822', '46505/969597', '93047/1939194', '93073/1939194']
['45879/969647', '45886/969647', '45897/969647', '45912/969647', '45933/969647', '45960/969647', '45993/969647', '46030/969647', '46072/969647', '46117/969647', '46164/969647', '46211/969647', '46258/969647', '46303/969647', '46346/969647', '46384/969647', '46418/969647', '6635/138521', '6638/138521', '46481/969647', '46492/969647']
['61221/1292915', '61229/1292915', '61241/1292915', '36755/775749', '183847/3878745', '183941/3878745', '184057/3878745', '184189/3878745', '184337/3878745', '184499/3878745', '184667/3878745', '36967/775749', '14231/298365', '37033/775749', '185317/3878745', '185453/3878745', '61857/1292915', '37133/775749', '185737/3878745', '185789/3878745', '37165/775749']
['91905/1939451', '91915/1939451', '91929/1939451', '91951/1939451', '91981/1939451', '92021/1939451', '92071/1939451', '92129/1939451', '92193/1939451', '92265/1939451', '92339/1939451', '92413/1939451', '92487/1939451', '92559/1939451', '92625/1939451', '92685/1939451', '92735/1939451', '92775/1939451', '92805/1939451', '92827/1939451', '92841/1939451']
['91964/1939513', '91972/1939513', '91984/1939513', '92002/1939513', '92028/1939513', '92062/1939513', '5418/114089', '5421/114089', '92214/1939513', '92277/1939513', '5432/114089', '92409/1939513', '92475/1939513', '92539/1939513', '92598/1939513', '5450/114089', '92694/1939513', '92728/1939513', '92754/1939513', '92772/1939513', '92784/1939513']
['92023/1939575', '92029/1939575', '92039/1939575', '92053/1939575', '3683/77583', '2791/58775', '92141/1939575', '18437/387915', '559/11755', '30763/646525', '30783/646525', '18481/387915', '30821/646525', '92519/1939575', '30857/646525', '18523/387915', '8423/176325', '92681/1939575', '30901/646525', '92717/1939575', '30909/646525']
['184137/3879245', '184147/3879245', '184163/3879245', '184187/3879245', '184223/3879245', '184273/3879245', '184337/3879245', '36883/775849', '184503/3879245', '4293/90215', '184703/3879245', '36961/775849', '184907/3879245', '185007/3879245', '185097/3879245', '37035/775849', '185239/3879245', '185289/3879245', '37065/775849', '185349/3879245', '37073/775849']
['46057/969835', '46059/969835', '46062/969835', '46067/969835', '46074/969835', '9217/193967', '46098/969835', '9223/193967', '46134/969835', '9231/193967', '46177/969835', '9240/193967', '46222/969835', '46244/969835', '46263/969835', '9256/193967', '46293/969835', '46304/969835', '46311/969835', '46316/969835', '46319/969835']
['92150/1939707', '92153/1939707', '8378/176337', '30722/646569', '1138/23947', '10244/215523', '92219/1939707', '92248/1939707', '13183/277101', '92318/1939707', '92357/1939707', '30799/646569', '92437/1939707', '3425/71841', '30836/646569', '92537/1939707', '92560/1939707', '92578/1939707', '92590/1939707', '2806/58779', '13229/277101']
['46093/969872', '23047/484936', '2881/60617', '46099/969872', '5763/121234', '46111/969872', '46121/969872', '46133/969872', '46147/969872', '46163/969872', '11545/242468', '46197/969872', '46215/969872', '46231/969872', '46245/969872', '46257/969872', '46267/969872', '23137/484936', '46279/969872', '23141/484936', '11571/242468']
['61475/1293181', '184429/3879543', '184435/3879543', '184445/3879543', '61487/1293181', '61495/1293181', '184519/3879543', '184561/3879543', '184609/3879543', '61555/1293181', '61575/1293181', '61595/1293181', '184847/3879543', '184903/3879543', '4511/94623', '184993/3879543', '185027/3879543', '185051/3879543', '61689/1293181', '185077/3879543', '185083/3879543']
['92239/1939799', '2493/52427', '92243/1939799', '92247/1939799', '92253/1939799', '92263/1939799', '92277/1939799', '92295/1939799', '2495/52427', '92339/1939799', '92365/1939799', '897/18833', '92417/1939799', '92441/1939799', '92461/1939799', '92479/1939799', '92493/1939799', '92503/1939799', '92509/1939799', '92513/1939799', '92515/1939799']
['4613/96991', '92261/1939820', '92263/1939820', '46133/969910', '92271/1939820', '92279/1939820', '92291/1939820', '46153/969910', '23081/484955', '23086/484955', '92367/1939820', '92389/1939820', '23103/484955', '23108/484955', '9245/193982', '18493/387964', '92477/1939820', '18497/387964', '9249/193982', '92493/1939820', '18499/387964']
['92281/1939841', '92281/1939841', '92283/1939841', '92285/1939841', '92289/1939841', '92295/1939841', '92305/1939841', '92317/1939841', '92333/1939841', '92349/1939841', '92369/1939841', '92387/1939841', '92407/1939841', '92423/1939841', '92439/1939841', '92451/1939841', '92461/1939841', '92467/1939841', '92471/1939841', '92473/1939841', '92475/1939841']
['11537/242482', '11537/242482', '92297/1939856', '92299/1939856', '46151/969928', '92307/1939856', '92315/1939856', '46163/969928', '92339/1939856', '92353/1939856', '46185/969928', '46193/969928', '92403/1939856', '92417/1939856', '46215/969928', '92441/1939856', '92449/1939856', '46227/969928', '92457/1939856', '92459/1939856', '23115/484964']
['92311/1939871', '92311/1939871', '92311/1939871', '92313/1939871', '92315/1939871', '92319/1939871', '92325/1939871', '92335/1939871', '92345/1939871', '92357/1939871', '92371/1939871', '92385/1939871', '92399/1939871', '92411/1939871', '92421/1939871', '92431/1939871', '92437/1939871', '92441/1939871', '92443/1939871', '92445/1939871', '92445/1939871']
['46161/969941', '46161/969941', '46161/969941', '13189/277126', '92325/1939882', '46164/969941', '92333/1939882', '92341/1939882', '46175/969941', '46180/969941', '6598/138563', '46192/969941', '46198/969941', '46203/969941', '92415/1939882', '92423/1939882', '6602/138563', '92431/1939882', '92433/1939882', '46217/969941', '46217/969941']
['92333/1939893', '92333/1939893', '92333/1939893', '92333/1939893', '92335/1939893', '30779/646631', '92341/1939893', '92347/1939893', '30785/646631', '92363/1939893', '30791/646631', '92383/1939893', '92393/1939893', '92401/1939893', '30803/646631', '30805/646631', '92419/1939893', '30807/646631', '92423/1939893', '92423/1939893', '92423/1939893']
['184681/3879801', '184681/3879801', '184681/3879801', '184681/3879801', '61561/1293267', '184687/3879801', '184693/3879801', '184703/3879801', '184717/3879801', '61577/1293267', '184747/3879801', '184765/3879801', '184781/3879801', '184795/3879801', '61603/1293267', '184819/3879801', '184825/3879801', '184829/3879801', '184831/3879801', '184831/3879801', '184831/3879801']
