['0', '1909/410876', '3819/410876', '5731/410876', '15295/821752', '19137/821752', '2874/102719', '26861/821752', '30755/821752', '34657/821752', '19297/410876', '21277/410876', '46547/821752', '25287/410876', '54643/821752', '58755/821752', '31459/410876', '67137/821752', '17855/205438', '75777/821752', '40109/410876']
['7117/1683243', '14239/1683243', '21367/1683243', '28507/1683243', '3963/187027', '14281/561081', '50045/1683243', '57271/1683243', '21515/561081', '71843/1683243', '79195/1683243', '86591/1683243', '94043/1683243', '101563/1683243', '109147/1683243', '116809/1683243', '41521/561081', '132409/1683243', '140365/1683243', '148447/1683243', '156667/1683243']
['26623/3430301', '39951/3430301', '53299/3430301', '66671/3430301', '80079/3430301', '13361/490043', '15289/490043', '120563/3430301', '134185/3430301', '147863/3430301', '161629/3430301', '25069/490043', '189435/3430301', '203499/3430301', '217685/3430301', '232007/3430301', '246479/3430301', '37303/490043', '275945/3430301', '290981/3430301', '306253/3430301']
['18737/1741771', '24997/1741771', '31267/1741771', '37551/1741771', '43849/1741771', '50169/1741771', '56513/1741771', '62877/1741771', '69277/1741771', '75705/1741771', '82169/1741771', '88679/1741771', '95227/1741771', '101827/1741771', '108483/1741771', '115197/1741771', '121975/1741771', '128829/1741771', '135759/1741771', '142781/1741771', '149903/1741771']
['23515/1763504', '14705/881752', '8829/440876', '20619/881752', '23587/881752', '26565/881752', '14777/440876', '65107/1763504', '71135/1763504', '38597/881752', '20821/440876', '22353/440876', '95579/1763504', '101789/1763504', '6753/110219', '14295/220438', '15091/220438', '127163/1763504', '8354/110219', '140243/1763504', '146907/1763504']
['3469/222752', '4165/222752', '19451/891008', '22249/891008', '12527/445504', '6967/222752', '30695/891008', '33529/891008', '18189/445504', '4905/111376', '10529/222752', '45009/891008', '23961/445504', '50853/891008', '13451/222752', '28391/445504', '59783/891008', '62811/891008', '4117/55688', '68963/891008', '72093/891008']
['63029/3594683', '73583/3594683', '84159/3594683', '94763/3594683', '105397/3594683', '116059/3594683', '126767/3594683', '137515/3594683', '148305/3594683', '159149/3594683', '170045/3594683', '181003/3594683', '192025/3594683', '203115/3594683', '214287/3594683', '225545/3594683', '236883/3594683', '248323/3594683', '259871/3594683', '271535/3594683', '283325/3594683']
['17443/905317', '19951/905317', '22461/905317', '24979/905317', '27505/905317', '30038/905317', '32579/905317', '35132/905317', '37693/905317', '40267/905317', '42852/905317', '45457/905317', '48067/905317', '50700/905317', '53348/905317', '8002/129331', '58700/905317', '61409/905317', '64140/905317', '9557/129331', '69683/905317']
['5417/260256', '7115/303632', '47473/1821792', '6533/227724', '1189/37954', '4421/130128', '66733/1821792', '35795/910896', '25489/607264', '81365/1821792', '21569/455448', '30413/607264', '96199/1821792', '7229/130128', '53119/910896', '111301/1821792', '29101/455448', '40515/607264', '2263/32532', '32989/455448', '137233/1821792']
['20332/915815', '4521/183163', '24889/915815', '27173/915815', '29467/915815', '31766/915815', '6815/183163', '6/151', '38717/915815', '41053/915815', '8678/183163', '45759/915815', '48121/915815', '50506/915815', '52902/915815', '55313/915815', '57742/915815', '60187/915815', '62652/915815', '65134/915815', '67642/915815']
['8629/367992', '11873/459990', '25927/919980', '7028/229995', '60607/1839960', '32501/919980', '11569/306660', '1846/45999', '78283/1839960', '82753/1839960', '87211/1839960', '10193/204440', '12031/229995', '100801/1839960', '105373/1839960', '13747/229995', '114607/1839960', '3313/51110', '30991/459990', '25739/367992', '66733/919980']
['22705/923707', '24787/923707', '26873/923707', '28968/923707', '31065/923707', '1070/29797', '35281/923707', '37401/923707', '1275/29797', '41668/923707', '43799/923707', '45965/923707', '48121/923707', '50300/923707', '52484/923707', '54686/923707', '56897/923707', '59124/923707', '61365/923707', '63625/923707', '65898/923707']
['31657/1235863', '102943/3707589', '36983/1235863', '39659/1235863', '42343/1235863', '135101/3707589', '143197/3707589', '151325/3707589', '159473/3707589', '167687/3707589', '175867/3707589', '184157/3707589', '64143/1235863', '66925/1235863', '209147/3707589', '217571/3707589', '75347/1235863', '234563/3707589', '243139/3707589', '251777/3707589', '260471/3707589']
['537/20213', '1157/40426', '14267/464899', '30459/929798', '16197/464899', '34331/929798', '18138/464899', '831/20213', '20091/464899', '42153/929798', '44119/929798', '46105/929798', '24046/464899', '50093/929798', '26051/464899', '2353/40426', '3303/54694', '29096/464899', '60247/929798', '31157/464899', '1894/27347']
