['0', '99/10808', '199/10808', '299/10808', '57/1544', '499/10808', '605/10808', '705/10808', '811/10808', '131/1544', '1025/10808', '1137/10808', '1251/10808', '1369/10808', '1493/10808']
['1532/25537', '1544/25537', '1562/25537', '1584/25537', '1610/25537', '1637/25537', '1667/25537', '1699/25537', '1728/25537', '1760/25537', '1790/25537', '1819/25537', '1847/25537', '1870/25537', '1888/25537']
['778/12783', '261/4261', '790/12783', '800/12783', '811/12783', '823/12783', '836/12783', '851/12783', '863/12783', '878/12783', '297/4261', '904/12783', '916/12783', '926/12783', '311/4261']
['3151/51177', '3167/51177', '3191/51177', '1075/17059', '3265/51177', '3307/51177', '479/7311', '3407/51177', '493/7311', '3503/51177', '3551/51177', '1199/17059', '1213/17059', '3673/51177', '3697/51177']
['1595/25611', '1601/25611', '537/8537', '1625/25611', '1643/25611', '1661/25611', '1681/25611', '1705/25611', '575/8537', '1747/25611', '1769/25611', '1789/25611', '1807/25611', '607/8537', '1831/25611']
['537/8543', '1616/25629', '1624/25629', '1636/25629', '1651/25629', '556/8543', '1685/25629', '1706/25629', '1724/25629', '1744/25629', '1763/25629', '1781/25629', '1796/25629', '1808/25629', '1816/25629']
['1627/25647', '1631/25647', '1637/25647', '549/8549', '553/8549', '1675/25647', '563/8549', '569/8549', '1723/25647', '1741/25647', '1757/25647', '591/8549', '595/8549', '1795/25647', '1801/25647']
['1093/17107', '1095/17107', '3295/51321', '3311/51321', '1111/17107', '3359/51321', '3385/51321', '3415/51321', '3445/51321', '1159/17107', '3505/51321', '1177/17107', '3553/51321', '3569/51321', '1193/17107']
['826/12837', '827/12837', '829/12837', '832/12837', '279/4279', '842/12837', '848/12837', '854/12837', '287/4279', '868/12837', '874/12837', '293/4279', '884/12837', '887/12837', '889/12837']
['3323/51369', '1109/17123', '1111/17123', '3343/51369', '3359/51369', '3377/51369', '3397/51369', '3419/51369', '3443/51369', '3467/51369', '3487/51369', '3505/51369', '3521/51369', '1177/17123', '1179/17123']
['557/8565', '1673/25695', '335/5139', '1679/25695', '337/5139', '1693/25695', '189/2855', '1711/25695', '1721/25695', '577/8565', '1739/25695', '1747/25695', '1753/25695', '1757/25695', '1759/25695']
['1119/17135', '3359/51405', '1121/17135', '1123/17135', '3379/51405', '1131/17135', '3407/51405', '1141/17135', '1147/17135', '3457/51405', '1157/17135', '697/10281', '233/3427', '1167/17135', '701/10281']
['281/4285', '281/4285', '844/12855', '169/2571', '847/12855', '170/2571', '853/12855', '856/12855', '172/2571', '863/12855', '866/12855', '869/12855', '871/12855', '872/12855', '291/4285']
['3383/51431', '3383/51431', '3385/51431', '3389/51431', '3395/51431', '3405/51431', '3415/51431', '3425/51431', '3439/51431', '3449/51431', '3459/51431', '3469/51431', '3475/51431', '3479/51431', '3481/51431']
['1697/25721', '1697/25721', '1697/25721', '1699/25721', '1701/25721', '1705/25721', '1709/25721', '1713/25721', '1719/25721', '1723/25721', '1727/25721', '1731/25721', '1733/25721', '1735/25721', '1735/25721']
['3401/51449', '3401/51449', '3401/51449', '3403/51449', '3407/51449', '3413/51449', '3421/51449', '3427/51449', '3437/51449', '3443/51449', '3451/51449', '3457/51449', '3461/51449', '3463/51449', '3463/51449']
['71/1072', '71/1072', '71/1072', '71/1072', '853/12864', '427/6432', '107/1608', '857/12864', '859/12864', '215/3216', '431/6432', '863/12864', '9/134', '9/134', '9/134']
['3413/51461', '3413/51461', '3413/51461', '3413/51461', '3415/51461', '3419/51461', '3425/51461', '3429/51461', '3435/51461', '3439/51461', '3445/51461', '3449/51461', '3451/51461', '3451/51461', '3451/51461']
['1709/25733', '1709/25733', '1709/25733', '1709/25733', '1709/25733', '1711/25733', '1713/25733', '1715/25733', '1717/25733', '1719/25733', '1721/25733', '1723/25733', '1723/25733', '1723/25733', '1723/25733']
['311/4679', '311/4679', '311/4679', '311/4679', '311/4679', '3423/51469', '3427/51469', '3431/51469', '3433/51469', '3437/51469', '3441/51469', '313/4679', '313/4679', '313/4679', '313/4679']
['214/3217', '214/3217', '214/3217', '214/3217', '214/3217', '214/3217', '857/12868', '429/6434', '429/6434', '859/12868', '215/3217', '215/3217', '215/3217', '215/3217', '215/3217']
['571/8579', '571/8579', '571/8579', '571/8579', '571/8579', '571/8579', '1714/25737', '572/8579', '572/8579', '1718/25737', '573/8579', '573/8579', '573/8579', '573/8579', '573/8579']
['857/12869', '857/12869', '857/12869', '857/12869', '857/12869', '857/12869', '857/12869', '858/12869', '858/12869', '859/12869', '859/12869', '859/12869', '859/12869', '859/12869', '859/12869']
['1143/17159', '1143/17159', '1143/17159', '1143/17159', '1143/17159', '1143/17159', '1143/17159', '3431/51477', '3433/51477', '1145/17159', '1145/17159', '1145/17159', '1145/17159', '1145/17159', '1145/17159']
['245/3677', '245/3677', '245/3677', '245/3677', '245/3677', '245/3677', '245/3677', '245/3677', '1717/25739', '1717/25739', '1717/25739', '1717/25739', '1717/25739', '1717/25739', '1717/25739']
['3431/51479', '3431/51479', '3431/51479', '3431/51479', '3431/51479', '3431/51479', '3431/51479', '3431/51479', '3433/51479', '3433/51479', '3433/51479', '3433/51479', '3433/51479', '3433/51479', '3433/51479']
['1/15', '1/15', '1/15', '1/15', '1/15', '1/15', '1/15', '1/15', '1/15', '1/15', '1/15', '1/15', '1/15', '1/15', '1/15']
