['0', '99/10808', '199/10808', '299/10808', '57/1544', '499/10808', '605/10808', '705/10808', '811/10808', '131/1544', '1025/10808', '1137/10808', '1251/10808', '1369/10808', '1493/10808']
['361/44675', '721/44675', '1083/44675', '1447/44675', '1813/44675', '87/1787', '511/8935', '2927/44675', '3309/44675', '739/8935', '4091/44675', '4493/44675', '981/8935', '5329/44675', '5771/44675']
['47/3271', '495/22897', '659/22897', '827/22897', '995/22897', '1161/22897', '1333/22897', '215/3271', '1679/22897', '1857/22897', '2035/22897', '317/3271', '2407/22897', '2599/22897', '2797/22897']
['453/23311', '605/23311', '757/23311', '911/23311', '1066/23311', '1220/23311', '1377/23311', '1536/23311', '1696/23311', '1858/23311', '2023/23311', '2191/23311', '2362/23311', '2538/23311', '2718/23311']
['279/11822', '349/11822', '210/5911', '245/5911', '563/11822', '317/5911', '707/11822', '390/5911', '427/5911', '929/11822', '1005/11822', '1083/11822', '581/5911', '27/257', '1325/11822']
['185/6829', '1557/47803', '1821/47803', '2081/47803', '2349/47803', '2617/47803', '2887/47803', '3161/47803', '3431/47803', '3711/47803', '3995/47803', '4283/47803', '4573/47803', '4869/47803', '739/6829']
['725/24117', '847/24117', '971/24117', '1093/24117', '1217/24117', '1343/24117', '489/8039', '533/8039', '1721/24117', '1855/24117', '1985/24117', '2119/24117', '751/8039', '797/8039', '2531/24117']
['317/9713', '1811/48565', '2043/48565', '2273/48565', '2507/48565', '2741/48565', '595/9713', '293/4415', '3451/48565', '3703/48565', '789/9713', '4193/48565', '4447/48565', '4703/48565', '993/9713']
['853/24427', '957/24427', '1067/24427', '1175/24427', '1285/24427', '1395/24427', '1505/24427', '1623/24427', '133/1879', '1847/24427', '1961/24427', '2077/24427', '169/1879', '2317/24427', '2439/24427']
['907/24545', '201/4909', '1107/24545', '242/4909', '1313/24545', '1417/24545', '1519/24545', '1631/24545', '1732/24545', '1842/24545', '390/4909', '412/4909', '2171/24545', '2284/24545', '2397/24545']
['479/12327', '25/587', '572/12327', '207/4109', '223/4109', '719/12327', '766/12327', '39/587', '289/4109', '919/12327', '970/12327', '146/1761', '1073/12327', '161/1761', '393/4109']
['2015/49493', '2181/49493', '2359/49493', '2541/49493', '2723/49493', '2911/49493', '3091/49493', '3287/49493', '3471/49493', '3667/49493', '3857/49493', '4053/49493', '4247/49493', '4447/49493', '4643/49493']
['264/6209', '565/12418', '607/12418', '649/12418', '346/6209', '368/6209', '779/12418', '412/6209', '869/12418', '457/6209', '137/1774', '1005/12418', '1051/12418', '1097/12418', '1143/12418']
['1102/24915', '78/1661', '1246/24915', '265/4983', '281/4983', '496/8305', '523/8305', '551/8305', '158/2265', '1823/24915', '1907/24915', '1994/24915', '416/4983', '722/8305', '2249/24915']
['574/12497', '605/12497', '639/12497', '676/12497', '713/12497', '752/12497', '790/12497', '829/12497', '869/12497', '909/12497', '948/12497', '989/12497', '1029/12497', '1069/12497', '1106/12497']
['2383/50125', '2493/50125', '2619/50125', '2753/50125', '2893/50125', '3037/50125', '3181/50125', '3323/50125', '3477/50125', '3623/50125', '3773/50125', '3923/50125', '4073/50125', '4219/50125', '871/10025']
['1235/25131', '1283/25131', '447/8377', '467/8377', '489/8377', '511/8377', '1601/25131', '555/8377', '1739/25131', '1805/25131', '1877/25131', '1945/25131', '2015/25131', '2081/25131', '2143/25131']
['425/8397', '1318/25191', '1370/25191', '1426/25191', '55/933', '1547/25191', '1610/25191', '1670/25191', '1738/25191', '200/2799', '2/27', '1930/25191', '1993/25191', '2054/25191', '703/8397']
['1315/25251', '451/8417', '1399/25251', '1451/25251', '501/8417', '1561/25251', '1619/25251', '1675/25251', '579/8417', '1795/25251', '1855/25251', '1915/25251', '657/8417', '2027/25251', '2075/25251']
['2703/50603', '2769/50603', '2851/50603', '2945/50603', '3041/50603', '3145/50603', '465/7229', '3357/50603', '3473/50603', '3579/50603', '3691/50603', '3799/50603', '3903/50603', '4003/50603', '4089/50603']
['347/6338', '177/3169', '363/6338', '747/12676', '769/12676', '198/3169', '409/6338', '841/12676', '217/3169', '223/3169', '459/6338', '471/6338', '483/6338', '247/3169', '1007/12676']
['284/5079', '289/5079', '492/8465', '1514/25395', '518/8465', '532/8465', '1643/25395', '562/8465', '578/8465', '593/8465', '1826/25395', '374/5079', '1913/25395', '651/8465', '662/8465']
['726/12719', '737/12719', '750/12719', '767/12719', '785/12719', '804/12719', '825/12719', '845/12719', '866/12719', '887/12719', '908/12719', '928/12719', '947/12719', '965/12719', '979/12719']
['1480/25473', '214/3639', '1522/25473', '517/8491', '528/8491', '1618/25473', '552/8491', '1693/25473', '577/8491', '1769/25473', '1807/25473', '1843/25473', '626/8491', '1909/25473', '1934/25473']
['377/6377', '761/12754', '386/6377', '56/911', '799/12754', '407/6377', '831/12754', '424/6377', '865/12754', '63/911', '899/12754', '915/12754', '133/1822', '472/6377', '955/12754']
