['0', '111/19523', '1112/97615', '1668/97615', '318/13945', '2787/97615', '670/19523', '559/13945', '4486/97615', '5058/97615', '5637/97615', '6222/97615', '6812/97615', '1482/19523', '8018/97615', '8634/97615', '9262/97615', '9904/97615', '10561/97615']
['685/133586', '2056/200379', '3086/200379', '4118/200379', '10307/400758', '12385/400758', '7238/200379', '8284/200379', '9343/200379', '10406/200379', '7653/133586', '12562/200379', '27311/400758', '29527/400758', '5295/66793', '17023/200379', '18181/200379', '19360/200379', '6855/66793']
['1910/204553', '2867/204553', '3825/204553', '4786/204553', '5750/204553', '6718/204553', '7691/204553', '8667/204553', '9652/204553', '10642/204553', '11640/204553', '12648/204553', '13665/204553', '14694/204553', '15735/204553', '16790/204553', '17861/204553', '18951/204553', '20061/204553']
['10689/831427', '14263/831427', '17841/831427', '21433/831427', '25039/831427', '28649/831427', '32291/831427', '35943/831427', '39619/831427', '43321/831427', '47049/831427', '50809/831427', '54605/831427', '58441/831427', '62317/831427', '66243/831427', '70227/831427', '3229/36149', '78381/831427']
['71/4481', '4173/210607', '5013/210607', '5855/210607', '6701/210607', '7548/210607', '8401/210607', '9257/210607', '10119/210607', '10987/210607', '11861/210607', '12741/210607', '290/4481', '14526/210607', '15433/210607', '16350/210607', '17278/210607', '18220/210607', '19177/210607']
['7837/425656', '2353/106414', '10991/425656', '12575/425656', '14165/425656', '15761/425656', '17365/425656', '2372/53207', '20597/425656', '5557/106414', '155/2764', '25525/425656', '3885/60808', '7219/106414', '546/7601', '367/4837', '221/2764', '35795/425656', '18791/212828']
['4432/214721', '5176/214721', '5921/214721', '513/16517', '7418/214721', '8173/214721', '8928/214721', '9689/214721', '10454/214721', '11224/214721', '11995/214721', '12778/214721', '13562/214721', '14354/214721', '15155/214721', '1228/16517', '16779/214721', '17607/214721', '18443/214721']
['9775/432539', '11182/432539', '12592/432539', '14006/432539', '15427/432539', '16852/432539', '18284/432539', '19723/432539', '21168/432539', '22629/432539', '24083/432539', '25564/432539', '27044/432539', '28544/432539', '30054/432539', '31577/432539', '33116/432539', '34672/432539', '36247/432539']
['1765/72539', '1987/72539', '6632/217617', '7301/217617', '7976/217617', '2884/72539', '9332/217617', '589/12801', '10699/217617', '11393/217617', '4027/72539', '4261/72539', '4495/72539', '14194/217617', '877/12801', '15628/217617', '16357/217617', '5697/72539', '5945/72539']
['11319/437473', '12587/437473', '13861/437473', '15137/437473', '16418/437473', '17704/437473', '18996/437473', '20294/437473', '21593/437473', '22918/437473', '24221/437473', '25557/437473', '26889/437473', '28236/437473', '29589/437473', '30957/437473', '32336/437473', '33727/437473', '35134/437473']
['599/21973', '471/15695', '720/21973', '781/21973', '8419/219730', '9033/219730', '4824/109865', '10267/219730', '5442/109865', '11517/219730', '6068/109865', '12773/219730', '6703/109865', '14047/219730', '1469/21973', '15341/219730', '457/6278', '16657/219730', '17323/219730']
['25161/882251', '27457/882251', '29775/882251', '32099/882251', '34433/882251', '36773/882251', '39125/882251', '41489/882251', '43843/882251', '46255/882251', '48627/882251', '51051/882251', '53467/882251', '55911/882251', '58367/882251', '60843/882251', '63337/882251', '65851/882251', '68387/882251']
['2627/88527', '2845/88527', '3067/88527', '5481/147545', '17561/442635', '18679/442635', '3961/88527', '4187/88527', '22063/442635', '7737/147545', '24349/442635', '5101/88527', '8887/147545', '27827/442635', '1261/19245', '30181/442635', '10457/147545', '32569/442635', '11259/147545']
['13649/443935', '14689/443935', '15746/443935', '16808/443935', '17876/443935', '18947/443935', '20023/443935', '21108/443935', '22186/443935', '4657/88787', '4875/88787', '5096/88787', '26587/443935', '27704/443935', '28824/443935', '29951/443935', '31087/443935', '32231/443935', '33379/443935']
['3534/111287', '7563/222574', '4033/111287', '8575/222574', '9085/222574', '9599/222574', '10113/222574', '5317/111287', '5575/111287', '11677/222574', '1109/20234', '12729/222574', '6629/111287', '13793/222574', '7164/111287', '7434/111287', '115/1661', '15957/222574', '8251/111287']
['29201/892423', '193/5543', '32993/892423', '34935/892423', '36891/892423', '5551/127489', '5833/127489', '42825/892423', '44809/892423', '46821/892423', '48833/892423', '50859/892423', '52891/892423', '54935/892423', '8141/127489', '59053/892423', '61127/892423', '63211/892423', '65291/892423']
['15051/447233', '15933/447233', '16849/447233', '17773/447233', '18709/447233', '19649/447233', '20597/447233', '21549/447233', '22505/447233', '23465/447233', '24433/447233', '25401/447233', '26377/447233', '27353/447233', '28339/447233', '29325/447233', '30317/447233', '31309/447233', '32299/447233']
['15483/448151', '16318/448151', '17185/448151', '18068/448151', '18960/448151', '19861/448151', '20766/448151', '21680/448151', '22595/448151', '23515/448151', '24443/448151', '25372/448151', '26305/448151', '27242/448151', '28183/448151', '2648/40741', '30073/448151', '31019/448151', '2905/40741']
['15909/449051', '16697/449051', '17515/449051', '18357/449051', '19205/449051', '20069/449051', '20931/449051', '21807/449051', '22683/449051', '23563/449051', '24453/449051', '25343/449051', '26235/449051', '27133/449051', '28031/449051', '28935/449051', '29833/449051', '30735/449051', '31617/449051']
['32643/899729', '34121/899729', '35671/899729', '37265/899729', '38885/899729', '40529/899729', '42181/899729', '43853/899729', '45533/899729', '47209/899729', '48923/899729', '50617/899729', '52331/899729', '54045/899729', '55761/899729', '57483/899729', '59199/899729', '60905/899729', '62575/899729']
['4183/112668', '8711/225336', '9077/225336', '3151/75112', '9839/225336', '10229/225336', '1328/28167', '1837/37556', '11425/225336', '3941/75112', '2039/37556', '6319/112668', '1631/28167', '1682/28167', '2311/37556', '14275/225336', '3671/56334', '7543/112668', '645/9389']
['17127/451409', '17774/451409', '18461/451409', '19174/451409', '19904/451409', '20647/451409', '21398/451409', '22158/451409', '22926/451409', '3384/64487', '24471/451409', '3606/64487', '26023/451409', '3829/64487', '27583/451409', '28362/451409', '29135/451409', '4271/64487', '30636/451409']
['17521/452143', '18125/452143', '18767/452143', '19441/452143', '20129/452143', '20835/452143', '21547/452143', '22271/452143', '23001/452143', '23729/452143', '24473/452143', '25209/452143', '25951/452143', '1405/23797', '27435/452143', '28175/452143', '28903/452143', '29623/452143', '30313/452143']
['8949/226403', '9229/226403', '9531/226403', '9847/226403', '10173/226403', '21013/452806', '21691/452806', '11188/226403', '11537/226403', '11882/226403', '12237/226403', '25173/452806', '25881/452806', '63/1073', '27291/452806', '27989/452806', '28679/452806', '29355/452806', '15001/226403']
['18275/453469', '18791/453469', '19357/453469', '19947/453469', '20563/453469', '21191/453469', '21835/453469', '22481/453469', '23147/453469', '23799/453469', '24475/453469', '25137/453469', '25811/453469', '26477/453469', '27147/453469', '27803/453469', '28455/453469', '29087/453469', '29691/453469']
