['0', '111/19523', '1112/97615', '1668/97615', '318/13945', '2787/97615', '670/19523', '559/13945', '4486/97615', '5058/97615', '5637/97615', '6222/97615', '6812/97615', '1482/19523', '8018/97615', '8634/97615', '9262/97615', '9904/97615', '10561/97615']
['37261/908135', '38221/908135', '39271/908135', '40381/908135', '41537/908135', '8545/181627', '43939/908135', '45167/908135', '9285/181627', '47667/908135', '9789/181627', '10041/181627', '51479/908135', '10549/181627', '54007/908135', '55249/908135', '56473/908135', '57659/908135', '58779/908135']
['9493/227333', '9715/227333', '9957/227333', '10217/227333', '10487/227333', '10767/227333', '11052/227333', '11343/227333', '11639/227333', '11934/227333', '12235/227333', '12534/227333', '12834/227333', '13134/227333', '13430/227333', '13723/227333', '14009/227333', '14286/227333', '14544/227333']
['38639/910399', '39453/910399', '5765/130057', '41323/910399', '42337/910399', '43387/910399', '44465/910399', '45559/910399', '46681/910399', '47797/910399', '48933/910399', '50063/910399', '51201/910399', '52329/910399', '53447/910399', '54547/910399', '55621/910399', '8093/130057', '57611/910399']
['6551/151911', '20023/455733', '20441/455733', '2321/50637', '7121/151911', '21853/455733', '22361/455733', '22873/455733', '7801/151911', '23929/455733', '24463/455733', '24995/455733', '2837/50637', '8687/151911', '26587/455733', '27101/455733', '3067/50637', '28079/455733', '28523/455733']
['5703/130345', '40603/912415', '41371/912415', '42207/912415', '43087/912415', '6287/130345', '44959/912415', '9185/182483', '46917/912415', '1369/26069', '9783/182483', '49923/912415', '50931/912415', '51927/912415', '52911/912415', '53877/912415', '54809/912415', '55697/912415', '8073/130345']
['10134/228341', '10290/228341', '10465/228341', '10659/228341', '10862/228341', '11078/228341', '11299/228341', '11526/228341', '11757/228341', '11993/228341', '12226/228341', '12464/228341', '12699/228341', '12933/228341', '13162/228341', '13388/228341', '13603/228341', '13809/228341', '13994/228341']
['41101/914197', '41667/914197', '42313/914197', '43027/914197', '43787/914197', '44587/914197', '45417/914197', '46265/914197', '47133/914197', '48019/914197', '48895/914197', '49787/914197', '50671/914197', '51545/914197', '1115/19451', '53243/914197', '54047/914197', '54803/914197', '55485/914197']
['20833/457515', '781/16945', '21383/457515', '21709/457515', '22063/457515', '7477/152505', '22819/457515', '23213/457515', '7873/152505', '8011/152505', '24443/457515', '24859/457515', '25273/457515', '25679/457515', '26081/457515', '26467/457515', '8947/152505', '5437/91503', '27497/457515']
['42179/915761', '42641/915761', '43179/915761', '43781/915761', '44433/915761', '45119/915761', '45839/915761', '46577/915761', '47331/915761', '6873/130823', '4443/83251', '49655/915761', '50425/915761', '51185/915761', '4721/83251', '52651/915761', '4849/83251', '53973/915761', '54539/915761']
['10673/229123', '10777/229123', '10898/229123', '11036/229123', '11185/229123', '11344/229123', '11510/229123', '11682/229123', '11856/229123', '12039/229123', '12215/229123', '12398/229123', '12576/229123', '12753/229123', '12925/229123', '13092/229123', '13249/229123', '13394/229123', '13521/229123']
['21576/458561', '21762/458561', '21983/458561', '22234/458561', '22510/458561', '22803/458561', '23112/458561', '23431/458561', '23756/458561', '24095/458561', '24425/458561', '24765/458561', '25097/458561', '25425/458561', '25746/458561', '26053/458561', '26343/458561', '26607/458561', '26838/458561']
['10903/229438', '10985/229438', '11085/229438', '509/10429', '11325/229438', '11459/229438', '5801/114719', '11749/229438', '5950/114719', '548/10429', '555/10429', '12367/229438', '12521/229438', '576/10429', '12821/229438', '12961/229438', '6547/114719', '13213/229438', '13317/229438']
['11005/229574', '11079/229574', '22337/459148', '5636/114787', '22775/459148', '23023/459148', '11643/229574', '5890/114787', '11919/229574', '6032/114787', '12207/229574', '12353/229574', '12495/229574', '6318/114787', '25545/459148', '6451/114787', '13023/229574', '26263/459148', '26449/459148']
['11107/229710', '11173/229710', '5626/114855', '61/1235', '1145/22971', '5782/114855', '5842/114855', '127/2470', '5969/114855', '2012/38285', '2034/38285', '4113/76570', '12469/229710', '420/7657', '6362/114855', '4281/76570', '6476/114855', '435/7657', '6566/114855']
['22394/459651', '22510/459651', '7551/153217', '22822/459651', '23012/459651', '7740/153217', '7814/153217', '23675/459651', '23911/459651', '24157/459651', '24403/459651', '8217/153217', '24893/459651', '613/11211', '8454/153217', '25579/459651', '25778/459651', '25954/459651', '26102/459651']
['11287/229941', '3779/76647', '11401/229941', '11476/229941', '3854/76647', '11656/229941', '11758/229941', '11864/229941', '3991/76647', '12085/229941', '12199/229941', '1368/25549', '12424/229941', '12533/229941', '12638/229941', '12736/229941', '12826/229941', '12904/229941', '12970/229941']
['11365/230039', '22819/460078', '11466/230039', '11534/230039', '23223/460078', '23395/460078', '11790/230039', '11888/230039', '11988/230039', '24183/460078', '12196/230039', '24601/460078', '12403/230039', '25007/460078', '12599/230039', '25377/460078', '25539/460078', '12840/230039', '12898/230039']
['11443/230137', '11482/230137', '11531/230137', '11592/230137', '11661/230137', '11739/230137', '11822/230137', '11912/230137', '12003/230137', '12098/230137', '12193/230137', '12289/230137', '12382/230137', '12474/230137', '12560/230137', '12641/230137', '12713/230137', '12776/230137', '12826/230137']
['23020/460437', '7696/153479', '7725/153479', '7761/153479', '7803/153479', '23549/460437', '23701/460437', '7955/153479', '8011/153479', '24205/460437', '24382/460437', '24556/460437', '24728/460437', '24895/460437', '25052/460437', '25198/460437', '8443/153479', '8480/153479', '25529/460437']
['11577/230300', '829/16450', '2911/57575', '11691/230300', '2937/57575', '1181/23030', '1697/32900', '11953/230300', '1203/23030', '12107/230300', '12189/230300', '261/4900', '6173/115150', '12421/230300', '3123/57575', '12557/230300', '3154/57575', '3166/57575', '12703/230300']
['46537/921473', '46639/921473', '46771/921473', '46939/921473', '47141/921473', '47367/921473', '47615/921473', '47885/921473', '48165/921473', '6921/131639', '48745/921473', '49031/921473', '49317/921473', '49591/921473', '7121/131639', '50083/921473', '50291/921473', '7209/131639', '50599/921473']
['23383/460873', '23427/460873', '23483/460873', '23557/460873', '23645/460873', '23747/460873', '23857/460873', '23979/460873', '24105/460873', '24233/460873', '3481/65839', '24497/460873', '24625/460873', '24749/460873', '24863/460873', '3567/65839', '25059/460873', '25135/460873', '3599/65839']
['23479/460984', '5879/115246', '11783/230492', '11815/230492', '23709/460984', '2975/57623', '5975/115246', '24009/460984', '24125/460984', '3030/57623', '24363/460984', '3060/57623', '24597/460984', '213/3974', '6203/115246', '12453/230492', '24987/460984', '25053/460984', '3138/57623']
['4715/92219', '4721/92219', '23649/461095', '23703/461095', '23773/461095', '23853/461095', '23943/461095', '24039/461095', '4829/92219', '24247/461095', '24359/461095', '24463/461095', '24569/461095', '24667/461095', '24761/461095', '24843/461095', '4983/92219', '24971/461095', '5003/92219']
['23655/461186', '23681/461186', '11859/230593', '11883/230593', '23827/461186', '23899/461186', '23979/461186', '12033/230593', '24161/461186', '12127/230593', '1107/20963', '24449/461186', '12272/230593', '24633/461186', '12358/230593', '12395/230593', '24853/461186', '12451/230593', '24939/461186']
['23735/461277', '7919/153759', '2643/51253', '7943/153759', '23881/461277', '23945/461277', '8005/153759', '2677/51253', '8059/153759', '8087/153759', '24349/461277', '2715/51253', '8173/153759', '24599/461277', '24671/461277', '24737/461277', '24791/461277', '24833/461277', '24863/461277']
['47601/922699', '47637/922699', '47689/922699', '47761/922699', '47853/922699', '47965/922699', '48091/922699', '48229/922699', '48381/922699', '48533/922699', '48691/922699', '48845/922699', '48997/922699', '49139/922699', '49269/922699', '49385/922699', '49479/922699', '49551/922699', '49603/922699']
['11933/230711', '11940/230711', '11951/230711', '11966/230711', '922/17747', '12010/230711', '926/17747', '12068/230711', '12102/230711', '12136/230711', '12171/230711', '12205/230711', '12239/230711', '12270/230711', '12299/230711', '948/17747', '12344/230711', '12359/230711', '12370/230711']
['23919/461480', '23931/461480', '23949/461480', '4795/92296', '24009/461480', '6013/115370', '24101/461480', '4831/92296', '4843/92296', '24277/461480', '12169/230740', '610/11537', '1223/23074', '6129/115370', '24567/461480', '24611/461480', '4929/92296', '24671/461480', '24689/461480']
['11986/230769', '571/10989', '1714/32967', '4003/76923', '1093/20979', '446/8547', '4021/76923', '1343/25641', '12113/230769', '1349/25641', '12167/230769', '1355/25641', '1111/20979', '4082/76923', '12268/230769', '1117/20979', '12301/230769', '152/2849', '12319/230769']
['24014/461583', '24022/461583', '24034/461583', '24052/461583', '24077/461583', '24109/461583', '2683/51287', '8063/153861', '24235/461583', '8095/153861', '24332/461583', '2709/51287', '24428/461583', '24472/461583', '24511/461583', '2727/51287', '24568/461583', '24586/461583', '24598/461583']
['6014/115407', '12031/230814', '2006/38469', '12043/230814', '2009/38469', '12067/230814', '2014/38469', '2017/38469', '6061/115407', '2024/38469', '4055/76938', '677/12823', '4069/76938', '6113/115407', '4081/76938', '6128/115407', '1363/25646', '6137/115407', '4093/76938']
['48179/923327', '48189/923327', '48205/923327', '48229/923327', '48265/923327', '48311/923327', '48369/923327', '48433/923327', '48503/923327', '48581/923327', '48655/923327', '48731/923327', '48805/923327', '48871/923327', '48929/923327', '48975/923327', '49011/923327', '49035/923327', '49051/923327']
['24123/461699', '24127/461699', '24133/461699', '3449/65957', '3451/65957', '24177/461699', '24201/461699', '24229/461699', '24259/461699', '24293/461699', '3475/65957', '24359/461699', '24391/461699', '24419/461699', '24443/461699', '24463/461699', '24477/461699', '24487/461699', '3499/65957']
['16099/307817', '16101/307817', '48313/923451', '48329/923451', '48353/923451', '16129/307817', '16143/307817', '16159/307817', '16177/307817', '48589/923451', '48647/923451', '48707/923451', '48763/923451', '48811/923451', '48853/923451', '48887/923451', '48911/923451', '16309/307817', '48937/923451']
['12087/230876', '3022/57719', '6045/115438', '12093/230876', '6049/115438', '12105/230876', '6057/115438', '3031/57719', '3034/57719', '3037/57719', '12161/230876', '6087/115438', '6093/115438', '3049/57719', '12205/230876', '3053/57719', '12217/230876', '3055/57719', '6111/115438']
['48387/923545', '6913/131935', '48397/923545', '48407/923545', '48423/923545', '6921/131935', '48477/923545', '48513/923545', '48553/923545', '48597/923545', '48641/923545', '48687/923545', '6961/131935', '48763/923545', '48793/923545', '48817/923545', '48833/923545', '48843/923545', '48849/923545']
['8071/153931', '24215/461793', '24217/461793', '24221/461793', '24227/461793', '8079/153931', '137/2609', '24265/461793', '24281/461793', '24301/461793', '24319/461793', '8113/153931', '24355/461793', '24371/461793', '24383/461793', '8131/153931', '8133/153931', '24403/461793', '8135/153931']
['673/12828', '24229/461808', '8077/153936', '4039/76968', '24239/461808', '24247/461808', '4043/76968', '24271/461808', '8095/153936', '12151/230904', '1351/25656', '24335/461808', '24349/461808', '12181/230904', '24373/461808', '903/17104', '12193/230904', '24389/461808', '24391/461808']
['8081/153941', '8081/153941', '24245/461823', '24247/461823', '24251/461823', '24257/461823', '8089/153941', '24277/461823', '24289/461823', '8101/153941', '24317/461823', '24331/461823', '24343/461823', '24353/461823', '8121/153941', '8123/153941', '24373/461823', '8125/153941', '24377/461823']
['12127/230917', '12127/230917', '24255/461834', '24257/461834', '12130/230917', '24265/461834', '24273/461834', '12141/230917', '12146/230917', '12152/230917', '12158/230917', '12164/230917', '12169/230917', '24347/461834', '24355/461834', '12180/230917', '24363/461834', '24365/461834', '12183/230917']
['4853/92369', '4853/92369', '4853/92369', '24267/461845', '24269/461845', '24273/461845', '24279/461845', '24287/461845', '4859/92369', '4861/92369', '4863/92369', '4865/92369', '24333/461845', '24341/461845', '24347/461845', '24351/461845', '24353/461845', '4871/92369', '4871/92369']
['9709/184741', '9709/184741', '9709/184741', '48547/923705', '48551/923705', '48557/923705', '48567/923705', '1313/24965', '9719/184741', '48611/923705', '48629/923705', '9729/184741', '48659/923705', '48673/923705', '48683/923705', '48689/923705', '48693/923705', '9739/184741', '9739/184741']
['1214/23093', '1214/23093', '1214/23093', '1214/23093', '12141/230930', '6071/115465', '6072/115465', '12147/230930', '1215/23093', '12153/230930', '12157/230930', '1216/23093', '12163/230930', '869/16495', '6084/115465', '12169/230930', '1217/23093', '1217/23093', '1217/23093']
['48571/923731', '48571/923731', '48571/923731', '48571/923731', '48573/923731', '48577/923731', '48583/923731', '48593/923731', '48603/923731', '48613/923731', '48627/923731', '48637/923731', '48647/923731', '48657/923731', '48663/923731', '48667/923731', '48669/923731', '48669/923731', '48669/923731']
['2699/51319', '2699/51319', '2699/51319', '2699/51319', '2699/51319', '24293/461871', '24295/461871', '24299/461871', '8101/153957', '24307/461871', '24313/461871', '24317/461871', '8107/153957', '24325/461871', '2703/51319', '24329/461871', '24329/461871', '24329/461871', '24329/461871']
['48589/923749', '48589/923749', '48589/923749', '48589/923749', '48589/923749', '48591/923749', '48595/923749', '48601/923749', '48609/923749', '48615/923749', '48625/923749', '48631/923749', '48639/923749', '2115/40163', '48649/923749', '48651/923749', '48651/923749', '48651/923749', '48651/923749']
['12149/230939', '12149/230939', '12149/230939', '12149/230939', '12149/230939', '12149/230939', '12150/230939', '12151/230939', '12153/230939', '12154/230939', '12156/230939', '12157/230939', '12159/230939', '12160/230939', '12161/230939', '12161/230939', '12161/230939', '12161/230939', '12161/230939']
['48601/923761', '48601/923761', '48601/923761', '48601/923761', '48601/923761', '48601/923761', '48603/923761', '48607/923761', '48613/923761', '48617/923761', '48623/923761', '48627/923761', '48633/923761', '48637/923761', '48639/923761', '48639/923761', '48639/923761', '48639/923761', '48639/923761']
['8101/153961', '8101/153961', '8101/153961', '8101/153961', '8101/153961', '8101/153961', '8101/153961', '24305/461883', '24307/461883', '8103/153961', '24311/461883', '24313/461883', '8105/153961', '24317/461883', '24317/461883', '24317/461883', '24317/461883', '24317/461883', '24317/461883']
['491/9331', '491/9331', '491/9331', '491/9331', '491/9331', '491/9331', '491/9331', '48611/923769', '2315/43989', '48619/923769', '16207/307923', '48625/923769', '6947/131967', '4421/83979', '4421/83979', '4421/83979', '4421/83979', '4421/83979', '4421/83979']
['4051/76981', '4051/76981', '4051/76981', '4051/76981', '4051/76981', '4051/76981', '4051/76981', '4051/76981', '12154/230943', '12155/230943', '12155/230943', '4052/76981', '12157/230943', '12157/230943', '12157/230943', '12157/230943', '12157/230943', '12157/230943', '12157/230943']
['24307/461887', '24307/461887', '24307/461887', '24307/461887', '24307/461887', '24307/461887', '24307/461887', '24307/461887', '24308/461887', '24310/461887', '24310/461887', '24312/461887', '24313/461887', '24313/461887', '24313/461887', '24313/461887', '24313/461887', '24313/461887', '24313/461887']
['6077/115472', '6077/115472', '6077/115472', '6077/115472', '6077/115472', '6077/115472', '6077/115472', '6077/115472', '6077/115472', '12155/230944', '12155/230944', '3039/57736', '3039/57736', '3039/57736', '3039/57736', '3039/57736', '3039/57736', '3039/57736', '3039/57736']
['48617/923777', '48617/923777', '48617/923777', '48617/923777', '48617/923777', '48617/923777', '48617/923777', '48617/923777', '48617/923777', '48619/923777', '48621/923777', '48623/923777', '48623/923777', '48623/923777', '48623/923777', '48623/923777', '48623/923777', '48623/923777', '48623/923777']
['2701/51321', '2701/51321', '2701/51321', '2701/51321', '2701/51321', '2701/51321', '2701/51321', '2701/51321', '2701/51321', '2701/51321', '24311/461889', '24311/461889', '24311/461889', '24311/461889', '24311/461889', '24311/461889', '24311/461889', '24311/461889', '24311/461889']
['48619/923779', '48619/923779', '48619/923779', '48619/923779', '48619/923779', '48619/923779', '48619/923779', '48619/923779', '48619/923779', '48619/923779', '48621/923779', '48621/923779', '48621/923779', '48621/923779', '48621/923779', '48621/923779', '48621/923779', '48621/923779', '48621/923779']
['1/19', '1/19', '1/19', '1/19', '1/19', '1/19', '1/19', '1/19', '1/19', '1/19', '1/19', '1/19', '1/19', '1/19', '1/19', '1/19', '1/19', '1/19', '1/19']
