['0', '5426345649/4958400320726', '10853097975/4958400320726', '16280663563/4958400320726', '21709450173/4958400320726', '27139866589/4958400320726', '32572322645/4958400320726', '38007230379/4958400320726', '43445003991/4958400320726', '48886059831/4958400320726', '54330817587/4958400320726', '59779700289/4958400320726', '65233134281/4958400320726', '70691550473/4958400320726', '76155384389/4958400320726', '81625076113/4958400320726', '87101071855/4958400320726', '92583823257/4958400320726', '98073788889/4958400320726', '103571433921/4958400320726', '109077231621/4958400320726', '114591662745/4958400320726', '120115217323/4958400320726', '125648394759/4958400320726', '131191704155/4958400320726', '136745665845/4958400320726', '142310811781/4958400320726', '147887685909/4958400320726', '153476845925/4958400320726', '159078863839/4958400320726', '164694326465/4958400320726', '170323837511/4958400320726', '175968018293/4958400320726', '181627508583/4958400320726', '187302968953/4958400320726', '192995081863/4958400320726', '198704552949/4958400320726', '204432113779/4958400320726', '210178523517/4958400320726', '215944570815/4958400320726', '221731077297/4958400320726', '227538900115/4958400320726', '233368934835/4958400320726']
['20965992017/20064748497351', '13977816801/6688249499117', '62903842339/20064748497351', '27959545927/6688249499117', '104859310315/20064748497351', '41949112643/6688249499117', '146844205079/20064748497351', '55950467847/6688249499117', '188870433229/20064748497351', '209902804357/20064748497351', '230950038329/20064748497351', '84004556225/6688249499117', '91031747769/6688249499117', '294196325489/20064748497351', '105106164997/6688249499117', '336463350137/20064748497351', '12332155523/691887879219', '378827613811/20064748497351', '133350108547/6688249499117', '421302333913/20064748497351', '442585354363/20064748497351', '463901131939/20064748497351', '161750480965/6688249499117', '168879365485/6688249499117', '176020979355/6688249499117', '549527851403/20064748497351', '571034760665/20064748497351', '592585634203/20064748497351', '614182487155/20064748497351', '211942461385/6688249499117', '657522443807/20064748497351', '226423280631/6688249499117', '233690605001/6688249499117', '240976888609/6688249499117', '744848767433/20064748497351', '766828568051/20064748497351', '262957532547/6688249499117', '810983473699/20064748497351', '833163907729/20064748497351', '855416713793/20064748497351', '877744816615/20064748497351', '900151260749/20064748497351', '922639222363/20064748497351']
['1842666653/921547369693', '30405657057/10137021066623', '40543970959/10137021066623', '50684940551/10137021066623', '5529930345/921547369693', '70977520929/10137021066623', '7375497745/921547369693', '91288773907/10137021066623', '101453098105/10137021066623', '10147648509/921547369693', '121802571821/10137021066623', '11999009977/921547369693', '142184450787/10137021066623', '152389305865/10137021066623', '162604393249/10137021066623', '172830439467/10137021066623', '183068180913/10137021066623', '193318362835/10137021066623', '203581741519/10137021066623', '213859084691/10137021066623', '224151171939/10137021066623', '234458795837/10137021066623', '244782763249/10137021066623', '255123895549/10137021066623', '265483029925/10137021066623', '275861020931/10137021066623', '286258740787/10137021066623', '296677081009/10137021066623', '27919723093/921547369693', '317579293849/10137021066623', '328065057873/10137021066623', '338575228907/10137021066623', '349110816041/10137021066623', '359672856937/10137021066623', '370262420183/10137021066623', '380880606709/10137021066623', '391528552521/10137021066623', '402207431759/10137021066623', '37538041699/921547369693', '423662891317/10137021066623', '434442035263/10137021066623', '445257246927/10137021066623', '456109938225/10137021066623']
['14708257959/5115684245260', '39224824943/10231368490520', '24517769789/5115684245260', '14712316187/2557842122630', '17166651793/2557842122630', '15697635237/2046273698104', '44157292279/5115684245260', '98146448229/10231368490520', '107984387129/10231368490520', '58914513021/5115684245260', '31920248589/2557842122630', '137540926911/10231368490520', '147409464941/10231368490520', '39321813953/2557842122630', '41793738509/2557842122630', '177073221979/10231368490520', '186982730181/10231368490520', '196904157733/10231368490520', '25854774231/1278921061315', '216785537441/10231368490520', '45349379673/2046273698104', '47344599693/2046273698104', '246714571641/10231368490520', '128361182509/5115684245260', '133373570107/5115684245260', '138394836739/5115684245260', '286850757039/10231368490520', '296931200541/10231368490520', '307031831363/10231368490520', '158576748087/5115684245260', '40912132822/1278921061315', '337463419671/10231368490520', '43456684988/1278921061315', '71573636201/2046273698104', '368108486903/10231368490520', '378375389933/10231368490520', '48583739152/1278921061315', '199496556031/5115684245260', '204673038361/5115684245260', '419729935417/10231368490520', '215072928219/5115684245260', '440595051721/10231368490520', '225539390457/5115684245260']
['37979383399/10317227718427', '47478323115/10317227718427', '56979996429/10317227718427', '66484953775/10317227718427', '75993748157/10317227718427', '85506935229/10317227718427', '95025073573/10317227718427', '104548724947/10317227718427', '114078455461/10317227718427', '123614834937/10317227718427', '133158437945/10317227718427', '142709844423/10317227718427', '152269639589/10317227718427', '161838414501/10317227718427', '24488109617/1473889674061', '181005302451/10317227718427', '190604632187/10317227718427', '200215376915/10317227718427', '209838165435/10317227718427', '219473635625/10317227718427', '229122435559/10317227718427', '238785223337/10317227718427', '35494666889/1473889674061', '36879350223/1473889674061', '267864267011/10317227718427', '277589821421/10317227718427', '287332836345/10317227718427', '297094047899/10317227718427', '6262738945/210555667723', '316674087113/10317227718427', '326494471593/10317227718427', '336336168219/10317227718427', '346200004369/10317227718427', '356086828715/10317227718427', '365997513269/10317227718427', '375932955009/10317227718427', '385894077103/10317227718427', '395881830835/10317227718427', '405897198209/10317227718427', '59420170451/1473889674061', '426014864463/10317227718427', '62302756959/1473889674061', '446255622587/10317227718427']
['92008849895/20789952630929', '110421555695/20789952630929', '128840237979/20789952630929', '147265902535/20789952630929', '165699559245/20789952630929', '184142223495/20789952630929', '202594916461/20789952630929', '221058665485/20789952630929', '239534505445/20789952630929', '258023479137/20789952630929', '276526637683/20789952630929', '295045041991/20789952630929', '313579763165/20789952630929', '332131882947/20789952630929', '350702495409/20789952630929', '369292707129/20789952630929', '387903638165/20789952630929', '406536423347/20789952630929', '425192213105/20789952630929', '443872173989/20789952630929', '462577490555/20789952630929', '481309366057/20789952630929', '500069023277/20789952630929', '518857706461/20789952630929', '537676682221/20789952630929', '556527240605/20789952630929', '575410697199/20789952630929', '594328394331/20789952630929', '613281702285/20789952630929', '632272021777/20789952630929', '651300785419/20789952630929', '670369459325/20789952630929', '689479545925/20789952630929', '708632585851/20789952630929', '727830159963/20789952630929', '747073892767/20789952630929', '766365454811/20789952630929', '785706565377/20789952630929', '805098996587/20789952630929', '824544576643/20789952630929', '844045193467/20789952630929', '863602799837/20789952630929', '883219417887/20789952630929']
['53537948619/10466075597305', '62467821573/10466075597305', '71400878219/10466075597305', '80337578713/10466075597305', '89278385403/10466075597305', '98223763749/10466075597305', '21434836147/2093215119461', '116130107647/10466075597305', '125092018679/10466075597305', '134060391477/10466075597305', '28607141599/2093215119461', '152018454941/10466075597305', '161009122679/10466075597305', '170008207633/10466075597305', '35803242275/2093215119461', '188033640843/10466075597305', '197061009577/10466075597305', '206098838031/10466075597305', '215147652653/10466075597305', '224207988377/10466075597305', '233280387771/10466075597305', '242365401369/10466075597305', '251463589067/10466075597305', '260575520503/10466075597305', '269701774311/10466075597305', '55768588141/2093215119461', '57599924175/2093215119461', '59434485483/2093215119461', '306361985963/10466075597305', '315568935739/10466075597305', '324793929079/10466075597305', '66807526849/2093215119461', '343300735087/10466075597305', '352583931793/10466075597305', '361887942849/10466075597305', '371213505961/10466075597305', '76112275587/2093215119461', '389932338067/10466075597305', '399327188173/10466075597305', '81749350805/2093215119461', '418191887813/10466075597305', '427663469963/10466075597305', '437162409679/10466075597305']
['121234559189/21061455612923', '138570383095/21061455612923', '155912866367/21061455612923', '173262853569/21061455612923', '190621193469/21061455612923', '207988739367/21061455612923', '225366350119/21061455612923', '242754890473/21061455612923', '260155231161/21061455612923', '277568250191/21061455612923', '26817712095/1914677782993', '312435872909/21061455612923', '329892272003/21061455612923', '347364941793/21061455612923', '364854803359/21061455612923', '382362788667/21061455612923', '399889840971/21061455612923', '417436915135/21061455612923', '435004979119/21061455612923', '452595014347/21061455612923', '470208016189/21061455612923', '487844995559/21061455612923', '505506979311/21061455612923', '523195010949/21061455612923', '540910152239/21061455612923', '50786680355/1914677782993', '576426106321/21061455612923', '594229141413/21061455612923', '612063733433/21061455612923', '629931049983/21061455612923', '647832283985/21061455612923', '665768654853/21061455612923', '683741409599/21061455612923', '701751825279/21061455612923', '719801210323/21061455612923', '737890906101/21061455612923', '756022289665/21061455612923', '774196775619/21061455612923', '72037801643/1914677782993', '810680913995/21061455612923', '828993605615/21061455612923', '77032316653/1914677782993', '865768188983/21061455612923']
['67281409769/10590125854585', '75701287687/10590125854585', '84124601637/10590125854585', '18510347813/2118025170917', '20196618207/2118025170917', '21883809889/2118025170917', '117860009741/10590125854585', '126306369467/10590125854585', '26951705945/2118025170917', '143216894007/10590125854585', '151681870349/10590125854585', '160153869509/10590125854585', '168633306879/10590125854585', '177120601771/10590125854585', '37123235677/2118025170917', '194120465079/10590125854585', '202633896331/10590125854585', '211156911097/10590125854585', '219689954701/10590125854585', '45646695663/2118025170917', '236787939809/10590125854585', '245353803349/10590125854585', '253931541153/10590125854585', '262521632203/10590125854585', '271124564061/10590125854585', '279740832553/10590125854585', '288370942701/10590125854585', '297015408397/10590125854585', '61134950881/2118025170917', '314349515157/10590125854585', '323040236693/10590125854585', '66349495329/2118025170917', '340471805217/10590125854585', '349213805179/10590125854585', '357974074053/10590125854585', '366753223169/10590125854585', '375551879929/10590125854585', '384370688001/10590125854585', '78642061755/2118025170917', '402071421621/10590125854585', '410954726629/10590125854585', '419860943969/10590125854585', '428790816923/10590125854585']
['73560211421/10644350445194', '40872317443/5322175222597', '44966283256/5322175222597', '2886010710/313069130741', '106320387281/10644350445194', '6736529273/626138261482', '3609604694/313069130741', '130937439769/10644350445194', '139154007591/10644350445194', '147376635783/10644350445194', '77802849986/5322175222597', '163841579229/10644350445194', '86042328309/5322175222597', '90167659387/5322175222597', '94296978245/5322175222597', '196860965315/10644350445194', '102568372569/5322175222597', '106710850394/5322175222597', '221716242673/10644350445194', '115010393190/5322175222597', '238335753395/10644350445194', '7254752107/313069130741', '254998675227/10644350445194', '263347505145/10644350445194', '271708509915/10644350445194', '140041072692/5322175222597', '144234437694/5322175222597', '148434586280/5322175222597', '152641759067/5322175222597', '156856201342/5322175222597', '161078163556/5322175222597', '19447988375/626138261482', '169545675210/5322175222597', '173791752602/5322175222597', '178046406283/5322175222597', '364619831411/10644350445194', '186582567308/5322175222597', '190864654626/5322175222597', '195156478895/5322175222597', '199458349647/5322175222597', '203770584933/5322175222597', '208093511967/5322175222597', '424854935887/10644350445194']
['39743275742/5347193668409', '43723795391/5347193668409', '47706091744/5347193668409', '51690330311/5347193668409', '55676676638/5347193668409', '59665298296/5347193668409', '63656363030/5347193668409', '67650040540/5347193668409', '71646501257/5347193668409', '75645917556/5347193668409', '79648462621/5347193668409', '83654312008/5347193668409', '87663642226/5347193668409', '91676632138/5347193668409', '95693462121/5347193668409', '99714314947/5347193668409', '103739375002/5347193668409', '107768829593/5347193668409', '111802867745/5347193668409', '115841681503/5347193668409', '119885465211/5347193668409', '123934416336/5347193668409', '127988734814/5347193668409', '132048624285/5347193668409', '136114291041/5347193668409', '1974449933/75312586879', '144263800371/5347193668409', '148348073995/5347193668409', '152438987206/5347193668409', '156536765929/5347193668409', '160641639918/5347193668409', '164753843986/5347193668409', '168873617567/5347193668409', '173001205604/5347193668409', '177136857993/5347193668409', '181280831022/5347193668409', '185433386403/5347193668409', '189594792754/5347193668409', '193765325128/5347193668409', '197945266122/5347193668409', '202134905385/5347193668409', '206334541364/5347193668409', '210544480323/5347193668409']
