['0', '199982/82644371', '400014/82644371', '600142/82644371', '2401249/247933113', '3002666/247933113', '3604816/247933113', '4207856/247933113', '4811947/247933113', '5417236/247933113', '6023897/247933113', '2210688/82644371', '2413991/82644371', '2617909/82644371', '8467558/247933113', '9083630/247933113', '3234050/82644371', '10323326/247933113', '10947368/247933113', '11574506/247933113', '12204991/247933113', '12839063/247933113', '4492335/82644371', '14119114/247933113', '14765695/247933113', '15417095/247933113', '16073696/247933113', '5578633/82644371', '17404172/247933113']
['5640609/280639676', '11849307/561279352', '12418273/561279352', '6494009/280639676', '1694816/70159919', '1766229/70159919', '1837745/70159919', '1909368/70159919', '15848817/561279352', '16423625/561279352', '16999389/561279352', '17576185/561279352', '18153979/561279352', '9366465/280639676', '19312939/561279352', '9947091/280639676', '20476603/561279352', '10530155/280639676', '5411329/140319838', '5557923/140319838', '22819469/561279352', '23408707/561279352', '23999445/561279352', '24591755/561279352', '12592841/280639676', '25781281/561279352', '6594651/140319838', '13488859/280639676', '6894661/140319838']
['1441193/70276103', '3020583/140552206', '1579515/70276103', '1648833/70276103', '1718254/70276103', '3575531/140552206', '1857384/70276103', '7708403/281104412', '3993859/140552206', '8267461/281104412', '4273843/140552206', '4414189/140552206', '17897/552268', '2347823/70276103', '4836771/140552206', '4978175/140552206', '2559936/70276103', '2630930/70276103', '10808337/281104412', '5546789/140552206', '5689749/140552206', '5833043/140552206', '11953407/281104412', '6120719/140552206', '6265127/140552206', '126929/2783212', '6555115/140552206', '6700719/140552206', '6846753/140552206']
['490199/23460568', '6151475/281526816', '2140363/93842272', '13382249/563053632', '4641037/187684544', '14464753/563053632', '15007183/563053632', '5183475/187684544', '5364833/187684544', '4159859/140763408', '17185255/563053632', '5910673/187684544', '3046617/93842272', '3138069/93842272', '19378115/563053632', '19928905/563053632', '10240387/281526816', '5258447/140763408', '7195991/187684544', '1845281/46921136', '22700021/563053632', '23257969/563053632', '23817251/563053632', '8125973/187684544', '8313335/187684544', '132831/2932571', '8689533/187684544', '26635175/563053632', '425051/8797713']
['2397765/112770067', '12512969/563850335', '2607647/112770067', '13564459/563850335', '14091463/563850335', '14619313/563850335', '15147887/563850335', '15677319/563850335', '16207517/563850335', '16738593/563850335', '17270481/563850335', '17803321/563850335', '18336999/563850335', '3774341/112770067', '19407317/563850335', '3988799/112770067', '20481671/563850335', '4204095/112770067', '4312067/112770067', '4420279/112770067', '22643593/563850335', '4637411/112770067', '23731731/563850335', '24277751/563850335', '24825041/563850335', '25373751/563850335', '25923793/563850335', '26475279/563850335', '27028067/563850335']
['24404563/1129156847', '25425653/1129156847', '1555847/66420991', '27475137/1129156847', '28502623/1129156847', '29531759/1129156847', '30562477/1129156847', '31594783/1129156847', '32628703/1129156847', '4809179/161308121', '34701463/1129156847', '5105775/161308121', '36781105/1129156847', '2909511/86858219', '2286355/66420991', '39914347/1129156847', '40962653/1129156847', '42013021/1129156847', '43065481/1129156847', '44120109/1129156847', '6453855/161308121', '6605165/161308121', '47297683/1129156847', '6908805/161308121', '49428049/1129156847', '50496983/1129156847', '3033439/66420991', '7520351/161308121', '7674115/161308121']
['6203417/282635099', '6452107/282635099', '6701576/282635099', '6951573/282635099', '7202071/282635099', '7452971/282635099', '7704309/282635099', '7956021/282635099', '200199/6893539', '8460675/282635099', '8713624/282635099', '8966970/282635099', '9220760/282635099', '9474970/282635099', '9729654/282635099', '9984765/282635099', '10240385/282635099', '10496462/282635099', '10753063/282635099', '11010154/282635099', '11267797/282635099', '11525953/282635099', '11784688/282635099', '12043957/282635099', '12303824/282635099', '12564242/282635099', '12825262/282635099', '13086809/282635099', '13348881/282635099']
['12602783/565906087', '13087437/565906087', '13573782/565906087', '14061378/565906087', '14550002/565906087', '15039541/565906087', '15529941/565906087', '16021156/565906087', '16513178/565906087', '17006010/565906087', '17499640/565906087', '17994096/565906087', '18489375/565906087', '12178/362993', '19482507/565906087', '19980363/565906087', '20479159/565906087', '20978858/565906087', '21479515/565906087', '21981138/565906087', '22483752/565906087', '22987376/565906087', '23492025/565906087', '23997712/565906087', '24504453/565906087', '25012233/565906087', '25521034/565906087', '26030798/565906087', '26541343/565906087']
['12791825/566515123', '13264069/566515123', '13738155/566515123', '111919/4460749', '14690349/566515123', '15168025/566515123', '15646559/566515123', '16125999/566515123', '16606199/566515123', '17087275/566515123', '17569093/566515123', '1061869/33324419', '18535211/566515123', '19019523/566515123', '19504639/566515123', '19990605/566515123', '20477441/566515123', '20965171/566515123', '21453763/566515123', '21943323/566515123', '22433747/566515123', '89203/2204339', '23417489/566515123', '23910811/566515123', '24405033/566515123', '24900237/566515123', '25396259/566515123', '25893143/566515123', '26390523/566515123']
['25948203/1134157297', '26868333/1134157297', '27792729/1134157297', '4102897/162022471', '29650349/1134157297', '30582575/1134157297', '31516731/1134157297', '32452677/1134157297', '33390317/1134157297', '34329613/1134157297', '35270505/1134157297', '2785617/87242869', '37157123/1134157297', '38102815/1134157297', '3003863/87242869', '3076853/87242869', '40949777/1134157297', '41902051/1134157297', '6122293/162022471', '43811769/1134157297', '6395601/162022471', '45728387/1134157297', '6669901/162022471', '47651959/1134157297', '48616301/1134157297', '7083179/162022471', '50549679/1134157297', '51518335/1134157297', '4037511/87242869']
['6575590/283811397', '2266547/94603799', '7024915/283811397', '7251038/283811397', '2492632/94603799', '2568439/94603799', '7933283/283811397', '2720566/94603799', '8390584/283811397', '2873288/94603799', '2949860/94603799', '9079675/283811397', '3103396/94603799', '9541063/283811397', '9772394/283811397', '10004032/283811397', '3412050/94603799', '10468610/283811397', '10701505/283811397', '10934776/283811397', '11168473/283811397', '11402539/283811397', '11637032/283811397', '11871881/283811397', '12107123/283811397', '12342677/283811397', '12578551/283811397', '12814600/283811397', '13050722/283811397']
['26645591/1136258747', '27518461/1136258747', '28396617/1136258747', '29278687/1136258747', '30163875/1136258747', '31051663/1136258747', '31941703/1136258747', '32833759/1136258747', '33727687/1136258747', '34623361/1136258747', '35520707/1136258747', '36419685/1136258747', '37320241/1136258747', '38222295/1136258747', '39126077/1136258747', '40031113/1136258747', '40937911/1136258747', '41846091/1136258747', '42755833/1136258747', '43667051/1136258747', '44579753/1136258747', '45493901/1136258747', '46409471/1136258747', '47326379/1136258747', '48244525/1136258747', '49163753/1136258747', '50083821/1136258747', '51004303/1136258747', '51924433/1136258747']
['13490621/568622345', '2783107/113724469', '14343299/568622345', '14773299/568622345', '15204969/568622345', '15638123/568622345', '16072449/568622345', '16507917/568622345', '3388863/113724469', '3476337/113724469', '17819863/568622345', '18258919/568622345', '18698723/568622345', '19139313/568622345', '19580711/568622345', '20022759/568622345', '20465613/568622345', '20909163/568622345', '21353401/568622345', '21798373/568622345', '22243967/568622345', '22690269/568622345', '23137137/568622345', '23584621/568622345', '24032549/568622345', '24480933/568622345', '4985899/113724469', '25378111/568622345', '25826213/568622345']
['13654114/569084005', '14067651/569084005', '14484363/569084005', '14903474/569084005', '15324481/569084005', '15747051/569084005', '16170961/569084005', '16596036/569084005', '17022157/569084005', '17449246/569084005', '17877224/569084005', '18306044/569084005', '2676526/81297715', '19166036/569084005', '2799607/81297715', '2861292/81297715', '20461661/569084005', '4178977/113816801', '3046973/81297715', '4352671/113816801', '22198514/569084005', '22634252/569084005', '23070514/569084005', '23507233/569084005', '23944328/569084005', '24381667/569084005', '4963813/113816801', '25256236/569084005', '25692671/569084005']
['13814935/569536383', '14217185/569536383', '14622947/569536383', '15031283/569536383', '15441761/569536383', '15853889/569536383', '16267535/569536383', '5560795/189845461', '17098405/569536383', '17515391/569536383', '17933365/569536383', '6117381/189845461', '18771817/569536383', '19192145/569536383', '19613381/569536383', '6678377/189845461', '20457731/569536383', '20880841/569536383', '21304667/569536383', '21729001/569536383', '1704149/43810491', '22579315/569536383', '7668393/189845461', '23431327/569536383', '7952593/189845461', '24284257/569536383', '24710659/569536383', '25136539/569536383', '25561453/569536383']
['27944087/1139923889', '28726531/1139923889', '29516419/1139923889', '30312011/1139923889', '31112143/1139923889', '31916007/1139923889', '2517155/87686453', '33532745/1139923889', '34344865/1139923889', '35159129/1139923889', '35975343/1139923889', '36793345/1139923889', '37613055/1139923889', '38434187/1139923889', '39257019/1139923889', '3083151/87686453', '40906433/1139923889', '41732981/1139923889', '42560745/1139923889', '43389529/1139923889', '44219281/1139923889', '3465373/87686453', '45881083/1139923889', '46712787/1139923889', '47544695/1139923889', '48376459/1139923889', '49207567/1139923889', '50037271/1139923889', '50864345/1139923889']
['7063667/285190690', '3626896/142595345', '1489177/57038138', '763955/28519069', '7834419/285190690', '8030333/285190690', '1645413/57038138', '8424563/285190690', '8622671/285190690', '8821373/285190690', '9020561/285190690', '4610121/142595345', '942033/28519069', '9620807/285190690', '9821679/285190690', '5011426/142595345', '5112182/142595345', '1042616/28519069', '2125641/57038138', '5415254/142595345', '5516494/142595345', '5617828/142595345', '11438413/285190690', '11641259/285190690', '11844051/285190690', '6023378/142595345', '6124582/142595345', '6225563/142595345', '12652251/285190690']
['28558869/1141554805', '29297699/1141554805', '6009007/228310961', '30798993/1141554805', '31558261/1141554805', '32321907/1141554805', '6617841/228310961', '33859659/1141554805', '34632839/1141554805', '35408423/1141554805', '36186151/1141554805', '36965809/1141554805', '37747269/1141554805', '38530187/1141554805', '39314777/1141554805', '40100473/1141554805', '40887553/1141554805', '41675613/1141554805', '8492937/228310961', '43254559/1141554805', '44045111/1141554805', '44836139/1141554805', '45627427/1141554805', '46418721/1141554805', '47209641/1141554805', '47999741/1141554805', '48788373/1141554805', '49574621/1141554805', '10071413/228310961']
['14430343/571169513', '14788955/571169513', '15152141/571169513', '15518811/571169513', '15888393/571169513', '16260267/571169513', '16634167/571169513', '17009699/571169513', '17386741/571169513', '17765003/571169513', '18144449/571169513', '18524837/571169513', '18906217/571169513', '19288285/571169513', '19671233/571169513', '20054685/571169513', '20438853/571169513', '20823423/571169513', '21208511/571169513', '21593883/571169513', '21979577/571169513', '22365367/571169513', '733911/18424823', '23136931/571169513', '23522349/571169513', '23907119/571169513', '24291005/571169513', '24673389/571169513', '25053639/571169513']
['29156335/1143080987', '29852507/1143080987', '30558189/1143080987', '31271391/1143080987', '31990667/1143080987', '32714957/1143080987', '33443461/1143080987', '34175553/1143080987', '34910735/1143080987', '35648619/1143080987', '36388865/1143080987', '37131183/1143080987', '37875439/1143080987', '38621211/1143080987', '39368613/1143080987', '40117153/1143080987', '40866939/1143080987', '41617589/1143080987', '42369077/1143080987', '43121119/1143080987', '43873553/1143080987', '44626127/1143080987', '45378541/1143080987', '46130453/1143080987', '46881421/1143080987', '47630859/1143080987', '48378007/1143080987', '49121797/1143080987', '49860627/1143080987']
['818069/31772726', '1255235/47659089', '7702667/285954534', '3937972/142977267', '8050807/285954534', '1371172/47659089', '933817/31772726', '4291328/142977267', '4380875/142977267', '4470794/142977267', '4561009/142977267', '9303013/285954534', '1580747/47659089', '1074041/31772726', '4924315/142977267', '1671868/47659089', '5107027/142977267', '10397129/285954534', '10580363/285954534', '5381867/142977267', '10947137/285954534', '1236729/31772726', '5656931/142977267', '11497001/285954534', '5839901/142977267', '11862161/285954534', '2007302/47659089', '2037422/47659089', '6201919/142977267']
['29738679/1144516481', '30393177/1144516481', '31058103/1144516481', '31731379/1144516481', '32411469/1144516481', '33097213/1144516481', '33787703/1144516481', '34482231/1144516481', '35180225/1144516481', '35881217/1144516481', '36584817/1144516481', '37290657/1144516481', '37998543/1144516481', '38708045/1144516481', '39419145/1144516481', '40131407/1144516481', '40844785/1144516481', '41558933/1144516481', '42273717/1144516481', '42988831/1144516481', '43704051/1144516481', '44419051/1144516481', '45133471/1144516481', '45846887/1144516481', '46558765/1144516481', '47268421/1144516481', '47974973/1144516481', '48677207/1144516481', '49373379/1144516481']
['3753246/143151497', '3832478/143151497', '7826167/286302994', '3994767/143151497', '8154725/286302994', '4160690/143151497', '8489315/286302994', '4329145/143151497', '4414104/143151497', '4499441/143151497', '4585135/143151497', '4671107/143151497', '9514709/286302994', '4843797/143151497', '9860905/286302994', '5017240/143151497', '10208347/286302994', '5191184/143151497', '5278274/143151497', '10730757/286302994', '10904985/286302994', '5539540/143151497', '11253009/286302994', '11426595/286302994', '5799874/143151497', '11772231/286302994', '5971934/143151497', '6057137/143151497', '12283063/286302994']
['30306933/1145870845', '30920791/1145870845', '31545901/1145870845', '32180117/1145870845', '32821833/1145870845', '6693961/229174169', '34123041/1145870845', '4968679/163695835', '35442307/1145870845', '36107147/1145870845', '36774841/1145870845', '37444961/1145870845', '5445319/163695835', '38791223/1145870845', '7893357/229174169', '5734793/163695835', '5831613/163695835', '5928531/163695835', '6025511/163695835', '8571511/229174169', '43536347/1145870845', '1263273/32739167', '44891773/1145870845', '45567491/1145870845', '9248217/229174169', '46911783/1145870845', '47578597/1145870845', '48240177/1145870845', '9778935/229174169']
['193591/7256507', '15590623/573264053', '15893315/573264053', '16200803/573264053', '16512145/573264053', '16826817/573264053', '17144193/573264053', '17463973/573264053', '17785705/573264053', '18109215/573264053', '18434157/573264053', '18760411/573264053', '19087717/573264053', '19415965/573264053', '19744929/573264053', '20074573/573264053', '20404609/573264053', '20735019/573264053', '21065547/573264053', '21396135/573264053', '21726495/573264053', '22056535/573264053', '22385919/573264053', '22714485/573264053', '23041789/573264053', '23367539/573264053', '23691089/573264053', '24011867/573264053', '24328795/573264053']
['15430651/573575270', '7858911/286787635', '3202193/114715054', '1630901/57357527', '16611109/573575270', '8458306/286787635', '17224993/573575270', '17535819/573575270', '17848737/573575270', '1816345/57357527', '18479703/573575270', '9398628/286787635', '19115947/573575270', '1943555/57357527', '19755909/573575270', '20076911/573575270', '10199162/286787635', '10360018/286787635', '10520939/286787635', '4272733/114715054', '21685211/573575270', '22006301/573575270', '2232669/57357527', '22646087/573575270', '22964149/573575270', '2328044/57357527', '2359441/57357527', '23905353/573575270', '12106141/286787635']
['15567471/573886055', '15844881/573886055', '16128477/573886055', '16417081/573886055', '16709941/573886055', '17006279/573886055', '17305671/573886055', '17607551/573886055', '17911663/573886055', '18217589/573886055', '18525167/573886055', '18834031/573886055', '19144119/573886055', '19455093/573886055', '3953373/114777211', '20079239/573886055', '20392047/573886055', '20705077/573886055', '21018247/573886055', '21331249/573886055', '4328799/114777211', '21956149/573886055', '22267557/573886055', '4515559/114777211', '22886623/573886055', '23193463/573886055', '23497859/573886055', '23798971/573886055', '4819181/114777211']
['31401451/1148359993', '31937481/1148359993', '32486049/1148359993', '33044993/1148359993', '33612605/1148359993', '34187515/1148359993', '34768623/1148359993', '3214091/104396363', '35945897/1148359993', '3321877/104396363', '37138701/1148359993', '37739523/1148359993', '38342723/1148359993', '38947857/1148359993', '39554477/1148359993', '40162403/1148359993', '40771043/1148359993', '41380197/1148359993', '41989421/1148359993', '42598321/1148359993', '43206473/1148359993', '43813381/1148359993', '44418507/1148359993', '45021189/1148359993', '45620675/1148359993', '46216013/1148359993', '46806035/1148359993', '47389225/1148359993', '47963567/1148359993']
['15833907/574473719', '16092529/574473719', '16357501/574473719', '16627841/574473719', '16902595/574473719', '17181169/574473719', '17462887/574473719', '17747389/574473719', '18034177/574473719', '18323005/574473719', '18613489/574473719', '18905453/574473719', '19198573/574473719', '19492743/574473719', '19787597/574473719', '20083159/574473719', '20378999/574473719', '283221/7869503', '20971195/574473719', '21267103/574473719', '21562517/574473719', '21857277/574473719', '22151003/574473719', '22443451/574473719', '22734113/574473719', '23022615/574473719', '319291/7869503', '23590323/574473719', '23867733/574473719']
['31926735/1149502349', '32425747/1149502349', '1432077/49978363', '33460651/1149502349', '33992671/1149502349', '34532427/1149502349', '35078765/1149502349', '35630723/1149502349', '36187493/1149502349', '36748359/1149502349', '37312733/1149502349', '37880039/1149502349', '38449807/1149502349', '39021611/1149502349', '39594877/1149502349', '40169467/1149502349', '40744663/1149502349', '41320297/1149502349', '41895815/1149502349', '42470817/1149502349', '43044811/1149502349', '43617249/1149502349', '44187545/1149502349', '44754975/1149502349', '45318713/1149502349', '45877757/1149502349', '46430871/1149502349', '2042455/49978363', '47512495/1149502349']
['16092793/575028525', '16333183/575028525', '1105349/38335235', '224437/7667047', '5696681/191676175', '694049/23001141', '3523169/115005705', '5961101/191676175', '18153287/575028525', '18425327/575028525', '18699221/575028525', '1264971/38335235', '19251217/575028525', '6509619/191676175', '19807273/575028525', '1339087/38335235', '20365667/575028525', '20645171/575028525', '6974877/191676175', '21203731/575028525', '4296463/115005705', '4351999/115005705', '7345523/191676175', '22311553/575028525', '22584631/575028525', '914207/23001141', '23122661/575028525', '935447/23001141', '7881599/191676175']
['3243637/115058004', '3289973/115058004', '2781371/95881670', '5644073/191763340', '4295243/143822505', '2905629/95881670', '17690041/575290020', '5983089/191763340', '3642205/115058004', '9237473/287645010', '18740707/575290020', '6336001/191763340', '19276577/575290020', '4886552/143822505', '9908279/287645010', '6695859/191763340', '10179427/287645010', '1031515/28764501', '10450807/287645010', '21172573/575290020', '1429527/38352668', '21712321/575290020', '7326831/191763340', '22247039/575290020', '11255761/287645010', '11386703/287645010', '23032049/575290020', '5821661/143822505', '2353615/57529002']
