['0', '199982/82644371', '400014/82644371', '600142/82644371', '2401249/247933113', '3002666/247933113', '3604816/247933113', '4207856/247933113', '4811947/247933113', '5417236/247933113', '6023897/247933113', '2210688/82644371', '2413991/82644371', '2617909/82644371', '8467558/247933113', '9083630/247933113', '3234050/82644371', '10323326/247933113', '10947368/247933113', '11574506/247933113', '12204991/247933113', '12839063/247933113', '4492335/82644371', '14119114/247933113', '14765695/247933113', '15417095/247933113', '16073696/247933113', '5578633/82644371', '17404172/247933113']
['570041/252248849', '1140209/252248849', '1710627/252248849', '2281420/252248849', '2852722/252248849', '3424654/252248849', '3997349/252248849', '4570944/252248849', '5145565/252248849', '5721353/252248849', '6298463/252248849', '6876999/252248849', '7457159/252248849', '8039065/252248849', '8622885/252248849', '9208781/252248849', '9796930/252248849', '10387503/252248849', '10980690/252248849', '11576696/252248849', '12175716/252248849', '12777976/252248849', '13383714/252248849', '13993173/252248849', '14606624/252248849', '15224362/252248849', '15846693/252248849', '16473967/252248849', '17106569/252248849']
['2170256/511868609', '3255922/511868609', '4342238/511868609', '5429433/511868609', '6517712/511868609', '1086758/73124087', '8698451/511868609', '9791361/511868609', '1555183/73124087', '11983449/511868609', '13083127/511868609', '14185524/511868609', '15290952/511868609', '16399640/511868609', '17511881/511868609', '2661138/73124087', '19748181/511868609', '20872841/511868609', '22002285/511868609', '23136833/511868609', '3468122/73124087', '89833/1808723', '3796410/73124087', '27733684/511868609', '28899650/511868609', '30073242/511868609', '31255003/511868609', '4635074/73124087', '33645410/511868609']
['1552099/259145314', '1034954/129572657', '2588085/259145314', '3106745/259145314', '3625971/259145314', '2072931/129572657', '4666525/259145314', '2594029/129572657', '335915/15243842', '6234133/259145314', '6758905/259145314', '428527/15243842', '7812431/259145314', '8341431/259145314', '4436036/129572657', '4702248/129572657', '4969411/129572657', '10475183/259145314', '5506866/129572657', '5777307/129572657', '6048988/129572657', '6321998/129572657', '13192841/259145314', '6872345/129572657', '7149876/129572657', '14858233/259145314', '108594/1824967', '7993181/129572657', '8278265/129572657']
['7906069/1047651921', '9885043/1047651921', '3955223/349217307', '4616095/349217307', '15833213/1047651921', '17820823/1047651921', '19811453/1047651921', '7268485/349217307', '2644801/116405769', '25805057/1047651921', '27811411/1047651921', '29822647/1047651921', '31839173/1047651921', '11287129/349217307', '11963243/349217307', '37924643/1047651921', '39966575/1047651921', '42016015/1047651921', '14691151/349217307', '15379801/349217307', '48214421/1047651921', '50299075/1047651921', '1940517/38801923', '54499729/1047651921', '56617051/1047651921', '58746647/1047651921', '60889301/1047651921', '63045847/1047651921', '65217179/1047651921']
['1575799/176233827', '5674457/528701481', '2207465/176233827', '7571329/528701481', '2840483/176233827', '1052543/58744609', '10425791/528701481', '3793445/176233827', '12336679/528701481', '4431653/176233827', '14255389/528701481', '15218113/528701481', '16183303/528701481', '17151163/528701481', '6040625/176233827', '19095613/528701481', '608261/16021257', '21053063/528701481', '22037179/528701481', '23025203/528701481', '2668597/58744609', '25013915/528701481', '26015125/528701481', '428909/8392087', '28032619/528701481', '9683173/176233827', '2733845/48063771', '942463/16021257', '10712299/176233827']
['10870571/1065880329', '4228725/355293443', '14503577/1065880329', '16323019/1065880329', '18144779/1065880329', '19969139/1065880329', '21796345/1065880329', '23626703/1065880329', '25460509/1065880329', '27298015/1065880329', '1266937/46342623', '30985423/1065880329', '32835931/1065880329', '34691405/1065880329', '12184063/355293443', '38418617/1065880329', '13430349/355293443', '14056623/355293443', '44055433/1065880329', '15316055/355293443', '15949499/355293443', '512957/10988457', '17224545/355293443', '17866479/355293443', '55534697/1065880329', '19159993/355293443', '204247/3662819', '20467657/355293443', '21127315/355293443']
['3042471/268355755', '695648/53671151', '3914449/268355755', '4351177/268355755', '4788473/268355755', '5226403/268355755', '5665018/268355755', '1220879/53671151', '6544586/268355755', '1397133/53671151', '7427693/268355755', '7870742/268355755', '8314876/268355755', '8760179/268355755', '1841342/53671151', '9654557/268355755', '10103796/268355755', '2110902/53671151', '2201356/53671151', '11460708/268355755', '11916366/268355755', '12373864/268355755', '12833301/268355755', '13294788/268355755', '13758427/268355755', '14224349/268355755', '14692664/268355755', '15163519/268355755', '15637049/268355755']
['6682145/540015973', '7519955/540015973', '8358670/540015973', '9198400/540015973', '10039241/540015973', '10881306/540015973', '11724718/540015973', '12569566/540015973', '13415975/540015973', '14264069/540015973', '15113956/540015973', '15965762/540015973', '16819619/540015973', '17675645/540015973', '18533980/540015973', '19394765/540015973', '20258127/540015973', '3017746/77145139', '3141887/77145139', '22865232/540015973', '23740446/540015973', '3517008/77145139', '25501219/540015973', '26387119/540015973', '27276967/540015973', '28170953/540015973', '29069309/540015973', '29972270/540015973', '30880072/540015973']
['7233301/542983481', '8039805/542983481', '8847225/542983481', '9655623/542983481', '10465135/542983481', '11275795/542983481', '12087775/542983481', '12901121/542983481', '84147/3331187', '14532389/542983481', '15350533/542983481', '16170459/542983481', '16992335/542983481', '17816233/542983481', '18642287/542983481', '19470641/542983481', '20301381/542983481', '21134655/542983481', '21970623/542983481', '22809383/542983481', '23651107/542983481', '24495947/542983481', '25344069/542983481', '26195593/542983481', '27050759/542983481', '27909697/542983481', '28772629/542983481', '29639741/542983481', '30511279/542983481']
['15485017/1091203385', '17039647/1091203385', '3719211/218240677', '20154403/1091203385', '21714867/1091203385', '23277617/1091203385', '24842839/1091203385', '5282141/218240677', '27981413/1091203385', '29555139/1091203385', '31132081/1091203385', '32712441/1091203385', '6859283/218240677', '35884219/1091203385', '37476013/1091203385', '39072209/1091203385', '40672709/1091203385', '42278053/1091203385', '43888309/1091203385', '45503781/1091203385', '47124753/1091203385', '48751463/1091203385', '50384189/1091203385', '52023241/1091203385', '53668927/1091203385', '11064313/218240677', '11396301/218240677', '11729819/218240677', '12064943/218240677']
['4107430/273986441', '4482490/273986441', '4857969/273986441', '5233931/273986441', '295284/14420339', '5987425/273986441', '6365029/273986441', '6743285/273986441', '7122202/273986441', '7501844/273986441', '7882241/273986441', '8263455/273986441', '8645505/273986441', '9028474/273986441', '9412348/273986441', '515647/14420339', '10183204/273986441', '10570276/273986441', '10958463/273986441', '11347888/273986441', '11738569/273986441', '12130583/273986441', '12523985/273986441', '12918858/273986441', '13315242/273986441', '13713242/273986441', '14112904/273986441', '14514329/273986441', '14917581/273986441']
['8653365/550078021', '9377973/550078021', '10103433/550078021', '10829810/550078021', '11557178/550078021', '12285611/550078021', '13015175/550078021', '13745951/550078021', '14478017/550078021', '15211441/550078021', '15946305/550078021', '16682702/550078021', '17420696/550078021', '18160409/550078021', '18901792/550078021', '19645236/550078021', '20390448/550078021', '21137842/550078021', '21887324/550078021', '22639090/550078021', '23393206/550078021', '24149788/550078021', '24908952/550078021', '25670823/550078021', '26435508/550078021', '27203144/550078021', '27973867/550078021', '28747810/550078021', '29525125/550078021']
['12246/745945', '4881389/275999650', '5232189/275999650', '2791708/137999825', '2967571/137999825', '32577/1430050', '6640139/275999650', '189013/7459450', '146949/5519993', '3851026/137999825', '4028677/137999825', '841336/27599965', '1754027/55199930', '9127723/275999650', '4743039/137999825', '4922707/137999825', '1020558/27599965', '142794/3729725', '10928921/275999650', '5646069/137999825', '11656461/275999650', '1202192/27599965', '6194297/137999825', '6378251/137999825', '6562866/137999825', '6748157/137999825', '13868331/275999650', '14241819/275999650', '14616879/275999650']
['18885971/1107428467', '20242637/1107428467', '21600925/1107428467', '22960939/1107428467', '24322793/1107428467', '25686613/1107428467', '27052535/1107428467', '28420643/1107428467', '29791097/1107428467', '31164019/1107428467', '32539531/1107428467', '33917767/1107428467', '35298855/1107428467', '36683097/1107428467', '2239419/65142851', '39460923/1107428467', '40854769/1107428467', '42252467/1107428467', '43653817/1107428467', '45059135/1107428467', '46468541/1107428467', '47882245/1107428467', '49300405/1107428467', '50723207/1107428467', '52150877/1107428467', '53583593/1107428467', '55021581/1107428467', '56465073/1107428467', '57914289/1107428467']
['9799519/555290417', '10456821/555290417', '11114865/555290417', '11773787/555290417', '12433563/555290417', '13094311/555290417', '13756035/555290417', '14418845/555290417', '1371157/50480947', '15747825/555290417', '16414121/555290417', '1552885/50480947', '17750657/555290417', '18421133/555290417', '19092859/555290417', '19766401/555290417', '20441359/555290417', '21118135/555290417', '21796601/555290417', '22476963/555290417', '23159195/555290417', '23843471/555290417', '24529795/555290417', '25218307/555290417', '25909053/555290417', '26602187/555290417', '27297719/555290417', '27995845/555290417', '28696583/555290417']
['10133226/556704257', '10770636/556704257', '11408833/556704257', '12047830/556704257', '12687684/556704257', '13328447/556704257', '13970170/556704257', '14612900/556704257', '15256694/556704257', '15901605/556704257', '16547685/556704257', '17194998/556704257', '17843558/556704257', '18493572/556704257', '19144809/556704257', '19797696/556704257', '20451969/556704257', '21107920/556704257', '21765486/556704257', '22424797/556704257', '23085896/556704257', '23748872/556704257', '24413790/556704257', '25080733/556704257', '695940/15046061', '26421014/556704257', '27094524/556704257', '27770400/556704257', '28448733/556704257']
['2611697/139503037', '2766360/139503037', '2921232/139503037', '3076285/139503037', '3231558/139503037', '6774077/279006074', '3542757/139503037', '3698709/139503037', '3854925/139503037', '4011395/139503037', '4168155/139503037', '508847/16412122', '263679/8206061', '545909/16412122', '9596423/279006074', '4956567/139503037', '10230535/279006074', '5274350/139503037', '10867643/279006074', '5593695/139503037', '11507995/279006074', '11829457/279006074', '6075926/139503037', '12475175/279006074', '12799495/279006074', '6562410/139503037', '13451227/279006074', '6889354/139503037', '14107359/279006074']
['21482615/1118380729', '22684467/1118380729', '23887929/1118380729', '25092907/1118380729', '26299489/1118380729', '27507761/1118380729', '28717791/1118380729', '29929669/1118380729', '31143501/1118380729', '32359353/1118380729', '33577323/1118380729', '34797547/1118380729', '36019967/1118380729', '37245005/1118380729', '38472317/1118380729', '39702447/1118380729', '40935149/1118380729', '42170777/1118380729', '43409293/1118380729', '44650879/1118380729', '45895643/1118380729', '47143701/1118380729', '48395165/1118380729', '49650189/1118380729', '50908881/1118380729', '52171389/1118380729', '53437869/1118380729', '54708443/1118380729', '55983263/1118380729']
['11019141/560287043', '11603277/560287043', '12188189/560287043', '12773913/560287043', '13360371/560287043', '13947687/560287043', '14535807/560287043', '15124865/560287043', '15714803/560287043', '16305757/560287043', '16897679/560287043', '17490715/560287043', '18084753/560287043', '18680069/560287043', '19276435/560287043', '19874161/560287043', '20473081/560287043', '21073407/560287043', '21675059/560287043', '22278209/560287043', '22882805/560287043', '23488991/560287043', '24096737/560287043', '24706193/560287043', '25317327/560287043', '25930297/560287043', '26545065/560287043', '27161799/560287043', '27780451/560287043']
