['0', '13309/3443610', '337/43590', '13317/1147870', '53299/3443610', '66671/3443610', '26693/1147870', '93527/3443610', '107023/3443610', '120563/3443610', '26837/688722', '147863/3443610', '161629/3443610', '175483/3443610', '12629/229574', '67833/1147870', '43537/688722', '232007/3443610', '246479/3443610', '261121/3443610', '55189/688722', '290981/3443610', '306253/3443610']
['4991/1407459', '49919/7037295', '74906/7037295', '99926/7037295', '124987/7037295', '150104/7037295', '58429/2345765', '40109/1407459', '75302/2345765', '251348/7037295', '276923/7037295', '100874/2345765', '328469/7037295', '118158/2345765', '380659/7037295', '27136/469153', '433637/7037295', '460474/7037295', '162524/2345765', '514958/7037295', '542666/7037295', '190243/2345765', '599189/7037295']
['7823/1193836', '1677/170548', '11744/895377', '58753/3581508', '10079/511644', '41191/1790754', '23560/895377', '26534/895377', '9840/298459', '32516/895377', '71053/1790754', '38552/895377', '166373/3581508', '178613/3581508', '2273/42637', '101669/1790754', '53960/895377', '57112/895377', '60292/895377', '254017/3581508', '66751/895377', '280141/3581508', '146725/1790754']
['33195/3633343', '44277/3633343', '1653/108458', '66492/3633343', '155261/7266686', '88798/3633343', '199991/7266686', '31779/1038098', '245003/7266686', '267635/7266686', '290369/7266686', '313213/7266686', '336173/7266686', '359265/7266686', '5709/108458', '57985/1038098', '214728/3633343', '453205/7266686', '477153/7266686', '250661/3633343', '262867/3633343', '275204/3633343', '41098/519049']
['41849/3677547', '52334/3677547', '62837/3677547', '73357/3677547', '27968/1225849', '31491/1225849', '105074/3677547', '115706/3677547', '42126/1225849', '137090/3677547', '49283/1225849', '158656/3677547', '169517/3677547', '60146/1225849', '191425/3677547', '67493/1225849', '71204/1225849', '224825/3677547', '78709/1225849', '247529/3677547', '259034/3677547', '270653/3677547', '282401/3677547']
['198307/14857985', '47617/2971597', '277929/14857985', '63571/2971597', '71573/2971597', '79595/2971597', '438209/14857985', '95711/2971597', '519049/14857985', '111939/2971597', '120101/2971597', '641497/14857985', '136539/2971597', '724103/14857985', '765741/14857985', '807637/14857985', '849803/14857985', '892259/14857985', '935037/14857985', '978151/14857985', '1021639/14857985', '1065533/14857985', '1109861/14857985']
['37679/2497687', '131953/7493061', '150889/7493061', '56625/2497687', '188899/7493061', '69323/2497687', '227095/7493061', '246283/7493061', '265529/7493061', '284855/7493061', '304253/7493061', '323735/7493061', '343307/7493061', '362981/7493061', '382753/7493061', '134217/2497687', '140887/2497687', '442801/7493061', '463087/7493061', '483529/7493061', '504127/7493061', '524911/7493061', '545881/7493061']
['125542/7547231', '143557/7547231', '161605/7547231', '179689/7547231', '197818/7547231', '215990/7547231', '234213/7547231', '252490/7547231', '270831/7547231', '289237/7547231', '307713/7547231', '326270/7547231', '344902/7547231', '363632/7547231', '382454/7547231', '401380/7547231', '9777/175517', '439565/7547231', '458849/7547231', '478265/7547231', '497829/7547231', '517550/7547231', '537439/7547231']
['136875/7594891', '154071/7594891', '171309/7594891', '188567/7594891', '205881/7594891', '223229/7594891', '240629/7594891', '258077/7594891', '275589/7594891', '293153/7594891', '310791/7594891', '328503/7594891', '346269/7594891', '364145/7594891', '382097/7594891', '400133/7594891', '418283/7594891', '436535/7594891', '454903/7594891', '473389/7594891', '492013/7594891', '510767/7594891', '529683/7594891']
['36791/1908906', '40903/1908906', '90047/3817812', '196607/7635624', '71053/2545208', '114877/3817812', '82131/2545208', '263081/7635624', '34978/954453', '74155/1908906', '313477/7635624', '165211/3817812', '347389/7635624', '121493/2545208', '95405/1908906', '398857/7635624', '416185/7635624', '144537/2545208', '225569/3817812', '468773/7635624', '243265/3817812', '252205/3817812', '522425/7635624']
['4120/201893', '86163/3835967', '94056/3835967', '101969/3835967', '109897/3835967', '117848/3835967', '125817/3835967', '133814/3835967', '141830/3835967', '149877/3835967', '157945/3835967', '166065/3835967', '174182/3835967', '182367/3835967', '190567/3835967', '198818/3835967', '207105/3835967', '215439/3835967', '223816/3835967', '232248/3835967', '240728/3835967', '249269/3835967', '257867/3835967']
