['0', '657/92182', '1315/92182', '1975/92182', '2637/92182', '3303/92182', '3977/92182', '4641/92182', '5329/92182', '6015/92182', '6711/92182', '7421/92182', '8137/92182', '8871/92182', '9621/92182', '10389/92182', '11183/92182']
['149/2855', '2858/54245', '2893/54245', '2933/54245', '2978/54245', '3026/54245', '162/2855', '626/10849', '3183/54245', '3238/54245', '3292/54245', '3346/54245', '3399/54245', '3449/54245', '3497/54245', '3539/54245', '715/10849']
['11467/217165', '11563/217165', '2337/43433', '11831/217165', '11993/217165', '12169/217165', '12357/217165', '12551/217165', '12743/217165', '12949/217165', '2629/43433', '2669/43433', '13537/217165', '13721/217165', '13893/217165', '2809/43433', '14171/217165']
['43/805', '1949/36225', '5899/108675', '1193/21735', '6037/108675', '2039/36225', '689/12075', '233/4025', '911/15525', '6473/108675', '243/4025', '6653/108675', '293/4725', '6823/108675', '6899/108675', '6967/108675', '1003/15525']
['1956/36251', '1968/36251', '5950/108753', '6008/108753', '6074/108753', '6145/108753', '2074/36251', '6304/108753', '6383/108753', '6470/108753', '6551/108753', '6634/108753', '6713/108753', '6788/108753', '6857/108753', '6917/108753', '6965/108753']
['1977/36277', '1987/36277', '6001/108831', '2017/36277', '2037/36277', '6173/108831', '2081/36277', '6317/108831', '6389/108831', '6467/108831', '6541/108831', '2205/36277', '2229/36277', '2251/36277', '6815/108831', '2289/36277', '2303/36277']
['11967/217789', '12019/217789', '1099/19799', '1107/19799', '12283/217789', '1127/19799', '12521/217789', '12657/217789', '12787/217789', '12929/217789', '13063/217789', '13199/217789', '13327/217789', '13447/217789', '13557/217789', '13649/217789', '13721/217789']
['3018/54479', '3029/54479', '3044/54479', '3063/54479', '3086/54479', '3112/54479', '3139/54479', '3170/54479', '3199/54479', '3231/54479', '3261/54479', '3292/54479', '3320/54479', '3347/54479', '3371/54479', '3391/54479', '3406/54479']
['6081/109010', '6099/109010', '1225/21802', '3079/54505', '6199/109010', '1249/21802', '3147/54505', '6349/109010', '6403/109010', '6459/109010', '3257/54505', '6569/109010', '662/10901', '3334/54505', '6711/109010', '1349/21802', '6771/109010']
['1021/18177', '3070/54531', '1027/18177', '3095/54531', '3113/54531', '3133/54531', '3155/54531', '3179/54531', '356/6059', '1076/18177', '3253/54531', '3277/54531', '1100/18177', '369/6059', '3340/54531', '1118/18177', '3365/54531']
['6162/109103', '6174/109103', '6192/109103', '6217/109103', '6248/109103', '6284/109103', '6323/109103', '6366/109103', '6411/109103', '6454/109103', '6499/109103', '6542/109103', '6583/109103', '6621/109103', '6653/109103', '6678/109103', '6696/109103']
['3099/54572', '776/13643', '3111/54572', '223/3898', '3135/54572', '3151/54572', '792/13643', '3187/54572', '3207/54572', '1613/27286', '1623/27286', '3265/54572', '469/7796', '825/13643', '3313/54572', '831/13643', '3331/54572']
['6228/109177', '6236/109177', '6248/109177', '6266/109177', '6289/109177', '6317/109177', '6347/109177', '6380/109177', '6417/109177', '150/2539', '6486/109177', '6520/109177', '6552/109177', '6581/109177', '6604/109177', '154/2539', '6634/109177']
['3129/54605', '3132/54605', '3137/54605', '3144/54605', '3154/54605', '3166/54605', '3179/54605', '3193/54605', '642/10921', '3224/54605', '648/10921', '651/10921', '3269/54605', '3281/54605', '3291/54605', '3298/54605', '3303/54605']
['6281/109235', '898/15605', '6294/109235', '6306/109235', '6323/109235', '6344/109235', '6367/109235', '6392/109235', '6421/109235', '921/15605', '185/3121', '6502/109235', '6526/109235', '6547/109235', '6564/109235', '6576/109235', '6584/109235']
['1576/27315', '1577/27315', '3157/54630', '527/9105', '3169/54630', '1589/27315', '1594/27315', '3199/54630', '3211/54630', '3223/54630', '647/10926', '3247/54630', '3257/54630', '1633/27315', '1091/18210', '1639/27315', '3281/54630']
['4215/72853', '4217/72853', '1151/19869', '12677/218559', '12701/218559', '12731/218559', '12767/218559', '12805/218559', '12847/218559', '12889/218559', '4311/72853', '12973/218559', '13009/218559', '13039/218559', '13063/218559', '1189/19869', '4363/72853']
['6341/109299', '6343/109299', '6347/109299', '6353/109299', '2121/36433', '2125/36433', '6391/109299', '6407/109299', '6425/109299', '6443/109299', '6463/109299', '6479/109299', '2165/36433', '2169/36433', '6517/109299', '6523/109299', '6527/109299']
['12709/218627', '12713/218627', '12719/218627', '12729/218627', '12745/218627', '12767/218627', '12793/218627', '12821/218627', '12853/218627', '12885/218627', '12919/218627', '12947/218627', '12973/218627', '12995/218627', '13011/218627', '13021/218627', '13027/218627']
['398/6833', '3185/54664', '1593/27332', '797/13666', '3191/54664', '799/13666', '3201/54664', '3207/54664', '1607/27332', '3221/54664', '807/13666', '1617/27332', '3239/54664', '811/13666', '3247/54664', '3249/54664', '1625/27332']
['6379/109339', '6380/109339', '6382/109339', '6385/109339', '6390/109339', '6398/109339', '6407/109339', '6417/109339', '6429/109339', '6441/109339', '6453/109339', '6463/109339', '6472/109339', '6480/109339', '6485/109339', '6488/109339', '6490/109339']
['71/1215', '71/1215', '3196/54675', '3197/54675', '3199/54675', '3202/54675', '3206/54675', '214/3645', '643/10935', '644/10935', '43/729', '3229/54675', '3233/54675', '3236/54675', '3238/54675', '3239/54675', '8/135']
['853/14581', '853/14581', '12797/218715', '4267/72905', '4269/72905', '1831/31245', '611/10415', '367/6249', '4287/72905', '4293/72905', '2579/43743', '4303/72905', '12923/218715', '4311/72905', '4313/72905', '1849/31245', '863/14581']
['427/7291', '427/7291', '427/7291', '6407/109365', '6409/109365', '6413/109365', '6419/109365', '1285/21873', '6431/109365', '6439/109365', '1289/21873', '6451/109365', '6457/109365', '6461/109365', '281/4755', '431/7291', '431/7291']
['12821/218741', '12821/218741', '12821/218741', '12823/218741', '12827/218741', '12833/218741', '12843/218741', '12853/218741', '12863/218741', '12877/218741', '12887/218741', '12897/218741', '12907/218741', '12913/218741', '12917/218741', '12919/218741', '12919/218741']
['401/6836', '401/6836', '401/6836', '401/6836', '3209/54688', '1605/27344', '803/13672', '1607/27344', '201/3418', '3219/54688', '3221/54688', '3223/54688', '3225/54688', '1613/27344', '3227/54688', '3227/54688', '3227/54688']
['12839/218759', '12839/218759', '12839/218759', '12839/218759', '12841/218759', '12845/218759', '12851/218759', '12859/218759', '12865/218759', '12875/218759', '12881/218759', '12889/218759', '12895/218759', '12899/218759', '12901/218759', '12901/218759', '12901/218759']
['2141/36461', '2141/36461', '2141/36461', '2141/36461', '2141/36461', '6425/109383', '6427/109383', '6431/109383', '6433/109383', '6437/109383', '6439/109383', '6443/109383', '6445/109383', '2149/36461', '2149/36461', '2149/36461', '2149/36461']
['12851/218771', '12851/218771', '12851/218771', '12851/218771', '12851/218771', '12853/218771', '12857/218771', '12863/218771', '12867/218771', '1839/31253', '12877/218771', '12883/218771', '1841/31253', '12889/218771', '12889/218771', '12889/218771', '12889/218771']
['1607/27347', '1607/27347', '1607/27347', '1607/27347', '1607/27347', '1607/27347', '3215/54694', '1608/27347', '3217/54694', '1609/27347', '111/1886', '70/1189', '3221/54694', '3221/54694', '3221/54694', '3221/54694', '3221/54694']
['1169/19889', '1169/19889', '1169/19889', '1169/19889', '1169/19889', '1169/19889', '12861/218779', '12865/218779', '12869/218779', '12871/218779', '12875/218779', '12879/218779', '1171/19889', '1171/19889', '1171/19889', '1171/19889', '1171/19889']
['6431/109391', '6431/109391', '6431/109391', '6431/109391', '6431/109391', '6431/109391', '6431/109391', '6433/109391', '6435/109391', '6435/109391', '6437/109391', '6439/109391', '6439/109391', '6439/109391', '6439/109391', '6439/109391', '6439/109391']
['134/2279', '134/2279', '134/2279', '134/2279', '134/2279', '134/2279', '134/2279', '6433/109392', '2145/36464', '2145/36464', '6437/109392', '1073/18232', '1073/18232', '1073/18232', '1073/18232', '1073/18232', '1073/18232']
['6433/109393', '6433/109393', '6433/109393', '6433/109393', '6433/109393', '6433/109393', '6433/109393', '6433/109393', '6435/109393', '6435/109393', '6437/109393', '6437/109393', '6437/109393', '6437/109393', '6437/109393', '6437/109393', '6437/109393']
['4289/72929', '4289/72929', '4289/72929', '4289/72929', '4289/72929', '4289/72929', '4289/72929', '4289/72929', '12869/218787', '12871/218787', '4291/72929', '4291/72929', '4291/72929', '4291/72929', '4291/72929', '4291/72929', '4291/72929']
['3217/54697', '3217/54697', '3217/54697', '3217/54697', '3217/54697', '3217/54697', '3217/54697', '3217/54697', '3217/54697', '3218/54697', '3218/54697', '3218/54697', '3218/54697', '3218/54697', '3218/54697', '3218/54697', '3218/54697']
['12869/218789', '12869/218789', '12869/218789', '12869/218789', '12869/218789', '12869/218789', '12869/218789', '12869/218789', '12869/218789', '12871/218789', '12871/218789', '12871/218789', '12871/218789', '12871/218789', '12871/218789', '12871/218789', '12871/218789']
['1/17', '1/17', '1/17', '1/17', '1/17', '1/17', '1/17', '1/17', '1/17', '1/17', '1/17', '1/17', '1/17', '1/17', '1/17', '1/17', '1/17']
