['0', '657/92182', '1315/92182', '1975/92182', '2637/92182', '3303/92182', '3977/92182', '4641/92182', '5329/92182', '6015/92182', '6711/92182', '7421/92182', '8137/92182', '8871/92182', '9621/92182', '10389/92182', '11183/92182']
['201/31651', '1207/94953', '1811/94953', '2417/94953', '1009/31651', '3637/94953', '4259/94953', '1625/31651', '5503/94953', '2045/31651', '2259/31651', '2475/31651', '8083/94953', '8755/94953', '9439/94953', '10139/94953', '10861/94953']
['278/24265', '417/24265', '1113/48530', '2787/97060', '335/9706', '3913/97060', '2243/48530', '2529/48530', '5637/97060', '3111/48530', '1703/24265', '741/9706', '19/230', '4317/48530', '4631/48530', '2476/24265', '10561/97060']
['772/49381', '1031/49381', '1289/49381', '1550/49381', '1812/49381', '2073/49381', '2338/49381', '2605/49381', '2873/49381', '3144/49381', '3418/49381', '3695/49381', '3976/49381', '4261/49381', '4550/49381', '4846/49381', '5148/49381']
['3833/200179', '685/28597', '823/28597', '6729/200179', '1101/28597', '8683/200179', '9671/200179', '10663/200179', '11663/200179', '12673/200179', '13693/200179', '14723/200179', '15769/200179', '16823/200179', '2557/28597', '2713/28597', '20103/200179']
['2239/101195', '2689/101195', '3143/101195', '3593/101195', '4051/101195', '4509/101195', '4971/101195', '1087/20239', '5903/101195', '1275/20239', '6851/101195', '1467/20239', '7821/101195', '8311/101195', '8813/101195', '9319/101195', '9837/101195']
['2519/102073', '2942/102073', '3368/102073', '3793/102073', '4221/102073', '4652/102073', '5085/102073', '5521/102073', '5958/102073', '6406/102073', '6849/102073', '7302/102073', '7756/102073', '8217/102073', '8685/102073', '9159/102073', '9640/102073']
['395/14689', '3165/102823', '3565/102823', '3967/102823', '4371/102823', '4777/102823', '5185/102823', '5597/102823', '6003/102823', '6431/102823', '185/2779', '7271/102823', '7697/102823', '8133/102823', '8571/102823', '9015/102823', '9465/102823']
['2985/103432', '3361/103432', '935/25858', '515/12929', '643/14776', '4885/103432', '753/14776', '5661/103432', '3021/51716', '921/14776', '6837/103432', '7239/103432', '7643/103432', '2013/25858', '1209/14776', '8881/103432', '1163/12929']
['1591/51983', '1768/51983', '1948/51983', '2128/51983', '2309/51983', '2490/51983', '2673/51983', '2859/51983', '3039/51983', '3230/51983', '3415/51983', '3605/51983', '3796/51983', '3989/51983', '4183/51983', '4380/51983', '20/227']
['3359/104404', '3693/104404', '2017/52202', '4377/104404', '1180/26101', '5065/104404', '5411/104404', '5765/104404', '1527/26101', '6469/104404', '6821/104404', '3591/52202', '3771/52202', '1977/26101', '2069/26101', '8649/104404', '9025/104404']
['3523/104803', '3839/104803', '4161/104803', '4487/104803', '4813/104803', '5143/104803', '5469/104803', '5809/104803', '6135/104803', '6477/104803', '6811/104803', '7155/104803', '7495/104803', '7845/104803', '8193/104803', '8547/104803', '8901/104803']
['3679/105145', '3974/105145', '856/21029', '4588/105145', '4899/105145', '5212/105145', '5524/105145', '1169/21029', '6158/105145', '6481/105145', '6801/105145', '7126/105145', '7452/105145', '7782/105145', '8114/105145', '8448/105145', '8782/105145']
['547/15067', '4103/105469', '4393/105469', '669/15067', '4981/105469', '5277/105469', '5575/105469', '5879/105469', '6179/105469', '6485/105469', '6791/105469', '7099/105469', '7411/105469', '7723/105469', '8039/105469', '8353/105469', '8669/105469']
['7941/211505', '1691/42301', '8997/211505', '9549/211505', '10111/211505', '10677/211505', '11243/211505', '11821/211505', '12393/211505', '12977/211505', '13557/211505', '2021/30215', '14739/211505', '15331/211505', '15927/211505', '3305/42301', '489/6043']
['411/10603', '435/10603', '2301/53015', '2432/53015', '2564/53015', '2699/53015', '2833/53015', '2971/53015', '3107/53015', '649/10603', '3384/53015', '3524/53015', '3664/53015', '761/10603', '789/10603', '4087/53015', '4224/53015']
['8493/212561', '8935/212561', '9409/212561', '9899/212561', '10399/212561', '10909/212561', '11419/212561', '11939/212561', '12463/212561', '12981/212561', '13511/212561', '14041/212561', '14573/212561', '15105/212561', '15637/212561', '16167/212561', '16681/212561']
['2191/53264', '573/13316', '2403/53264', '2517/53264', '2635/53264', '2755/53264', '719/13316', '1499/26632', '781/13316', '3245/53264', '843/13316', '3497/53264', '3623/53264', '937/13316', '1937/26632', '3997/53264', '4117/53264']
['9019/213497', '303/6887', '9803/213497', '10233/213497', '10673/213497', '11127/213497', '11583/213497', '12045/213497', '12523/213497', '12981/213497', '13461/213497', '13935/213497', '14409/213497', '14883/213497', '15353/213497', '15817/213497', '229/3007']
['4637/106969', '4809/106969', '4997/106969', '5199/106969', '5403/106969', '137/2609', '5831/106969', '6049/106969', '6275/106969', '6491/106969', '6717/106969', '6941/106969', '7163/106969', '7387/106969', '7605/106969', '7823/106969', '8025/106969']
['4759/107166', '4915/107166', '5089/107166', '2638/53583', '2734/53583', '1889/35722', '2935/53583', '6073/107166', '6287/107166', '3245/53583', '3352/53583', '6913/107166', '7123/107166', '1222/17861', '7537/107166', '73/1011', '7925/107166']
['4881/107363', '5021/107363', '5181/107363', '53/1063', '5533/107363', '5717/107363', '5909/107363', '6097/107363', '6299/107363', '6489/107363', '6691/107363', '6885/107363', '7083/107363', '7277/107363', '7469/107363', '7653/107363', '7825/107363']
['9985/215071', '10241/215071', '10533/215071', '10851/215071', '11185/215071', '11531/215071', '11887/215071', '12241/215071', '12617/215071', '12977/215071', '13353/215071', '13719/215071', '14087/215071', '14451/215071', '14807/215071', '15147/215071', '15459/215071']
['1276/26927', '1305/26927', '1338/26927', '2749/53854', '1413/26927', '2907/53854', '2989/53854', '1536/26927', '3159/53854', '1622/26927', '3331/53854', '3417/53854', '1751/26927', '3587/53854', '3669/53854', '3747/53854', '3817/53854']
['1736/35953', '5311/107859', '5432/107859', '1855/35953', '5708/107859', '5857/107859', '6011/107859', '2055/35953', '2109/35953', '2162/35953', '6649/107859', '6808/107859', '6968/107859', '7124/107859', '7276/107859', '7418/107859', '7546/107859']
['2656/54005', '2701/54005', '2756/54005', '2816/54005', '2882/54005', '590/10801', '3022/54005', '3093/54005', '3168/54005', '3242/54005', '474/7715', '3391/54005', '3466/54005', '3537/54005', '3607/54005', '3671/54005', '3729/54005']
['5404/108139', '5485/108139', '5583/108139', '5694/108139', '5814/108139', '5940/108139', '6073/108139', '6206/108139', '6343/108139', '6483/108139', '6622/108139', '6759/108139', '6897/108139', '7029/108139', '7156/108139', '7274/108139', '7377/108139']
['1374/27067', '1392/27067', '2827/54134', '1439/27067', '1466/27067', '1495/27067', '3051/54134', '3113/54134', '3175/54134', '3241/54134', '1652/27067', '1684/27067', '3431/54134', '1746/27067', '3549/54134', '3603/54134', '1824/27067']
['5579/108379', '5642/108379', '5720/108379', '5811/108379', '5910/108379', '6016/108379', '6129/108379', '6243/108379', '6358/108379', '6479/108379', '6596/108379', '6714/108379', '6830/108379', '6941/108379', '7046/108379', '7142/108379', '7223/108379']
