['0', '190165705243/225967281152088', '1141023140221/677901843456264', '570535666931/225967281152088', '760759219231/225967281152088', '2853064122815/677901843456264', '489142211197/96843120493752', '443900099081/75322427050696', '4566409634377/677901843456264', '733993014469/96843120493752', '5709754826297/677901843456264', '6281850501949/677901843456264', '6854267999657/677901843456264', '7427037386155/677901843456264', '1142884134917/96843120493752', '136091320559/10760346721528', '9147760914877/677901843456264', '9722243157787/677901843456264', '10297231280327/677901843456264', '10872756957955/677901843456264', '3816284071799/225967281152088', '4008516481573/225967281152088', '12602881434233/677901843456264', '4393627130533/225967281152088', '1528842552693/75322427050696', '14339020314005/677901843456264', '14919228048245/677901843456264', '5166747117313/225967281152088', '2297442281033/96843120493752', '16664828238685/677901843456264', '17248475150419/677901843456264', '1981452706757/75322427050696', '18418664243663/677901843456264', '6335094643807/225967281152088', '19592973356977/677901843456264', '20181773302177/677901843456264', '2307969494381/75322427050696', '21362872432415/677901843456264', '21955257894629/677901843456264', '22548926551997/677901843456264', '23143924255705/677901843456264', '3391471152019/96843120493752', '8112698773535/225967281152088', '24937368732799/677901843456264', '25538166463513/677901843456264', '26140542229507/677901843456264', '3820650057821/96843120493752', '27350247138427/677901843456264', '27957690484939/677901843456264']
['553408009955/684851075902677', '368947472535/228283691967559', '553443212263/228283691967559', '737965369827/228283691967559', '2767568322079/684851075902677', '3321372821579/684851075902677', '3875336228003/684851075902677', '4429485250907/684851075902677', '216688987219/29776133734899', '1846149176097/228283691967559', '6093314788823/684851075902677', '6648475712455/684851075902677', '2401319230477/228283691967559', '7759788303431/684851075902677', '8315995330085/684851075902677', '8872606771771/684851075902677', '9429650867009/684851075902677', '9987156112117/684851075902677', '458484838195/29776133734899', '3701221810399/228283691967559', '11662727954575/684851075902677', '12222368566405/684851075902677', '12782617344149/684851075902677', '4447834915769/228283691967559', '13905061638997/684851075902677', '4822439770539/228283691967559', '5010103171311/228283691967559', '15594064475143/684851075902677', '16158616934309/684851075902677', '5574666723733/228283691967559', '5763416011477/228283691967559', '17857394975491/684851075902677', '18425476084309/684851075902677', '6331509040953/228283691967559', '19564584564869/684851075902677', '20135685637771/684851075902677', '6902622787715/228283691967559', '21281171604035/684851075902677', '7285211705063/228283691967559', '22431299592629/684851075902677', '23008206730999/684851075902677', '23586399284999/684851075902677', '24165921131207/684851075902677', '1075948579963/29776133734899', '25329134248123/684851075902677', '8637639848687/228283691967559', '26498222360035/684851075902677', '27085093354939/684851075902677', '401066446917/9925377911633']
['358107253207/230394910408569', '1611543021400/691184731225707', '2148836777303/691184731225707', '2686227251759/691184731225707', '3223738719673/691184731225707', '3761395520675/691184731225707', '4299222071578/691184731225707', '4837242878918/691184731225707', '5375482553668/691184731225707', '5913965824133/691184731225707', '6452717549150/691184731225707', '6991762733405/691184731225707', '2510375513701/230394910408569', '8070834310013/691184731225707', '8610911567684/691184731225707', '9151384046173/691184731225707', '3230759232412/230394910408569', '10233618709436/691184731225707', '3591811175105/230394910408569', '1257527650661/76798303469523', '11860591702451/691184731225707', '12403989371762/691184731225707', '12947969496247/691184731225707', '13492560054313/691184731225707', '4679263130180/230394910408569', '14583686236424/691184731225707', '5043426578033/230394910408569', '15677599459012/691184731225707', '16225675443791/691184731225707', '5591512735037/230394910408569', '1924913196664/76798303469523', '17874748703317/691184731225707', '18426160139039/691184731225707', '6326161936937/230394910408569', '6510586361491/230394910408569', '20086013994487/691184731225707', '20641285280462/691184731225707', '21197608425926/691184731225707', '7251673233908/230394910408569', '22313556210089/691184731225707', '2541472881316/76798303469523', '23434157778961/691184731225707', '2666255738758/76798303469523', '24559728482728/691184731225707', '25124480330950/691184731225707', '25690600421081/691184731225707', '26258133232184/691184731225707', '26827124577581/691184731225707', '27397621693310/691184731225707']
['782591428213/348498863994532', '260876725462/87124715998633', '1304466692679/348498863994532', '391370480133/87124715998633', '1826563734111/348498863994532', '2087723315571/348498863994532', '2348971884785/348498863994532', '1305160353903/174249431997266', '1435890550665/174249431997266', '3133364437477/348498863994532', '848770538071/87124715998633', '914236437662/87124715998633', '1959483405661/174249431997266', '1045289248974/87124715998633', '1110882013516/87124715998633', '2353045914575/174249431997266', '1242215066879/87124715998633', '5231845424327/348498863994532', '5495059469985/348498863994532', '2879257349805/174249431997266', '1505555885050/87124715998633', '6286198557003/348498863994532', '1637613116164/87124715998633', '3407499067269/174249431997266', '3539924301247/174249431997266', '1836254270207/87124715998633', '1902629241690/87124715998633', '1969090462855/87124715998633', '8142565533031/348498863994532', '8409142026865/348498863994532', '2169026393901/87124715998633', '8943470664249/348498863994532', '4605626015891/174249431997266', '9479464683463/348498863994532', '9748123907779/348498863994532', '10017245290389/348498863994532', '2571711182192/87124715998633', '10556938451955/348498863994532', '10827543037277/348498863994532', '2774668857072/87124715998633', '11370352957889/348498863994532', '11642593368951/348498863994532', '11915414836427/348498863994532', '12188835995191/348498863994532', '12462875965765/348498863994532', '6368777191109/174249431997266', '13012891426339/348498863994532', '3322226965178/87124715998633', '13565625064537/348498863994532']
['2028153011196/702314226404827', '2535343775563/702314226404827', '3042636319331/702314226404827', '3550051104192/702314226404827', '4057608649666/702314226404827', '4565329542470/702314226404827', '5073234447613/702314226404827', '5581344117997/702314226404827', '6089679404052/702314226404827', '6598261265374/702314226404827', '7107110780812/702314226404827', '7616249158573/702314226404827', '8125697748589/702314226404827', '162933548173/13251211818959', '9145611737935/702314226404827', '9656120644974/702314226404827', '10167026804427/702314226404827', '10678352446077/702314226404827', '11190120014164/702314226404827', '11702352179248/702314226404827', '12215071852027/702314226404827', '12728302198335/702314226404827', '13242066653454/702314226404827', '13756388936684/702314226404827', '14271293068421/702314226404827', '14786803386084/702314226404827', '15302944560549/702314226404827', '15819741615376/702314226404827', '16337219944822/702314226404827', '16855405332756/702314226404827', '17374323974438/702314226404827', '17894002497238/702314226404827', '18414467982605/702314226404827', '18935747991042/702314226404827', '19457870586362/702314226404827', '19980864361487/702314226404827', '20504758467441/702314226404827', '21029582642213/702314226404827', '21555367241334/702314226404827', '22082143272268/702314226404827', '22609942429124/702314226404827', '23138797129505/702314226404827', '23668740556044/702314226404827', '24199806698716/702314226404827', '24732030400291/702314226404827', '25265447407360/702314226404827', '25800094423040/702314226404827', '26336009164305/702314226404827', '26873230426084/702314226404827']
['2465347002197/707212380232863', '2958622217375/707212380232863', '383556649679/78579153359207', '1315176251107/235737460077621', '493244206507/78579153359207', '4933036151339/707212380232863', '1809020898985/235737460077621', '657921849641/78579153359207', '6415757245685/707212380232863', '6910463841785/707212380232863', '7405435897517/707212380232863', '7900692996283/707212380232863', '8396254853939/707212380232863', '2964047109803/235737460077621', '9388372433045/707212380232863', '9884968337741/707212380232863', '3460649797163/235737460077621', '10879336125277/707212380232863', '11377149266563/707212380232863', '11875409751331/707212380232863', '12374138734547/707212380232863', '1430373067031/78579153359207', '13373087991337/707212380232863', '13873351789931/707212380232863', '14374171163161/707212380232863', '14875568563355/707212380232863', '15377566744081/707212380232863', '1764465419637/78579153359207', '5461152689485/235737460077621', '16887398376523/707212380232863', '17392033827799/707212380232863', '17897388938321/707212380232863', '18403488630949/707212380232863', '18910358256895/707212380232863', '6472674539665/235737460077621', '6642170330627/235737460077621', '6811949049217/235737460077621', '20946059382289/707212380232863', '21457175540659/707212380232863', '21969224045923/707212380232863', '22482233931613/707212380232863', '7665411623713/235737460077621', '23511257213881/707212380232863', '24027332022929/707212380232863', '8181497037475/235737460077621', '25062767090671/707212380232863', '8527397802445/235737460077621', '8700934799857/235737460077621', '8874878448947/235737460077621']
['5757109611855/1423414558084609', '6717150991257/1423414558084609', '7677434213727/1423414558084609', '8637994122417/1423414558084609', '9598865676091/1423414558084609', '10560083966641/1423414558084609', '11521684236977/1423414558084609', '12483701892025/1423414558084609', '13446172517081/1423414558084609', '14409131896327/1423414558084609', '15372616024759/1423414558084609', '16336661127309/1423414558084609', '17301303678523/1423414558084609', '18266580415469/1423414558084609', '19232528358159/1423414558084609', '20199184830225/1423414558084609', '21166587473699/1423414558084609', '22134774270243/1423414558084609', '23103783564311/1423414558084609', '24073654078647/1423414558084609', '25044424938389/1423414558084609', '26016135695321/1423414558084609', '26988826346221/1423414558084609', '27962537358815/1423414558084609', '28937309698763/1423414558084609', '29913184850479/1423414558084609', '30890204846013/1423414558084609', '31868412295099/1423414558084609', '32847850409229/1423414558084609', '33828563034035/1423414558084609', '34810594683151/1423414558084609', '35793990566313/1423414558084609', '36778796626153/1423414558084609', '37765059576807/1423414558084609', '38752826937027/1423414558084609', '39742147072497/1423414558084609', '40733069240407/1423414558084609', '41725643628927/1423414558084609', '42719921406591/1423414558084609', '43715954774301/1423414558084609', '44713797013161/1423414558084609', '45713502542689/1423414558084609', '46715126982781/1423414558084609', '47718727212145/1423414558084609', '48724361438361/1423414558084609', '49732089272783/1423414558084609', '50741971803293/1423414558084609', '51754071680191/1423414558084609', '52768453208925/1423414558084609']
['653919591563/143172762711753', '249133456617/47724254237251', '4204533388901/715863813558765', '4672208696609/715863813558765', '1713347983047/238621271186255', '1869351796843/238621271186255', '405083955629/47724254237251', '2181557391437/238621271186255', '467554025975/47724254237251', '7482190552639/715863813558765', '1590265867025/143172762711753', '8420743518641/715863813558765', '8890449998339/715863813558765', '9360465793373/715863813558765', '9830808054679/715863813558765', '10301494072127/715863813558765', '10772541283037/715863813558765', '11243967282947/715863813558765', '2343157966253/143172762711753', '12188026862639/715863813558765', '2532139299295/143172762711753', '13133817045593/715863813558765', '2721481405271/143172762711753', '14081485171393/715863813558765', '4852023479033/238621271186255', '3006236403427/143172762711753', '15506839354217/715863813558765', '15983062151063/715863813558765', '16459870383217/715863813558765', '5645761438141/238621271186255', '1161021633809/47724254237251', '5964670613039/238621271186255', '3674673503753/143172762711753', '18853413099527/715863813558765', '19334170496767/715863813558765', '19815662007311/715863813558765', '20297910324553/715863813558765', '20780938559957/715863813558765', '21264770263591/715863813558765', '21749429444383/715863813558765', '1482329372873/47724254237251', '7573776236263/238621271186255', '7736206440319/238621271186255', '1579789234619/47724254237251', '24186012982639/715863813558765', '4935234001817/143172762711753', '25167337549067/715863813558765', '8553181414527/238621271186255', '8717606486253/238621271186255']
['7279903823163/1439380894294747', '8190642870163/1439380894294747', '9101647640273/1439380894294747', '10012948015789/1439380894294747', '10924573991699/1439380894294747', '11836555690021/1439380894294747', '12748923370781/1439380894294747', '13661707443357/1439380894294747', '14574938480995/1439380894294747', '15488647232755/1439380894294747', '16402864635151/1439380894294747', '17317621827981/1439380894294747', '18232950166487/1439380894294747', '19148881234211/1439380894294747', '20065446859613/1439380894294747', '20982679129271/1439380894294747', '21900610402105/1439380894294747', '22819273326583/1439380894294747', '23738700855719/1439380894294747', '24658926262237/1439380894294747', '25579983157525/1439380894294747', '26501905508015/1439380894294747', '27424727651911/1439380894294747', '28348484320109/1439380894294747', '29273210654189/1439380894294747', '30198942225463/1439380894294747', '31125715057691/1439380894294747', '32053565647681/1439380894294747', '32982530986519/1439380894294747', '33912648585195/1439380894294747', '34843956497669/1439380894294747', '35776493345565/1439380894294747', '36710298346503/1439380894294747', '37645411341177/1439380894294747', '38581872821247/1439380894294747', '39519723962151/1439380894294747', '40459006654247/1439380894294747', '41399763535369/1439380894294747', '42342038028799/1439380894294747', '43285874379641/1439380894294747', '44231317693473/1439380894294747', '45178413980653/1439380894294747', '46127210199521/1439380894294747', '47077754302775/1439380894294747', '48030095289829/1439380894294747', '48984283259303/1439380894294747', '49940369465109/1439380894294747', '50898406379831/1439380894294747', '51858447759233/1439380894294747']
['3991183129381/723241554180269', '4435079952303/723241554180269', '4879113588475/723241554180269', '5323297907691/723241554180269', '5767646839779/723241554180269', '6212174372803/723241554180269', '6656894560947/723241554180269', '7101821530015/723241554180269', '7546969484847/723241554180269', '7992352709103/723241554180269', '8437985578883/723241554180269', '8883882563159/723241554180269', '9330058230945/723241554180269', '9776527258545/723241554180269', '10223304436861/723241554180269', '10670404672717/723241554180269', '11117843002783/723241554180269', '11565634595453/723241554180269', '12013794758401/723241554180269', '12462338947623/723241554180269', '12911282775153/723241554180269', '13360642012331/723241554180269', '13810432604393/723241554180269', '14260670674267/723241554180269', '14711372531207/723241554180269', '15162554681705/723241554180269', '15614233838865/723241554180269', '16066426927381/723241554180269', '16519151100123/723241554180269', '16972423744055/723241554180269', '17426262490991/723241554180269', '17880685230981/723241554180269', '18335710124137/723241554180269', '18791355608327/723241554180269', '19247640418749/723241554180269', '19704583596857/723241554180269', '20162204504557/723241554180269', '20620522841095/723241554180269', '21079558658903/723241554180269', '21539332375235/723241554180269', '21999864796415/723241554180269', '22461177131607/723241554180269', '22923291012155/723241554180269', '23386228514245/723241554180269', '23850012180997/723241554180269', '24314665040537/723241554180269', '24780210638153/723241554180269', '25246673057347/723241554180269', '25714076948787/723241554180269']
['4324505087279/726520801478424', '1585814317351/242173600492808', '1297630125859/181630200369606', '2811875321237/363260400739212', '757143290464/90815100184803', '6490720559255/726520801478424', '6924486424789/726520801478424', '1839614265947/181630200369606', '3896322846061/363260400739212', '4113532802015/363260400739212', '1443621696157/121086800246404', '1137081609506/90815100184803', '4765923630439/363260400739212', '9967326990259/726520801478424', '10403105827465/726520801478424', '10839197646991/726520801478424', '11275616440087/726520801478424', '1952062720037/121086800246404', '3037372882649/181630200369606', '6293488224923/363260400739212', '6512422799221/363260400739212', '2243852274403/121086800246404', '13901795420081/726520801478424', '4780301969581/242173600492808', '7390230136723/363260400739212', '7610236927097/363260400739212', '15660962177717/726520801478424', '5367313655631/242173600492808', '16543426149095/726520801478424', '5661811288231/242173600492808', '4356995119445/181630200369606', '17871082585447/726520801478424', '1526229752307/60543400123202', '18759020899187/726520801478424', '19203891560239/726520801478424', '1637448887327/60543400123202', '20095524089593/726520801478424', '6847440705121/242173600492808', '10494899635679/363260400739212', '3572995739167/121086800246404', '21886866829717/726520801478424', '11168248020167/363260400739212', '2848360253890/90815100184803', '23238045162967/726520801478424', '23690006211877/726520801478424', '24142786390043/726520801478424', '8198802455573/242173600492808', '3131361411286/90815100184803', '6376565203447/181630200369606']
