['0', '190165705243/225967281152088', '1141023140221/677901843456264', '570535666931/225967281152088', '760759219231/225967281152088', '2853064122815/677901843456264', '489142211197/96843120493752', '443900099081/75322427050696', '4566409634377/677901843456264', '733993014469/96843120493752', '5709754826297/677901843456264', '6281850501949/677901843456264', '6854267999657/677901843456264', '7427037386155/677901843456264', '1142884134917/96843120493752', '136091320559/10760346721528', '9147760914877/677901843456264', '9722243157787/677901843456264', '10297231280327/677901843456264', '10872756957955/677901843456264', '3816284071799/225967281152088', '4008516481573/225967281152088', '12602881434233/677901843456264', '4393627130533/225967281152088', '1528842552693/75322427050696', '14339020314005/677901843456264', '14919228048245/677901843456264', '5166747117313/225967281152088', '2297442281033/96843120493752', '16664828238685/677901843456264', '17248475150419/677901843456264', '1981452706757/75322427050696', '18418664243663/677901843456264', '6335094643807/225967281152088', '19592973356977/677901843456264', '20181773302177/677901843456264', '2307969494381/75322427050696', '21362872432415/677901843456264', '21955257894629/677901843456264', '22548926551997/677901843456264', '23143924255705/677901843456264', '3391471152019/96843120493752', '8112698773535/225967281152088', '24937368732799/677901843456264', '25538166463513/677901843456264', '26140542229507/677901843456264', '3820650057821/96843120493752', '27350247138427/677901843456264', '27957690484939/677901843456264']
['2672682068493/193397029207615', '5450756761463/386794058415230', '5556195840443/386794058415230', '5661680551509/386794058415230', '2883605233704/193397029207615', '2936392747956/193397029207615', '5978405721451/386794058415230', '3042035710179/193397029207615', '6189782950289/386794058415230', '3147770396166/193397029207615', '6401345462549/386794058415230', '3253598783053/193397029207615', '6613097717413/386794058415230', '6719046601133/386794058415230', '3412522448924/193397029207615', '693109334606/38679405841523', '7037192672467/386794058415230', '7143343655229/386794058415230', '3624773527353/193397029207615', '7355803678709/386794058415230', '3731057157277/193397029207615', '3784239896447/193397029207615', '1534980184593/77358811683046', '7781378553141/386794058415230', '7887913513643/386794058415230', '3997253332244/193397029207615', '4050579426994/193397029207615', '4103935477987/193397029207615', '4157321914043/193397029207615', '4210739180001/193397029207615', '8528375416161/386794058415230', '4317667948602/193397029207615', '874236067501/38679405841523', '4424725328207/193397029207615', '8956606717683/386794058415230', '9063829768909/386794058415230', '9171120685749/386794058415230', '4639240187684/193397029207615', '4692954853434/193397029207615', '9493409575323/386794058415230', '4800490415781/193397029207615', '1941724869031/77358811683046', '9816340929109/386794058415230', '4962065700809/193397029207615', '5015998252104/193397029207615', '5069968477512/193397029207615', '1024795335456/38679405841523', '10356046219711/386794058415230', '5232107924744/193397029207615']
['21525411949259/1547879046246411', '707794156327/49931582136981', '22358014817431/1547879046246411', '22774595369285/1547879046246411', '23191357932409/1547879046246411', '7869433763205/515959682082137', '24025425196375/1547879046246411', '24442730127965/1547879046246411', '8286739032907/515959682082137', '25277887539923/1547879046246411', '25695743205269/1547879046246411', '26113786105871/1547879046246411', '26532018458263/1547879046246411', '26950442648449/1547879046246411', '27369061199291/1547879046246411', '27787876751443/1547879046246411', '28206892042135/1547879046246411', '9542036631099/515959682082137', '29045533198177/1547879046246411', '9821721638159/515959682082137', '29885008053409/1547879046246411', '30305065676597/1547879046246411', '30725340892007/1547879046246411', '10381945611419/515959682082137', '31566556702709/1547879046246411', '31987503681517/1547879046246411', '32408681039957/1547879046246411', '10943364006693/515959682082137', '33251739926525/1547879046246411', '11224542686437/515959682082137', '34095759747451/1547879046246411', '11506046109751/515959682082137', '51308028125/2272950141331', '35363649574519/1547879046246411', '11928929649599/515959682082137', '12070062875829/515959682082137', '36633851949451/1547879046246411', '12352594078253/515959682082137', '37481982770729/1547879046246411', '12635485600679/515959682082137', '38331207510365/1547879046246411', '12918745997949/515959682082137', '39181551235453/1547879046246411', '13202383354999/515959682082137', '40033037100439/1547879046246411', '13486404891231/515959682082137', '13628561571261/515959682082137', '13770816192427/515959682082137', '41739506768785/1547879046246411']
['1354118598933/96785091179576', '2759607629849/193570182359152', '1405501109497/96785091179576', '2862420240143/193570182359152', '5827722508895/387140364718304', '1482662497087/96785091179576', '754202837059/48392545589788', '3068320290145/193570182359152', '3119851889347/193570182359152', '6342812514877/387140364718304', '402872946381/24196272794894', '6549168052695/387140364718304', '415775983411/24196272794894', '6755710689927/387140364718304', '6859053495965/387140364718304', '1740611182275/96785091179576', '3532942514393/193570182359152', '7169375024111/387140364718304', '909114424883/48392545589788', '3688253410853/193570182359152', '7480150009399/387140364718304', '7583845659107/387140364718304', '7687594515111/387140364718304', '7791397294253/387140364718304', '3947627382513/193570182359152', '7999167657745/387140364718304', '4051568379263/193570182359152', '1025895351531/48392545589788', '8311246613499/387140364718304', '2103847230221/96785091179576', '8519590533671/387140364718304', '2155963054615/96785091179576', '8728174777329/387140364718304', '8832558978261/387140364718304', '4468502811019/193570182359152', '9041515471687/387140364718304', '9146089319091/387140364718304', '9250727913789/387140364718304', '9355432028317/387140364718304', '9460202384915/387140364718304', '2391259930095/96785091179576', '2417486177095/96785091179576', '2443729505427/96785091179576', '4939980124567/193570182359152', '9985071950509/387140364718304', '5045126780893/193570182359152', '5097752717721/193570182359152', '10300827716913/387140364718304', '5203110170695/193570182359152']
['10901459917787/774607218407507', '11104376234963/774607218407507', '11307391651214/774607218407507', '11510502651589/774607218407507', '11713706900562/774607218407507', '11917002908402/774607218407507', '12120389808535/774607218407507', '12323867199518/774607218407507', '12527435036502/774607218407507', '12731093550335/774607218407507', '12934843189264/774607218407507', '13138684573776/774607218407507', '13342618465249/774607218407507', '13546645737784/774607218407507', '13750767360069/774607218407507', '13954984378813/774607218407507', '14159297906565/774607218407507', '14363709110828/774607218407507', '238823265700/12698478990287', '14772829452871/774607218407507', '14977541137995/774607218407507', '15182355584330/774607218407507', '15387274143184/774607218407507', '15592298178951/774607218407507', '15797429095698/774607218407507', '16002668286886/774607218407507', '265705199866/12698478990287', '16413477234639/774607218407507', '16619049870359/774607218407507', '16824736548265/774607218407507', '17030538731146/774607218407507', '17236457880213/774607218407507', '17442495458591/774607218407507', '17648652925519/774607218407507', '17854931733562/774607218407507', '18061333323167/774607218407507', '18267859119258/774607218407507', '18474510522558/774607218407507', '18681288903571/774607218407507', '18888195591736/774607218407507', '19095231863436/774607218407507', '19302398924802/774607218407507', '19509697892681/774607218407507', '19717129764156/774607218407507', '19924695380485/774607218407507', '20132395373489/774607218407507', '20340230090663/774607218407507', '20548199482788/774607218407507', '20756302931227/774607218407507']
['5484197316770/387462356239477', '5584399868877/387462356239477', '5684653460011/387462356239477', '5784956000777/387462356239477', '5885306010406/387462356239477', '5985702515932/387462356239477', '6086144854456/387462356239477', '6186632663376/387462356239477', '6287165745166/387462356239477', '6387744096315/387462356239477', '6488367801108/387462356239477', '6589037079878/387462356239477', '6689752197108/387462356239477', '6790513518916/387462356239477', '6891321430180/387462356239477', '6992176396245/387462356239477', '7093078884906/387462356239477', '7194029431418/387462356239477', '7295028562874/387462356239477', '7396076864556/387462356239477', '7497174907113/387462356239477', '7598323312404/387462356239477', '7699522684292/387462356239477', '7800773669026/387462356239477', '7902076898568/387462356239477', '8003433035089/387462356239477', '8104842729009/387462356239477', '8206306657969/387462356239477', '8307825479735/387462356239477', '8409399884003/387462356239477', '8511030530850/387462356239477', '8612718113691/387462356239477', '8714463290584/387462356239477', '8816266750568/387462356239477', '8918129141987/387462356239477', '9020051140162/387462356239477', '9122033373372/387462356239477', '9224076489917/387462356239477', '9326181082683/387462356239477', '9428347754138/387462356239477', '9530577037410/387462356239477', '9632869459267/387462356239477', '9735225454633/387462356239477', '9837645423735/387462356239477', '9940129636699/387462356239477', '10042678277217/387462356239477', '10145291324899/387462356239477', '10247968568608/387462356239477', '10350709432574/387462356239477']
['11033750550410/775228861427887', '11231695325512/775228861427887', '11429745635431/775228861427887', '11627896526634/775228861427887', '11826144455379/775228861427887', '12024486912609/775228861427887', '12222922161233/775228861427887', '12421449052772/775228861427887', '12620066892659/775228861427887', '12818775343108/775228861427887', '13017574348053/775228861427887', '13216464079270/775228861427887', '13415444891717/775228861427887', '13614517291542/775228861427887', '13813681908807/775228861427887', '14012939477813/775228861427887', '14212290818732/775228861427887', '14411736825881/775228861427887', '14611278454844/775228861427887', '14810916714549/775228861427887', '15010652658739/775228861427887', '15210487379023/775228861427887', '15410422003658/775228861427887', '15610457678594/775228861427887', '15810595592328/775228861427887', '16010836926917/775228861427887', '16211182908421/775228861427887', '16411634750782/775228861427887', '16612193694744/775228861427887', '16812860975539/775228861427887', '17013637836153/775228861427887', '17214525514888/775228861427887', '17415525244817/775228861427887', '17616638248202/775228861427887', '17817865730212/775228861427887', '18019208874243/775228861427887', '18220668832736/775228861427887', '18422246719356/775228861427887', '18623943596974/775228861427887', '18825760464984/775228861427887', '19027698240477/775228861427887', '19229757738130/775228861427887', '19431939639937/775228861427887', '19634244459203/775228861427887', '19836672489382/775228861427887', '20039223736642/775228861427887', '20241897821973/775228861427887', '20444693843351/775228861427887', '20647610160527/775228861427887']
['11097678521967/775525093943755', '11293211622939/775525093943755', '11488854263537/775525093943755', '2336920132617/155105018788751', '11880446652161/775525093943755', '12076389116743/775525093943755', '12272425872881/775525093943755', '12468555315293/775525093943755', '12664776423179/775525093943755', '12861088500157/775525093943755', '13057491244871/775525093943755', '13253984538933/775525093943755', '13450568546141/775525093943755', '13647243529399/775525093943755', '13844009966761/775525093943755', '14040868380861/775525093943755', '14237819466839/775525093943755', '14434863931163/775525093943755', '14632002622011/775525093943755', '14829236376709/775525093943755', '15026566155411/775525093943755', '15223992887689/775525093943755', '15421517617279/775525093943755', '15619141335899/775525093943755', '15816865150869/775525093943755', '16014690094817/775525093943755', '3242523462999/155105018788751', '16410647875693/775525093943755', '3321756587781/155105018788751', '16807023588581/775525093943755', '17005370985073/775525093943755', '17203826210527/775525093943755', '17402390410199/775525093943755', '17601064640829/775525093943755', '17799850010297/775525093943755', '17998747525069/775525093943755', '18197758224893/775525093943755', '18396883028999/775525093943755', '3719224573583/155105018788751', '18795478520109/775525093943755', '3798990148201/155105018788751', '19194540088751/775525093943755', '19394247039471/775525093943755', '19594071796583/775525093943755', '3958802876799/155105018788751', '19994074415663/775525093943755', '4038850228661/155105018788751', '4078908629109/155105018788751', '20594948249759/775525093943755']
['2480037748037/172402047765355', '4541334886817/310323685977639', '4618647408403/310323685977639', '17176309027/1135053716085', '23866996820173/1551618429888195', '24254176840471/1551618429888195', '24641549034067/1551618429888195', '2781012153073/172402047765355', '2824094997647/172402047765355', '8601594612823/517206143296065', '26192894674991/1551618429888195', '8860395594577/517206143296065', '599325776313/34480409553071', '5471662856497/310323685977639', '27747150308173/1551618429888195', '9378722919221/517206143296065', '9508456867999/517206143296065', '28914757007747/1551618429888195', '1953621952771/103441228659213', '3299343212477/172402047765355', '10028012481167/517206143296065', '30474176551211/1551618429888195', '30864507996349/1551618429888195', '3472781509143/172402047765355', '31645755208963/1551618429888195', '32036674772089/1551618429888195', '32427794252909/1551618429888195', '32819115614093/1551618429888195', '3690071207421/172402047765355', '33602372005489/1551618429888195', '33994311033613/1551618429888195', '3820717770211/172402047765355', '2318588043833/103441228659213', '35171395124899/1551618429888195', '35564185195013/1551618429888195', '35957192653609/1551618429888195', '12116806398281/517206143296065', '12247955464373/517206143296065', '12379178558539/517206143296065', '37531428283433/1551618429888195', '37925545228289/1551618429888195', '38319887231197/1551618429888195', '4301606072451/172402047765355', '4345471932211/172402047765355', '877872550165/34480409553071', '7979901061267/310323685977639', '40294966591193/1551618429888195', '40690644824821/1551618429888195', '8217306875005/310323685977639']
['1402671561029/97010798297234', '1426527192585/97010798297234', '5801590766897/388043193188936', '5897128542069/388043193188936', '2996359626893/194021596594468', '6088360768379/388043193188936', '1546012856197/97010798297234', '3139894999097/194021596594468', '3187787768573/194021596594468', '1617851844271/97010798297234', '6567285015095/388043193188936', '6663208148001/388043193188936', '6759176567523/388043193188936', '6855190212389/388043193188936', '3475624537251/194021596594468', '3523676629381/194021596594468', '7143502896775/388043193188936', '3619849105181/194021596594468', '3667969714937/194021596594468', '7432226860733/388043193188936', '3764280402069/194021596594468', '7624941624027/388043193188936', '3860684837001/194021596594468', '3908922678365/194021596594468', '3957184531621/194021596594468', '1001367652767/48505399148617', '8107562245979/388043193188936', '1025529072561/48505399148617', '8300952645813/388043193188936', '8397722894299/388043193188936', '2123635935569/97010798297234', '8591415635867/388043193188936', '8688338976083/388043193188936', '4392657093779/194021596594468', '8882341641315/388043193188936', '8979421722701/388043193188936', '9076554751967/388043193188936', '4586870525697/194021596594468', '9270980861827/388043193188936', '4684137203649/194021596594468', '1183202725856/48505399148617', '4781511566669/194021596594468', '1207559789594/48505399148617', '9757987193763/388043193188936', '4927774697221/194021596594468', '4976582186203/194021596594468', '1256353907588/48505399148617', '10148548857121/388043193188936', '10246315407607/388043193188936']
['22562541064057/1552705112053661', '22939669126103/1552705112053661', '23317046014365/1552705112053661', '23694655102019/1552705112053661', '24072483565659/1552705112053661', '24450521468819/1552705112053661', '24828761096473/1552705112053661', '25207196469147/1552705112053661', '25585822977219/1552705112053661', '25964637109391/1552705112053661', '26343636236575/1552705112053661', '26722818451335/1552705112053661', '27102182436925/1552705112053661', '27481727365807/1552705112053661', '525687788973/29296322868937', '28241358705931/1552705112053661', '28621445239879/1552705112053661', '29001712862385/1552705112053661', '29382162221161/1552705112053661', '29762794135881/1552705112053661', '30143609571133/1552705112053661', '30524609610667/1552705112053661', '30905795450357/1552705112053661', '31287168347771/1552705112053661', '31668729662145/1552705112053661', '32050480765811/1552705112053661', '32432423108857/1552705112053661', '32814558135739/1552705112053661', '33196887326259/1552705112053661', '33579412144751/1552705112053661', '33962134050261/1552705112053661', '34345054468171/1552705112053661', '34728174779915/1552705112053661', '35111496305363/1552705112053661', '35495020279683/1552705112053661', '35878747833043/1552705112053661', '36262679961883/1552705112053661', '36646817497337/1552705112053661', '37031161064405/1552705112053661', '37415711037847/1552705112053661', '37800467478833/1552705112053661', '38185430064781/1552705112053661', '38570597993669/1552705112053661', '38955969864257/1552705112053661', '39341543515801/1552705112053661', '39727315820687/1552705112053661', '40113282391173/1552705112053661', '40499437178305/1552705112053661', '40885771880057/1552705112053661']
['11340010310099/776612643387965', '11526331906741/776612643387965', '11712783981021/776612643387965', '11899357241397/776612643387965', '12086044507049/776612643387965', '12272840067779/776612643387965', '12459739494459/776612643387965', '12646739222479/776612643387965', '2566767303203/155322528677593', '13021029162687/776612643387965', '13208315515329/776612643387965', '13395694248551/776612643387965', '13583164441499/776612643387965', '13770725368669/776612643387965', '13958376607753/776612643387965', '14146117850111/776612643387965', '14333949022139/776612643387965', '14521870110109/776612643387965', '2941976257715/155322528677593', '14897982753129/776612643387965', '15086174856217/776612643387965', '15274457940657/776612643387965', '15462832486413/776612643387965', '15651298934759/776612643387965', '15839857853807/776612643387965', '16028509748073/776612643387965', '16217255235081/776612643387965', '16406094856259/776612643387965', '16595029243593/776612643387965', '16784058946191/776612643387965', '3394636916265/155322528677593', '17162406671073/776612643387965', '3470345157237/155322528677593', '17541142384021/776612643387965', '17730656947821/776612643387965', '3584053964709/155322528677593', '18109981354339/776612643387965', '18299791711187/776612643387965', '18489701023309/776612643387965', '18679709197863/776612643387965', '18869816040573/776612643387965', '3812004212175/155322528677593', '19250323573831/776612643387965', '19440722477533/776612643387965', '19631216323437/776612643387965', '19821803041457/776612643387965', '20012479942401/776612643387965', '20203243339051/776612643387965', '20394088391499/776612643387965']
['22795135141295/1553725453081453', '23163367691887/1553725453081453', '23531874098729/1553725453081453', '23900633948817/1553725453081453', '24269631139057/1553725453081453', '24638852879481/1553725453081453', '25008288966145/1553725453081453', '25377931234359/1553725453081453', '25747773150637/1553725453081453', '26117809493641/1553725453081453', '26488036111691/1553725453081453', '26858449728299/1553725453081453', '27229047791721/1553725453081453', '27599828349525/1553725453081453', '27970789953215/1553725453081453', '28341931574049/1553725453081453', '28713252539107/1553725453081453', '29084752473923/1553725453081453', '29456431258265/1553725453081453', '29828288983449/1553725453081453', '30200325924471/1553725453081453', '30572542499847/1553725453081453', '30944939266705/1553725453081453', '31317516862415/1553725453081453', '31690276035593/1553725453081453', '32063217563543/1553725453081453', '32436342300219/1553725453081453', '32809651099561/1553725453081453', '33183144844865/1553725453081453', '33556824398511/1553725453081453', '33930690605611/1553725453081453', '34304744260495/1553725453081453', '34678986095599/1553725453081453', '35053416751917/1553725453081453', '35428036756869/1553725453081453', '35802846491909/1553725453081453', '36177846159951/1553725453081453', '36553035741021/1553725453081453', '36928414946569/1553725453081453', '37303983155951/1553725453081453', '37679739345535/1553725453081453', '38055681995195/1553725453081453', '38431808975001/1553725453081453', '38808117395123/1553725453081453', '39184603418273/1553725453081453', '39561262003841/1553725453081453', '39938086570415/1553725453081453', '40315068523555/1553725453081453', '40692196585601/1553725453081453']
['5727044262235/388553752432276', '5818016773093/388553752432276', '5909061271497/388553752432276', '1500043043896/97138438108069', '1522836250844/97138438108069', '6182576196607/388553752432276', '3136931424497/194276876216138', '6365202644649/388553752432276', '3228296834461/194276876216138', '1637008600859/97138438108069', '6639523582401/388553752432276', '1682765054755/97138438108069', '6822643485761/388553752432276', '1728568189925/97138438108069', '7005947517789/388553752432276', '1774416847860/97138438108069', '1797358018077/97138438108069', '1820310343296/97138438108069', '7373095138457/388553752432276', '3732496655001/194276876216138', '3778467921095/194276876216138', '7648922766999/388553752432276', '1935238529156/97138438108069', '7833029984213/388553752432276', '7925150453487/388553752432276', '8017315656139/388553752432276', '2027381426145/97138438108069', '2050445187475/97138438108069', '8294080911903/388553752432276', '8386426342553/388553752432276', '8478817149133/388553752432276', '2142813365699/97138438108069', '8663735357915/388553752432276', '4378131460141/194276876216138', '4424418082435/194276876216138', '8941455103203/388553752432276', '2258529914151/97138438108069', '9126829722333/388553752432276', '9219585082261/388553752432276', '2328096365809/97138438108069', '9405230439725/388553752432276', '2374529871592/97138438108069', '4795525933557/194276876216138', '9684026674957/388553752432276', '2444260674934/97138438108069', '2467524609873/97138438108069', '9963191928809/388553752432276', '10056320694039/388553752432276', '2537370373090/97138438108069']
['7673026177425/518228783008501', '23378692615367/1554686349025503', '23738609617607/1554686349025503', '24098805111815/1554686349025503', '8153086492255/518228783008501', '24819956838155/1554686349025503', '25180884275765/1554686349025503', '25542031228559/1554686349025503', '8634463011005/518228783008501', '26264950571437/1554686349025503', '26626709990059/1554686349025503', '26988662480195/1554686349025503', '9116934699741/518228783008501', '27713131630141/1554686349025503', '28075642461433/1554686349025503', '9479444831663/518228783008501', '28801206063259/1554686349025503', '29164255864927/1554686349025503', '29527482906799/1554686349025503', '9963628819209/518228783008501', '30254466006365/1554686349025503', '30618221221325/1554686349025503', '30982151932895/1554686349025503', '10448752692609/518228783008501', '31710539711587/1554686349025503', '10691665646675/518228783008501', '32439629939639/1554686349025503', '32804438898587/1554686349025503', '33169424023253/1554686349025503', '11178195165319/518228783008501', '33899923464523/1554686349025503', '34265438011687/1554686349025503', '34631129130223/1554686349025503', '34996996694663/1554686349025503', '11787680142259/518228783008501', '35729259859777/1554686349025503', '36095654292859/1554686349025503', '36462222742447/1554686349025503', '36828963877897/1554686349025503', '37195875951623/1554686349025503', '37562956706207/1554686349025503', '12643401088609/518228783008501', '12765870665255/518228783008501', '12888392776517/518228783008501', '13010965513249/518228783008501', '39400759446835/1554686349025503', '13256252674359/518228783008501', '40136880859277/1554686349025503', '40505113409869/1554686349025503']
['5782033654265/388787117546383', '5870883132207/388787117546383', '5959812378675/388787117546383', '6048814741589/388787117546383', '6137884874229/388787117546383', '6227018379287/388787117546383', '6316211686194/388787117546383', '6405461813833/388787117546383', '6494766330874/388787117546383', '6584123181917/388787117546383', '6673530693589/388787117546383', '6762987435749/388787117546383', '6852492253590/388787117546383', '6942044150526/388787117546383', '7031642334800/388787117546383', '7121286115739/388787117546383', '7210974960044/388787117546383', '7300708395655/388787117546383', '7390486074153/388787117546383', '7480307680239/388787117546383', '7570172997810/388787117546383', '7660081821360/388787117546383', '7750034028196/388787117546383', '7840029486760/388787117546383', '7930068135221/388787117546383', '8020149888234/388787117546383', '8110274716484/388787117546383', '8200442555902/388787117546383', '8290653384668/388787117546383', '8380907135382/388787117546383', '8471203768700/388787117546383', '8561543187925/388787117546383', '8651925309204/388787117546383', '8742349976074/388787117546383', '8832817027969/388787117546383', '8923326211777/388787117546383', '9013877247861/388787117546383', '9104469737965/388787117546383', '9195103226314/388787117546383', '9285777101141/388787117546383', '9376490649100/388787117546383', '9467242945258/388787117546383', '9558032895591/388787117546383', '9648859109193/388787117546383', '9739719917745/388787117546383', '9830613215439/388787117546383', '9921536435976/388787117546383', '10012486327561/388787117546383', '10103458838419/388787117546383']
['23235255240771/1555593977751787', '23586496836183/1555593977751787', '23938074287323/1555593977751787', '24289958963247/1555593977751787', '24642127527693/1555593977751787', '24994560816431/1555593977751787', '25347242994797/1555593977751787', '25700160905247/1555593977751787', '26053303568697/1555593977751787', '26406661788631/1555593977751787', '26760227840411/1555593977751787', '27113995219637/1555593977751787', '27467958444063/1555593977751787', '27822112885323/1555593977751787', '28176454637467/1555593977751787', '28530980403383/1555593977751787', '28885687402721/1555593977751787', '29240573291237/1555593977751787', '29595636097873/1555593977751787', '29950874162021/1555593977751787', '30306286090733/1555593977751787', '30661870705033/1555593977751787', '31017627018017/1555593977751787', '31373554173891/1555593977751787', '31729651450609/1555593977751787', '32085918191901/1555593977751787', '32442353814707/1555593977751787', '32798957752699/1555593977751787', '33155729451179/1555593977751787', '33512668322497/1555593977751787', '33869773731141/1555593977751787', '34227044952841/1555593977751787', '34584481148977/1555593977751787', '34942081326627/1555593977751787', '35299844300457/1555593977751787', '35657768644147/1555593977751787', '36015852641091/1555593977751787', '36374094217755/1555593977751787', '36732490873691/1555593977751787', '37091039591381/1555593977751787', '37449736730145/1555593977751787', '37808577893039/1555593977751787', '38167557767475/1555593977751787', '38526669915797/1555593977751787', '38885906517769/1555593977751787', '39245258030429/1555593977751787', '39604712743789/1555593977751787', '39964256178861/1555593977751787', '40323870261953/1555593977751787']
['129670784156/8644619495779', '5921969641958/389007877310055', '6008842445168/389007877310055', '1219159203244/77801575462011', '6182824016219/389007877310055', '6269921244548/389007877310055', '423805555846/25933858487337', '6444306683576/389007877310055', '6531588209224/389007877310055', '6618925358507/389007877310055', '6706315929293/389007877310055', '2264586029428/129669292436685', '1376250047395/77801575462011', '6968791047901/389007877310055', '2352126449806/129669292436685', '7144014174491/389007877310055', '1446338931374/77801575462011', '7319420088784/389007877310055', '2469063274709/129669292436685', '2498334446984/129669292436685', '2527620050344/129669292436685', '7670759863513/389007877310055', '1551740420053/77801575462011', '7846686558941/389007877310055', '7934712932804/389007877310055', '891420108137/43223097478895', '1622178082222/77801575462011', '911004557897/43223097478895', '920803615624/43223097478895', '8375464737428/389007877310055', '564249155026/25933858487337', '1710410006579/77801575462011', '2880134172283/129669292436685', '8728794430063/389007877310055', '8817225332192/389007877310055', '8905694755768/389007877310055', '8994202112498/389007877310055', '1009194083938/43223097478895', '1834265575979/77801575462011', '1028882730959/43223097478895', '1869719146583/77801575462011', '9437280057791/389007877310055', '9525995976898/389007877310055', '3204913882949/129669292436685', '1940702963189/77801575462011', '1088034755119/43223097478895', '9881132282023/389007877310055', '1993993853476/77801575462011', '1117646527258/43223097478895']
['7814825749839/518817953030501', '23787564305641/1556453859091503', '24131023782919/1556453859091503', '24474822708845/1556453859091503', '24818933870897/1556453859091503', '25163334649097/1556453859091503', '25508006116835/1556453859091503', '25852932349783/1556453859091503', '26198099880245/1556453859091503', '8847832423011/518817953030501', '26889114758515/1556453859091503', '9078314666249/518817953030501', '27580977818005/1556453859091503', '27927210040423/1556453859091503', '28273635330593/1556453859091503', '28620249067771/1556453859091503', '28967047235885/1556453859091503', '9771342111915/518817953030501', '29661183304225/1556453859091503', '30008515448441/1556453859091503', '30356020388743/1556453859091503', '30703696001665/1556453859091503', '10350513461363/518817953030501', '10466517265417/518817953030501', '10582576214169/518817953030501', '10698689805109/518817953030501', '10814857559681/518817953030501', '32793237022837/1556453859091503', '33142061037001/1556453859091503', '33491043273823/1556453859091503', '33840182215933/1556453859091503', '34189476237931/1556453859091503', '11512974522431/518817953030501', '11629507413833/518817953030501', '35238270057439/1556453859091503', '35588164519025/1556453859091503', '35938202770697/1556453859091503', '36288381526129/1556453859091503', '36638696979131/1556453859091503', '36989144701807/1556453859091503', '37339719516403/1556453859091503', '37690415346445/1556453859091503', '38041225024781/1556453859091503', '38392140061397/1556453859091503', '38743150344475/1556453859091503', '13031414587063/518817953030501', '39445405697867/1556453859091503', '39796618382101/1556453859091503', '40147859977513/1556453859091503']
['5886693235071/389217334444564', '2985731851649/194608667222282', '6056332212323/389217334444564', '3070644970221/194608667222282', '6226329605785/389217334444564', '6311445083687/389217334444564', '1599157815015/97304333611141', '1620470942596/97304333611141', '3283599470503/194608667222282', '6652573594781/389217334444564', '1684501260863/97304333611141', '6823490933349/389217334444564', '6909029266325/389217334444564', '6994618271047/389217334444564', '1770064110551/97304333611141', '7165942426169/389217334444564', '7251675072823/389217334444564', '7337453331353/389217334444564', '7423276308277/389217334444564', '7509143170779/389217334444564', '3797526605151/194608667222282', '1920251436916/97304333611141', '3883500101457/194608667222282', '7853036001019/389217334444564', '1984778161047/97304333611141', '8025229619951/389217334444564', '8111386473423/389217334444564', '8197582716837/389217334444564', '8283817901621/389217334444564', '4185045764407/194608667222282', '2114100779735/97304333611141', '2135688030796/97304333611141', '2157284497889/97304333611141', '4357780040647/194608667222282', '8802017723735/389217334444564', '8888510129401/389217334444564', '2243759112520/97304333611141', '4530797839845/194608667222282', '9148186710513/389217334444564', '9234808224303/389217334444564', '4660729370121/194608667222282', '4704068246235/194608667222282', '4747419730479/194608667222282', '9581565227723/389217334444564', '2417077745057/97304333611141', '9755073327253/389217334444564', '2460462063165/97304333611141', '2482157714506/97304333611141', '5007707606481/194608667222282']
['11823742558900/778635454282669', '11991305274531/778635454282669', '12159074144197/778635454282669', '12327030463720/778635454282669', '12495158631956/778635454282669', '12663445542679/778635454282669', '12831880116970/778635454282669', '13000452934348/778635454282669', '13169155943198/778635454282669', '13337982227573/778635454282669', '13506925821248/778635454282669', '13675981553966/778635454282669', '13845144928403/778635454282669', '14014412015657/778635454282669', '14183779370496/778635454282669', '14353243958435/778635454282669', '14522803096084/778635454282669', '14692454397641/778635454282669', '14862195732145/778635454282669', '15032025182702/778635454282669', '15201941015294/778635454282669', '15371941644520/778635454282669', '15542025613048/778635454282669', '15712191558651/778635454282669', '15882438200772/778635454282669', '16052764311453/778635454282669', '16223168700114/778635454282669', '16393650190919/778635454282669', '16564207605423/778635454282669', '16734839739680/778635454282669', '16905545346715/778635454282669', '17076323111948/778635454282669', '17247171631526/778635454282669', '17418089385107/778635454282669', '17589074708505/778635454282669', '17760125759467/778635454282669', '17931240482268/778635454282669', '18102416563130/778635454282669', '18273651380569/778635454282669', '18444941944434/778635454282669', '18616284825135/778635454282669', '18787676064730/778635454282669', '18959111071756/778635454282669', '19130584487245/778635454282669', '19302090019499/778635454282669', '19473620231521/778635454282669', '19645166268951/778635454282669', '19816717498689/778635454282669', '19988261026751/778635454282669']
