['0', '4053601603/4058726457684', '6756223533/3382272048070', '60809325913/20293632288420', '40542645191/10146816144210', '25341641462/5073408072105', '121654487839/20293632288420', '11829199734/1691136024035', '16225563937/2029363228842', '3042859493/338227204807', '40579909925/4058726457684', '111620475569/10146816144210', '48719431303/4058726457684', '52793911943/4058726457684', '9478652255/676454409614', '101589533867/6764544096140', '162599049097/10146816144210', '5760825175/338227204807', '73224862159/4058726457684', '38662398959/2029363228842', '20357502976/1014681614421', '9946605941/471944936940', '448287536653/20293632288420', '7815034804/338227204807', '24477466171/1014681614421', '127557721226/5073408072105', '530948447131/20293632288420', '137925929653/5073408072105', '572498443789/20293632288420', '39555627045/1352908819228', '204737809513/6764544096140', '635137380373/20293632288420', '328054087981/10146816144210', '45141852017/1352908819228', '11636636857/338227204807', '143864308939/4058726457684', '185124979153/5073408072105', '126955921489/3382272048070', '783030653603/20293632288420', '804387638159/20293632288420', '825808911029/20293632288420', '847296988067/20293632288420', '434427239887/10146816144210', '890484098723/20293632288420', '228047167148/5073408072105']
['39216417659/41040564113291', '78435236555/41040564113291', '117658858943/41040564113291', '156889691205/41040564113291', '196130144953/41040564113291', '235382637921/41040564113291', '274649597303/41040564113291', '313933460753/41040564113291', '353236677423/41040564113291', '392561711359/41040564113291', '431911042587/41040564113291', '471287168273/41040564113291', '510692606245/41040564113291', '550129896183/41040564113291', '589601601015/41040564113291', '629110310477/41040564113291', '668658642879/41040564113291', '708249245663/41040564113291', '747884801235/41040564113291', '787568026217/41040564113291', '827301675385/41040564113291', '867088544601/41040564113291', '906931473487/41040564113291', '946833347333/41040564113291', '986797101903/41040564113291', '1026825725865/41040564113291', '1066922263501/41040564113291', '1107089819935/41040564113291', '1147331564219/41040564113291', '1187650732673/41040564113291', '1228050634869/41040564113291', '1268534657527/41040564113291', '1309106268723/41040564113291', '1349769024847/41040564113291', '1390526575653/41040564113291', '1431382669615/41040564113291', '1472341162309/41040564113291', '1513406022941/41040564113291', '1554581341427/41040564113291', '1595871338751/41040564113291', '1637280375643/41040564113291', '1678812962211/41040564113291', '1720473771185/41040564113291', '1762267649903/41040564113291', '1804199633937/41040564113291']
['37967388494/20725139491733', '56953807937/20725139491733', '151886999273/41450278983466', '189875115405/41450278983466', '113937079377/20725139491733', '265886330821/41450278983466', '303913842011/41450278983466', '341958913543/41450278983466', '190011889128/20725139491733', '418110682587/41450278983466', '456221888551/41450278983466', '494359674665/41450278983466', '266263169017/20725139491733', '570724196443/41450278983466', '304477794720/20725139491733', '323611440237/20725139491733', '685528459567/41450278983466', '723874743643/41450278983466', '762264180333/41450278983466', '800699249125/41450278983466', '419591231901/20725139491733', '438858187337/20725139491733', '916303571593/41450278983466', '477473342836/20725139491733', '993648392397/41450278983466', '1032411414809/41450278983466', '535619262867/20725139491733', '555066275672/20725139491733', '574548187407/20725139491733', '594066469574/20725139491733', '613622625658/20725139491733', '1266436386605/41450278983466', '1305709492193/41450278983466', '1345067792061/41450278983466', '1384514592311/41450278983466', '712026642835/20725139491733', '1463687357577/41450278983466', '21174935109/583806746246', '771628040504/20725139491733', '791599112529/20725139491733', '1623250748709/41450278983466', '1663417704825/41450278983466', '851851642664/20725139491733', '1744111832131/41450278983466', '1784647848161/41450278983466']
['27589751829/10455919348150', '14715460263/4182367739260', '91979071231/20911838696300', '959876617/181842075620', '32199630369/5227959674075', '2944364153/418236773926', '8282293919/1045591934815', '46020637023/5227959674075', '202529236963/20911838696300', '110493485673/10455919348150', '1041116457/90921037810', '64484930012/5227959674075', '69109206561/5227959674075', '147474581779/10455919348150', '313477802033/20911838696300', '83005955584/5227959674075', '175294158713/10455919348150', '184586196393/10455919348150', '387777167319/20911838696300', '203201887347/10455919348150', '212526682067/10455919348150', '443727101003/20911838696300', '92485233719/4182367739260', '120287942223/5227959674075', '499905123353/20911838696300', '259343737441/10455919348150', '134375022179/5227959674075', '27817212674/1045591934815', '28761064164/1045591934815', '148533129732/5227959674075', '613079329147/20911838696300', '316031556517/10455919348150', '65108530153/2091183869630', '67014735901/2091183869630', '689250786081/20911838696300', '141679424303/4182367739260', '727587944223/20911838696300', '186706219168/5227959674075', '191527396818/5227959674075', '7854437931/209118386963', '40241463197/1045591934815', '41213391278/1045591934815', '168752272663/4182367739260', '172662365457/4182367739260', '882921236733/20911838696300']
['142667664225/42162555050171', '178348152938/42162555050171', '214037702092/42162555050171', '4712040293/795519906607', '285451283571/42162555050171', '321178984557/42162555050171', '356923085220/42162555050171', '392685442254/42162555050171', '428467923774/42162555050171', '464272409864/42162555050171', '500100794140/42162555050171', '535954985352/42162555050171', '571836907959/42162555050171', '607748503837/42162555050171', '643691733992/42162555050171', '679668579156/42162555050171', '715681041886/42162555050171', '751731147988/42162555050171', '787820947789/42162555050171', '823952517854/42162555050171', '860127963150/42162555050171', '896349418051/42162555050171', '932619048557/42162555050171', '968939054563/42162555050171', '1005311671176/42162555050171', '1041739171208/42162555050171', '1078223867720/42162555050171', '1114768115711/42162555050171', '1151374314918/42162555050171', '1188044912816/42162555050171', '23109102013/795519906607', '1261589346935/42162555050171', '1298468340549/42162555050171', '1335422053786/42162555050171', '1372453216061/42162555050171', '1409564624179/42162555050171', '1446759145681/42162555050171', '1484039723644/42162555050171', '1521409381810/42162555050171', '1558871229013/42162555050171', '1596428465138/42162555050171', '1634084387572/42162555050171', '1671842397107/42162555050171', '1709706005637/42162555050171', '1747678844523/42162555050171']
['86517479659/21236399505201', '34610024548/7078799835067', '121147638733/21236399505201', '138471010526/21236399505201', '51933675906/7078799835067', '173138532989/21236399505201', '190484373386/21236399505201', '69279800099/7078799835067', '75068156941/7078799835067', '242580447769/21236399505201', '86656066682/7078799835067', '277368603706/21236399505201', '98260847442/7078799835067', '104070302369/7078799835067', '329654598313/21236399505201', '347114525330/21236399505201', '364591607222/21236399505201', '382086773816/21236399505201', '399600966259/21236399505201', '417135137206/21236399505201', '434690252405/21236399505201', '452267290978/21236399505201', '156622415334/7078799835067', '487491125945/21236399505201', '505139955262/21236399505201', '174271591641/7078799835067', '540516644137/21236399505201', '558246640930/21236399505201', '576005863001/21236399505201', '593795429411/21236399505201', '611616481564/21236399505201', '209823394674/7078799835067', '215785908886/7078799835067', '665280325643/21236399505201', '227746408239/7078799835067', '233745232488/7078799835067', '719271048770/21236399505201', '737346616268/21236399505201', '251821257733/7078799835067', '257874643361/7078799835067', '791828536880/21236399505201', '270026362043/7078799835067', '828377115506/21236399505201', '282241403462/7078799835067', '288374002681/7078799835067']
['201606131815/42755472508343', '235230133128/42755472508343', '268864762636/42755472508343', '43215936427/6107924644049', '336172051028/42755472508343', '369847798935/42755472508343', '57648622208/6107924644049', '437251286107/42755472508343', '67283166629/6107924644049', '504734583103/42755472508343', '538510134492/42755472508343', '572310431690/42755472508343', '606137099928/42755472508343', '639991778956/42755472508343', '673876124415/42755472508343', '707791809153/42755472508343', '741740523835/42755472508343', '775723978294/42755472508343', '809743903146/42755472508343', '843802050316/42755472508343', '877900194705/42755472508343', '912040135816/42755472508343', '946223698542/42755472508343', '980452734959/42755472508343', '144961303735/6107924644049', '1049054783185/42755472508343', '1083431649141/42755472508343', '1117861701191/42755472508343', '1152346951828/42755472508343', '1186889451127/42755472508343', '174498755599/6107924644049', '1256154597693/42755472508343', '1290881552503/42755472508343', '1325674376533/42755472508343', '1360535341712/42755472508343', '1395466772085/42755472508343', '1430471047202/42755472508343', '1465550604629/42755472508343', '1500707943751/42755472508343', '1535945629830/42755472508343', '1571266297281/42755472508343', '1606672654431/42755472508343', '1642167488463/42755472508343', '1677753669930/42755472508343', '1713434158643/42755472508343']
['228529156771/43015392208459', '261203992023/43015392208459', '293889980281/43015392208459', '326588534171/43015392208459', '359301071939/43015392208459', '392029018973/43015392208459', '424773808553/43015392208459', '457536883161/43015392208459', '44574517599/3910490200769', '523123701941/43015392208459', '555950380951/43015392208459', '588801215083/43015392208459', '621677701763/43015392208459', '654581352517/43015392208459', '687513692453/43015392208459', '720476263189/43015392208459', '68497329325/3910490200769', '786498345643/43015392208459', '819561026369/43015392208459', '852660278713/43015392208459', '80527066955/3910490200769', '83543186957/3910490200769', '952193918465/43015392208459', '985456026213/43015392208459', '1018763109811/43015392208459', '1052116926891/43015392208459', '1085519262881/43015392208459', '1118971934391/43015392208459', '1152476789665/43015392208459', '1186035710203/43015392208459', '1219650613265/43015392208459', '1253323453771/43015392208459', '1287056224991/43015392208459', '1320850962687/43015392208459', '1354709746053/43015392208459', '1388634700131/43015392208459', '1422627999061/43015392208459', '1456691868837/43015392208459', '1490828588941/43015392208459', '1525040497473/43015392208459', '1559329993257/43015392208459', '1593699539541/43015392208459', '1628151668525/43015392208459', '1662688985873/43015392208459', '1697314173843/43015392208459']
['253921617220/43253101863809', '285694428574/43253101863809', '317478783586/43253101863809', '349275984081/43253101863809', '381087338360/43253101863809', '412914161252/43253101863809', '444757775070/43253101863809', '476619510622/43253101863809', '508500707264/43253101863809', '540402713958/43253101863809', '572326890247/43253101863809', '604274606495/43253101863809', '636247244811/43253101863809', '668246200251/43253101863809', '700272881005/43253101863809', '732328709493/43253101863809', '764415123596/43253101863809', '796533576898/43253101863809', '828685539913/43253101863809', '860872501379/43253101863809', '893095968627/43253101863809', '925357468945/43253101863809', '957658550915/43253101863809', '990000785001/43253101863809', '1022385764954/43253101863809', '1054815109405/43253101863809', '1087290462519/43253101863809', '1119813495651/43253101863809', '1152385909081/43253101863809', '1185009432890/43253101863809', '1217685828823/43253101863809', '1250416892303/43253101863809', '1283204453506/43253101863809', '1316050379571/43253101863809', '1348956576851/43253101863809', '1381924992424/43253101863809', '1414957616541/43253101863809', '1448056485440/43253101863809', '1481223683122/43253101863809', '1514461344451/43253101863809', '1547771658372/43253101863809', '1581156870406/43253101863809', '1614619286323/43253101863809', '1648161276150/43253101863809', '1681785277463/43253101863809']
['138954536318/21736292900199', '51470861574/7245430966733', '56625515015/7245430966733', '185347018141/21736292900199', '200824608830/21736292900199', '216309924545/21736292900199', '231803576587/21736292900199', '247306179841/21736292900199', '87606117960/7245430966733', '278340721981/21736292900199', '293873912957/21736292900199', '309418560325/21736292900199', '108325101071/7245430966733', '340544786417/21736292900199', '356127661340/21736292900199', '371724585220/21736292900199', '387336222916/21736292900199', '134321082078/7245430966733', '139535444924/7245430966733', '144755392079/7245430966733', '449943467263/21736292900199', '465638912915/21736292900199', '160451076134/7245430966733', '497087138630/21736292900199', '170947126364/7245430966733', '176205565437/7245430966733', '544413848798/21736292900199', '560233606669/21736292900199', '192025584508/7245430966733', '197314695387/7245430966733', '607836415583/21736292900199', '623754567721/21736292900199', '639699384490/21736292900199', '655671723668/21736292900199', '671672461031/21736292900199', '229234163423/7245430966733', '234587574773/7245430966733', '719854096295/21736292900199', '245325853674/7245430966733', '250711365045/7245430966733', '768324699686/21736292900199', '261516800145/7245430966733', '800812249747/21736292900199', '817111327943/21736292900199', '277816248523/7245430966733']
['601173034011/87348046455293', '661374078461/87348046455293', '55507626387/6719080496561', '781850454043/87348046455293', '842130249323/87348046455293', '902440779567/87348046455293', '962784308485/87348046455293', '1023163114151/87348046455293', '1083579490951/87348046455293', '1144035749343/87348046455293', '1204534217755/87348046455293', '1265077244017/87348046455293', '1325667195859/87348046455293', '1386306462283/87348046455293', '1446997455779/87348046455293', '1507742612175/87348046455293', '1568544392791/87348046455293', '125338868173/6719080496561', '1690327808945/87348046455293', '1751314506931/87348046455293', '139412919863/6719080496561', '22572177989/1052386101871', '1934685596505/87348046455293', '24047651931/1052386101871', '2057302033861/87348046455293', '2118729126741/87348046455293', '2180239191111/87348046455293', '2241835072669/87348046455293', '2303519663455/87348046455293', '2365295904703/87348046455293', '2427166788149/87348046455293', '2489135359005/87348046455293', '2551204719177/87348046455293', '201029079169/6719080496561', '2675658511605/87348046455293', '2738049454511/87348046455293', '2800554214101/87348046455293', '2863176218367/87348046455293', '2925918971919/87348046455293', '2988786058459/87348046455293', '3051781145849/87348046455293', '3114907991219/87348046455293', '3178170444815/87348046455293', '249351727363/6719080496561', '3305118078427/87348046455293']
