['0', '4053601603/4058726457684', '6756223533/3382272048070', '60809325913/20293632288420', '40542645191/10146816144210', '25341641462/5073408072105', '121654487839/20293632288420', '11829199734/1691136024035', '16225563937/2029363228842', '3042859493/338227204807', '40579909925/4058726457684', '111620475569/10146816144210', '48719431303/4058726457684', '52793911943/4058726457684', '9478652255/676454409614', '101589533867/6764544096140', '162599049097/10146816144210', '5760825175/338227204807', '73224862159/4058726457684', '38662398959/2029363228842', '20357502976/1014681614421', '9946605941/471944936940', '448287536653/20293632288420', '7815034804/338227204807', '24477466171/1014681614421', '127557721226/5073408072105', '530948447131/20293632288420', '137925929653/5073408072105', '572498443789/20293632288420', '39555627045/1352908819228', '204737809513/6764544096140', '635137380373/20293632288420', '328054087981/10146816144210', '45141852017/1352908819228', '11636636857/338227204807', '143864308939/4058726457684', '185124979153/5073408072105', '126955921489/3382272048070', '783030653603/20293632288420', '804387638159/20293632288420', '825808911029/20293632288420', '847296988067/20293632288420', '434427239887/10146816144210', '890484098723/20293632288420', '228047167148/5073408072105']
['322060685827/43860746964359', '351385190815/43860746964359', '380721816135/43860746964359', '31543968879/3373903612643', '439435564975/43860746964359', '36062674585/3373903612643', '498210258535/43860746964359', '527623089103/43860746964359', '557054324717/43860746964359', '586505038295/43860746964359', '615976308927/43860746964359', '645469226573/43860746964359', '674984889109/43860746964359', '704524405171/43860746964359', '734088893075/43860746964359', '763679483533/43860746964359', '793297317001/43860746964359', '822943548121/43860746964359', '852619343151/43860746964359', '882325882643/43860746964359', '912064360731/43860746964359', '941835987775/43860746964359', '971641988097/43860746964359', '1001483604269/43860746964359', '1031362095013/43860746964359', '1061278737783/43860746964359', '1091234828479/43860746964359', '1121231684119/43860746964359', '1151270640847/43860746964359', '1181353058493/43860746964359', '1211480318729/43860746964359', '1241653827729/43860746964359', '1271875016443/43860746964359', '1302145343539/43860746964359', '1332466293565/43860746964359', '1362839381981/43860746964359', '1393266153675/43860746964359', '1423748186325/43860746964359', '1454287090647/43860746964359', '1484884514229/43860746964359', '1515542140011/43860746964359', '1546261692301/43860746964359', '1577044935419/43860746964359', '1607893678307/43860746964359', '1638809775115/43860746964359']
['684816565715/88065366441159', '247328508239/29355122147053', '799178819881/88065366441159', '856398369301/88065366441159', '913646100653/88065366441159', '970923952915/88065366441159', '342744625813/29355122147053', '1085577838003/88065366441159', '1142957811911/88065366441159', '1200375791633/88065366441159', '1257833784511/88065366441159', '1315333814347/88065366441159', '1372877922715/88065366441159', '1430468169055/88065366441159', '1488106632013/88065366441159', '1545795411271/88065366441159', '534512209081/29355122147053', '553777474327/29355122147053', '573061655217/29355122147053', '1777096446829/88065366441159', '1835069084047/88065366441159', '631035040939/29355122147053', '650402278895/29355122147053', '2009376529313/88065366441159', '2067616536239/88065366441159', '2125929225529/88065366441159', '2184316999619/88065366441159', '2242782297727/88065366441159', '2301327596179/88065366441159', '786651803677/29355122147053', '2418668300129/88065366441159', '825822954723/29355122147053', '845453249865/29355122147053', '865114550251/29355122147053', '884807770377/29355122147053', '2713601526637/88065366441159', '2772881148547/88065366441159', '944088361693/29355122147053', '963918768203/29355122147053', '2951357839573/88065366441159', '1003690929417/29355122147053', '1023634772997/29355122147053', '3130855674233/88065366441159', '3190930173521/88065366441159', '3251131217971/88065366441159']
['361720366405/44192650510867', '16939106879/1921419587429', '417490714765/44192650510867', '445395026609/44192650510867', '473313292465/44192650510867', '501246412709/44192650510867', '529195296761/44192650510867', '557160857313/44192650510867', '585144015573/44192650510867', '613145697481/44192650510867', '641166838661/44192650510867', '669208379397/44192650510867', '697271270873/44192650510867', '725356470459/44192650510867', '753464946101/44192650510867', '781597673543/44192650510867', '809755640439/44192650510867', '837939842211/44192650510867', '866151287673/44192650510867', '894390995061/44192650510867', '922659995915/44192650510867', '950959332881/44192650510867', '979290063589/44192650510867', '1007653256987/44192650510867', '1036049998505/44192650510867', '1064481387083/44192650510867', '1092948538253/44192650510867', '1121452582823/44192650510867', '1149994670523/44192650510867', '1178575966587/44192650510867', '1207197657311/44192650510867', '1235860946863/44192650510867', '1264567061209/44192650510867', '1293317246211/44192650510867', '1322112772201/44192650510867', '1350954930551/44192650510867', '1379845039689/44192650510867', '1408784441821/44192650510867', '1437774507613/44192650510867', '1466816634523/44192650510867', '1495912251923/44192650510867', '1525062817511/44192650510867', '1554269824693/44192650510867', '1583534798949/44192650510867', '1612859303937/44192650510867']
['760117769277/88680803762591', '814528349859/88680803762591', '868963163739/88680803762591', '923423873081/88680803762591', '977912150043/88680803762591', '1032429676005/88680803762591', '1086978143125/88680803762591', '1141559255131/88680803762591', '1196174727403/88680803762591', '1250826287777/88680803762591', '1305515678171/88680803762591', '1360244653939/88680803762591', '1415014985427/88680803762591', '1469828459057/88680803762591', '1524686877311/88680803762591', '1579592059815/88680803762591', '1634545845019/88680803762591', '1689550089707/88680803762591', '1744606670725/88680803762591', '1799717486171/88680803762591', '1854884455609/88680803762591', '1910109521293/88680803762591', '1965394649857/88680803762591', '2020741833141/88680803762591', '2076153086971/88680803762591', '2131630458119/88680803762591', '2187176018375/88680803762591', '2242791871053/88680803762591', '2298480150423/88680803762591', '2354243022713/88680803762591', '2410082688267/88680803762591', '2466001383389/88680803762591', '2522001380673/88680803762591', '2578084991357/88680803762591', '2634254568003/88680803762591', '2690512504745/88680803762591', '2746861239985/88680803762591', '2803303258889/88680803762591', '2859841094677/88680803762591', '2916477331193/88680803762591', '2973214606195/88680803762591', '3030055612501/88680803762591', '3087003101605/88680803762591', '3144059886887/88680803762591', '3201228845889/88680803762591']
['198750941957/22239172997016', '8834662588/926632208209', '112659439571/11119586498508', '238612261895/22239172997016', '10496351643/926632208209', '33152475659/2779896624627', '92844917715/7413057665672', '72964420403/5559793249254', '305188990175/22239172997016', '13272045117/926632208209', '55313060855/3706528832836', '57539541287/3706528832836', '358606142719/22239172997016', '371985467735/22239172997016', '48171955327/2779896624627', '132925697495/7413057665672', '103047561349/5559793249254', '141871845083/7413057665672', '439053398821/22239172997016', '452504279359/22239172997016', '465968623717/22239172997016', '19976953547/926632208209', '61617440122/2779896624627', '253223498231/11119586498508', '519969779549/22239172997016', '266754174067/11119586498508', '547063183361/22239172997016', '93439129239/3706528832836', '574223619977/22239172997016', '587830221527/22239172997016', '75181886336/2779896624627', '205032915891/7413057665672', '628761719695/22239172997016', '160611135977/5559793249254', '82018470679/2779896624627', '223290646785/7413057665672', '227872544341/7413057665672', '174346354987/5559793249254', '118529314509/3706528832836', '362494816457/11119586498508', '738827266759/22239172997016', '376344705959/11119586498508', '127762783815/3706528832836', '260163263301/7413057665672', '264809778603/7413057665672']
['828198852329/89212239455007', '880091572193/89212239455007', '932008140073/89212239455007', '983950005851/89212239455007', '1035918627533/89212239455007', '1087915472621/89212239455007', '1139942017255/89212239455007', '397333249213/29737413151669', '414696720269/29737413151669', '1296214764427/89212239455007', '1348375077613/89212239455007', '1400572632311/89212239455007', '1452808972621/89212239455007', '501695218753/29737413151669', '519134751781/29737413151669', '536588785453/29737413151669', '1662173561113/89212239455007', '1714627488179/89212239455007', '1767129772355/89212239455007', '1819682066147/89212239455007', '1872286040887/89212239455007', '1924943386975/89212239455007', '659218604209/29737413151669', '676808351461/29737413151669', '2083252857091/89212239455007', '712047001437/29737413151669', '2189091290005/89212239455007', '131888561239/5247778791471', '2295185605853/89212239455007', '2348333361859/89212239455007', '141267689021/5247778791471', '818279864641/29737413151669', '2508201968111/89212239455007', '853879943953/29737413151669', '153832659643/5247778791471', '2668750178297/89212239455007', '907475608119/29737413151669', '925395763095/29737413151669', '2830033749997/89212239455007', '2883968424023/89212239455007', '979331190587/29737413151669', '2992111499197/89212239455007', '3046324558639/89212239455007', '1033545050601/29737413151669', '1051681910795/29737413151669']
['214959377075/22362900928734', '75879397145/7454300309578', '120161450932/11181450464367', '42168974369/3727150154789', '132855683480/11181450464367', '139207903058/11181450464367', '145563755284/11181450464367', '303846826675/22362900928734', '52762351000/3727150154789', '164654850124/11181450464367', '171026982965/11181450464367', '354807260357/22362900928734', '61261657671/3727150154789', '380342386139/22362900928734', '393124949537/22362900928734', '405918006365/22362900928734', '209360966077/11181450464367', '431537104375/22362900928734', '148121302125/7454300309578', '457202723345/22362900928734', '470053946885/22362900928734', '80486328550/3727150154789', '247897597985/11181450464367', '508686026633/22362900928734', '521590870493/22362900928734', '267255072004/11181450464367', '273722133035/11181450464367', '280196831267/11181450464367', '573358765163/22362900928734', '195446670293/7454300309578', '299668922297/11181450464367', '306176357903/11181450464367', '625385083087/22362900928734', '319217705135/11181450464367', '651504170381/22362900928734', '664591842569/22362900928734', '112949819358/3727150154789', '230275295549/7454300309578', '117328876802/3727150154789', '717141552539/22362900928734', '730331287313/22362900928734', '743542998787/22362900928734', '756777233447/22362900928734', '256678182081/7454300309578', '391657753199/11181450464367']
['445000340269/44836953670986', '78298968641/7472825611831', '247299460894/22418476835493', '173138768683/14945651223662', '272123302088/22418476835493', '569090459491/44836953670986', '98991419970/7472825611831', '618821436937/44836953670986', '643709867335/44836953670986', '222871490803/14945651223662', '231178639489/14945651223662', '718474876999/44836953670986', '371716012676/22418476835493', '128068007719/7472825611831', '793403628823/44836953670986', '818419468265/44836953670986', '281152088827/14945651223662', '868514732083/44836953670986', '446797790600/22418476835493', '918699537095/44836953670986', '157304555134/7472825611831', '484489851343/22418476835493', '497078698538/22418476835493', '339787059025/14945651223662', '1044591800011/44836953670986', '178308341451/7472825611831', '547568351513/22418476835493', '186742093561/7472825611831', '572899214311/22418476835493', '1171175122523/44836953670986', '398861157361/14945651223662', '611012159183/22418476835493', '415832838335/14945651223662', '424335642969/14945651223662', '432850146831/14945651223662', '662064972155/22418476835493', '674873175032/22418476835493', '458466860841/14945651223662', '1401093582667/44836953670986', '1426826308385/44836953670986', '484199911635/14945651223662', '1478414855641/44836953670986', '1504272683411/44836953670986', '765087125300/22418476835493', '778060305266/22418476835493']
['229701222381/22470692883866', '120913874418/11235346441933', '126980005145/11235346441933', '266098307017/22470692883866', '139121468700/11235346441933', '145197102462/11235346441933', '151276205938/11235346441933', '157358932920/11235346441933', '163445436561/11235346441933', '169535872804/11235346441933', '175630397257/11235346441933', '363458336217/22470692883866', '375664687033/22470692883866', '387880168765/22470692883866', '400105103047/22470692883866', '206169908682/11235346441933', '212292319795/11235346441933', '218419951589/11235346441933', '224552971268/11235346441933', '461383098091/22470692883866', '473671710915/22470692883866', '242986064816/11235346441933', '249142350405/11235346441933', '510609784269/22470692883866', '522947732207/22470692883866', '267649456640/11235346441933', '547663690599/22470692883866', '560042439265/22470692883866', '572435534475/22470692883866', '292421679910/11235346441933', '298633150775/11235346441933', '609704754095/22470692883866', '622159114801/22470692883866', '317314894898/11235346441933', '647117188873/22470692883866', '329810865312/11235346441933', '672143838005/22470692883866', '684683943631/22470692883866', '348621242240/11235346441933', '709819908127/22470692883866', '722416667245/22470692883866', '367516612709/11235346441933', '373835026067/11235346441933', '760327628913/22470692883866', '773006443273/22470692883866']
['473157798859/45038612722781', '496892218442/45038612722781', '520637931890/45038612722781', '544395499836/45038612722781', '568165486240/45038612722781', '591948458445/45038612722781', '615744987296/45038612722781', '639555647839/45038612722781', '663381018715/45038612722781', '687221682929/45038612722781', '711078227952/45038612722781', '734951245731/45038612722781', '758841332892/45038612722781', '782749091404/45038612722781', '806675128078/45038612722781', '830620055310/45038612722781', '854584491220/45038612722781', '878569059739/45038612722781', '902574390785/45038612722781', '926601121074/45038612722781', '950649892934/45038612722781', '974721359053/45038612722781', '998816170022/45038612722781', '1022935000680/45038612722781', '1047078512052/45038612722781', '1071247393881/45038612722781', '1095442328757/45038612722781', '58929685124/2370453301199', '1143913164619/45038612722781', '1168190486992/45038612722781', '1192496709592/45038612722781', '1216832568363/45038612722781', '1241198809247/45038612722781', '1265596189282/45038612722781', '1290025476981/45038612722781', '1314487452484/45038612722781', '1338982908123/45038612722781', '1363512649317/45038612722781', '1388077494386/45038612722781', '1412678275635/45038612722781', '1437315839802/45038612722781', '1461991048537/45038612722781', '1486704778931/45038612722781', '1511457924751/45038612722781', '1536251396328/45038612722781']
['243158580701/22565112470486', '254777012777/22565112470486', '266400999809/22565112470486', '139015401556/11282556235243', '144833345067/11282556235243', '150654462865/11282556235243', '312957780321/22565112470486', '162306761197/11282556235243', '336276426143/22565112470486', '173973381880/11282556235243', '179812406688/11282556235243', '185655425826/11282556235243', '191502580400/11282556235243', '197354011055/11282556235243', '406419722693/22565112470486', '418140548621/22565112470486', '214935396051/11282556235243', '441610744829/22565112470486', '453360704309/22565112470486', '232560484065/11282556235243', '476891839485/22565112470486', '244336811915/11282556235243', '250233313707/11282556235243', '256135583155/11282556235243', '262043775932/11282556235243', '535916106319/22565112470486', '547757151573/22565112470486', '559611014613/22565112470486', '285739013774/11282556235243', '291679262402/11282556235243', '595252847653/22565112470486', '303580669656/11282556235243', '619084350865/22565112470486', '631022235033/22565112470486', '321487676565/11282556235243', '327472034311/11282556235243', '333464376812/11282556235243', '339464891491/11282556235243', '345473770465/11282556235243', '702982414367/22565112470486', '357517400211/11282556235243', '727105099479/22565112470486', '739193722415/22565112470486', '751301083967/22565112470486', '381713805211/11282556235243']
['997813973381/90431421461215', '208666273385/18086284292243', '1088870589447/90431421461215', '1134432633839/90431421461215', '1180018499313/90431421461215', '1225629191191/90431421461215', '1271265721187/90431421461215', '1316929107409/90431421461215', '1362620375701/90431421461215', '1408340558527/90431421461215', '1454090696309/90431421461215', '1499871837627/90431421461215', '1545685039179/90431421461215', '318306273215/18086284292243', '1637411893147/90431421461215', '336665540785/18086284292243', '1729279891909/90431421461215', '1775269560941/90431421461215', '1821297825203/90431421461215', '1867365810087/90431421461215', '1913474649331/90431421461215', '1959625500241/90431421461215', '401163901249/18086284292243', '410411572493/18086284292243', '2098341734449/90431421461215', '2144672337689/90431421461215', '2191050876781/90431421461215', '2237478585831/90431421461215', '2283956706197/90431421461215', '2330486499183/90431421461215', '2377069240519/90431421461215', '2423706223453/90431421461215', '2470398759273/90431421461215', '2517148176961/90431421461215', '2563955824727/90431421461215', '2610823070667/90431421461215', '2657751303163/90431421461215', '2704741931629/90431421461215', '2751796388153/90431421461215', '2798916127143/90431421461215', '2846102627027/90431421461215', '2893357391191/90431421461215', '2940681948651/90431421461215', '2988077854879/90431421461215', '607109338809/18086284292243']
['127742938349/11324119497892', '133317766175/11324119497892', '138895272615/11324119497892', '288951152073/22648238995784', '150058792887/11324119497892', '311290085755/22648238995784', '322468888179/22648238995784', '83413558811/5662059748946', '344846366457/22648238995784', '89011381871/5662059748946', '367251961205/22648238995784', '189232958435/11324119497892', '389687641477/22648238995784', '50114673492/2831029874473', '412155407417/22648238995784', '423401957287/22648238995784', '217328646503/11324119497892', '445921676505/22648238995784', '228597684139/11324119497892', '468478635229/22648238995784', '239885871005/11324119497892', '245537481733/11324119497892', '125597141593/5662059748946', '256856416865/11324119497892', '65631004782/2831029874473', '536394467243/22648238995784', '547752402269/22648238995784', '559122135303/22648238995784', '570503956137/22648238995784', '581898162989/22648238995784', '148326263431/5662059748946', '302362466911/11324119497892', '154039527297/5662059748946', '156901223439/5662059748946', '639065601737/22648238995784', '162635138995/5662059748946', '331015040035/11324119497892', '673534506237/22648238995784', '685054167907/22648238995784', '696589407869/22648238995784', '177035142487/5662059748946', '359854004041/11324119497892', '731292077737/22648238995784', '742893144711/22648238995784', '754511576787/22648238995784']
