['0', '7/258', '13/258', '19/258', '29/258', '35/258', '1/6', '17/86', '61/258']
['3/137', '6/137', '9/137', '11/137', '15/137', '18/137', '21/137', '25/137', '29/137']
['10/283', '15/283', '21/283', '25/283', '31/283', '36/283', '42/283', '48/283', '55/283']
['13/289', '1/17', '23/289', '27/289', '31/289', '37/289', '41/289', '47/289', '53/289']
['16/293', '19/293', '24/293', '28/293', '31/293', '37/293', '41/293', '46/293', '51/293']
['19/297', '7/99', '25/297', '29/297', '31/297', '37/297', '41/297', '5/33', '49/297']
['7/100', '23/300', '13/150', '1/10', '8/75', '37/300', '2/15', '11/75', '47/300']
['23/303', '25/303', '9/101', '31/303', '11/101', '37/303', '13/101', '43/303', '15/101']
['51/611', '53/611', '57/611', '63/611', '67/611', '73/611', '77/611', '83/611', '87/611']
['1/11', '1/11', '15/154', '8/77', '17/154', '9/77', '19/154', '10/77', '3/22']
['59/619', '59/619', '61/619', '65/619', '69/619', '71/619', '75/619', '79/619', '81/619']
['31/311', '31/311', '31/311', '33/311', '35/311', '35/311', '37/311', '39/311', '39/311']
['4/39', '4/39', '4/39', '11/104', '35/312', '35/312', '37/312', '19/156', '19/156']
['33/313', '33/313', '33/313', '33/313', '35/313', '35/313', '37/313', '37/313', '37/313']
['67/627', '67/627', '67/627', '67/627', '23/209', '71/627', '73/627', '73/627', '73/627']
['17/157', '17/157', '17/157', '17/157', '17/157', '18/157', '18/157', '18/157', '18/157']
['69/629', '69/629', '69/629', '69/629', '69/629', '71/629', '71/629', '71/629', '71/629']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
