['0', '18983149389/20744122641122', '18983694247/10372061320561', '56953807937/20744122641122', '151886999273/41488245282244', '189875115405/41488245282244', '113937079377/20744122641122', '265886330821/41488245282244', '303913842011/41488245282244', '341958913543/41488245282244', '95005944564/10372061320561', '418110682587/41488245282244', '456221888551/41488245282244', '494359674665/41488245282244', '266263169017/20744122641122', '570724196443/41488245282244', '152238897360/10372061320561', '323611440237/20744122641122', '685528459567/41488245282244', '723874743643/41488245282244', '762264180333/41488245282244', '800699249125/41488245282244', '419591231901/20744122641122', '438858187337/20744122641122', '916303571593/41488245282244', '238736671418/10372061320561', '993648392397/41488245282244', '1032411414809/41488245282244', '535619262867/20744122641122', '277533137836/10372061320561', '574548187407/20744122641122', '297033234787/10372061320561', '306811312829/10372061320561', '1266436386605/41488245282244', '1305709492193/41488245282244', '1345067792061/41488245282244', '1384514592311/41488245282244', '712026642835/20744122641122', '1463687357577/41488245282244', '1503420392739/41488245282244', '385814020252/10372061320561', '791599112529/20744122641122', '1623250748709/41488245282244', '1663417704825/41488245282244', '425925821332/10372061320561', '1744111832131/41488245282244', '1784647848161/41488245282244']
['187918291289/27531648460597', '2665338593529/357911429987761', '2887822043525/357911429987761', '3110395160433/357911429987761', '3333064999929/357911429987761', '3555838654977/357911429987761', '3778723257199/357911429987761', '307825075303/27531648460597', '324988772157/27531648460597', '4448114700105/357911429987761', '4671515280193/357911429987761', '4895063148225/357911429987761', '393751210073/27531648460597', '5342630514345/357911429987761', '5566665048947/357911429987761', '445452073259/27531648460597', '261533648331/15561366521207', '6239863689119/357911429987761', '497281086551/27531648460597', '6689653140931/357911429987761', '6914868744481/357911429987761', '7140309034075/357911429987761', '88746773507/4312185903467', '7591896536905/357911429987761', '7818060436343/357911429987761', '8044482401421/357911429987761', '8271171048421/357911429987761', '8498135112209/357911429987761', '8725383450327/357911429987761', '8952925051059/357911429987761', '9180769038115/357911429987761', '9408924675783/357911429987761', '9637401377317/357911429987761', '9866208711353/357911429987761', '438928539441/15561366521207', '10324854364371/357911429987761', '811900973867/27531648460597', '10784941556657/357911429987761', '11015551510671/357911429987761', '11246553183293/357911429987761', '11477957447523/357911429987761', '11709775401459/357911429987761', '11942018377849/357911429987761', '936515227291/27531648460597', '12407825970341/357911429987761', '12641414534969/357911429987761', '12875476044255/357911429987761']
['129974083818/17965633059299', '140822508903/17965633059299', '758375462823/89828165296495', '812660807466/89828165296495', '866970222006/89828165296495', '184261071202/17965633059299', '975667871176/89828165296495', '206011887235/17965633059299', '1084481732359/89828165296495', '227787290128/17965633059299', '1193425295213/89828165296495', '1247949980888/89828165296495', '1302512238059/89828165296495', '1357113808772/89828165296495', '1411756451499/89828165296495', '1466441939038/89828165296495', '1521172061584/89828165296495', '1575948624791/89828165296495', '1630773454372/89828165296495', '1685648392732/89828165296495', '1740575303501/89828165296495', '1795556069963/89828165296495', '1850592597917/89828165296495', '1905686814277/89828165296495', '1960840671529/89828165296495', '403211228972/17965633059299', '2071335236671/89828165296495', '425335995081/17965633059299', '436418483700/17965633059299', '2237574651403/89828165296495', '458625758437/17965633059299', '2348756989012/89828165296495', '2404461424983/89828165296495', '492048863474/17965633059299', '2516107920728/89828165296495', '514410905286/17965633059299', '2628086467836/89828165296495', '2684206117993/89828165296495', '2740415895083/89828165296495', '2796718262021/89828165296495', '570623146099/17965633059299', '581922172149/17965633059299', '2966206267582/89828165296495', '3022904618659/89828165296495', '3079708640998/89828165296495', '3136621121037/89828165296495', '3193644910104/89828165296495']
['392604712727/51515522816067', '422858387675/51515522816067', '1057289255695/120202886570823', '147122445403/15678637378803', '3595860270773/360608659712469', '3808006004867/360608659712469', '446695515457/40067628856941', '4232627402929/360608659712469', '4445115565669/360608659712469', '1552576812589/120202886570823', '1623492791287/120202886570823', '5083365775595/360608659712469', '196162929387/13355876285647', '5509584829543/360608659712469', '5722929541093/360608659712469', '5936439841957/360608659712469', '6150122406167/360608659712469', '2121327990385/120202886570823', '2192677113323/120202886570823', '970324483523/51515522816067', '2335570350065/120202886570823', '2407119118849/120202886570823', '7436217402857/360608659712469', '850144263473/40067628856941', '342026414333/15678637378803', '8082152236133/360608659712469', '8297939943079/360608659712469', '1216282600093/51515522816067', '8730274661411/360608659712469', '1278119583599/51515522816067', '1018185926987/40067628856941', '1042310157949/40067628856941', '9598199430595/360608659712469', '1402272229289/51515522816067', '10033918312097/360608659712469', '10252246057955/360608659712469', '10470897492241/360608659712469', '464777452823/15678637378803', '10909206783791/360608659712469', '11128882720381/360608659712469', '11348918518165/360608659712469', '11569323650623/360608659712469', '11790107778949/360608659712469', '1334586751231/40067628856941', '12232852661893/360608659712469', '12454833761917/360608659712469', '12677234568689/360608659712469']
['160544147409/20101048645367', '1548304276195/180909437808303', '1651752818461/180909437808303', '585081934231/60303145936101', '1858786085909/180909437808303', '1962376546669/180909437808303', '2066020073047/180909437808303', '2169719578019/180909437808303', '2273477985767/180909437808303', '2377298245955/180909437808303', '2481183324115/180909437808303', '2585136212045/180909437808303', '2689159919005/180909437808303', '2793257484565/180909437808303', '2897431967399/180909437808303', '3001686457697/180909437808303', '3106024069507/180909437808303', '3210447949717/180909437808303', '1104987090313/60303145936101', '3419567243209/180909437808303', '3524269104293/180909437808303', '403230014565/20101048645367', '3733973633359/180909437808303', '3838982962121/180909437808303', '3944101503245/180909437808303', '1349777563267/60303145936101', '4154679991453/180909437808303', '473349658649/20101048645367', '485081895721/20101048645367', '1490484668993/60303145936101', '4577301425339/180909437808303', '4683283035769/180909437808303', '4789402607261/180909437808303', '4895663970325/180909437808303', '5002071012365/180909437808303', '5108627686565/180909437808303', '5215338006715/180909437808303', '1774068686689/60303145936101', '5429235999341/180909437808303', '5536432055797/180909437808303', '5643798534557/180909437808303', '1917113275033/60303145936101', '651006710733/20101048645367', '662996090277/20101048645367', '2025019240867/60303145936101', '687038208739/20101048645367', '699092014389/20101048645367']
['1008191053759/120980438783625', '645327351619/72588263270175', '3428783152739/362941316350875', '3631017666167/362941316350875', '3833345647309/362941316350875', '4035772474331/362941316350875', '4238303555081/362941316350875', '1480314777091/120980438783625', '1547900093033/120980438783625', '4846576910263/362941316350875', '561064419549/40326812927875', '4669079527/322614503423', '5455986619267/362941316350875', '5659401909113/362941316350875', '5862966063023/362941316350875', '1213336970983/72588263270175', '6270564110891/362941316350875', '258984388433/14517652654035', '6678827589659/362941316350875', '17514564229/923514799875', '2362601407861/120980438783625', '7292575153069/362941316350875', '1499508543311/72588263270175', '7702713170143/362941316350875', '2636030946371/120980438783625', '540912541999/24196087756725', '554633701403/24196087756725', '568370105179/24196087756725', '8731832947499/362941316350875', '8938356368597/362941316350875', '1016125407769/40326812927875', '9352156777963/362941316350875', '1911889543793/72588263270175', '390680344919/14517652654035', '9974846729779/362941316350875', '10182969392369/362941316350875', '10391384080573/362941316350875', '3533366129503/120980438783625', '10809120038503/362941316350875', '11018456885627/362941316350875', '11228116925521/362941316350875', '9701533757/307838266625', '258854206663/8065362585575', '3953039459617/120980438783625', '12070154154653/362941316350875', '12281555418139/362941316350875', '499733245711/14517652654035']
['7766229625/896533869433', '8252725849/896533869433', '1774103184797/181996375494899', '1872946612627/181996375494899', '1971836140077/181996375494899', '295824897165/25999482213557', '309966224277/25999482213557', '324115221879/25999482213557', '2367905797717/181996375494899', '352437697275/25999482213557', '2566283405949/181996375494899', '2665566986725/181996375494899', '2764917264883/181996375494899', '2864336895625/181996375494899', '2963828562423/181996375494899', '3063394965093/181996375494899', '3163038833979/181996375494899', '466108988163/25999482213557', '3362569995545/181996375494899', '3462462870777/181996375494899', '3562444378497/181996375494899', '523216768279/25999482213557', '3762684765095/181996375494899', '3862949461971/181996375494899', '3963314427549/181996375494899', '4063782655115/181996375494899', '4164357171881/181996375494899', '4265041043811/181996375494899', '4365837377395/181996375494899', '4466749315365/181996375494899', '4567780048259/181996375494899', '4668932804757/181996375494899', '4770210864609/181996375494899', '4871617549745/181996375494899', '4973156237421/181996375494899', '174994149993/6275737086031', '5176643369267/181996375494899', '5278598827855/181996375494899', '5380700321447/181996375494899', '5482951500597/181996375494899', '5585356085433/181996375494899', '5687917854803/181996375494899', '5790640663295/181996375494899', '5893528430339/181996375494899', '5996585156543/181996375494899', '6099814913917/181996375494899', '6203221863431/181996375494899']
['1637837182385/182485226722339', '1734416542635/182485226722339', '1831036621443/182485226722339', '1927699754576/182485226722339', '2024408289709/182485226722339', '2121164587791/182485226722339', '2217971023616/182485226722339', '2314829985795/182485226722339', '2411743878771/182485226722339', '2508715122844/182485226722339', '2605746154778/182485226722339', '2702839429290/182485226722339', '2799997419674/182485226722339', '2897222617958/182485226722339', '2994517536944/182485226722339', '3091884710430/182485226722339', '3189326693870/182485226722339', '3286846066075/182485226722339', '3384445429917/182485226722339', '3482127412672/182485226722339', '3579894668213/182485226722339', '3677749877394/182485226722339', '3775695748589/182485226722339', '3873735021867/182485226722339', '3971870461916/182485226722339', '4070104875523/182485226722339', '4168441089784/182485226722339', '4266881977507/182485226722339', '4365430439376/182485226722339', '4464089417303/182485226722339', '4562861890325/182485226722339', '4661750877477/182485226722339', '4760759439995/182485226722339', '4859890682347/182485226722339', '4959147753584/182485226722339', '5058533850041/182485226722339', '5158052216927/182485226722339', '5257706149529/182485226722339', '5357498996468/182485226722339', '5457434161174/182485226722339', '5557515103876/182485226722339', '5657745344694/182485226722339', '5758128465926/182485226722339', '5858668113918/182485226722339', '5959368003058/182485226722339', '6060231917973/182485226722339', '6161263716382/182485226722339']
['1696390241091/182944505366171', '1790880768799/182944505366171', '1885411561211/182944505366171', '1979984817947/182944505366171', '2074602736803/182944505366171', '2169267539767/182944505366171', '2263981451151/182944505366171', '2358746718993/182944505366171', '2453565594883/182944505366171', '2548440356741/182944505366171', '2643373287117/182944505366171', '2738366694895/182944505366171', '2833422897451/182944505366171', '2928544238631/182944505366171', '3023733071861/182944505366171', '3118991780103/182944505366171', '3214322756977/182944505366171', '3309728426109/182944505366171', '3405211225659/182944505366171', '3500773624423/182944505366171', '3596418106863/182944505366171', '3692147191715/182944505366171', '3787963413719/182944505366171', '3883869346927/182944505366171', '3979867575669/182944505366171', '4075960738003/182944505366171', '4172151474627/182944505366171', '4268442482999/182944505366171', '4364836473977/182944505366171', '4461336205741/182944505366171', '4557944462469/182944505366171', '4654664072901/182944505366171', '4751497895671/182944505366171', '4848448837927/182944505366171', '4945519838991/182944505366171', '5042713888993/182944505366171', '5140034015325/182944505366171', '5237483298709/182944505366171', '5335064859609/182944505366171', '5432781877731/182944505366171', '5530637575175/182944505366171', '5628635236755/182944505366171', '5726778195629/182944505366171', '5825069851499/182944505366171', '5923513655901/182944505366171', '6022113134281/182944505366171', '6120871867753/182944505366171']
['876169514883/91686303540227', '1844823979435/183372607080454', '88061304110/8335118503657', '1014957611775/91686303540227', '2122525650393/183372607080454', '2215182054471/183372607080454', '1153943265528/91686303540227', '2400641188361/183372607080454', '1246724074001/91686303540227', '1293154772825/91686303540227', '243566139221/16670237007314', '1386102135631/91686303540227', '2865241946711/183372607080454', '2958342756263/183372607080454', '1525754457992/91686303540227', '3144742660023/183372607080454', '3238046241391/183372607080454', '302856539385/16670237007314', '3424872028885/183372607080454', '3518398843203/183372607080454', '1806002356654/91686303540227', '336881090879/16670237007314', '1899731542308/91686303540227', '3893320383091/183372607080454', '181239378154/8335118503657', '2040651684365/91686303540227', '4175434009069/183372607080454', '2134830383717/91686303540227', '2181993094018/91686303540227', '202655129696/8335118503657', '4552943374755/183372607080454', '4647580398823/183372607080454', '4742326606481/183372607080454', '4837184714985/183372607080454', '2466078739518/91686303540227', '2513623846366/91686303540227', '5122458190319/183372607080454', '5217791848283/183372607080454', '5313251586923/183372607080454', '2704420185946/91686303540227', '5504561215867/183372607080454', '509128834639/16670237007314', '2848205690106/91686303540227', '5792546979491/183372607080454', '5888827200283/183372607080454', '272057060067/8335118503657', '3040917340862/91686303540227']
['1805880649903/183775929235067', '1896440583397/183775929235067', '1987039732201/183775929235067', '159821540581/14136609941159', '2168363427065/183775929235067', '2259091883749/183775929235067', '2349867376175/183775929235067', '2440691882123/183775929235067', '2531567404307/183775929235067', '2622495945751/183775929235067', '2713479536635/183775929235067', '2804520208379/183775929235067', '2895620019351/183775929235067', '2986781032719/183775929235067', '3078005338561/183775929235067', '3169295032591/183775929235067', '3260652240145/183775929235067', '3352079093115/183775929235067', '149720771879/7990257792829', '3535150392273/183775929235067', '3626799212265/183775929235067', '3718526426737/183775929235067', '3810334279081/183775929235067', '3902225035727/183775929235067', '3994200975403/183775929235067', '177663670515/7990257792829', '4178417704391/183775929235067', '4270663191621/183775929235067', '4363003276563/183775929235067', '4455440377521/183775929235067', '197738128223/7990257792829', '4640615469161/183775929235067', '4733358455999/183775929235067', '4826208451339/183775929235067', '4919168042353/183775929235067', '5012239840767/183775929235067', '5105426505655/183775929235067', '5198730725101/183775929235067', '5292155236669/183775929235067', '5385702808789/183775929235067', '238233750631/7990257792829', '5573178459821/183775929235067', '5667112308201/183775929235067', '5761180761009/183775929235067', '5855386830431/183775929235067', '5949733569029/183775929235067', '6044224096737/183775929235067']
['1857125454247/184152716716508', '486458650289/46038179179127', '508645593458/46038179179127', '1061685299373/92076358358254', '1106100556413/92076358358254', '1150537881519/92076358358254', '2389996406915/184152716716508', '619741228376/46038179179127', '1283991581921/92076358358254', '2657053050701/184152716716508', '686544120085/46038179179127', '708838843070/46038179179127', '731147914940/46038179179127', '1506943645459/92076358358254', '3103244229191/184152716716508', '3192664453223/184152716716508', '820537489668/46038179179127', '3371702758089/184152716716508', '3461324881453/184152716716508', '1775509188715/92076358358254', '910196328454/46038179179127', '3730627778835/184152716716508', '3820547876229/184152716716508', '1955273872899/92076358358254', '4000629523119/184152716716508', '2045397699697/92076358358254', '4181047559159/184152716716508', '1067847058448/46038179179127', '4361819666651/184152716716508', '2226172067419/92076358358254', '2271481969529/92076358358254', '4633681410141/184152716716508', '1181124726978/46038179179127', '4815418822297/184152716716508', '1226610893830/46038179179127', '4997575621603/184152716716508', '5088817449433/184152716716508', '5180171582601/184152716716508', '1317910145375/46038179179127', '5363227043837/184152716716508', '5454933607179/184152716716508', '5546762949723/184152716716508', '5638717791691/184152716716508', '2865400448765/92076358358254', '1455753769386/46038179179127', '2957681594419/92076358358254', '6007848138507/184152716716508']
