['0', '18983149389/20744122641122', '18983694247/10372061320561', '56953807937/20744122641122', '151886999273/41488245282244', '189875115405/41488245282244', '113937079377/20744122641122', '265886330821/41488245282244', '303913842011/41488245282244', '341958913543/41488245282244', '95005944564/10372061320561', '418110682587/41488245282244', '456221888551/41488245282244', '494359674665/41488245282244', '266263169017/20744122641122', '570724196443/41488245282244', '152238897360/10372061320561', '323611440237/20744122641122', '685528459567/41488245282244', '723874743643/41488245282244', '762264180333/41488245282244', '800699249125/41488245282244', '419591231901/20744122641122', '438858187337/20744122641122', '916303571593/41488245282244', '238736671418/10372061320561', '993648392397/41488245282244', '1032411414809/41488245282244', '535619262867/20744122641122', '277533137836/10372061320561', '574548187407/20744122641122', '297033234787/10372061320561', '306811312829/10372061320561', '1266436386605/41488245282244', '1305709492193/41488245282244', '1345067792061/41488245282244', '1384514592311/41488245282244', '712026642835/20744122641122', '1463687357577/41488245282244', '1503420392739/41488245282244', '385814020252/10372061320561', '791599112529/20744122641122', '1623250748709/41488245282244', '1663417704825/41488245282244', '425925821332/10372061320561', '1744111832131/41488245282244', '1784647848161/41488245282244']
['294245741167/335444543338311', '588507341927/335444543338311', '882800672585/335444543338311', '1177141622755/335444543338311', '1471546112191/335444543338311', '1766030101547/335444543338311', '686869867099/111814847779437', '2355300682687/335444543338311', '2650119488927/335444543338311', '2945082244465/335444543338311', '294564115133/30494958485301', '3535504976521/335444543338311', '116090845775/10164986161767', '4126700731069/335444543338311', '4422630239531/335444543338311', '4718803387307/335444543338311', '1671745762975/111814847779437', '5311949234701/335444543338311', '1869652235257/111814847779437', '1968759127685/111814847779437', '6203929168777/335444543338311', '6501930194845/335444543338311', '6800298841981/335444543338311', '7099053755351/335444543338311', '7398213860615/335444543338311', '7697798382163/335444543338311', '242358389773/10164986161767', '2766106393475/111814847779437', '8599295572237/335444543338311', '988975183811/37271615926479', '9202783444543/335444543338311', '9505337387585/335444543338311', '9808460381087/335444543338311', '10112174802031/335444543338311', '3472167845525/111814847779437', '10721470012031/335444543338311', '11027098228951/335444543338311', '11333412797695/335444543338311', '11640438977749/335444543338311', '362066749031/10164986161767', '12256730702507/335444543338311', '4188683466629/111814847779437', '12876190115293/335444543338311', '399611486333/10164986161767', '1499894151211/37271615926479', '13811826239185/335444543338311', '1569505330957/37271615926479']
['142631506123/84668608177546', '213956296265/84668608177546', '285291936719/84668608177546', '178321027066/42334304088773', '214005142174/42334304088773', '499400273417/84668608177546', '285407840178/42334304088773', '642260180173/84668608177546', '713737464691/84668608177546', '392625622799/42334304088773', '856805257427/84668608177546', '464201629329/42334304088773', '500024517378/42334304088773', '535873200738/42334304088773', '1143499205967/84668608177546', '607655665081/42334304088773', '1287186694257/84668608177546', '679564628913/42334304088773', '715571512049/42334304088773', '1503232042757/84668608177546', '787700206242/42334304088773', '1647652284411/84668608177546', '1719991866391/84668608177546', '1792423425101/84668608177546', '932475645188/42334304088773', '1937579859807/84668608177546', '2010313601367/84668608177546', '1041578529169/42334304088773', '2156114854479/84668608177546', '2229191697327/84668608177546', '1151196191917/42334304088773', '2375721806363/84668608177546', '2449184956779/84668608177546', '2522786933111/84668608177546', '2596532946483/84668608177546', '1335214163214/42334304088773', '2744478528711/84668608177546', '2818689143719/84668608177546', '1446532951613/42334304088773', '2967614689923/84668608177546', '3042341547679/84668608177546', '1558626345210/42334304088773', '1596177256972/42334304088773', '1633826804461/42334304088773', '3343156772623/84668608177546', '3418871024269/84668608177546', '3494803621825/84668608177546']
['830204423009/341612041585845', '1107000869287/341612041585845', '1383850193569/341612041585845', '553588556633/113870680528615', '387552122159/68322408317169', '2214848373617/341612041585845', '2492042366767/341612041585845', '2769356060281/341612041585845', '3046802992309/341612041585845', '3324396775879/341612041585845', '720430221949/68322408317169', '1293359928461/113870680528615', '1386065564753/113870680528615', '295767722619/22774136105723', '943010268487/68322408317169', '4993817452619/341612041585845', '5272828558313/341612041585845', '5552099194889/341612041585845', '1943881351783/113870680528615', '407431866767/22774136105723', '426107738335/22774136105723', '2224024502207/113870680528615', '2317621910303/113870680528615', '7234008397187/341612041585845', '7515517380947/341612041585845', '7797408800027/341612041585845', '2693233009073/113870680528615', '2787468234569/113870680528615', '8645542757237/341612041585845', '595275361137/22774136105723', '9213185229637/341612041585845', '1899545015933/68322408317169', '9782768207749/341612041585845', '10068333229403/341612041585845', '10354439159413/341612041585845', '2128221086677/68322408317169', '3642783976931/113870680528615', '11216199004031/341612041585845', '3834889168297/113870680528615', '11793778813247/341612041585845', '12083554872217/341612041585845', '4124672740507/113870680528615', '4221730677943/113870680528615', '12957100158521/341612041585845', '13249767164693/341612041585845', '13543218388481/341612041585845', '4612493329747/113870680528615']
['537293755903/172152350792581', '671662535867/172152350792581', '806061578161/172152350792581', '940496970381/172152350792581', '1074974819951/172152350792581', '1209501255863/172152350792581', '1344082434055/172152350792581', '1478724539491/172152350792581', '1613433789639/172152350792581', '1748216438607/172152350792581', '1883078780759/172152350792581', '2018027153081/172152350792581', '2153067940777/172152350792581', '2288207580007/172152350792581', '2423452561595/172152350792581', '2558809435959/172152350792581', '2694284817195/172152350792581', '2829885385929/172152350792581', '2965617896025/172152350792581', '3101489177667/172152350792581', '3237506142207/172152350792581', '3373675787821/172152350792581', '3510005204515/172152350792581', '3646501578423/172152350792581', '3783172199061/172152350792581', '3920024464283/172152350792581', '4057065885903/172152350792581', '4194304097227/172152350792581', '4331746859391/172152350792581', '4469402067485/172152350792581', '4607277759631/172152350792581', '4745382123843/172152350792581', '4883723505971/172152350792581', '5022310419515/172152350792581', '5161151554551/172152350792581', '5300255786709/172152350792581', '5439632189215/172152350792581', '5579290043199/172152350792581', '5719238849305/172152350792581', '5859488341479/172152350792581', '6000048500497/172152350792581', '6140929567629/172152350792581', '6282142062337/172152350792581', '6423696798561/172152350792581', '6565604903033/172152350792581', '6707877836797/172152350792581', '6850527417081/172152350792581']
['1304798958475/346762789021119', '1565880730547/346762789021119', '1827029138161/346762789021119', '696085123955/115587596340373', '783190219989/115587596340373', '2610986277037/346762789021119', '2872513548323/346762789021119', '1044721284867/115587596340373', '3395948640637/346762789021119', '3657879420079/346762789021119', '3919967780615/346762789021119', '1394075130935/115587596340373', '4444664015461/346762789021119', '4707295501111/346762789021119', '4970131805489/346762789021119', '1744394997743/115587596340373', '5496467244379/346762789021119', '5759990863831/346762789021119', '6023768288587/346762789021119', '2095937364657/115587596340373', '6552135004973/346762789021119', '6816749903521/346762789021119', '7081669836191/346762789021119', '7346908026287/346762789021119', '7612477882207/346762789021119', '7878393006593/346762789021119', '8144667209425/346762789021119', '8411314517969/346762789021119', '8678349187361/346762789021119', '8945785715197/346762789021119', '3071212951179/115587596340373', '3160641207013/115587596340373', '3250218439993/115587596340373', '10019849550281/346762789021119', '3429840741335/115587596340373', '3519896528471/115587596340373', '10830368227453/346762789021119', '11101575109849/346762789021119', '11373327582323/346762789021119', '11645643405065/346762789021119', '3972846923707/115587596340373', '12192038334077/346762789021119', '4155385078005/115587596340373', '12740911125325/346762789021119', '13016326210979/346762789021119', '13292421275743/346762789021119', '4523072574007/115587596340373']
['380489767390/87256285394761', '443943367970/87256285394761', '507414835323/87256285394761', '570906746780/87256285394761', '634421688172/87256285394761', '697962256886/87256285394761', '761531062730/87256285394761', '825130728932/87256285394761', '888763893252/87256285394761', '952433210728/87256285394761', '1016141353091/87256285394761', '1079891011508/87256285394761', '1143684897965/87256285394761', '1207525746172/87256285394761', '1271416313096/87256285394761', '1335359381690/87256285394761', '1399357760805/87256285394761', '1463414287896/87256285394761', '1527531830957/87256285394761', '1591713289473/87256285394761', '1655961596456/87256285394761', '1720279721423/87256285394761', '1784670670675/87256285394761', '1849137490475/87256285394761', '273383324187/12465183627823', '1978311139373/87256285394761', '2043024279096/87256285394761', '2107825916634/87256285394761', '2172719330750/87256285394761', '2237707854565/87256285394761', '2302794878589/87256285394761', '2367983852844/87256285394761', '2433278290207/87256285394761', '2498681770776/87256285394761', '2564197943635/87256285394761', '2629830531642/87256285394761', '2695583335537/87256285394761', '394494319604/12465183627823', '2827465204468/87256285394761', '2893602296616/87256285394761', '2959875667919/87256285394761', '3026289574074/87256285394761', '3092848378115/87256285394761', '3159556555870/87256285394761', '3226418702799/87256285394761', '3293439542444/87256285394761', '3360623932426/87256285394761']
['345397578509/70219552942301', '1973888083291/351097764711505', '2220863499329/351097764711505', '493584730211/70219552942301', '387868298167/50156823530215', '2962336399667/351097764711505', '3209708227289/351097764711505', '3457203260689/351097764711505', '740966249539/70219552942301', '3952601996921/351097764711505', '840105076647/70219552942301', '635515907631/50156823530215', '4696869930009/351097764711505', '989062243439/70219552942301', '5193945406833/351097764711505', '777540397519/50156823530215', '5691833726753/351097764711505', '5941108725961/351097764711505', '6190618376773/351097764711505', '6440373392177/351097764711505', '191153845965/10031364706043', '1388132598473/70219552942301', '1438243929095/70219552942301', '1488413163057/70219552942301', '7693212899931/351097764711505', '1588934491407/70219552942301', '8196456212499/351097764711505', '8448576067929/351097764711505', '8701044110191/351097764711505', '8953872621401/351097764711505', '1841414817531/70219552942301', '1892132241991/70219552942301', '9714646915761/351097764711505', '9969044369247/351097764711505', '2044773396809/70219552942301', '10479128436639/351097764711505', '10734842678767/351097764711505', '10991023952381/351097764711505', '2249537361103/70219552942301', '2300969221463/70219552942301', '11762517065949/351097764711505', '12020715247817/351097764711505', '12279456595999/351097764711505', '12538757452209/351097764711505', '12798634580203/351097764711505', '13059105189227/351097764711505', '13320186961299/351097764711505']
['192084291163/35301283637047', '1080584466937/176506418185235', '1200786523041/176506418185235', '1321032019217/176506418185235', '1441325372641/176506418185235', '1561671017869/176506418185235', '1682073413997/176506418185235', '1802537044171/176506418185235', '1923066418791/176506418185235', '2043666075527/176506418185235', '2164340585713/176506418185235', '2285094551379/176506418185235', '2405932611381/176506418185235', '2526859442233/176506418185235', '529575952163/35301283637047', '2768998325383/176506418185235', '578043988359/35301283637047', '3011549461347/176506418185235', '3132991786937/176506418185235', '3254551874803/176506418185235', '3376234737207/176506418185235', '3498045444493/176506418185235', '3619989131351/176506418185235', '3742070995727/176506418185235', '772859261057/35301283637047', '797334080019/35301283637047', '4109198695817/176506418185235', '4231886686761/176506418185235', '4354739952929/176506418185235', '4477764159877/176506418185235', '4600965066033/176506418185235', '4724348526711/176506418185235', '4847920498223/176506418185235', '4971687042271/176506418185235', '1019130866867/35301283637047', '5219828664919/176506418185235', '5344216448567/176506418185235', '5468824229379/176506418185235', '5593658687209/176506418185235', '5718726643781/176506418185235', '5844035073557/176506418185235', '1193918221425/35301283637047', '6095402042991/176506418185235', '6221475355829/176506418185235', '6347818706001/176506418185235', '1294887989781/35301283637047', '1320269430013/35301283637047']
['350712501248/59128871607809', '1169168258387/177386614823427', '1286239112249/177386614823427', '467784712386/59128871607809', '506839141205/59128871607809', '1637733081821/177386614823427', '1755005243045/177386614823427', '624112687484/59128871607809', '663245240142/59128871607809', '702400807958/59128871607809', '2224742409265/177386614823427', '2342359944002/177386614823427', '2460059328019/177386614823427', '2577844896722/177386614823427', '2695721022787/177386614823427', '937897372516/59128871607809', '977254211531/59128871607809', '3049937071334/177386614823427', '1056073323631/59128871607809', '1095538641908/59128871607809', '3405129579496/177386614823427', '3523765629260/177386614823427', '1214176276428/59128871607809', '3761423993275/177386614823427', '1293485332275/59128871607809', '3999629781557/177386614823427', '4118950357802/177386614823427', '1412807602426/59128871607809', '4358052287797/177386614823427', '4477844036257/177386614823427', '1532601123961/59128871607809', '4717935701393/177386614823427', '4838246522590/177386614823427', '1652913809364/59128871607809', '5079426111289/177386614823427', '5200306370432/177386614823427', '1773796037781/59128871607809', '5442677363876/177386614823427', '5564180267240/177386614823427', '5685903095332/177386614823427', '5807852254460/177386614823427', '1976678097221/59128871607809', '6052455901370/177386614823427', '6175123934474/177386614823427', '2099348468708/59128871607809', '6421227504002/177386614823427', '6544677599375/177386614823427']
['1139051316539/178202938802899', '1253098894673/178202938802899', '1367187313821/178202938802899', '1481320354549/178202938802899', '1595501811143/178202938802899', '1709735499631/178202938802899', '1824025253893/178202938802899', '1938374932867/178202938802899', '2052788415849/178202938802899', '2167269610795/178202938802899', '2281822450205/178202938802899', '2396450897239/178202938802899', '2511158944001/178202938802899', '2625950617261/178202938802899', '2740829975481/178202938802899', '2855801116015/178202938802899', '2970868172483/178202938802899', '3086035320287/178202938802899', '3201306775871/178202938802899', '3316686802253/178202938802899', '3432179706917/178202938802899', '3547789848957/178202938802899', '3663521637339/178202938802899', '3779379536445/178202938802899', '3895368066211/178202938802899', '4011491807789/178202938802899', '4127755402399/178202938802899', '4244163558781/178202938802899', '4360721052241/178202938802899', '4477432730839/178202938802899', '4594303516285/178202938802899', '4711338410411/178202938802899', '4828542494779/178202938802899', '4945920939121/178202938802899', '5063479001537/178202938802899', '5181222035355/178202938802899', '5299155491477/178202938802899', '5417284925949/178202938802899', '5535616000987/178202938802899', '5654154494909/178202938802899', '5772906303483/178202938802899', '5891877449155/178202938802899', '6011074084625/178202938802899', '6130502502975/178202938802899', '6250169140333/178202938802899', '6370080588811/178202938802899', '6490243599933/178202938802899']
