['0', '15796439/8471001506', '31595477/8471001506', '4309069/770091046', '63211897/8471001506', '79034519/8471001506', '94870319/8471001506', '110721967/8471001506', '126592175/8471001506', '142483719/8471001506', '158399389/8471001506', '174342015/8471001506', '190314585/8471001506', '206319875/8471001506', '222361171/8471001506', '238441403/8471001506', '254563869/8471001506', '270731817/8471001506', '286948697/8471001506', '303218013/8471001506', '319543421/8471001506', '335928741/8471001506', '352377931/8471001506', '368895137/8471001506', '385484709/8471001506', '36559201/770091046', '418899449/8471001506', '435734543/8471001506', '452661897/8471001506', '469687265/8471001506', '486816863/8471001506', '504057337/8471001506', '521415897/8471001506']
['2516885/1433395273', '5034154/1433395273', '22656544/4300185819', '10071353/1433395273', '12592059/1433395273', '2667296/252952107', '52918810/4300185819', '60501709/4300185819', '68093903/4300185819', '75696622/4300185819', '83311115/4300185819', '90938606/4300185819', '32860143/1433395273', '106237837/4300185819', '113912219/4300185819', '121604920/4300185819', '2535635/84317369', '137051039/4300185819', '48269133/1433395273', '152588032/4300185819', '160394521/4300185819', '3298599/84317369', '58697291/1433395273', '183986278/4300185819', '63971226/1433395273', '199876079/4300185819', '207875548/4300185819', '215914310/4300185819', '13176160/252952107', '232119238/4300185819', '240290533/4300185819', '248511464/4300185819', '256785074/4300185819']
['14456159/4356508648', '21686749/4356508648', '28920353/4356508648', '72315953/8713017296', '43400651/4356508648', '101298793/8713017296', '57905245/4356508648', '8146157/544563581', '72442487/4356508648', '159452019/8713017296', '87020933/4356508648', '47164177/2178254324', '50824719/2178254324', '217970633/8713017296', '29084301/1089127162', '247412599/8713017296', '262187747/8713017296', '277002411/8713017296', '291859239/8713017296', '38345125/1089127162', '321710519/8713017296', '168355369/4356508648', '351764733/8713017296', '4420189/104976112', '191023459/4356508648', '198640967/4356508648', '206292191/4356508648', '427958099/8713017296', '443407177/8713017296', '229467953/4356508648', '118637213/2178254324', '245125465/4356508648', '506047369/8713017296']
['41575091/8812628797', '7920245/1258946971', '69315443/8812628797', '83198047/8812628797', '13870191/1258946971', '110997169/8812628797', '124917337/8812628797', '138853731/8812628797', '152808255/8812628797', '23826113/1258946971', '180779309/8812628797', '194799797/8812628797', '208846275/8812628797', '222920797/8812628797', '237025519/8812628797', '251162559/8812628797', '37904881/1258946971', '279542653/8812628797', '41970047/1258946971', '44011379/1258946971', '322413157/8812628797', '336793409/8812628797', '351223125/8812628797', '52243593/1258946971', '380242365/8812628797', '394837851/8812628797', '409494843/8812628797', '424216661/8812628797', '439006865/8812628797', '453869233/8812628797', '468807671/8812628797', '483826439/8812628797', '498930053/8812628797']
['106416011/17800000513', '133043501/17800000513', '159686729/17800000513', '186348867/17800000513', '213033095/17800000513', '239742733/17800000513', '266481019/17800000513', '293251269/17800000513', '320056895/17800000513', '346901279/17800000513', '373787931/17800000513', '400720373/17800000513', '427702249/17800000513', '454737197/17800000513', '481829047/17800000513', '508981647/17800000513', '536198931/17800000513', '563485037/17800000513', '590844121/17800000513', '618280483/17800000513', '645798651/17800000513', '673403221/17800000513', '701098953/17800000513', '728890871/17800000513', '756784111/17800000513', '784784073/17800000513', '812896433/17800000513', '841127075/17800000513', '869482183/17800000513', '897968327/17800000513', '926592411/17800000513', '955361715/17800000513', '984284075/17800000513']
['31962560/4488957623', '38362722/4488957623', '44767090/4488957623', '51176366/4488957623', '57591266/4488957623', '64012514/4488957623', '70440868/4488957623', '76877036/4488957623', '83321796/4488957623', '89775913/4488957623', '96240161/4488957623', '102715327/4488957623', '109202246/4488957623', '115701711/4488957623', '122214585/4488957623', '128741736/4488957623', '135284037/4488957623', '141842404/4488957623', '148417786/4488957623', '155011124/4488957623', '161623431/4488957623', '168255735/4488957623', '174909089/4488957623', '181584598/4488957623', '188283430/4488957623', '195006746/4488957623', '201755812/4488957623', '208531936/4488957623', '215336458/4488957623', '222170824/4488957623', '229036558/4488957623', '235935223/4488957623', '242868535/4488957623']
['73815275/9046728542', '86136671/9046728542', '98466799/9046728542', '55403477/4523364271', '61579208/4523364271', '135522483/9046728542', '73950246/4523364271', '80146883/4523364271', '86351833/4523364271', '92565783/4523364271', '98789437/4523364271', '105023498/4523364271', '111268707/4523364271', '117525796/4523364271', '247591043/9046728542', '130078668/4523364271', '272752049/9046728542', '285376811/9046728542', '149016655/4523364271', '155361633/4523364271', '323448445/9046728542', '336210707/9046728542', '174505968/4523364271', '180927044/4523364271', '187369613/4523364271', '387669453/9046728542', '200323489/4523364271', '206837053/4523364271', '213376622/4523364271', '439886905/9046728542', '226538879/4523364271', '233164293/4523364271', '479642331/9046728542']
['27656547/3036193849', '7295749/700660119', '106728731/9108581547', '118622857/9108581547', '43509413/3036193849', '142446067/9108581547', '154377499/9108581547', '55441265/3036193849', '178286117/9108581547', '4878609/233553373', '5186255/233553373', '16483229/700660119', '75440381/3036193849', '238382837/9108581547', '83489449/3036193849', '262579121/9108581547', '91572191/3036193849', '286882171/9108581547', '99692469/3036193849', '311303879/9108581547', '323563111/9108581547', '335856797/9108581547', '348186619/9108581547', '120184781/3036193849', '124320587/3036193849', '29646985/700660119', '397903385/9108581547', '136813863/3036193849', '423027533/9108581547', '435663451/9108581547', '34488589/700660119', '153698223/3036193849', '36453461/700660119']
['91454704/9163556823', '102912034/9163556823', '114378415/9163556823', '125854883/9163556823', '45780834/3054518941', '148842326/9163556823', '53451806/3054518941', '171882887/9163556823', '61141942/3054518941', '64995116/3054518941', '206562619/9163556823', '218158784/9163556823', '229775018/9163556823', '241412546/9163556823', '253072589/9163556823', '264756404/9163556823', '276465296/9163556823', '96066858/3054518941', '299963587/9163556823', '5110750/150222243', '1202894/34065267', '335433260/9163556823', '347321620/9163556823', '359245136/9163556823', '371205401/9163556823', '383204140/9163556823', '395243096/9163556823', '407324081/9163556823', '419449003/9163556823', '431619838/9163556823', '147946214/3054518941', '152035869/3054518941', '156143001/3054518941']
['49671747/4606667950', '2208203/184266718', '30371487/2303333975', '66285849/4606667950', '35917116/2303333975', '15477713/921333590', '8294936/460666795', '88517083/4606667950', '47046139/2303333975', '99675403/4606667950', '52633507/2303333975', '110867617/4606667950', '11647776/460666795', '122097967/4606667950', '63864419/2303333975', '13337089/460666795', '139024749/4606667950', '72345497/2303333975', '150370241/4606667950', '156063109/4606667950', '80885137/2303333975', '83746179/2303333975', '17323009/460666795', '178984143/4606667950', '92377634/2303333975', '95272102/2303333975', '196351771/4606667950', '101089368/2303333975', '208025981/4606667950', '213894371/4606667950', '43956967/921333590', '225698313/4606667950', '231635861/4606667950']
['106685573/9257835558', '58692736/4628917779', '128094413/9257835558', '23135540/1542972593', '49847603/3085945186', '53428003/3085945186', '28506287/1542972593', '30300805/1542972593', '96293135/4628917779', '101691473/4628917779', '214195799/9257835558', '75008599/3085945186', '117936955/4628917779', '82247039/3085945186', '42938075/1542972593', '134268467/4628917779', '279467611/9257835558', '48403603/1542972593', '150699992/4628917779', '156201956/4628917779', '323434547/9257835558', '55748850/1542972593', '172790395/4628917779', '59449816/1542972593', '183924380/4628917779', '379031723/9257835558', '195124600/4628917779', '200751323/4628917779', '206396786/4628917779', '212061782/4628917779', '217747133/4628917779', '223453687/4628917779', '229182352/4628917779']
