['0', '98229185/73746850529', '392936473/147493701058', '589454003/147493701058', '786030763/147493701058', '491343311/73746850529', '1179441487/147493701058', '125119585/13408518278', '143029881/13408518278', '1770501583/147493701058', '1967854693/147493701058', '1082704410/73746850529', '2363184949/147493701058', '1280602200/73746850529', '2759488819/147493701058', '134457274/6704259139', '3156940495/147493701058', '1678076409/73746850529', '1777860094/73746850529', '3755666223/147493701058', '3956015105/147493701058', '4156791503/147493701058', '4358020761/147493701058', '4559728885/147493701058', '2380971269/73746850529', '4964689217/147493701058', '2583998633/73746850529', '5371895863/147493701058', '506946841/13408518278', '5781586741/147493701058', '2993721374/73746850529', '3097008509/73746850529', '290970213/6704259139', '3304731172/73746850529', '6818408309/147493701058', '3514111368/73746850529', '7238947741/147493701058', '7450627755/147493701058', '696664521/13408518278']
['519826543/55832585807', '13045342233/1284149473561', '14135309607/1284149473561', '15225967205/1284149473561', '16317370111/1284149473561', '17409573773/1284149473561', '18502634051/1284149473561', '19596607513/1284149473561', '20691551075/1284149473561', '21787522303/1284149473561', '22884579509/1284149473561', '23982781539/1284149473561', '25082187929/1284149473561', '26182859193/1284149473561', '27284856429/1284149473561', '28388241641/1284149473561', '1282307733/55832585807', '30599428971/1284149473561', '31707359841/1284149473561', '32816936603/1284149473561', '33928226297/1284149473561', '35041297345/1284149473561', '36156219373/1284149473561', '37273063381/1284149473561', '1669213117/55832585807', '39512808379/1284149473561', '40635858839/1284149473561', '41761130171/1284149473561', '42888701591/1284149473561', '44018653911/1284149473561', '45151069873/1284149473561', '46286034631/1284149473561', '47423635357/1284149473561', '48563961695/1284149473561', '49707105931/1284149473561', '50853162939/1284149473561', '52002230459/1284149473561', '53154409533/1284149473561', '54309804291/1284149473561']
['633772275/64462817048', '3433587919/322314085240', '1849236443/161157042620', '86163663/7006827940', '1057191939/80578521310', '561775399/40289260655', '118996198/8057852131', '1256428681/80578521310', '2645908509/161157042620', '5558167791/322314085240', '1456195179/80578521310', '3045834591/161157042620', '1271769417/64462817048', '1325265633/64462817048', '42820663/2001950840', '7162256863/322314085240', '3715366621/161157042620', '7699570439/322314085240', '7968783533/322314085240', '8238387571/322314085240', '1701679629/64462817048', '8778830867/322314085240', '9049701809/322314085240', '4660513611/161157042620', '685201701/23022434660', '986510841/32231408524', '5068949257/161157042620', '1301401452/40289260655', '2671266503/80578521310', '782820003/23022434660', '2246894557/64462817048', '287751588/8057852131', '11786272381/322314085240', '430825699/11511217330', '12340626331/322314085240', '6309407043/161157042620', '1289770523/32231408524', '941237321/23022434660', '3364422443/80578521310']
['6676914171/646959268477', '7191924988/646959268477', '7707249714/646959268477', '8222911567/646959268477', '8738933968/646959268477', '9255340575/646959268477', '9772155218/646959268477', '10289401900/646959268477', '10807104974/646959268477', '11325288941/646959268477', '11843978579/646959268477', '12363199025/646959268477', '12882975637/646959268477', '13403334089/646959268477', '13924300476/646959268477', '14445901148/646959268477', '14968162858/646959268477', '15491112814/646959268477', '16014778558/646959268477', '16539188186/646959268477', '17064369838/646959268477', '17590353163/646959268477', '18117166883/646959268477', '18644841561/646959268477', '19173407555/646959268477', '19702896087/646959268477', '20233339051/646959268477', '20764768958/646959268477', '21297218959/646959268477', '21830723057/646959268477', '22365315993/646959268477', '22901033332/646959268477', '23437911593/646959268477', '23975988138/646959268477', '24515301346/646959268477', '25055890693/646959268477', '25597796726/646959268477', '26141061143/646959268477', '26685727015/646959268477']
['3498729731/324559246920', '62489719/5409320782', '100004788/8113981173', '1417055353/108186415640', '900463435/64911849384', '1584552061/108186415640', '1668397933/108186415640', '5256941431/324559246920', '5508910031/324559246920', '192037043/10818641564', '1503389083/81139811730', '2088752361/108186415640', '814903129/40569905865', '564372691/27046603910', '3513005333/162279623460', '3639926321/162279623460', '753401029/32455924692', '7788496441/324559246920', '335138483/13523301955', '1659701009/64911849384', '285135109/10818641564', '2936660873/108186415640', '9066305713/324559246920', '1864607425/64911849384', '1596698421/54093207820', '655852037/21637283128', '3365273883/108186415640', '2070865807/64911849384', '88444314/2704660391', '10872803483/324559246920', '11132802179/324559246920', '3797776767/108186415640', '2913601087/81139811730', '595802087/16227962346', '608912987/16227962346', '2488215337/64911849384', '6352255429/162279623460', '1080715129/27046603910', '3308327023/81139811730']
['14601024525/1302193662493', '15577561811/1302193662493', '16554711155/1302193662493', '17532512599/1302193662493', '18511006313/1302193662493', '19490232805/1302193662493', '20470233087/1302193662493', '21451048399/1302193662493', '22432720407/1302193662493', '23415291315/1302193662493', '24398803639/1302193662493', '25383300385/1302193662493', '26368825201/1302193662493', '27355422119/1302193662493', '28343135711/1302193662493', '29332011327/1302193662493', '30322094753/1302193662493', '31313432453/1302193662493', '32306071433/1302193662493', '33300060911/1302193662493', '34295446351/1302193662493', '35292281665/1302193662493', '36290613133/1302193662493', '37290494489/1302193662493', '38291976633/1302193662493', '39295113157/1302193662493', '40299957921/1302193662493', '41306566237/1302193662493', '42314994381/1302193662493', '43325299835/1302193662493', '44337541459/1302193662493', '45351779293/1302193662493', '46368074765/1302193662493', '47386490963/1302193662493', '48407092331/1302193662493', '49429945001/1302193662493', '50455116979/1302193662493', '51482677959/1302193662493', '52512699593/1302193662493']
['3793830448/326468545599', '4031765536/326468545599', '1423283819/108822848533', '1502699005/108822848533', '4746512047/326468545599', '4985105476/326468545599', '5223887254/326468545599', '5462866586/326468545599', '5702053505/326468545599', '5941457429/326468545599', '6181088644/326468545599', '6420956726/326468545599', '6661072169/326468545599', '2300481626/108822848533', '7142085506/326468545599', '7383004231/326468545599', '2541404016/108822848533', '7865719381/326468545599', '2702512451/108822848533', '8349677359/326468545599', '409149990/15546121219', '420712726/15546121219', '1296877211/46638363657', '3107227251/108822848533', '9565603072/326468545599', '9809916587/326468545599', '3351544999/108822848533', '1471395826/46638363657', '3515112429/108822848533', '10791347410/326468545599', '3679271682/108822848533', '11284753736/326468545599', '11532177929/326468545599', '3926700598/108822848533', '12028540534/326468545599', '1753929850/46638363657', '1789574716/46638363657', '4259032790/108822848533', '1861107397/46638363657']
['3929904087/327314383193', '4161929664/327314383193', '4394103205/327314383193', '9252866627/654628766386', '9717857435/654628766386', '10183196311/654628766386', '5324450470/327314383193', '11114989195/654628766386', '11581479087/654628766386', '12048388769/654628766386', '12515736703/654628766386', '6491770720/327314383193', '6725910883/327314383193', '994328339/46759197599', '7194942815/327314383193', '14859707885/654628766386', '7665041672/327314383193', '15801032083/654628766386', '8136286923/327314383193', '8372365483/327314383193', '1229822963/46759197599', '8845484946/327314383193', '18165095189/654628766386', '9319960492/327314383193', '19115468741/654628766386', '19591761621/654628766386', '10034411307/327314383193', '10273337670/327314383193', '10512671949/327314383193', '21504852777/654628766386', '10992613505/327314383193', '11233246102/327314383193', '11474337237/327314383193', '23431800499/654628766386', '23915897687/654628766386', '12200496989/327314383193', '12443559021/327314383193', '25374299313/654628766386', '12931283978/327314383193']
['2706102043/218736199083', '2857031801/218736199083', '9024174469/656208597249', '3159186811/218736199083', '9931268467/656208597249', '10385315995/656208597249', '10839718393/656208597249', '11294493319/656208597249', '11749656653/656208597249', '12205226195/656208597249', '12661218211/656208597249', '1457516773/72912066361', '4524846995/218736199083', '14031906913/656208597249', '14489765887/656208597249', '1660904089/72912066361', '5135679089/218736199083', '15866486965/656208597249', '1814055893/72912066361', '16787107639/656208597249', '1916479583/72912066361', '17710152695/656208597249', '6057544565/218736199083', '18635782097/656208597249', '2122179659/72912066361', '19564160507/656208597249', '20029433419/656208597249', '20495458289/656208597249', '2329139627/72912066361', '21429852043/656208597249', '7299422261/218736199083', '22367525371/656208597249', '22837651177/656208597249', '7769556547/218736199083', '7926868399/218736199083', '8084494859/218736199083', '8242444411/218736199083', '25202179205/656208597249', '25678049381/656208597249']
['5575907515/438443511747', '5870595799/438443511747', '18496421251/1315330535241', '19381654081/1315330535241', '20267516045/1315330535241', '21154037797/1315330535241', '22041249989/1315330535241', '22929183679/1315330535241', '7939290073/438443511747', '24707341303/1315330535241', '2844180975/146147837249', '8829588367/438443511747', '27380782861/1315330535241', '9424571701/438443511747', '29167595335/1315330535241', '30062457419/1315330535241', '30958335475/1315330535241', '31855265027/1315330535241', '10917759635/438443511747', '11217472537/438443511747', '11517570313/438443511747', '3939355779/146147837249', '36356923325/1315330535241', '12420305303/438443511747', '38166216677/1315330535241', '39072865615/1315330535241', '39980902361/1315330535241', '40890367649/1315330535241', '41801302723/1315330535241', '42713749891/1315330535241', '14542584013/438443511747', '44543353025/1315330535241', '5051177511/146147837249', '46379531491/1315330535241', '15766733753/438443511747', '5358072757/146147837249', '5460771207/146147837249', '16691036471/438443511747', '17000403907/438443511747']
['4298816560/329515323641', '4514698021/329515323641', '4730719072/329515323641', '4946886087/329515323641', '5163206717/329515323641', '5379687513/329515323641', '5596336262/329515323641', '5813159614/329515323641', '6030165452/329515323641', '6247360669/329515323641', '6464753209/329515323641', '6682350128/329515323641', '6900159584/329515323641', '7118188753/329515323641', '7336445958/329515323641', '7554938646/329515323641', '1110525030/47073617663', '7992663545/329515323641', '1173130238/47073617663', '8431428640/329515323641', '8651221861/329515323641', '8871300881/329515323641', '9091673786/329515323641', '9312349608/329515323641', '1361905353/47073617663', '9754646168/329515323641', '9976285392/329515323641', '10198264179/329515323641', '10420592548/329515323641', '10643279862/329515323641', '10866336583/329515323641', '11089772377/329515323641', '11313598110/329515323641', '11537823919/329515323641', '11762461064/329515323641', '11987520119/329515323641', '12213012912/329515323641', '12438950429/329515323641', '12665345066/329515323641']
['8820173567/660293077074', '9242111131/660293077074', '4832160589/330146538537', '3362272255/220097692358', '1751601859/110048846179', '185300299/11191408086', '11356149739/660293077074', '11779920995/660293077074', '4068015033/220097692358', '4209511973/220097692358', '4351135811/220097692358', '2246445620/110048846179', '6952174559/330146538537', '7165224016/330146538537', '4918995019/220097692358', '15183975011/660293077074', '5203810907/220097692358', '8019686951/330146538537', '2744635415/110048846179', '8448383183/330146538537', '8663124311/330146538537', '5918759211/220097692358', '9093433993/330146538537', '6206012377/220097692358', '19049801347/660293077074', '9741088940/330146538537', '19915183907/660293077074', '10174418552/330146538537', '6927718451/220097692358', '21218156863/660293077074', '304983947/9299902494', '22090284373/660293077074', '3754574757/110048846179', '22965372445/660293077074', '23404076155/660293077074', '7947860043/220097692358', '8094635125/220097692358', '4120845544/110048846179', '4194517615/110048846179']
['3010828211/220493487747', '9445025189/661480463241', '9857831471/661480463241', '1141213007/73497829249', '10684293059/661480463241', '11097973207/661480463241', '1279107651/73497829249', '11926294063/661480463241', '949304641/50883112557', '4251993961/220493487747', '337727453/16961037519', '13587141001/661480463241', '1555922795/73497829249', '123246819/5653679173', '14836871479/661480463241', '5084767045/220493487747', '1741353283/73497829249', '16090522597/661480463241', '423316465/16961037519', '16928655959/661480463241', '5782825145/220493487747', '17768818481/661480463241', '18189697993/661480463241', '18611131115/661480463241', '19033132069/661480463241', '6485239351/220493487747', '19878903971/661480463241', '20302707383/661480463241', '20727143963/661480463241', '7050743897/220493487747', '7192662271/220493487747', '22004428091/661480463241', '7477190761/220493487747', '1758418373/50883112557', '1791388105/50883112557', '2635267993/73497829249', '24147556891/661480463241', '24578501339/661480463241', '25010264261/661480463241']
['9234996803/662581105790', '9638530201/662581105790', '5021162084/331290552895', '10446389899/662581105790', '10850739071/662581105790', '5627691696/331290552895', '5830167332/331290552895', '12065604879/662581105790', '6235603032/331290552895', '6438575183/331290552895', '6641725047/331290552895', '2738023533/132516221158', '2819433117/132516221158', '7252303292/331290552895', '7456226726/331290552895', '3064143839/132516221158', '15729416721/662581105790', '8069280027/331290552895', '8274080619/331290552895', '16958235753/662581105790', '17368795623/662581105790', '8889928126/331290552895', '18191430919/662581105790', '18603534607/662581105790', '9508090806/331290552895', '19429386993/662581105790', '9921582864/331290552895', '4051506637/132516221158', '10336252494/331290552895', '21088096987/662581105790', '2150432527/66258110579', '21921206333/662581105790', '11169378438/331290552895', '11378496967/331290552895', '11587967456/331290552895', '23595597531/662581105790', '12007999926/331290552895', '12218580194/331290552895', '12429548976/331290552895']
['2357145575/165904914223', '2455871581/165904914223', '2554661515/165904914223', '5307035055/331809828446', '5504885459/331809828446', '2851439509/165904914223', '2950510984/165904914223', '6099319227/331809828446', '6297777169/331809828446', '3248200396/165904914223', '6695196543/331809828446', '3447084811/165904914223', '3546663260/165904914223', '3646336288/165904914223', '7492214453/331809828446', '3845978805/165904914223', '7891908693/331809828446', '8092073723/331809828446', '8292458961/331809828446', '8493070949/331809828446', '8693916107/331809828446', '4447500442/165904914223', '4548166101/165904914223', '9297916453/331809828446', '9499760925/331809828446', '4850936029/165904914223', '9904257491/331809828446', '5053461894/165904914223', '10309878857/331809828446', '5256564762/165904914223', '5358341943/165904914223', '5460274514/165904914223', '5562366703/165904914223', '5664622149/165904914223', '11534090467/331809828446', '11739279545/331809828446', '11944820575/331809828446', '12150721497/331809828446', '12356991775/331809828446']
['9613575589/664584583902', '10000196225/664584583902', '1731177729/110764097317', '10774195225/664584583902', '5580796442/332292291951', '3849756553/221528194634', '11937235985/664584583902', '6162751171/332292291951', '4238026479/221528194634', '13102977965/664584583902', '6746104390/332292291951', '6940891430/332292291951', '7135855636/332292291951', '2443667528/110764097317', '7526337953/332292291951', '5147911663/221528194634', '2639198943/110764097317', '16227064337/664584583902', '8309678935/332292291951', '2835347890/110764097317', '17405263981/664584583902', '17798900809/664584583902', '9096504917/332292291951', '18587604035/664584583902', '18982696091/664584583902', '6459433029/221528194634', '9887213134/332292291951', '20171091089/664584583902', '3428051195/110764097317', '20966088395/664584583902', '10682224441/332292291951', '21763402945/664584583902', '3693827540/110764097317', '22563150589/664584583902', '22963974125/664584583902', '23365451279/664584583902', '11883798880/332292291951', '12085214765/332292291951', '4095660488/110764097317']
['9790742629/665497832633', '10169414117/665497832633', '10548329307/665497832633', '10927498015/665497832633', '11306927817/665497832633', '11686629943/665497832633', '12066612647/665497832633', '12446887255/665497832633', '12827462309/665497832633', '13208349425/665497832633', '13589557283/665497832633', '13971097659/665497832633', '14352979599/665497832633', '14735214947/665497832633', '15117812987/665497832633', '15500786001/665497832633', '15884143109/665497832633', '16267897323/665497832633', '450055613/17986427909', '17036637553/665497832633', '17421646379/665497832633', '17807097605/665497832633', '18193001245/665497832633', '502145155/17986427909', '512600453/17986427909', '19353552837/665497832633', '19741390097/665497832633', '20129742531/665497832633', '20518621481/665497832633', '20908041341/665497832633', '21298014035/665497832633', '21688554269/665497832633', '22079674381/665497832633', '22471389687/665497832633', '22863712857/665497832633', '23256659741/665497832633', '23650243591/665497832633', '24044480715/665497832633', '24439384739/665497832633']
['6640229023/444232110719', '6887580439/444232110719', '21405275911/1332696332157', '22148304659/1332696332157', '22891844251/1332696332157', '7878637487/444232110719', '24380527555/1332696332157', '25125708061/1332696332157', '25871472655/1332696332157', '26617840489/1332696332157', '9121610219/444232110719', '9370820867/444232110719', '28860755929/1332696332157', '29609730517/1332696332157', '30359406245/1332696332157', '31109803763/1332696332157', '31860942839/1332696332157', '32612845265/1332696332157', '33365530787/1332696332157', '11373007291/444232110719', '34873338943/1332696332157', '35628504611/1332696332157', '36384540401/1332696332157', '37141468969/1332696332157', '12633104277/444232110719', '38658095095/1332696332157', '39417838975/1332696332157', '40178568265/1332696332157', '40940306839/1332696332157', '41703079165/1332696332157', '14155636683/444232110719', '43231824703/1332696332157', '43997848597/1332696332157', '44765007895/1332696332157', '15177776323/444232110719', '46302838735/1332696332157', '15691188183/444232110719', '47845534195/1332696332157', '16206258489/444232110719']
['5061528595/333577634627', '5243367891/333577634627', '5425325959/333577634627', '5607404609/333577634627', '5789608428/333577634627', '5971940582/333577634627', '6154406138/333577634627', '6337008624/333577634627', '6519753200/333577634627', '6702643557/333577634627', '6885685008/333577634627', '7068881313/333577634627', '7252237861/333577634627', '7435758598/333577634627', '7619448925/333577634627', '7803312973/333577634627', '7987356164/333577634627', '8171582839/333577634627', '8355998434/333577634627', '8540607473/333577634627', '8725415525/333577634627', '8910427136/333577634627', '9095648155/333577634627', '9281083144/333577634627', '9466738128/333577634627', '9652617849/333577634627', '9838728447/333577634627', '10025074786/333577634627', '10211663240/333577634627', '10398498792/333577634627', '10585587998/333577634627', '10772936048/333577634627', '10960549635/333577634627', '11148434126/333577634627', '11336596486/333577634627', '11525042196/333577634627', '11713778411/333577634627', '11902810805/333577634627', '12092146549/333577634627']
['10279086060/667908291731', '10635687517/667908291731', '10992523103/667908291731', '11349596435/667908291731', '11706913842/667908291731', '709675443/39288723043', '12422310225/667908291731', '12780404952/667908291731', '13138774920/667908291731', '13497428429/667908291731', '13856374036/667908291731', '14215620264/667908291731', '14575175813/667908291731', '14935049503/667908291731', '15295250174/667908291731', '15655786924/667908291731', '16016668659/667908291731', '16377904877/667908291731', '16739504543/667908291731', '17101477393/667908291731', '17463832753/667908291731', '17826580397/667908291731', '18189730058/667908291731', '18553291665/667908291731', '18917275220/667908291731', '19281690952/667908291731', '19646549142/667908291731', '20011860211/667908291731', '20377634839/667908291731', '20743883751/667908291731', '21110617864/667908291731', '21477848257/667908291731', '21845586190/667908291731', '22213843023/667908291731', '22582630384/667908291731', '22951959951/667908291731', '23321843552/667908291731', '23692293099/667908291731', '24063320223/667908291731']
['10429039209/668625007553', '10778825155/668625007553', '11128842991/668625007553', '11479096189/668625007553', '11829587905/668625007553', '12180326231/668625007553', '12531316277/668625007553', '12882567145/668625007553', '13234084775/668625007553', '13585878519/668625007553', '13937954723/668625007553', '14290323087/668625007553', '14642990093/668625007553', '14995965659/668625007553', '15349256559/668625007553', '15702872887/668625007553', '16056821501/668625007553', '16411112899/668625007553', '16765754005/668625007553', '17120755481/668625007553', '17476124671/668625007553', '17831872239/668625007553', '18188005849/668625007553', '18544536423/668625007553', '18901471813/668625007553', '19258823163/668625007553', '19616598673/668625007553', '19974809647/668625007553', '20333464575/668625007553', '20692575133/668625007553', '21052149949/668625007553', '21412200995/668625007553', '21772737285/668625007553', '22133770987/668625007553', '22495311319/668625007553', '22857370845/668625007553', '23219958763/668625007553', '23583087671/668625007553', '23946766263/668625007553']
