['0', '98229185/73746850529', '392936473/147493701058', '589454003/147493701058', '786030763/147493701058', '491343311/73746850529', '1179441487/147493701058', '125119585/13408518278', '143029881/13408518278', '1770501583/147493701058', '1967854693/147493701058', '1082704410/73746850529', '2363184949/147493701058', '1280602200/73746850529', '2759488819/147493701058', '134457274/6704259139', '3156940495/147493701058', '1678076409/73746850529', '1777860094/73746850529', '3755666223/147493701058', '3956015105/147493701058', '4156791503/147493701058', '4358020761/147493701058', '4559728885/147493701058', '2380971269/73746850529', '4964689217/147493701058', '2583998633/73746850529', '5371895863/147493701058', '506946841/13408518278', '5781586741/147493701058', '2993721374/73746850529', '3097008509/73746850529', '290970213/6704259139', '3304731172/73746850529', '6818408309/147493701058', '3514111368/73746850529', '7238947741/147493701058', '7450627755/147493701058', '696664521/13408518278']
['756388295/597556515224', '756423453/298778257612', '2269446341/597556515224', '3026257147/597556515224', '3783350097/597556515224', '567599549/74694564403', '5298667503/597556515224', '6057035363/597556515224', '3407986289/298778257612', '1893888067/149389128806', '8335848277/597556515224', '9096935373/597556515224', '2464722279/149389128806', '10621786039/597556515224', '11385704053/597556515224', '1518840218/74694564403', '3229229907/149389128806', '13684379219/597556515224', '7226591905/298778257612', '15223418239/597556515224', '15995169343/597556515224', '16768525805/597556515224', '17543578449/597556515224', '9160210267/298778257612', '4774786921/149389128806', '9939929117/298778257612', '2582831689/74694564403', '10723818953/298778257612', '22234919191/597556515224', '23024608935/597556515224', '23816822589/597556515224', '24611679925/597556515224', '25409305561/597556515224', '26209829131/597556515224', '13506692941/298778257612', '27820117349/597556515224', '14315085863/298778257612', '29443704691/597556515224', '30260880389/597556515224']
['1457634631/604355929915', '2186609397/604355929915', '2915773287/604355929915', '3645189769/604355929915', '4374922261/604355929915', '5105034783/604355929915', '5835591703/604355929915', '6566657663/604355929915', '7298298013/604355929915', '8030578739/604355929915', '8763566233/604355929915', '9497327903/604355929915', '2046386391/120871185983', '10967447259/604355929915', '11703944057/604355929915', '12441493371/604355929915', '13180167519/604355929915', '2784008019/120871185983', '14661186181/604355929915', '15403682097/604355929915', '16147606007/604355929915', '16893037827/604355929915', '17640059107/604355929915', '3677750735/120871185983', '19139207499/604355929915', '19891508673/604355929915', '20645748049/604355929915', '21402019211/604355929915', '22160418421/604355929915', '22921045363/604355929915', '23684003123/604355929915', '4889879657/120871185983', '25217341669/604355929915', '25987948481/604355929915', '26761338429/604355929915', '27537636677/604355929915', '5663394813/120871185983', '29099487479/604355929915', '29885320959/604355929915']
['4217453333/1220843722037', '5623799011/1220843722037', '7030597715/1220843722037', '8437963669/1220843722037', '9846011399/1220843722037', '11254856097/1220843722037', '12664613941/1220843722037', '14075401745/1220843722037', '15487337329/1220843722037', '16900539857/1220843722037', '18315129497/1220843722037', '19731227835/1220843722037', '21148958159/1220843722037', '22568445095/1220843722037', '23989815361/1220843722037', '25413197429/1220843722037', '26838722035/1220843722037', '28266521985/1220843722037', '29696732851/1220843722037', '31129492619/1220843722037', '32564942115/1220843722037', '34003225497/1220843722037', '35444489961/1220843722037', '36888886263/1220843722037', '38336569173/1220843722037', '39787697325/1220843722037', '41242433783/1220843722037', '42700946499/1220843722037', '44163408309/1220843722037', '45629997521/1220843722037', '47100898533/1220843722037', '48576301941/1220843722037', '50056405157/1220843722037', '51541413315/1220843722037', '53031539401/1220843722037', '54527005189/1220843722037', '56028042337/1220843722037', '57534892767/1220843722037', '59047809989/1220843722037']
['542878661/123179083285', '678674733/123179083285', '4072609181/615895416425', '950430269/123179083285', '5432052117/615895416425', '6112363389/615895416425', '6793137787/615895416425', '7474428229/615895416425', '1631257599/123179083285', '8838770997/615895416425', '9521931813/615895416425', '10205825351/615895416425', '10890507529/615895416425', '2315206971/123179083285', '2452492929/123179083285', '12949855089/615895416425', '13638265497/615895416425', '14327755869/615895416425', '15018387601/615895416425', '3142044639/123179083285', '3280665251/123179083285', '17097761923/615895416425', '17793596823/615895416425', '18490898877/615895416425', '468042389/15021839425', '19890185621/615895416425', '20592315241/615895416425', '21296202369/615895416425', '22001924831/615895416425', '22709562543/615895416425', '23419198233/615895416425', '965236693/24635816657', '24844808039/615895416425', '25560961937/615895416425', '26279474119/615895416425', '27000443117/615895416425', '27723971841/615895416425', '28450167581/615895416425', '29179142347/615895416425']
['6557148921/1241608432697', '7869590633/1241608432697', '9182585663/1241608432697', '10496227323/1241608432697', '11810609649/1241608432697', '13125827103/1241608432697', '14441974833/1241608432697', '15759149007/1241608432697', '17077446451/1241608432697', '18396964923/1241608432697', '19717803491/1241608432697', '21040062123/1241608432697', '22363842117/1241608432697', '23689246205/1241608432697', '25016378533/1241608432697', '26345344705/1241608432697', '27676252303/1241608432697', '29009210471/1241608432697', '30344330361/1241608432697', '31681725389/1241608432697', '33021511009/1241608432697', '34363805111/1241608432697', '35708728313/1241608432697', '37056403785/1241608432697', '38406957621/1241608432697', '39760519271/1241608432697', '41117221309/1241608432697', '42477199895/1241608432697', '43840595279/1241608432697', '45207551559/1241608432697', '46578217277/1241608432697', '47952745923/1241608432697', '49331295871/1241608432697', '50714030975/1241608432697', '52101121227/1241608432697', '53492742833/1241608432697', '54889078903/1241608432697', '56290320327/1241608432697', '57696666005/1241608432697']
['3805190441/625259861307', '1480006867/208419953769', '267112799/32908413753', '1903533559/208419953769', '6346435663/625259861307', '6982691351/625259861307', '7619410765/625259861307', '917404201/69473317923', '8894416495/625259861307', '9532791355/625259861307', '10171807363/625259861307', '3603836741/208419953769', '424146143/23157772641', '4031053709/208419953769', '12735203417/625259861307', '13378120793/625259861307', '245999335/10969471251', '4888925723/208419953769', '15312616349/625259861307', '15959531299/625259861307', '16607574469/625259861307', '17256799363/625259861307', '5969086889/208419953769', '2062112713/69473317923', '19212117599/625259861307', '19866628909/625259861307', '20522608391/625259861307', '7060039195/208419953769', '21839219767/625259861307', '7499993387/208419953769', '23162465549/625259861307', '23826745139/625259861307', '24492890167/625259861307', '1324261801/32908413753', '151058909/3656490417', '26503266919/625259861307', '27177636319/625259861307', '9284755639/208419953769', '28533247277/625259861307']
['4297330472/629275656987', '4911991082/629275656987', '1842318448/209758552329', '6142261888/629275656987', '6757949590/629275656987', '7374057697/629275656987', '2663541893/209758552329', '8607693346/629275656987', '9225300989/629275656987', '9843489205/629275656987', '10462299050/629275656987', '11081772124/629275656987', '11701950500/629275656987', '4107625589/209758552329', '12944594230/629275656987', '4522382243/209758552329', '14190578809/629275656987', '1646103979/69919517443', '1715584865/69919517443', '16066609609/629275656987', '1854891239/69919517443', '1924727457/69919517443', '17952237203/629275656987', '18583142317/629275656987', '6405104792/209758552329', '19848806525/629275656987', '20483673296/629275656987', '21119970502/629275656987', '21757755430/629275656987', '22397087029/629275656987', '23038025818/629275656987', '7893544705/209758552329', '24324976258/629275656987', '24971118517/629275656987', '8539709795/209758552329', '26269079807/629275656987', '8973681065/209758552329', '27575095694/629275656987', '3136812950/69919517443']
['1189559386/158235287001', '1338473704/158235287001', '495821947/52745095667', '3273089117/316470574002', '1190479193/105490191334', '3869994875/316470574002', '2084389607/158235287001', '744634772/52745095667', '34544215/2293265029', '1688892273/105490191334', '1788850975/105490191334', '1888916303/105490191334', '2983642073/158235287001', '1044696329/52745095667', '2189816759/105490191334', '6871121063/316470574002', '2391070235/105490191334', '339806357/14385026091', '7778729663/316470574002', '2694067133/105490191334', '1397696165/52745095667', '790061693/28770052182', '2998576329/105490191334', '1550225199/52745095667', '4803784507/158235287001', '4957203253/158235287001', '3407296179/105490191334', '1755006742/52745095667', '10838888275/316470574002', '5574229334/158235287001', '1909796532/52745095667', '356662967/9590017394', '2013630669/52745095667', '6197263697/158235287001', '6354069485/158235287001', '6511325314/158235287001', '2223015919/52745095667', '13654507685/316470574002', '13971922765/316470574002']
['5190326623/636260111255', '5768024002/636260111255', '6346036929/636260111255', '1384879559/127252022251', '1500627827/127252022251', '8082293743/636260111255', '8661894763/636260111255', '9241975549/636260111255', '9822569806/636260111255', '10403711611/636260111255', '10985435402/636260111255', '11567775969/636260111255', '2430153730/127252022251', '12734449134/636260111255', '13318853611/636260111255', '13904018881/636260111255', '14489982213/636260111255', '3015356293/127252022251', '15664455218/636260111255', '16253042627/636260111255', '3368516712/127252022251', '17433118713/636260111255', '18024689509/636260111255', '18617338211/636260111255', '19211108052/636260111255', '19806043152/636260111255', '4080437727/127252022251', '20999590788/636260111255', '21598296899/636260111255', '4439671105/127252022251', '22799816623/636260111255', '4680546269/127252022251', '24007152368/636260111255', '24613133988/636260111255', '25220732079/636260111255', '25830004306/636260111255', '5288202064/127252022251', '27053811723/636260111255', '27668472333/636260111255']
['2798143458/319652733193', '3078510736/319652733193', '3359036696/319652733193', '3639736447/319652733193', '3920624748/319652733193', '4201716814/319652733193', '4483027678/319652733193', '4764572877/319652733193', '5046367670/319652733193', '5328427892/319652733193', '5610769229/319652733193', '5893407769/319652733193', '6176359593/319652733193', '6459641278/319652733193', '6743269250/319652733193', '7027260540/319652733193', '7311632159/319652733193', '7596401558/319652733193', '7881586303/319652733193', '8167204518/319652733193', '8453274302/319652733193', '8739814422/319652733193', '9026843765/319652733193', '9314381739/319652733193', '9602448008/319652733193', '9891062898/319652733193', '10180246862/319652733193', '10470021118/319652733193', '10760407184/319652733193', '11051427276/319652733193', '11343104000/319652733193', '11635460804/319652733193', '11928521441/319652733193', '12222310708/319652733193', '12516853851/319652733193', '12812177076/319652733193', '13108307228/319652733193', '13405272331/319652733193', '13703100967/319652733193']
