['0', '31/2508', '31/1254', '31/836', '125/2508', '7/114', '63/836', '221/2508', '85/836', '289/2508', '325/2508', '181/1254', '67/418']
['210/2981', '211/2981', '213/2981', '216/2981', '20/271', '224/2981', '228/2981', '233/2981', '238/2981', '22/271', '246/2981', '249/2981', '251/2981']
['426/5969', '428/5969', '431/5969', '436/5969', '443/5969', '450/5969', '457/5969', '466/5969', '474/5969', '481/5969', '488/5969', '493/5969', '496/5969']
['6/83', '217/2988', '109/1494', '55/747', '223/2988', '113/1494', '229/2988', '233/2988', '59/747', '239/2988', '121/1494', '61/747', '245/2988']
['125/1709', '877/11963', '881/11963', '887/11963', '897/11963', '907/11963', '131/1709', '133/1709', '941/11963', '951/11963', '961/11963', '967/11963', '971/11963']
['443/5987', '443/5987', '445/5987', '447/5987', '451/5987', '455/5987', '459/5987', '465/5987', '469/5987', '473/5987', '477/5987', '479/5987', '481/5987']
['893/11981', '893/11981', '895/11981', '899/11981', '905/11981', '913/11981', '919/11981', '929/11981', '935/11981', '943/11981', '949/11981', '953/11981', '955/11981']
['25/333', '25/333', '25/333', '226/2997', '227/2997', '229/2997', '230/2997', '232/2997', '233/2997', '235/2997', '236/2997', '79/999', '79/999']
['905/11993', '905/11993', '905/11993', '907/11993', '911/11993', '917/11993', '921/11993', '927/11993', '931/11993', '937/11993', '941/11993', '943/11993', '943/11993']
['65/857', '65/857', '65/857', '65/857', '457/5999', '459/5999', '461/5999', '463/5999', '465/5999', '467/5999', '67/857', '67/857', '67/857']
['83/1091', '83/1091', '83/1091', '83/1091', '915/12001', '919/12001', '923/12001', '925/12001', '929/12001', '933/12001', '85/1091', '85/1091', '85/1091']
['229/3001', '229/3001', '229/3001', '229/3001', '229/3001', '230/3001', '231/3001', '231/3001', '232/3001', '233/3001', '233/3001', '233/3001', '233/3001']
['51/667', '51/667', '51/667', '51/667', '51/667', '20/261', '154/2001', '154/2001', '16/207', '155/2001', '155/2001', '155/2001', '155/2001']
['115/1501', '115/1501', '115/1501', '115/1501', '115/1501', '115/1501', '231/3002', '231/3002', '116/1501', '116/1501', '116/1501', '116/1501', '116/1501']
['307/4003', '307/4003', '307/4003', '307/4003', '307/4003', '307/4003', '923/12009', '925/12009', '309/4003', '309/4003', '309/4003', '309/4003', '309/4003']
['461/6005', '461/6005', '461/6005', '461/6005', '461/6005', '461/6005', '461/6005', '463/6005', '463/6005', '463/6005', '463/6005', '463/6005', '463/6005']
['923/12011', '923/12011', '923/12011', '923/12011', '923/12011', '923/12011', '923/12011', '925/12011', '925/12011', '925/12011', '925/12011', '925/12011', '925/12011']
['1/13', '1/13', '1/13', '1/13', '1/13', '1/13', '1/13', '1/13', '1/13', '1/13', '1/13', '1/13', '1/13']
