['0', '31/2508', '31/1254', '31/836', '125/2508', '7/114', '63/836', '221/2508', '85/836', '289/2508', '325/2508', '181/1254', '67/418']
['7/652', '55/2608', '83/2608', '111/2608', '35/652', '167/2608', '197/2608', '113/1304', '16/163', '287/2608', '319/2608', '22/163', '387/2608']
['199/10709', '299/10709', '399/10709', '499/10709', '605/10709', '705/10709', '811/10709', '917/10709', '1025/10709', '1137/10709', '1251/10709', '1369/10709', '1493/10709']
['135/5461', '181/5461', '227/5461', '273/5461', '319/5461', '367/5461', '415/5461', '463/5461', '513/5461', '563/5461', '613/5461', '669/5461', '723/5461']
['331/11079', '415/11079', '499/11079', '583/11079', '223/3693', '755/11079', '841/11079', '311/3693', '341/3693', '371/3693', '1207/11079', '145/1231', '1405/11079']
['191/5603', '229/5603', '269/5603', '307/5603', '347/5603', '387/5603', '425/5603', '469/5603', '509/5603', '551/5603', '595/5603', '639/5603', '685/5603']
['212/5649', '247/5649', '284/5649', '320/5649', '17/269', '394/5649', '428/5649', '157/1883', '506/5649', '547/5649', '587/5649', '209/1883', '223/1883']
['231/5689', '263/5689', '297/5689', '331/5689', '365/5689', '401/5689', '431/5689', '471/5689', '505/5689', '543/5689', '579/5689', '617/5689', '655/5689']
['499/11445', '37/763', '619/11445', '227/3815', '149/2289', '271/3815', '871/11445', '943/11445', '67/763', '215/2289', '381/3815', '1213/11445', '1283/11445']
['267/5753', '291/5753', '321/5753', '349/5753', '379/5753', '411/5753', '439/5753', '471/5753', '501/5753', '533/5753', '565/5753', '597/5753', '629/5753']
['283/5779', '305/5779', '331/5779', '358/5779', '385/5779', '415/5779', '441/5779', '471/5779', '499/5779', '529/5779', '558/5779', '588/5779', '616/5779']
['299/5805', '319/5805', '341/5805', '367/5805', '391/5805', '419/5805', '443/5805', '157/1935', '497/5805', '35/387', '551/5805', '193/1935', '67/645']
['315/5828', '83/1457', '88/1457', '375/5828', '397/5828', '211/2914', '223/2914', '5/62', '495/5828', '130/1457', '136/1457', '569/5828', '591/5828']
['331/5851', '345/5851', '363/5851', '383/5851', '403/5851', '425/5851', '449/5851', '469/5851', '493/5851', '515/5851', '537/5851', '559/5851', '579/5851']
['53/903', '713/11739', '745/11739', '781/11739', '19/273', '857/11739', '901/11739', '937/11739', '327/3913', '1021/11739', '1061/11739', '367/3913', '1135/11739']
['179/2944', '1/16', '191/2944', '199/2944', '9/128', '27/368', '113/1472', '117/1472', '61/736', '11/128', '131/1472', '271/2944', '139/1472']
['741/11807', '757/11807', '781/11807', '809/11807', '839/11807', '869/11807', '907/11807', '935/11807', '971/11807', '1003/11807', '1037/11807', '1067/11807', '1091/11807']
['383/5919', '389/5919', '133/1973', '137/1973', '425/5919', '437/5919', '455/5919', '467/5919', '161/1973', '497/5919', '171/1973', '175/1973', '535/5919']
['131/1977', '398/5931', '406/5931', '139/1977', '143/1977', '440/5931', '455/5931', '467/5931', '481/5931', '494/5931', '169/1977', '518/5931', '526/5931']
['403/5943', '407/5943', '59/849', '141/1981', '433/5943', '443/5943', '65/849', '467/5943', '479/5943', '491/5943', '167/1981', '73/849', '517/5943']
['823/11905', '829/11905', '839/11905', '171/2381', '873/11905', '891/11905', '911/11905', '933/11905', '191/2381', '195/2381', '993/11905', '1009/11905', '1019/11905']
