['0', '1085016/512953625', '2170256/512953625', '3255922/512953625', '4342238/512953625', '5429433/512953625', '6517712/512953625', '7607306/512953625', '8698451/512953625', '9791361/512953625', '10886281/512953625', '11983449/512953625', '13083127/512953625', '14185524/512953625', '15290952/512953625', '3279928/102590725', '17511881/512953625', '18627966/512953625', '19748181/512953625', '20872841/512953625', '4400457/102590725', '23136833/512953625', '24276854/512953625', '25422739/512953625', '5314974/102590725', '27733684/512953625', '1155986/20518145', '30073242/512953625', '31255003/512953625', '32445518/512953625', '6729082/102590725']
['4136805/2084991628', '4137183/1042495814', '12413425/2084991628', '4138684/521247907', '5174768/521247907', '12423591/1042495814', '7249962/521247907', '33157863/2084991628', '9330501/521247907', '20746545/1042495814', '22835979/1042495814', '49859395/2084991628', '54056371/2084991628', '58263659/2084991628', '62482233/2084991628', '66713007/2084991628', '70956967/2084991628', '75215103/2084991628', '79488461/2084991628', '83778141/2084991628', '44042627/1042495814', '23102750/521247907', '96756637/2084991628', '101123457/2084991628', '52756431/1042495814', '109926333/2084991628', '114365425/2084991628', '29707958/521247907', '61663683/1042495814', '63926987/1042495814', '66206901/1042495814']
['2633173/704660501', '11850925/2113981503', '5268095/704660501', '6586755/704660501', '23719543/2113981503', '9227597/704660501', '31650665/2113981503', '35623889/2113981503', '13201047/704660501', '14529709/704660501', '47582609/2113981503', '51584275/2113981503', '55594933/2113981503', '59615339/2113981503', '63646303/2113981503', '67688635/2113981503', '71743211/2113981503', '75810899/2113981503', '26630867/704660501', '27996433/704660501', '88101967/2113981503', '92231635/2113981503', '32126469/704660501', '33515473/704660501', '104733857/2113981503', '36314343/704660501', '113175271/2113981503', '39144005/704660501', '121714831/2113981503', '42008459/704660501', '43455147/704660501']
['22659971/4278199499', '30218645/4278199499', '37781885/4278199499', '45350905/4278199499', '52926845/4278199499', '60510875/4278199499', '68104243/4278199499', '75708141/4278199499', '83323777/4278199499', '90952457/4278199499', '98595475/4278199499', '106254049/4278199499', '113929639/4278199499', '121623559/4278199499', '129337213/4278199499', '137072105/4278199499', '20689959/611171357', '152611567/4278199499', '160419327/4278199499', '168254641/4278199499', '25159889/611171357', '26287849/611171357', '191943673/4278199499', '199907383/4278199499', '207908219/4278199499', '215948367/4278199499', '224030147/4278199499', '232156097/4278199499', '240328847/4278199499', '248551223/4278199499', '256826345/4278199499']
['3616802/540315851', '9043883/1080631702', '10855441/1080631702', '12668511/1080631702', '7241680/540315851', '16300253/1080631702', '18119459/1080631702', '9970616/540315851', '21765869/1080631702', '11796814/540315851', '12712405/540315851', '13629848/540315851', '14549297/540315851', '30941791/1080631702', '16394812/540315851', '34642399/1080631702', '36500451/1080631702', '19182066/540315851', '40233793/1080631702', '21054897/540315851', '21996267/540315851', '22941202/540315851', '23889909/540315851', '24842610/540315851', '25799533/540315851', '26760914/540315851', '55454035/1080631702', '28698106/540315851', '29674466/540315851', '61312813/1080631702', '31644258/540315851']
['17342150/2180620947', '20815469/2180620947', '24291467/2180620947', '27770605/2180620947', '31253336/2180620947', '34740134/2180620947', '38231476/2180620947', '13909277/726873649', '45229691/2180620947', '48737558/2180620947', '52251940/2180620947', '18591116/726873649', '19767441/726873649', '20946466/726873649', '22128378/726873649', '23313371/726873649', '73504910/2180620947', '77080144/2180620947', '26888817/726873649', '28088157/726873649', '87874891/2180620947', '30499473/726873649', '95135779/2180620947', '98787743/2180620947', '34151707/726873649', '106138751/2180620947', '109839521/2180620947', '37852794/726873649', '117296308/2180620947', '121054373/2180620947', '124833710/2180620947']
['1998556/219786005', '11661238/1098930025', '13331078/1098930025', '15002514/1098930025', '16675734/1098930025', '18350984/1098930025', '20028429/1098930025', '4341663/219786005', '23390858/1098930025', '25076268/1098930025', '5352954/219786005', '28456622/1098930025', '30152026/1098930025', '31851246/1098930025', '33554529/1098930025', '35262126/1098930025', '36974296/1098930025', '38691332/1098930025', '40413481/1098930025', '8428212/219786005', '43874364/1098930025', '45613698/1098930025', '47359381/1098930025', '9822357/219786005', '50871221/1098930025', '52638086/1098930025', '54412773/1098930025', '56195676/1098930025', '11597446/219786005', '59787923/1098930025', '61598202/1098930025']
['22420179/2213027606', '25630087/2213027606', '14421408/1106513803', '16029368/1106513803', '35278227/2213027606', '38501645/2213027606', '20864689/1106513803', '22480904/1106513803', '24099667/1106513803', '51442347/2213027606', '27345630/1106513803', '28973240/1106513803', '61208437/2213027606', '32238785/1106513803', '67754315/2213027606', '35519566/1106513803', '37166250/1106513803', '38817447/1106513803', '40473410/1106513803', '42134399/1106513803', '43800679/1106513803', '45472523/1106513803', '94300461/2213027606', '97668191/2213027606', '50524432/1106513803', '52221568/1106513803', '53925844/1106513803', '55637624/1106513803', '57357290/1106513803', '59085238/1106513803', '121643795/2213027606']
['12335131/1113325756', '6940507/556662878', '15428341/1113325756', '16977229/1113325756', '9263947/556662878', '10040231/556662878', '5408784/278331439', '5798015/278331439', '24751441/1113325756', '26313425/1113325756', '13939115/556662878', '29446011/1113325756', '31016981/1113325756', '32591321/1113325756', '34169249/1113325756', '35750943/1113325756', '18668323/556662878', '9731637/278331439', '40520891/1113325756', '21059947/556662878', '10930953/278331439', '45332865/1113325756', '11736838/278331439', '12141875/278331439', '25096805/556662878', '51825957/1113325756', '53464867/1113325756', '27555313/556662878', '28381803/556662878', '14606032/278331439', '30046293/556662878']
['2229373/186559886', '14866943/1119359316', '32718125/2238718632', '35705507/2238718632', '12898775/746239544', '5211358/279839829', '1862061/93279943', '15897473/746239544', '8450007/373119772', '312283/13015806', '28365319/1119359316', '59754257/2238718632', '10463983/373119772', '21939967/746239544', '68862619/2238718632', '11985407/373119772', '74969729/2238718632', '26011629/746239544', '81108313/2238718632', '10523803/279839829', '7273469/186559886', '90382411/2238718632', '11686651/279839829', '32204823/746239544', '49873367/1119359316', '102890503/2238718632', '4418596/93279943', '36404907/746239544', '14049542/279839829', '115591759/2238718632', '118801667/2238718632']
['28686091/2249643433', '31564471/2249643433', '34445615/2249643433', '37329893/2249643433', '40217463/2249643433', '43108713/2249643433', '46003827/2249643433', '48903157/2249643433', '51806939/2249643433', '54715525/2249643433', '57629135/2249643433', '60548163/2249643433', '63472839/2249643433', '66403545/2249643433', '69340553/2249643433', '72284275/2249643433', '75234905/2249643433', '78193007/2249643433', '81158751/2249643433', '84132627/2249643433', '87114959/2249643433', '90106211/2249643433', '93106695/2249643433', '96116939/2249643433', '99137315/2249643433', '102168339/2249643433', '105210441/2249643433', '108264179/2249643433', '111330001/2249643433', '114408547/2249643433', '117500313/2249643433']
