['0', '5/288', '5/144', '5/96', '7/96', '25/288', '31/288', '1/8', '7/48', '1/6', '55/288']
['7/481', '69/2405', '21/481', '139/2405', '179/2405', '213/2405', '251/2405', '291/2405', '331/2405', '373/2405', '419/2405']
['31/1241', '47/1241', '63/1241', '77/1241', '95/1241', '111/1241', '127/1241', '145/1241', '163/1241', '181/1241', '201/1241']
['83/2531', '111/2531', '141/2531', '167/2531', '197/2531', '227/2531', '257/2531', '287/2531', '321/2531', '353/2531', '387/2531']
['25/642', '31/642', '19/321', '22/321', '17/214', '29/321', '32/321', '12/107', '79/642', '43/321', '47/321']
['115/2597', '137/2597', '23/371', '185/2597', '209/2597', '237/2597', '257/2597', '285/2597', '309/2597', '337/2597', '365/2597']
['32/655', '37/655', '42/655', '48/655', '53/655', '12/131', '64/655', '71/655', '76/655', '83/655', '89/655']
['141/2639', '157/2639', '177/2639', '197/2639', '215/2639', '241/2639', '257/2639', '281/2639', '43/377', '25/203', '347/2639']
['77/1329', '83/1329', '31/443', '101/1329', '109/1329', '121/1329', '43/443', '139/1329', '149/1329', '53/443', '169/1329']
['83/1337', '88/1337', '96/1337', '104/1337', '111/1337', '121/1337', '129/1337', '138/1337', '21/191', '156/1337', '164/1337']
['89/1345', '93/1345', '99/1345', '107/1345', '113/1345', '121/1345', '129/1345', '137/1345', '29/269', '153/1345', '159/1345']
['94/1351', '97/1351', '102/1351', '109/1351', '115/1351', '121/1351', '129/1351', '136/1351', '143/1351', '150/1351', '155/1351']
['99/1357', '101/1357', '105/1357', '111/1357', '117/1357', '121/1357', '129/1357', '135/1357', '141/1357', '147/1357', '151/1357']
['103/1362', '35/454', '18/227', '113/1362', '59/681', '61/681', '43/454', '67/681', '139/1362', '24/227', '49/454']
['107/1367', '109/1367', '111/1367', '115/1367', '119/1367', '123/1367', '129/1367', '133/1367', '137/1367', '141/1367', '143/1367']
['221/2741', '223/2741', '227/2741', '233/2741', '241/2741', '247/2741', '257/2741', '263/2741', '271/2741', '277/2741', '281/2741']
['19/229', '19/229', '58/687', '59/687', '61/687', '62/687', '64/687', '65/687', '67/687', '68/687', '23/229']
['233/2753', '233/2753', '235/2753', '239/2753', '245/2753', '249/2753', '255/2753', '259/2753', '265/2753', '269/2753', '271/2753']
['17/197', '17/197', '17/197', '121/1379', '123/1379', '125/1379', '127/1379', '129/1379', '131/1379', '19/197', '19/197']
['241/2761', '241/2761', '241/2761', '243/2761', '247/2761', '1/11', '23/251', '257/2761', '261/2761', '263/2761', '263/2761']
['61/691', '61/691', '61/691', '61/691', '62/691', '63/691', '63/691', '64/691', '65/691', '65/691', '65/691']
['41/461', '41/461', '41/461', '41/461', '124/1383', '42/461', '42/461', '128/1383', '43/461', '43/461', '43/461']
['31/346', '31/346', '31/346', '31/346', '31/346', '63/692', '63/692', '16/173', '16/173', '16/173', '16/173']
['83/923', '83/923', '83/923', '83/923', '83/923', '251/2769', '253/2769', '85/923', '85/923', '85/923', '85/923']
['25/277', '25/277', '25/277', '25/277', '25/277', '25/277', '127/1385', '127/1385', '127/1385', '127/1385', '127/1385']
['251/2771', '251/2771', '251/2771', '251/2771', '251/2771', '251/2771', '253/2771', '253/2771', '253/2771', '253/2771', '253/2771']
['1/11', '1/11', '1/11', '1/11', '1/11', '1/11', '1/11', '1/11', '1/11', '1/11', '1/11']
