0, 2, ['0', '0', '1/15', '1/15', '7/30', '7/30', '2/5'], 
1, 5, ['0', '0', '1/15', '1/15', '7/30', '7/30', '2/5'], 
2, 2, ['1/21', '1/21', '4/35', '31/210', '31/210', '3/14', '59/210'], 
3, 2, ['3/70', '8/105', '23/210', '1/7', '37/210', '22/105', '17/70'], 
4, 3, ['8/105', '8/105', '8/105', '1/7', '1/7', '17/70', '17/70'], 
5, 1, ['1/10', '1/10', '7/60', '3/20', '3/20', '11/60', '1/5'], 
6, 2, ['4/35', '4/35', '4/35', '31/210', '31/210', '19/105', '19/105'], 
7, 2, ['1/7', '1/7', '1/7', '1/7', '1/7', '1/7', '1/7'], 
8, 2, ['1/7', '1/7', '1/7', '1/7', '1/7', '1/7', '1/7'], 
9, 2, ['1/7', '1/7', '1/7', '1/7', '1/7', '1/7', '1/7'], 
10, 2, ['1/7', '1/7', '1/7', '1/7', '1/7', '1/7', '1/7'], 
11, 1, ['1/7', '1/7', '1/7', '1/7', '1/7', '1/7', '1/7'], 
12, 1, ['1/7', '1/7', '1/7', '1/7', '1/7', '1/7', '1/7'], 
13, 1, ['1/7', '1/7', '1/7', '1/7', '1/7', '1/7', '1/7'], 
14, 1, ['1/7', '1/7', '1/7', '1/7', '1/7', '1/7', '1/7'], 
15, 1, ['1/7', '1/7', '1/7', '1/7', '1/7', '1/7', '1/7'], 
16, 1, ['1/7', '1/7', '1/7', '1/7', '1/7', '1/7', '1/7'], 
17, 1, ['1/7', '1/7', '1/7', '1/7', '1/7', '1/7', '1/7'], 
18, 1, ['1/7', '1/7', '1/7', '1/7', '1/7', '1/7', '1/7'], 
19, 1, ['1/7', '1/7', '1/7', '1/7', '1/7', '1/7', '1/7'], 
20, 1, ['1/7', '1/7', '1/7', '1/7', '1/7', '1/7', '1/7'], 
21, 1, ['1/7', '1/7', '1/7', '1/7', '1/7', '1/7', '1/7'], 
22, 1, ['1/7', '1/7', '1/7', '1/7', '1/7', '1/7', '1/7'], 
23, 1, ['1/7', '1/7', '1/7', '1/7', '1/7', '1/7', '1/7'], 
24, 1, ['1/7', '1/7', '1/7', '1/7', '1/7', '1/7', '1/7'], 
