0, 2, ['0', '0', '0', '1'], 
1, 1, ['1/12', '1/4', '1/4', '5/12'], 
2, 1, ['1/12', '1/4', '1/4', '5/12'], 
3, 1, ['1/12', '1/4', '1/4', '5/12'], 
4, 1, ['1/12', '1/4', '1/4', '5/12'], 
5, 1, ['1/12', '1/4', '1/4', '5/12'], 
6, 1, ['1/12', '1/4', '1/4', '5/12'], 
7, 1, ['1/12', '1/4', '1/4', '5/12'], 
8, 1, ['1/12', '1/4', '1/4', '5/12'], 
9, 1, ['1/12', '1/4', '1/4', '5/12'], 
10, 1, ['1/12', '1/4', '1/4', '5/12'], 
11, 1, ['1/12', '1/4', '1/4', '5/12'], 
12, 1, ['1/12', '1/4', '1/4', '5/12'], 
13, 1, ['1/12', '1/4', '1/4', '5/12'], 
14, 1, ['1/12', '1/4', '1/4', '5/12'], 
15, 1, ['1/12', '1/4', '1/4', '5/12'], 
16, 1, ['1/12', '1/4', '1/4', '5/12'], 
17, 1, ['1/12', '1/4', '1/4', '5/12'], 
18, 1, ['1/12', '1/4', '1/4', '5/12'], 
19, 1, ['1/12', '1/4', '1/4', '5/12'], 
20, 1, ['1/12', '1/4', '1/4', '5/12'], 
21, 1, ['1/12', '1/4', '1/4', '5/12'], 
22, 1, ['1/12', '1/4', '1/4', '5/12'], 
23, 1, ['1/12', '1/4', '1/4', '5/12'], 
24, 1, ['1/12', '1/4', '1/4', '5/12'], 
25, 1, ['1/12', '1/4', '1/4', '5/12'], 
26, 1, ['1/12', '1/4', '1/4', '5/12'], 
27, 1, ['1/12', '1/4', '1/4', '5/12'], 
28, 1, ['1/12', '1/4', '1/4', '5/12'], 
29, 1, ['1/12', '1/4', '1/4', '5/12'], 
30, 1, ['1/12', '1/4', '1/4', '5/12'], 
31, 1, ['1/12', '1/4', '1/4', '5/12'], 
32, 1, ['1/12', '1/4', '1/4', '5/12'], 
33, 1, ['1/12', '1/4', '1/4', '5/12'], 
34, 1, ['1/12', '1/4', '1/4', '5/12'], 
35, 1, ['1/12', '1/4', '1/4', '5/12'], 
36, 1, ['1/12', '1/4', '1/4', '5/12'], 
37, 1, ['1/12', '1/4', '1/4', '5/12'], 
38, 1, ['1/12', '1/4', '1/4', '5/12'], 
39, 1, ['1/12', '1/4', '1/4', '5/12'], 
40, 1, ['1/12', '1/4', '1/4', '5/12'], 
41, 1, ['1/12', '1/4', '1/4', '5/12'], 
42, 1, ['1/12', '1/4', '1/4', '5/12'], 
43, 1, ['1/12', '1/4', '1/4', '5/12'], 
44, 1, ['1/12', '1/4', '1/4', '5/12'], 
45, 1, ['1/12', '1/4', '1/4', '5/12'], 
46, 1, ['1/12', '1/4', '1/4', '5/12'], 
47, 1, ['1/12', '1/4', '1/4', '5/12'], 
48, 1, ['1/12', '1/4', '1/4', '5/12'], 
49, 1, ['1/12', '1/4', '1/4', '5/12'], 
50, 1, ['1/12', '1/4', '1/4', '5/12'], 
51, 1, ['1/12', '1/4', '1/4', '5/12'], 
52, 1, ['1/12', '1/4', '1/4', '5/12'], 
53, 1, ['1/12', '1/4', '1/4', '5/12'], 
54, 1, ['1/12', '1/4', '1/4', '5/12'], 
55, 1, ['1/12', '1/4', '1/4', '5/12'], 
56, 1, ['1/12', '1/4', '1/4', '5/12'], 
57, 1, ['1/12', '1/4', '1/4', '5/12'], 
58, 1, ['1/12', '1/4', '1/4', '5/12'], 
59, 1, ['1/12', '1/4', '1/4', '5/12'], 
60, 1, ['1/12', '1/4', '1/4', '5/12'], 
61, 1, ['1/12', '1/4', '1/4', '5/12'], 
62, 1, ['1/12', '1/4', '1/4', '5/12'], 
63, 1, ['1/12', '1/4', '1/4', '5/12'], 
64, 1, ['1/12', '1/4', '1/4', '5/12'], 
65, 1, ['1/12', '1/4', '1/4', '5/12'], 
66, 1, ['1/12', '1/4', '1/4', '5/12'], 
67, 1, ['1/12', '1/4', '1/4', '5/12'], 
68, 1, ['1/12', '1/4', '1/4', '5/12'], 
69, 1, ['1/12', '1/4', '1/4', '5/12'], 
70, 1, ['1/12', '1/4', '1/4', '5/12'], 
71, 1, ['1/12', '1/4', '1/4', '5/12'], 
72, 1, ['1/12', '1/4', '1/4', '5/12'], 
73, 1, ['1/12', '1/4', '1/4', '5/12'], 
74, 1, ['1/12', '1/4', '1/4', '5/12'], 
75, 1, ['1/12', '1/4', '1/4', '5/12'], 
76, 1, ['1/12', '1/4', '1/4', '5/12'], 
77, 1, ['1/12', '1/4', '1/4', '5/12'], 
78, 1, ['1/12', '1/4', '1/4', '5/12'], 
79, 1, ['1/12', '1/4', '1/4', '5/12'], 
80, 1, ['1/12', '1/4', '1/4', '5/12'], 
81, 1, ['1/12', '1/4', '1/4', '5/12'], 
82, 1, ['1/12', '1/4', '1/4', '5/12'], 
83, 1, ['1/12', '1/4', '1/4', '5/12'], 
84, 1, ['1/12', '1/4', '1/4', '5/12'], 
85, 1, ['1/12', '1/4', '1/4', '5/12'], 
86, 1, ['1/12', '1/4', '1/4', '5/12'], 
87, 1, ['1/12', '1/4', '1/4', '5/12'], 
88, 1, ['1/12', '1/4', '1/4', '5/12'], 
89, 1, ['1/12', '1/4', '1/4', '5/12'], 
90, 1, ['1/12', '1/4', '1/4', '5/12'], 
91, 1, ['1/12', '1/4', '1/4', '5/12'], 
92, 1, ['1/12', '1/4', '1/4', '5/12'], 
93, 1, ['1/12', '1/4', '1/4', '5/12'], 
94, 1, ['1/12', '1/4', '1/4', '5/12'], 
95, 1, ['1/12', '1/4', '1/4', '5/12'], 
96, 1, ['1/12', '1/4', '1/4', '5/12'], 
97, 1, ['1/12', '1/4', '1/4', '5/12'], 
98, 1, ['1/12', '1/4', '1/4', '5/12'], 
99, 1, ['1/12', '1/4', '1/4', '5/12'], 
