[0.0, 0.025, 0.04642857142857143, 0.07023809523809524, 0.1107142857142857, 0.1369047619047619, 0.16785714285714284, 0.2011904761904762, 0.24166666666666667]
[0.020634920634920634, 0.04206349206349206, 0.06349206349206349, 0.07777777777777778, 0.10634920634920635, 0.1325396825396825, 0.15396825396825398, 0.1873015873015873, 0.21587301587301588]
[0.03373015873015873, 0.051587301587301584, 0.073015873015873, 0.0873015873015873, 0.10873015873015873, 0.12658730158730158, 0.1503968253968254, 0.17182539682539683, 0.19682539682539685]
[0.04285714285714286, 0.05714285714285714, 0.07857142857142857, 0.09285714285714286, 0.10714285714285715, 0.12857142857142856, 0.14285714285714285, 0.16428571428571428, 0.18571428571428572]
[0.05198412698412699, 0.0626984126984127, 0.08055555555555555, 0.09484126984126985, 0.10555555555555557, 0.12698412698412698, 0.14126984126984127, 0.15912698412698412, 0.17698412698412697]
[0.06111111111111111, 0.06825396825396825, 0.08253968253968254, 0.09682539682539683, 0.10396825396825399, 0.1253968253968254, 0.13968253968253969, 0.15396825396825398, 0.16825396825396827]
[0.06706349206349208, 0.07420634920634919, 0.08492063492063492, 0.0992063492063492, 0.10634920634920633, 0.12420634920634921, 0.1349206349206349, 0.14920634920634918, 0.15992063492063494]
[0.07301587301587302, 0.08015873015873015, 0.0873015873015873, 0.10158730158730159, 0.10873015873015873, 0.12301587301587302, 0.13015873015873014, 0.14444444444444443, 0.1515873015873016]
[0.08095238095238096, 0.08452380952380953, 0.09166666666666667, 0.10238095238095238, 0.10952380952380952, 0.12023809523809523, 0.12738095238095237, 0.1380952380952381, 0.14523809523809525]
[0.08888888888888889, 0.08888888888888889, 0.09603174603174602, 0.10317460317460317, 0.11031746031746031, 0.11746031746031746, 0.1246031746031746, 0.13174603174603175, 0.1388888888888889]
[0.09365079365079365, 0.09365079365079365, 0.09722222222222221, 0.10436507936507936, 0.11150793650793651, 0.11507936507936507, 0.12222222222222223, 0.12936507936507935, 0.13293650793650794]
[0.09841269841269841, 0.09841269841269841, 0.09841269841269841, 0.10555555555555554, 0.1126984126984127, 0.1126984126984127, 0.11984126984126986, 0.12698412698412698, 0.12698412698412698]
[0.10158730158730159, 0.10158730158730159, 0.10158730158730159, 0.10515873015873015, 0.11230158730158729, 0.11230158730158729, 0.11944444444444445, 0.12301587301587301, 0.12301587301587301]
[0.10476190476190476, 0.10476190476190476, 0.10476190476190476, 0.10476190476190476, 0.1119047619047619, 0.1119047619047619, 0.11904761904761904, 0.11904761904761904, 0.11904761904761904]
[0.10634920634920635, 0.10634920634920635, 0.10634920634920635, 0.10634920634920635, 0.10992063492063492, 0.11349206349206348, 0.11706349206349206, 0.11706349206349206, 0.11706349206349206]
[0.10793650793650794, 0.10793650793650794, 0.10793650793650794, 0.10793650793650794, 0.10793650793650794, 0.11507936507936506, 0.11507936507936506, 0.11507936507936506, 0.11507936507936506]
[0.10952380952380952, 0.10952380952380952, 0.10952380952380952, 0.10952380952380952, 0.10952380952380952, 0.11309523809523808, 0.11309523809523808, 0.11309523809523808, 0.11309523809523808]
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9']
