0, 2, ['0', '1/15', '1/15', '7/30', '7/30', '2/5'], 
1, 2, ['0', '1/15', '1/15', '7/30', '7/30', '2/5'], 
2, 4, ['0', '1/15', '1/15', '7/30', '7/30', '2/5'], 
3, 2, ['1/15', '2/15', '2/15', '1/5', '1/5', '4/15'], 
4, 2, ['1/15', '2/15', '2/15', '1/5', '1/5', '4/15'], 
5, 2, ['1/15', '2/15', '2/15', '1/5', '1/5', '4/15'], 
6, 2, ['1/15', '2/15', '2/15', '1/5', '1/5', '4/15'], 
7, 2, ['1/15', '2/15', '2/15', '1/5', '1/5', '4/15'], 
8, 2, ['1/15', '2/15', '2/15', '1/5', '1/5', '4/15'], 
9, 2, ['1/15', '2/15', '2/15', '1/5', '1/5', '4/15'], 
10, 2, ['1/15', '2/15', '2/15', '1/5', '1/5', '4/15'], 
11, 2, ['1/15', '2/15', '2/15', '1/5', '1/5', '4/15'], 
12, 2, ['1/15', '2/15', '2/15', '1/5', '1/5', '4/15'], 
13, 2, ['1/15', '2/15', '2/15', '1/5', '1/5', '4/15'], 
14, 2, ['1/15', '2/15', '2/15', '1/5', '1/5', '4/15'], 
15, 2, ['1/15', '2/15', '2/15', '1/5', '1/5', '4/15'], 
16, 2, ['1/15', '2/15', '2/15', '1/5', '1/5', '4/15'], 
17, 2, ['1/15', '2/15', '2/15', '1/5', '1/5', '4/15'], 
18, 2, ['1/15', '2/15', '2/15', '1/5', '1/5', '4/15'], 
19, 2, ['1/15', '2/15', '2/15', '1/5', '1/5', '4/15'], 
20, 2, ['1/15', '2/15', '2/15', '1/5', '1/5', '4/15'], 
21, 2, ['1/15', '2/15', '2/15', '1/5', '1/5', '4/15'], 
22, 2, ['1/15', '2/15', '2/15', '1/5', '1/5', '4/15'], 
23, 2, ['1/15', '2/15', '2/15', '1/5', '1/5', '4/15'], 
24, 2, ['1/15', '2/15', '2/15', '1/5', '1/5', '4/15'], 
