[0.0, 0.0, 1.0]
[0.16666666666666666, 0.16666666666666666, 0.6666666666666666]
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
['1/3', '1/3', '1/3']
