0, 2, ['0', '1/35', '1/35', '13/210', '23/210', '9/70', '37/210', '22/105', '9/35'], 
1, 8, ['0', '0', '0', '0', '0', '0', '0', '0', '1'], 
2, 9, ['0', '0', '0', '0', '0', '0', '0', '0', '1'], 
3, 10, ['0', '0', '0', '0', '0', '0', '0', '0', '1'], 
4, 11, ['0', '0', '0', '0', '0', '0', '0', '0', '1'], 
5, 4, ['13/210', '13/210', '19/210', '19/210', '19/210', '2/15', '2/15', '71/420', '71/420'], 
6, 6, ['23/315', '23/315', '23/315', '23/315', '23/315', '10/63', '10/63', '10/63', '10/63'], 
7, 3, ['47/630', '47/630', '47/630', '121/1260', '121/1260', '83/630', '83/630', '101/630', '101/630'], 
8, 4, ['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9'], 
9, 3, ['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9'], 
10, 2, ['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9'], 
11, 2, ['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9'], 
12, 2, ['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9'], 
13, 2, ['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9'], 
14, 2, ['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9'], 
15, 2, ['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9'], 
16, 2, ['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9'], 
17, 2, ['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9'], 
18, 1, ['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9'], 
19, 1, ['1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9', '1/9'], 
