0, 1, ['0', '1/12', '1/4', '1/4', '5/12'], 
1, 2, ['1/15', '1/15', '7/30', '7/30', '2/5'], 
2, 2, ['1/15', '1/15', '7/30', '7/30', '2/5'], 
3, 2, ['1/15', '1/15', '7/30', '7/30', '2/5'], 
4, 1, ['1/6', '1/6', '1/6', '1/4', '1/4'], 
5, 1, ['1/6', '1/6', '1/6', '1/4', '1/4'], 
6, 1, ['1/5', '1/5', '1/5', '1/5', '1/5'], 
7, 1, ['1/5', '1/5', '1/5', '1/5', '1/5'], 
8, 1, ['1/5', '1/5', '1/5', '1/5', '1/5'], 
9, 1, ['1/5', '1/5', '1/5', '1/5', '1/5'], 
10, 1, ['1/5', '1/5', '1/5', '1/5', '1/5'], 
11, 1, ['1/5', '1/5', '1/5', '1/5', '1/5'], 
12, 1, ['1/5', '1/5', '1/5', '1/5', '1/5'], 
13, 1, ['1/5', '1/5', '1/5', '1/5', '1/5'], 
14, 1, ['1/5', '1/5', '1/5', '1/5', '1/5'], 
15, 1, ['1/5', '1/5', '1/5', '1/5', '1/5'], 
16, 1, ['1/5', '1/5', '1/5', '1/5', '1/5'], 
17, 1, ['1/5', '1/5', '1/5', '1/5', '1/5'], 
18, 1, ['1/5', '1/5', '1/5', '1/5', '1/5'], 
19, 1, ['1/5', '1/5', '1/5', '1/5', '1/5'], 
20, 1, ['1/5', '1/5', '1/5', '1/5', '1/5'], 
21, 1, ['1/5', '1/5', '1/5', '1/5', '1/5'], 
22, 1, ['1/5', '1/5', '1/5', '1/5', '1/5'], 
23, 1, ['1/5', '1/5', '1/5', '1/5', '1/5'], 
24, 1, ['1/5', '1/5', '1/5', '1/5', '1/5'], 
