['7/258', '13/258', '19/258', '29/258', '35/258', '1/6', '17/86', '61/258']
['3/67', '9/134', '11/134', '15/134', '9/67', '21/134', '25/134', '29/134']
['15/274', '21/274', '25/274', '31/274', '35/274', '43/274', '49/274', '55/274']
['17/278', '23/278', '27/278', '33/278', '35/278', '43/278', '47/278', '53/278']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
['9/140', '3/35', '1/10', '17/140', '9/70', '3/20', '23/140', '13/70']
