['89350[0, 722, 1442, 2166, 2894, 3626, 4350, 5110, 5854, 6618, 7390, 8182, 8986, 9810, 10658, 11542]']
['92182[657, 1315, 1975, 2637, 3303, 3977, 4641, 5329, 6015, 6711, 7421, 8137, 8871, 9621, 10389, 11183]']
['94350[1207, 1811, 2417, 3027, 3637, 4259, 4875, 5503, 6135, 6777, 7425, 8083, 8755, 9439, 10139, 10861]']
['96036[1669, 2229, 2789, 3353, 3917, 4489, 5063, 5643, 6227, 6819, 7417, 8025, 8641, 9271, 9913, 10571]']
['97370[2064, 2584, 3104, 3628, 4154, 4684, 5216, 5754, 6298, 6846, 7404, 7964, 8534, 9116, 9708, 10312]']
['98440[2404, 2888, 3374, 3864, 4354, 4848, 5346, 5848, 6350, 6866, 7382, 7902, 8436, 8974, 9522, 10082]']
['99308[2698, 3152, 3606, 4066, 4526, 4988, 5454, 5928, 6390, 6880, 7356, 7846, 8344, 8846, 9354, 9874]']
['100022[2955, 3383, 3809, 4241, 4673, 5109, 5547, 5995, 6423, 6885, 7333, 7795, 8257, 8727, 9203, 9687]']
['100616[3181, 3587, 3987, 4395, 4803, 5213, 5625, 6051, 6453, 6889, 7309, 7743, 8177, 8619, 9065, 9519]']
['101108[3377, 3765, 4145, 4529, 4917, 5303, 5691, 6097, 6477, 6889, 7287, 7695, 8105, 8521, 8941, 9369]']
['101518[3546, 3920, 4284, 4648, 5016, 5384, 5750, 6136, 6498, 6886, 7264, 7650, 8038, 8432, 8830, 9236]']
['101854[3690, 4052, 4402, 4752, 5102, 5454, 5802, 6168, 6516, 6882, 7242, 7608, 7978, 8354, 8732, 9120]']
['102126[3810, 4164, 4502, 4840, 5176, 5514, 5846, 6194, 6530, 6878, 7222, 7572, 7926, 8286, 8646, 9020]']
['102342[3908, 4256, 4586, 4912, 5238, 5564, 5884, 6216, 6540, 6874, 7204, 7542, 7882, 8226, 8574, 8936]']
['102510[3986, 4330, 4654, 4972, 5288, 5604, 5916, 6236, 6546, 6870, 7190, 7516, 7844, 8176, 8514, 8868]']
['102640[4047, 4389, 4709, 5021, 5329, 5637, 5941, 6253, 6551, 6867, 7179, 7493, 7811, 8135, 8465, 8813]']
['102738[4094, 4434, 4752, 5060, 5362, 5664, 5960, 6266, 6556, 6866, 7168, 7474, 7784, 8102, 8426, 8770]']
['102810[4130, 4468, 4784, 5090, 5388, 5684, 5976, 6276, 6560, 6864, 7158, 7458, 7764, 8076, 8396, 8738]']
['102862[4156, 4494, 4808, 5112, 5408, 5700, 5988, 6284, 6562, 6862, 7150, 7446, 7748, 8056, 8374, 8714]']
['102898[4174, 4512, 4826, 5128, 5422, 5712, 5996, 6290, 6564, 6860, 7144, 7438, 7736, 8042, 8358, 8696]']
['102922[4186, 4524, 4838, 5140, 5432, 5720, 6002, 6294, 6566, 6858, 7140, 7432, 7728, 8032, 8346, 8684]']
['102938[4194, 4532, 4846, 5148, 5440, 5726, 6006, 6296, 6568, 6856, 7138, 7428, 7722, 8024, 8338, 8676]']
['102948[4199, 4537, 4851, 5153, 5445, 5731, 6009, 6297, 6569, 6855, 7137, 7425, 7717, 8019, 8333, 8671]']
['102954[4202, 4540, 4854, 5156, 5448, 5734, 6012, 6298, 6568, 6856, 7136, 7422, 7714, 8016, 8330, 8668]']
['102958[4204, 4542, 4856, 5158, 5450, 5736, 6014, 6300, 6568, 6856, 7134, 7420, 7712, 8014, 8328, 8666]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
['102960[4205, 4543, 4857, 5159, 5451, 5737, 6015, 6301, 6569, 6855, 7133, 7419, 7711, 8013, 8327, 8665]']
