['10[0, 2, 2, 6]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
['12[1, 3, 3, 5]']
