['13309/3443610', '337/43590', '13317/1147870', '53299/3443610', '66671/3443610', '26693/1147870', '93527/3443610', '107023/3443610', '120563/3443610', '26837/688722', '147863/3443610', '161629/3443610', '175483/3443610', '12629/229574', '67833/1147870', '43537/688722', '232007/3443610', '246479/3443610', '261121/3443610', '55189/688722', '290981/3443610', '306253/3443610']
['12482/1753479', '892/83499', '8329/584493', '10418/584493', '5362/250497', '43832/1753479', '50147/1753479', '56489/1753479', '62851/1753479', '7694/194831', '8408/194831', '82136/1753479', '88637/1753479', '1046/19269', '101783/1753479', '8341/134883', '115144/1753479', '121921/1753479', '128768/1753479', '135698/1753479', '142715/1753479', '16648/194831']
['17614/1779721', '23496/1779721', '29388/1779721', '35291/1779721', '615/26563', '47139/1779721', '53088/1779721', '59062/1779721', '65058/1779721', '71081/1779721', '77132/1779721', '83220/1779721', '89341/1779721', '95502/1779721', '101710/1779721', '107963/1779721', '114268/1779721', '120634/1779721', '127059/1779721', '133555/1779721', '140129/1779721', '146786/1779721']
['8863/720664', '11085/720664', '66547/3603320', '77701/3603320', '88871/3603320', '20017/720664', '15903/514760', '122607/3603320', '133933/3603320', '145311/3603320', '156739/3603320', '33647/720664', '179789/3603320', '191419/3603320', '203123/3603320', '214919/3603320', '226799/3603320', '34113/514760', '50177/720664', '263103/3603320', '16203/211960', '287951/3603320']
['13099/910068', '31457/1820136', '9181/455034', '21001/910068', '47293/1820136', '8767/303356', '4827/151678', '21089/606712', '68629/1820136', '74015/1820136', '26475/606712', '3536/75839', '22583/455034', '3993/75839', '12671/227517', '26735/455034', '18759/303356', '14777/227517', '61961/910068', '10807/151678', '135503/1820136', '141385/1820136']
['29813/1835833', '34805/1835833', '39803/1835833', '44815/1835833', '49835/1835833', '54876/1835833', '59927/1835833', '64998/1835833', '70088/1835833', '75200/1835833', '80332/1835833', '85494/1835833', '90677/1835833', '95893/1835833', '101140/1835833', '106420/1835833', '111736/1835833', '117098/1835833', '122497/1835833', '127945/1835833', '133443/1835833', '138998/1835833']
['66119/3698490', '75613/3698490', '85123/3698490', '94661/3698490', '20843/739698', '113803/3698490', '41139/1232830', '8871/246566', '142747/3698490', '152471/3698490', '54077/1232830', '172051/3698490', '181901/3698490', '63939/1232830', '67261/1232830', '211817/3698490', '44383/739698', '46417/739698', '242329/3698490', '252659/3698490', '52615/739698', '273593/3698490']
['71979/3721598', '81035/3721598', '90097/3721598', '99191/3721598', '108297/3721598', '117441/3721598', '126601/3721598', '135803/3721598', '145029/3721598', '154297/3721598', '163593/3721598', '172961/3721598', '182329/3721598', '191781/3721598', '201267/3721598', '210821/3721598', '220425/3721598', '230099/3721598', '239833/3721598', '249653/3721598', '259541/3721598', '269525/3721598']
['77287/3741596', '85933/3741596', '94595/3741596', '103279/3741596', '111979/3741596', '120713/3741596', '129465/3741596', '138249/3741596', '147065/3741596', '155913/3741596', '164783/3741596', '173735/3741596', '182673/3741596', '191693/3741596', '200745/3741596', '209853/3741596', '219009/3741596', '228231/3741596', '237507/3741596', '246853/3741596', '256271/3741596', '265765/3741596']
['41060/1879521', '6457/268503', '49340/1879521', '53498/1879521', '8237/268503', '20613/626507', '66025/1879521', '70229/1879521', '74443/1879521', '78679/1879521', '82916/1879521', '29067/626507', '91471/1879521', '95785/1879521', '100108/1879521', '14923/268503', '108832/1879521', '113237/1879521', '5603/89501', '40708/626507', '42204/626507', '131140/1879521']
['86527/3774304', '94463/3774304', '102405/3774304', '110373/3774304', '118353/3774304', '126365/3774304', '134391/3774304', '142449/3774304', '150529/3774304', '158647/3774304', '166763/3774304', '174973/3774304', '183155/3774304', '2423/47776', '199695/3774304', '208027/3774304', '216397/3774304', '224823/3774304', '233289/3774304', '3061/47776', '250399/3774304', '259045/3774304']
