['1603032[0, 8220, 16448, 24688, 32944, 41228, 49540, 57904, 66272, 74744, 83248, 91836, 100496, 109244, 118108, 127080, 136184, 145448, 154880, 164520]']
['1643504[7636, 15276, 22924, 30590, 38274, 45984, 53722, 61510, 69314, 77188, 85108, 93094, 101148, 109286, 117510, 125836, 134274, 142840, 151554, 160436]']
['1676126[14239, 21367, 28507, 35667, 42843, 50045, 57271, 64545, 71843, 79195, 86591, 94043, 101563, 109147, 116809, 124563, 132409, 140365, 148447, 156667]']
['1702706[19985, 26661, 33353, 40061, 46785, 53539, 60311, 67125, 73969, 80855, 87783, 94767, 101801, 108897, 116065, 123303, 130625, 138047, 145567, 153207]']
['1724582[25020, 31294, 37582, 43888, 50212, 56564, 62932, 69336, 75772, 82244, 88756, 95314, 101918, 108578, 115300, 122086, 128944, 135886, 142914, 150042]']
['1742756[29456, 35372, 41300, 47248, 53208, 59198, 65208, 71246, 77312, 83414, 89550, 95726, 101952, 108222, 114546, 120926, 127366, 133882, 140474, 147150]']
['1757998[33387, 38981, 44589, 50215, 55851, 61515, 67197, 72905, 78643, 84411, 90205, 96049, 101921, 107843, 113805, 119821, 125893, 132031, 138231, 144505]']
['1770882[36893, 42195, 47511, 52847, 58193, 63561, 68949, 74361, 79797, 85267, 90745, 96293, 101849, 107451, 113091, 118785, 124523, 130317, 136169, 142085]']
['1781860[40034, 45074, 50124, 55196, 60278, 65378, 70500, 75642, 80808, 86012, 91198, 96476, 101744, 107060, 112412, 117810, 123248, 128732, 134270, 139864]']
['1791282[42861, 47663, 52475, 57303, 62145, 67005, 71881, 76777, 81695, 86657, 91585, 96613, 101617, 106679, 111769, 116893, 122057, 127267, 132519, 137821]']
['1799418[45418, 50004, 54594, 59204, 63824, 68464, 73118, 77790, 82476, 87218, 91916, 96710, 101482, 106308, 111154, 116036, 120950, 125908, 130902, 135942]']
['1806488[47735, 52127, 56517, 60927, 65343, 69779, 74231, 78699, 83173, 87711, 92201, 96777, 101339, 105945, 110571, 115233, 119919, 124645, 129407, 134209]']
['1812648[49833, 54053, 58263, 62489, 66721, 70971, 75233, 79515, 83799, 88143, 92447, 96823, 101191, 105597, 110023, 114479, 118959, 123477, 128023, 132609]']
['1818026[51732, 55800, 59848, 63906, 67972, 72050, 76142, 80252, 84360, 88524, 92660, 96852, 101040, 105266, 109506, 113774, 118066, 122392, 126746, 131138]']
['1822716[53443, 57379, 61283, 65191, 69105, 73027, 76963, 80917, 84865, 88863, 92843, 96865, 100893, 104951, 109019, 113117, 117239, 121391, 125571, 129791]']
['1826794[54977, 58797, 62577, 66351, 70127, 73911, 77703, 81513, 85319, 89163, 93001, 96871, 100749, 104649, 108567, 112511, 116477, 120473, 124495, 128563]']
['1830320[56342, 60064, 63734, 67392, 71044, 74704, 78366, 82046, 85722, 89430, 93134, 96868, 100610, 104370, 108150, 111956, 115780, 119636, 123518, 127454]']
['1833354[57547, 61187, 64763, 68319, 71863, 75411, 78959, 82521, 86081, 89667, 93247, 96859, 100477, 104113, 107769, 111449, 115147, 118877, 122639, 126459]']
['1835944[58600, 62172, 65670, 69138, 72588, 76038, 79484, 82942, 86398, 89876, 93342, 96848, 100352, 103878, 107424, 110990, 114576, 118198, 121854, 125576]']
['1838140[59514, 63030, 66462, 69856, 73226, 76588, 79946, 83312, 86674, 90058, 93424, 96834, 100238, 103666, 107112, 110578, 114068, 117594, 121160, 124800]']
['1839986[60299, 63771, 67147, 70479, 73781, 77069, 80349, 83633, 86913, 90215, 93493, 96819, 100135, 103477, 106833, 110213, 113619, 117063, 120553, 124125]']
['1841524[60966, 64402, 67736, 71014, 74258, 77486, 80698, 83910, 87120, 90350, 93550, 96804, 100042, 103308, 106588, 109892, 113226, 116602, 120028, 123544]']
['1842796[61528, 64936, 68236, 71472, 74666, 77842, 80998, 84150, 87296, 90466, 93598, 96788, 99958, 103158, 106372, 109614, 112886, 116204, 119578, 123050]']
['1843838[61997, 65383, 68655, 71859, 75013, 78143, 81253, 84355, 87445, 90563, 93639, 96771, 99885, 103027, 106185, 109375, 112595, 115865, 119197, 122633]']
['1844682[62383, 65753, 69003, 72181, 75303, 78397, 81467, 84527, 87571, 90643, 93673, 96755, 99821, 102915, 106027, 109171, 112349, 115581, 118877, 122285]']
['1845360[62698, 66056, 69290, 72446, 75544, 78608, 81646, 84670, 87676, 90708, 93702, 96740, 99766, 102820, 105894, 109000, 112144, 115342, 118612, 121998]']
['1845898[62951, 66301, 69523, 72663, 75741, 78781, 81793, 84789, 87763, 90761, 93725, 96727, 99719, 102741, 105783, 108859, 111973, 115145, 118395, 121765]']
['1846320[63152, 66496, 69710, 72838, 75900, 78922, 81912, 84886, 87836, 90804, 93742, 96716, 99680, 102676, 105692, 108742, 111832, 114986, 118220, 121578]']
['1846648[63310, 66650, 69858, 72978, 76028, 79036, 82008, 84964, 87894, 90840, 93754, 96706, 99650, 102624, 105616, 108646, 111718, 114858, 118080, 121430]']
['1846900[63432, 66770, 69974, 73088, 76130, 79126, 82086, 85026, 87940, 90870, 93764, 96698, 99626, 102580, 105554, 108568, 111628, 114756, 117970, 121314]']
['1847090[63525, 66861, 70063, 73173, 76209, 79197, 82147, 85075, 87977, 90893, 93773, 96693, 99605, 102543, 105505, 108507, 111557, 114677, 117885, 121225]']
['1847232[63596, 66930, 70130, 73238, 76270, 79252, 82194, 85114, 88006, 90910, 93780, 96688, 99588, 102514, 105466, 108460, 111502, 114616, 117820, 121158]']
['1847336[63648, 66982, 70180, 73286, 76316, 79294, 82230, 85144, 88028, 90924, 93784, 96684, 99574, 102492, 105436, 108424, 111460, 114570, 117772, 121108]']
['1847410[63685, 67019, 70217, 73321, 76349, 79325, 82257, 85165, 88045, 90935, 93787, 96681, 99563, 102475, 105415, 108397, 111429, 114537, 117737, 121071]']
['1847462[63711, 67045, 70243, 73347, 76373, 79347, 82277, 85181, 88057, 90943, 93789, 96679, 99555, 102463, 105399, 108377, 111407, 114513, 117711, 121045]']
['1847498[63729, 67063, 70261, 73365, 76391, 79363, 82291, 85193, 88065, 90949, 93791, 96677, 99549, 102455, 105387, 108363, 111391, 114495, 117693, 121027]']
['1847522[63741, 67075, 70273, 73377, 76403, 79375, 82301, 85201, 88071, 90953, 93793, 96675, 99545, 102449, 105379, 108353, 111379, 114483, 117681, 121015]']
['1847538[63749, 67083, 70281, 73385, 76411, 79383, 82309, 85207, 88075, 90955, 93795, 96673, 99543, 102445, 105373, 108345, 111371, 114475, 117673, 121007]']
['1847548[63754, 67088, 70286, 73390, 76416, 79388, 82314, 85212, 88078, 90956, 93796, 96672, 99542, 102442, 105368, 108340, 111366, 114470, 117668, 121002]']
