['28149180[0, 99820, 199676, 299624, 399704, 499948, 600416, 701148, 802180, 903624, 1005392, 1107692, 1210488, 1313876, 1417896, 1522636, 1628160, 1734548, 1841896, 1950288, 2059832, 2170664, 2282916, 2396756]']
['28740242[93846, 187722, 281674, 375734, 469934, 564318, 658922, 753780, 848924, 944454, 1040314, 1136632, 1233418, 1330728, 1428624, 1527154, 1626386, 1726380, 1827216, 1928966, 2031726, 2135594, 2240676, 2347120]']
['29233472[176929, 265471, 354101, 442849, 531753, 620839, 710137, 799693, 889511, 979673, 1070175, 1161081, 1252413, 1344229, 1436567, 1529475, 1623009, 1717223, 1812173, 1907935, 2004575, 2102175, 2200833, 2300653]']
['29648162[250816, 334542, 418364, 502320, 586428, 670712, 755212, 839956, 924946, 1010254, 1095882, 1181874, 1268264, 1355092, 1442390, 1530200, 1618572, 1707546, 1797180, 1887528, 1978640, 2070604, 2163482, 2257358]']
['29999346[316814, 396178, 475652, 555260, 635014, 714952, 795086, 875452, 956064, 1036956, 1118152, 1199686, 1281582, 1363870, 1446586, 1529772, 1613452, 1697682, 1782492, 1867930, 1954060, 2040928, 2128592, 2217134]']
['30298814[376021, 451429, 526949, 602599, 678401, 754375, 830539, 906923, 983539, 1060411, 1137569, 1215033, 1292831, 1370993, 1449543, 1528509, 1607927, 1687837, 1768269, 1849261, 1930865, 2013115, 2096075, 2179801]']
['30555866[429363, 501167, 573079, 645125, 717321, 789673, 862213, 934961, 1007923, 1081129, 1154597, 1228347, 1302403, 1376791, 1451531, 1526655, 1602187, 1678163, 1754607, 1831547, 1909033, 1987101, 2065793, 2145157]']
['30777868[477613, 546119, 614739, 683487, 752375, 821425, 890645, 960057, 1029677, 1099523, 1169607, 1239961, 1310587, 1381527, 1452785, 1524387, 1596371, 1668747, 1741543, 1814789, 1888525, 1962785, 2037593, 2113001]']
['30970724[521423, 586913, 652511, 718231, 784089, 850101, 916271, 982627, 1049177, 1115935, 1182919, 1250153, 1317613, 1385411, 1453459, 1521841, 1590565, 1659637, 1729095, 1798971, 1869279, 1940053, 2011323, 2083127]']
['31139186[561356, 624066, 686882, 749824, 812892, 876102, 939472, 1003012, 1066732, 1130648, 1194778, 1259146, 1323688, 1388594, 1453682, 1519112, 1584828, 1650872, 1717276, 1784048, 1851212, 1918798, 1986830, 2055336]']
['31287086[597874, 658022, 718274, 778650, 839140, 899774, 960554, 1021492, 1082604, 1143898, 1205384, 1267122, 1328966, 1391196, 1453570, 1516262, 1579212, 1642478, 1706060, 1769976, 1834252, 1898908, 1963964, 2029454]']
['31417562[631378, 689162, 747042, 805036, 863150, 921396, 979780, 1038314, 1097010, 1155876, 1214916, 1274218, 1333578, 1393326, 1453188, 1513352, 1573756, 1634448, 1695422, 1756708, 1818320, 1880276, 1942600, 2005310]']
['31533188[662213, 717807, 773483, 829277, 885183, 941209, 997375, 1053679, 1110133, 1166751, 1223517, 1280553, 1337625, 1395063, 1452601, 1510427, 1568471, 1626775, 1685343, 1744193, 1803343, 1862809, 1922605, 1982753]']
['31636088[690667, 744227, 797863, 851609, 905463, 959429, 1013529, 1067759, 1122133, 1176661, 1231311, 1286239, 1341193, 1396471, 1451863, 1507513, 1563359, 1619451, 1675789, 1732381, 1789251, 1846409, 1903867, 1961651]']
['31728000[716977, 768661, 820397, 872235, 924179, 976231, 1028401, 1080703, 1133137, 1185717, 1238405, 1291357, 1344343, 1397615, 1451005, 1504627, 1558433, 1612471, 1666731, 1721229, 1775979, 1830995, 1886289, 1941883]']
['31810348[741343, 791291, 841265, 891329, 941489, 991753, 1042131, 1092629, 1143251, 1194019, 1244881, 1295979, 1347135, 1398537, 1450059, 1501789, 1553699, 1605821, 1658149, 1710695, 1763473, 1816501, 1869785, 1923345]']
['31884296[763921, 812269, 860611, 909027, 957525, 1006125, 1054825, 1103639, 1152571, 1201647, 1250801, 1300173, 1349615, 1399269, 1449049, 1499017, 1549159, 1599493, 1650013, 1700743, 1751689, 1802869, 1854281, 1905965]']
['31950796[784835, 831717, 878553, 925437, 972395, 1019439, 1066577, 1113821, 1161173, 1208659, 1256227, 1303985, 1351825, 1399847, 1447997, 1496321, 1544811, 1593471, 1642309, 1691349, 1740591, 1790047, 1839731, 1889679]']
['32010624[804189, 849731, 895179, 940651, 986177, 1031773, 1077459, 1123239, 1169113, 1215119, 1261201, 1307449, 1353793, 1400295, 1446923, 1493713, 1540653, 1587755, 1635031, 1682495, 1730147, 1778009, 1826091, 1874439]']
['32064424[822062, 866384, 910566, 954736, 998936, 1043192, 1087528, 1131942, 1176444, 1221066, 1265764, 1310608, 1355546, 1400632, 1445840, 1491196, 1536690, 1582346, 1628170, 1674162, 1720344, 1766728, 1813330, 1860212]']
['32112736[838519, 881743, 924769, 967745, 1010729, 1053747, 1096825, 1139977, 1183203, 1226535, 1269945, 1313485, 1357107, 1400879, 1444761, 1488779, 1532935, 1577245, 1621713, 1666347, 1711167, 1756185, 1801427, 1846969]']
['32156032[853625, 895859, 937841, 979729, 1021597, 1063475, 1105397, 1147379, 1189421, 1231559, 1273771, 1316099, 1358501, 1401049, 1443697, 1486475, 1529389, 1572447, 1615663, 1659041, 1702601, 1746365, 1790365, 1834687]']
['32194726[867434, 908786, 949828, 990732, 1031578, 1072416, 1113274, 1154178, 1195130, 1236164, 1277262, 1318472, 1359738, 1401158, 1442658, 1484292, 1526052, 1567958, 1610014, 1652234, 1694638, 1737258, 1780124, 1823348]']
['32229196[880003, 920575, 960777, 1000791, 1040715, 1080603, 1120487, 1160403, 1200353, 1240367, 1280443, 1320621, 1360833, 1401215, 1441657, 1482231, 1522931, 1563773, 1604763, 1645923, 1687271, 1728845, 1770691, 1812925]']
['32259794[891393, 931277, 970731, 1009953, 1049043, 1088069, 1127069, 1166081, 1205113, 1244195, 1283327, 1322561, 1361807, 1401231, 1440695, 1480299, 1520025, 1559891, 1599907, 1640097, 1680485, 1721115, 1762039, 1803391]']
['32286842[901663, 940943, 979739, 1018255, 1056599, 1094847, 1133049, 1171237, 1209435, 1247665, 1285933, 1324305, 1362667, 1401209, 1439785, 1478501, 1517335, 1556309, 1595439, 1634745, 1674269, 1714047, 1754147, 1794719]']
['32310656[910874, 949634, 987852, 1025742, 1063424, 1100976, 1138456, 1175904, 1213342, 1250800, 1288282, 1325868, 1363422, 1401164, 1438928, 1476834, 1514856, 1553020, 1591344, 1629858, 1668600, 1707616, 1746988, 1786872]']
['32331532[919096, 957406, 995122, 1032462, 1069558, 1106490, 1143326, 1180106, 1216860, 1253622, 1290390, 1327260, 1364088, 1401098, 1438126, 1475298, 1512584, 1550014, 1587616, 1625416, 1663458, 1701800, 1740528, 1779808]']
['32349748[926396, 964320, 1001602, 1038464, 1075042, 1111428, 1147688, 1183872, 1220014, 1256150, 1292272, 1328496, 1364672, 1401016, 1437382, 1473892, 1510512, 1547286, 1584238, 1621400, 1658822, 1696568, 1734728, 1773488]']
['32365568[932842, 970438, 1007348, 1043794, 1079922, 1115826, 1151576, 1187232, 1222828, 1258400, 1293948, 1329588, 1365180, 1400926, 1436698, 1472610, 1508636, 1544822, 1581194, 1617792, 1654666, 1691884, 1729554, 1767864]']
['32379242[938503, 975823, 1012415, 1048505, 1084239, 1119723, 1155027, 1190215, 1225323, 1260397, 1295433, 1330549, 1365621, 1400831, 1436071, 1471451, 1506945, 1542609, 1578469, 1614567, 1650957, 1687719, 1724963, 1762887]']
['32391002[943447, 980535, 1016859, 1052645, 1088039, 1123157, 1158073, 1192847, 1227527, 1262161, 1296743, 1331391, 1366001, 1400733, 1435503, 1470407, 1505431, 1540635, 1576043, 1611699, 1647669, 1684035, 1720913, 1758509]']
['32401064[947738, 984636, 1020734, 1056262, 1091368, 1126168, 1160744, 1195160, 1229464, 1263710, 1297892, 1332128, 1366324, 1400638, 1434990, 1469472, 1504086, 1538884, 1573892, 1609166, 1644770, 1680794, 1717362, 1754682]']
['32409630[951443, 988183, 1024095, 1059405, 1094267, 1128793, 1163077, 1197181, 1231157, 1265063, 1298895, 1332769, 1366601, 1400545, 1434529, 1468643, 1502897, 1537337, 1571999, 1606939, 1642229, 1677961, 1714267, 1751355]']
['32416882[954621, 991233, 1026991, 1062121, 1096775, 1131071, 1165103, 1198937, 1232629, 1266239, 1299765, 1333325, 1366837, 1400457, 1434119, 1467913, 1501849, 1535979, 1570341, 1604993, 1640015, 1675501, 1711585, 1748483]']
['32422988[957330, 993840, 1029472, 1064452, 1098934, 1133036, 1166852, 1200456, 1233902, 1267254, 1300518, 1333802, 1367036, 1400376, 1433758, 1467272, 1500934, 1534794, 1568896, 1603304, 1638098, 1673376, 1709278, 1746018]']
['32428100[959626, 996054, 1031584, 1066442, 1100780, 1134720, 1168354, 1201762, 1234996, 1268128, 1301164, 1334210, 1367204, 1400302, 1433440, 1466714, 1500138, 1533766, 1567646, 1601848, 1636448, 1671554, 1707304, 1743916]']
['32432354[961559, 997921, 1033371, 1068129, 1102349, 1136153, 1169637, 1202877, 1235933, 1268875, 1301715, 1334559, 1367345, 1400235, 1433163, 1466229, 1499449, 1532879, 1566573, 1600599, 1635039, 1670001, 1705627, 1742137]']
['32435872[963174, 999486, 1034872, 1069550, 1103674, 1137366, 1170724, 1203826, 1236730, 1269510, 1302184, 1334856, 1367460, 1400176, 1432922, 1465810, 1498856, 1532120, 1565656, 1599536, 1633842, 1668686, 1704214, 1740642]']
['32438764[964516, 1000788, 1036124, 1070740, 1104786, 1138386, 1171640, 1204626, 1237404, 1270048, 1302580, 1335106, 1367556, 1400122, 1432714, 1465452, 1498350, 1531474, 1564880, 1598636, 1632832, 1667582, 1703030, 1739392]']
['32441124[965622, 1001864, 1037160, 1071728, 1105712, 1139238, 1172406, 1205296, 1237970, 1270500, 1302910, 1335316, 1367636, 1400074, 1432536, 1465148, 1497922, 1530930, 1564226, 1597880, 1631988, 1666662, 1702044, 1738356]']
