['111/19523', '1112/97615', '1668/97615', '318/13945', '2787/97615', '670/19523', '559/13945', '4486/97615', '5058/97615', '5637/97615', '6222/97615', '6812/97615', '1482/19523', '8018/97615', '8634/97615', '9262/97615', '9904/97615', '10561/97615']
['7933/218280', '1693/43656', '8969/218280', '9463/218280', '9949/218280', '10433/218280', '3637/72760', '11393/218280', '791/14552', '4119/72760', '4277/72760', '13319/218280', '2761/43656', '4767/72760', '4933/72760', '3061/43656', '15821/218280', '16361/218280']
['727/19856', '8527/218416', '531/12848', '9517/218416', '9995/218416', '10473/218416', '10943/218416', '11417/218416', '11879/218416', '12363/218416', '12827/218416', '13307/218416', '13785/218416', '14271/218416', '14759/218416', '15259/218416', '15767/218416', '959/12848']
['4023/109259', '4287/109259', '4536/109259', '4779/109259', '5016/109259', '5252/109259', '5484/109259', '5718/109259', '5946/109259', '6183/109259', '6412/109259', '6649/109259', '6884/109259', '419/6427', '7364/109259', '7611/109259', '7863/109259', '8129/109259']
['4042/109299', '4306/109299', '1518/36433', '4796/109299', '1677/36433', '1755/36433', '5494/109299', '5726/109299', '5951/109299', '6185/109299', '2137/36433', '2215/36433', '2292/36433', '2371/36433', '7351/109299', '2532/36433', '7846/109299', '8111/109299']
['8113/218656', '8639/218656', '9135/218656', '9617/218656', '10085/218656', '10549/218656', '11005/218656', '11463/218656', '11909/218656', '12373/218656', '12821/218656', '13283/218656', '13741/218656', '14209/218656', '14683/218656', '15169/218656', '15667/218656', '16195/218656']
['1627/43740', '2887/72900', '1831/43740', '9637/218700', '10103/218700', '2113/43740', '11017/218700', '11473/218700', '2383/43740', '55/972', '4273/72900', '13277/218700', '4577/72900', '14197/218700', '4889/72900', '15151/218700', '15647/218700', '647/8748']
['815/21873', '1446/36455', '917/21873', '965/21873', '1686/36455', '5288/109365', '5513/109365', '1148/21873', '1192/21873', '6188/109365', '6409/109365', '2212/36455', '6862/109365', '7094/109365', '7328/109365', '2523/36455', '7817/109365', '1616/21873']
['8161/218752', '8687/218752', '9181/218752', '9661/218752', '10125/218752', '10585/218752', '11033/218752', '11485/218752', '11923/218752', '12377/218752', '12817/218752', '13269/218752', '13719/218752', '14181/218752', '14647/218752', '15129/218752', '15623/218752', '16149/218752']
['4084/109383', '1449/36461', '4594/109383', '4834/109383', '5066/109383', '1765/36461', '5519/109383', '5744/109383', '5963/109383', '2063/36461', '2136/36461', '2211/36461', '2286/36461', '7088/109383', '7321/109383', '7561/109383', '7808/109383', '8071/109383']
['8173/218776', '8699/218776', '317/7544', '9673/218776', '10137/218776', '10595/218776', '11041/218776', '11491/218776', '11927/218776', '12379/218776', '12815/218776', '13265/218776', '13713/218776', '14173/218776', '357/5336', '15117/218776', '15611/218776', '16137/218776']
['4088/109391', '4351/109391', '4598/109391', '4838/109391', '5070/109391', '5299/109391', '5522/109391', '5746/109391', '5964/109391', '6190/109391', '6407/109391', '6632/109391', '6856/109391', '7085/109391', '7317/109391', '7557/109391', '7804/109391', '8067/109391']
['4089/109393', '4352/109393', '4599/109393', '4839/109393', '5071/109393', '5300/109393', '5523/109393', '5747/109393', '5964/109393', '6190/109393', '6407/109393', '6632/109393', '6855/109393', '7084/109393', '7316/109393', '7556/109393', '7803/109393', '8066/109393']
['8179/218788', '8705/218788', '9199/218788', '9679/218788', '10143/218788', '10601/218788', '11047/218788', '11495/218788', '11929/218788', '12379/218788', '12815/218788', '13263/218788', '13709/218788', '14167/218788', '14631/218788', '15111/218788', '15605/218788', '16131/218788']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
['818/21879', '1451/36465', '920/21879', '88/1989', '5072/109395', '589/12155', '5524/109395', '1916/36465', '1193/21879', '1238/21879', '6407/109395', '6631/109395', '6854/109395', '787/12155', '133/1989', '1511/21879', '7802/109395', '1613/21879']
