['111/19523', '1112/97615', '1668/97615', '318/13945', '2787/97615', '670/19523', '559/13945', '4486/97615', '5058/97615', '5637/97615', '6222/97615', '6812/97615', '1482/19523', '8018/97615', '8634/97615', '9262/97615', '9904/97615', '10561/97615']
['2057/199432', '3089/199432', '4119/199432', '5157/199432', '6195/199432', '7241/199432', '8287/199432', '9347/199432', '10409/199432', '11485/199432', '12567/199432', '13661/199432', '14769/199432', '15891/199432', '17029/199432', '18189/199432', '19367/199432', '20573/199432']
['2867/202776', '3827/202776', '4789/202776', '5753/202776', '6721/202776', '7697/202776', '413/9656', '3219/67592', '10649/202776', '3883/67592', '12655/202776', '13675/202776', '4901/67592', '15745/202776', '5601/67592', '17873/202776', '903/9656', '1181/11928']
['595/34248', '745/34248', '2683/102744', '1567/51372', '3587/102744', '4043/102744', '4499/102744', '620/12843', '2711/51372', '2945/51372', '6361/102744', '1709/25686', '1219/17124', '7801/102744', '8293/102744', '8791/102744', '1033/11416', '3271/34248']
['697/34616', '314/12981', '2933/103848', '1119/34616', '3781/103848', '1403/34616', '773/17308', '845/17308', '688/12981', '1981/34616', '6383/103848', '569/8654', '1213/17308', '7733/103848', '1024/12981', '1443/17308', '3043/34616', '3203/34616']
['429/19048', '5513/209528', '6305/209528', '7105/209528', '7901/209528', '8709/209528', '865/19048', '939/19048', '11145/209528', '11975/209528', '12797/209528', '13637/209528', '14481/209528', '15335/209528', '16195/209528', '17069/209528', '17949/209528', '18849/209528']
['649/26381', '2971/105524', '3345/105524', '1861/52762', '1025/26381', '1120/26381', '4861/105524', '5245/105524', '5629/105524', '6023/105524', '3205/52762', '6807/105524', '1801/26381', '3803/52762', '8011/105524', '8421/105524', '2209/26381', '9257/105524']
['5615/212338', '6327/212338', '7033/212338', '1107/30334', '1209/30334', '9183/212338', '1415/30334', '1519/30334', '11355/212338', '12107/212338', '12833/212338', '1941/30334', '14335/212338', '15095/212338', '15859/212338', '16635/212338', '17415/212338', '18209/212338']
['2995/106712', '3333/106712', '3669/106712', '501/13339', '1087/26678', '2345/53356', '629/13339', '2689/53356', '715/13339', '6077/106712', '3211/53356', '6779/106712', '7133/106712', '7493/106712', '982/13339', '4111/53356', '8591/106712', '4483/53356']
['3163/107179', '3487/107179', '3806/107179', '4129/107179', '4452/107179', '4778/107179', '5103/107179', '286/5641', '303/5641', '6096/107179', '6425/107179', '356/5641', '7100/107179', '7443/107179', '7786/107179', '8134/107179', '8483/107179', '8839/107179']
['6625/215152', '1035/30736', '7857/215152', '8473/215152', '9089/215152', '9711/215152', '10333/215152', '10963/215152', '11581/215152', '12225/215152', '12853/215152', '13497/215152', '14139/215152', '2113/30736', '15445/215152', '2301/30736', '16771/215152', '17447/215152']
['6889/215832', '7489/215832', '475/12696', '2889/71944', '3085/71944', '9851/215832', '3481/71944', '11047/215832', '11639/215832', '12253/215832', '12853/215832', '13469/215832', '14081/215832', '865/12696', '5109/71944', '15959/215832', '16591/215832', '17239/215832']
['7119/216404', '7701/216404', '8267/216404', '8835/216404', '9403/216404', '9973/216404', '10541/216404', '11121/216404', '11689/216404', '12275/216404', '12853/216404', '13441/216404', '14029/216404', '14625/216404', '15221/216404', '15825/216404', '16433/216404', '17053/216404']
['732/21689', '3944/108445', '4218/108445', '4493/108445', '4766/108445', '5041/108445', '5314/108445', '5593/108445', '5866/108445', '6148/108445', '1285/21689', '6708/108445', '1398/21689', '7276/108445', '7562/108445', '7853/108445', '8144/108445', '8444/108445']
['749/21729', '1341/36215', '4291/108645', '1519/36215', '4822/108645', '1696/36215', '1784/36215', '1124/21729', '1177/21729', '2052/36215', '6424/108645', '2232/36215', '6968/108645', '1/15', '1504/21729', '520/7243', '2694/36215', '2791/36215']
['7635/217624', '8183/217624', '8707/217624', '9227/217624', '9741/217624', '10259/217624', '979/19784', '11289/217624', '11801/217624', '12327/217624', '12843/217624', '13371/217624', '13895/217624', '14429/217624', '14963/217624', '15507/217624', '16055/217624', '16623/217624']
['165/4636', '8295/217892', '8811/217892', '9321/217892', '11/244', '10327/217892', '10825/217892', '11329/217892', '11827/217892', '12339/217892', '12839/217892', '13351/217892', '13861/217892', '14379/217892', '317/4636', '15429/217892', '15963/217892', '16519/217892']
['231/6415', '839/21811', '4449/109055', '940/21811', '4946/109055', '5193/109055', '5436/109055', '5682/109055', '5924/109055', '1235/21811', '6417/109055', '6667/109055', '1383/21811', '7168/109055', '7422/109055', '7681/109055', '7942/109055', '8216/109055']
