['5/288', '5/144', '5/96', '7/96', '25/288', '31/288', '1/8', '7/48', '1/6', '55/288']
['17/594', '1/22', '35/594', '5/66', '53/594', '7/66', '73/594', '83/594', '31/198', '35/198']
['23/606', '31/606', '13/202', '47/606', '55/606', '65/606', '73/606', '27/202', '91/606', '1/6']
['1/22', '9/154', '3/44', '25/308', '1/11', '3/28', '9/77', '10/77', '1/7', '7/44']
['31/622', '39/622', '45/622', '51/622', '57/622', '67/622', '71/622', '79/622', '87/622', '95/622']
['33/626', '41/626', '47/626', '53/626', '57/626', '67/626', '71/626', '79/626', '85/626', '93/626']
['17/314', '21/314', '12/157', '27/314', '29/314', '33/314', '18/157', '39/314', '21/157', '23/157']
['1/18', '43/630', '7/90', '11/126', '59/630', '67/630', '71/630', '11/90', '83/630', '13/90']
['1/18', '43/630', '7/90', '11/126', '59/630', '67/630', '71/630', '11/90', '83/630', '13/90']
['1/18', '43/630', '7/90', '11/126', '59/630', '67/630', '71/630', '11/90', '83/630', '13/90']
['1/18', '43/630', '7/90', '11/126', '59/630', '67/630', '71/630', '11/90', '83/630', '13/90']
['1/18', '43/630', '7/90', '11/126', '59/630', '67/630', '71/630', '11/90', '83/630', '13/90']
['1/18', '43/630', '7/90', '11/126', '59/630', '67/630', '71/630', '11/90', '83/630', '13/90']
['1/18', '43/630', '7/90', '11/126', '59/630', '67/630', '71/630', '11/90', '83/630', '13/90']
['1/18', '43/630', '7/90', '11/126', '59/630', '67/630', '71/630', '11/90', '83/630', '13/90']
['1/18', '43/630', '7/90', '11/126', '59/630', '67/630', '71/630', '11/90', '83/630', '13/90']
['1/18', '43/630', '7/90', '11/126', '59/630', '67/630', '71/630', '11/90', '83/630', '13/90']
['1/18', '43/630', '7/90', '11/126', '59/630', '67/630', '71/630', '11/90', '83/630', '13/90']
['1/18', '43/630', '7/90', '11/126', '59/630', '67/630', '71/630', '11/90', '83/630', '13/90']
['1/18', '43/630', '7/90', '11/126', '59/630', '67/630', '71/630', '11/90', '83/630', '13/90']
['1/18', '43/630', '7/90', '11/126', '59/630', '67/630', '71/630', '11/90', '83/630', '13/90']
['1/18', '43/630', '7/90', '11/126', '59/630', '67/630', '71/630', '11/90', '83/630', '13/90']
['1/18', '43/630', '7/90', '11/126', '59/630', '67/630', '71/630', '11/90', '83/630', '13/90']
['1/18', '43/630', '7/90', '11/126', '59/630', '67/630', '71/630', '11/90', '83/630', '13/90']
['1/18', '43/630', '7/90', '11/126', '59/630', '67/630', '71/630', '11/90', '83/630', '13/90']
['1/18', '43/630', '7/90', '11/126', '59/630', '67/630', '71/630', '11/90', '83/630', '13/90']
