['31/2508', '31/1254', '31/836', '125/2508', '7/114', '63/836', '221/2508', '85/836', '289/2508', '325/2508', '181/1254', '67/418']
['11/516', '83/2580', '37/860', '7/129', '167/2580', '197/2580', '113/1290', '64/645', '287/2580', '319/2580', '88/645', '3/20']
['75/2633', '100/2633', '125/2633', '152/2633', '177/2633', '203/2633', '230/2633', '257/2633', '284/2633', '313/2633', '343/2633', '374/2633']
['91/2671', '114/2671', '136/2671', '161/2671', '184/2671', '208/2671', '231/2671', '257/2671', '282/2671', '309/2671', '335/2671', '363/2671']
['104/2701', '126/2701', '2/37', '168/2701', '190/2701', '213/2701', '232/2701', '257/2701', '280/2701', '304/2701', '328/2701', '353/2701']
['229/5448', '271/5448', '103/1816', '349/5448', '389/5448', '433/5448', '467/5448', '515/5448', '185/1816', '599/5448', '643/5448', '689/5448']
['123/2741', '143/2741', '161/2741', '180/2741', '198/2741', '219/2741', '235/2741', '257/2741', '275/2741', '296/2741', '316/2741', '338/2741']
['129/2753', '149/2753', '166/2753', '184/2753', '201/2753', '221/2753', '236/2753', '256/2753', '273/2753', '293/2753', '312/2753', '333/2753']
['133/2761', '153/2761', '170/2761', '17/251', '203/2761', '222/2761', '237/2761', '255/2761', '272/2761', '291/2761', '309/2761', '329/2761']
['271/5532', '311/5532', '115/1844', '379/5532', '409/5532', '445/5532', '475/5532', '509/5532', '181/1844', '193/1844', '613/5532', '653/5532']
['137/2769', '157/2769', '58/923', '191/2769', '206/2769', '223/2769', '79/923', '85/923', '271/2769', '96/923', '305/2769', '25/213']
['138/2771', '158/2771', '175/2771', '192/2771', '207/2771', '224/2771', '237/2771', '15/163', '270/2771', '287/2771', '304/2771', '324/2771']
['277/5544', '317/5544', '39/616', '5/72', '415/5544', '449/5544', '475/5544', '509/5544', '7/72', '191/1848', '607/5544', '647/5544']
['277/5544', '317/5544', '39/616', '5/72', '415/5544', '449/5544', '475/5544', '509/5544', '7/72', '191/1848', '607/5544', '647/5544']
['277/5544', '317/5544', '39/616', '5/72', '415/5544', '449/5544', '475/5544', '509/5544', '7/72', '191/1848', '607/5544', '647/5544']
