['99/10808', '199/10808', '299/10808', '57/1544', '499/10808', '605/10808', '705/10808', '811/10808', '131/1544', '1025/10808', '1137/10808', '1251/10808', '1369/10808', '1493/10808']
['5/308', '17/693', '181/5544', '227/5544', '34/693', '40/693', '61/924', '23/308', '1/12', '64/693', '281/2772', '307/2772', '37/308', '361/2772']
['247/11298', '331/11298', '59/1614', '499/11298', '83/1614', '667/11298', '251/3766', '841/11298', '929/11298', '1019/11298', '1111/11298', '1205/11298', '1301/11298', '467/3766']
['101/3820', '127/3820', '91/2292', '107/2292', '611/11460', '691/11460', '769/11460', '851/11460', '931/11460', '203/2292', '1099/11460', '79/764', '1271/11460', '1363/11460']
['175/5793', '211/5793', '82/1931', '94/1931', '106/1931', '355/5793', '391/5793', '430/5793', '466/5793', '505/5793', '181/1931', '583/5793', '623/5793', '665/5793']
['391/11688', '153/3896', '523/11688', '197/3896', '219/3896', '725/11688', '791/11688', '289/3896', '931/11688', '335/3896', '1075/11688', '383/3896', '1223/11688', '1301/11688']
['425/11768', '489/11768', '549/11768', '613/11768', '675/11768', '739/11768', '799/11768', '871/11768', '931/11768', '999/11768', '1065/11768', '1135/11768', '1203/11768', '1275/11768']
['227/5917', '258/5917', '286/5917', '316/5917', '345/5917', '376/5917', '403/5917', '437/5917', '465/5917', '497/5917', '528/5917', '561/5917', '592/5917', '626/5917']
['477/11884', '537/11884', '591/11884', '647/11884', '703/11884', '761/11884', '813/11884', '875/11884', '929/11884', '991/11884', '1049/11884', '1109/11884', '1169/11884', '1233/11884']
['45/1084', '555/11924', '607/11924', '661/11924', '713/11924', '769/11924', '819/11924', '877/11924', '929/11924', '987/11924', '1041/11924', '1099/11924', '105/1084', '1217/11924']
['509/11952', '63/1328', '619/11952', '671/11952', '721/11952', '775/11952', '823/11952', '293/3984', '929/11952', '983/11952', '115/1328', '1091/11952', '1145/11952', '1205/11952']
['260/5987', '289/5987', '314/5987', '340/5987', '364/5987', '390/5987', '413/5987', '440/5987', '464/5987', '490/5987', '515/5987', '542/5987', '568/5987', '598/5987']
['527/11988', '65/1332', '635/11988', '685/11988', '733/11988', '29/444', '829/11988', '881/11988', '103/1332', '977/11988', '1027/11988', '1079/11988', '377/3996', '1189/11988']
['38/857', '295/5999', '320/5999', '345/5999', '368/5999', '393/5999', '415/5999', '63/857', '463/5999', '488/5999', '512/5999', '538/5999', '563/5999', '592/5999']
['535/12004', '593/12004', '643/12004', '693/12004', '739/12004', '787/12004', '831/12004', '883/12004', '925/12004', '975/12004', '1023/12004', '1073/12004', '1123/12004', '1181/12004']
['537/12008', '595/12008', '645/12008', '695/12008', '39/632', '789/12008', '831/12008', '883/12008', '925/12008', '975/12008', '1021/12008', '1071/12008', '59/632', '1179/12008']
['269/6005', '298/6005', '323/6005', '348/6005', '371/6005', '79/1201', '416/6005', '441/6005', '463/6005', '487/6005', '102/1201', '107/1201', '112/1201', '589/6005']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
