['99/10808', '199/10808', '299/10808', '57/1544', '499/10808', '605/10808', '705/10808', '811/10808', '131/1544', '1025/10808', '1137/10808', '1251/10808', '1369/10808', '1493/10808']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
['7/156', '199/4004', '647/12012', '697/12012', '743/12012', '113/1716', '119/1716', '883/12012', '925/12012', '139/1716', '1019/12012', '1069/12012', '373/4004', '107/1092']
