['379812[0, 2412, 4828, 7244, 9668, 12108, 14548, 17036, 19500, 22012, 24540, 27108, 29700, 32332, 35020, 37756, 40556, 43444]']
['390460[2220, 4448, 6672, 8904, 11148, 13400, 15652, 17944, 20232, 22548, 24888, 27248, 29640, 32072, 34536, 37048, 39616, 42244]']
['398864[4114, 6178, 8238, 10314, 12390, 14482, 16574, 18694, 20818, 22970, 25134, 27322, 29538, 31782, 34058, 36378, 38734, 41146]']
['405552[5734, 7654, 9578, 11506, 13442, 15394, 17346, 19314, 21298, 23298, 25310, 27350, 29406, 31490, 33606, 35746, 37926, 40154]']
['410976[7140, 8940, 10732, 12536, 14348, 16172, 17996, 19840, 21688, 23560, 25444, 27344, 29256, 31204, 33172, 35164, 37188, 39252]']
['415392[8364, 10048, 11732, 13428, 15124, 16836, 18552, 20280, 22016, 23772, 25532, 27312, 29112, 30932, 32768, 34632, 36516, 38436]']
['419056[9438, 11026, 12610, 14210, 15802, 17418, 19030, 20658, 22290, 23950, 25594, 27274, 28962, 30670, 32390, 34138, 35898, 37698]']
['422096[10384, 11884, 13380, 14888, 16400, 17920, 19444, 20980, 22516, 24092, 25640, 27228, 28816, 30424, 32044, 33684, 35344, 37028]']
['424676[11230, 12654, 14066, 15498, 16926, 18366, 19810, 21266, 22710, 24214, 25666, 27174, 28670, 30190, 31718, 33270, 34830, 36418]']
['426848[11980, 13332, 14676, 16032, 17392, 18760, 20128, 21512, 22880, 24308, 25688, 27116, 28532, 29972, 31424, 32888, 34364, 35864]']
['428716[12652, 13948, 15224, 16516, 17808, 19112, 20412, 21736, 23028, 24384, 25700, 27056, 28400, 29772, 31144, 32536, 33932, 35356]']
['430304[13250, 14490, 15714, 16946, 18178, 19422, 20666, 21926, 23162, 24450, 25706, 26994, 28278, 29582, 30890, 32214, 33542, 34894]']
['431664[13778, 14978, 16150, 17334, 18510, 19702, 20886, 22094, 23278, 24506, 25706, 26938, 28162, 29410, 30654, 31918, 33182, 34478]']
['432808[14238, 15402, 16534, 17670, 18806, 19946, 21082, 22242, 23378, 24550, 25706, 26882, 28058, 29250, 30442, 31650, 32866, 34106]']
['433780[14640, 15776, 16872, 17972, 19064, 20164, 21256, 22372, 23464, 24592, 25700, 26832, 27960, 29104, 30248, 31412, 32576, 33776]']
['434580[14980, 16092, 17164, 18228, 19288, 20352, 21408, 22480, 23540, 24624, 25696, 26784, 27872, 28972, 30080, 31200, 32328, 33492]']
['435248[15270, 16366, 17414, 18454, 19482, 20518, 21538, 22578, 23602, 24654, 25686, 26742, 27790, 28858, 29926, 31014, 32110, 33246]']
['435784[15510, 16590, 17622, 18642, 19646, 20654, 21650, 22658, 23654, 24678, 25678, 26702, 27722, 28758, 29798, 30858, 31926, 33038]']
['436220[15708, 16780, 17796, 18800, 19784, 20772, 21744, 22728, 23696, 24700, 25668, 26668, 27660, 28672, 29688, 30724, 31768, 32864]']
