['52[0, 4, 4, 12, 12, 20]']
['56[2, 6, 6, 10, 14, 18]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
['60[4, 8, 8, 12, 12, 16]']
