['657/92182', '1315/92182', '1975/92182', '2637/92182', '3303/92182', '3977/92182', '4641/92182', '5329/92182', '6015/92182', '6711/92182', '7421/92182', '8137/92182', '8871/92182', '9621/92182', '10389/92182', '11183/92182']
['71/5550', '1811/94350', '2417/94350', '1009/31450', '3637/94350', '4259/94350', '65/1258', '5503/94350', '409/6290', '2259/31450', '99/1258', '8083/94350', '103/1110', '9439/94350', '10139/94350', '10861/94350']
['1669/96036', '743/32012', '2789/96036', '3353/96036', '3917/96036', '4489/96036', '5063/96036', '1881/32012', '6227/96036', '2273/32012', '7417/96036', '2675/32012', '8641/96036', '9271/96036', '9913/96036', '10571/96036']
['1032/48685', '1292/48685', '1552/48685', '1814/48685', '2077/48685', '2342/48685', '2608/48685', '411/6955', '3149/48685', '489/6955', '3702/48685', '3982/48685', '4267/48685', '4558/48685', '4854/48685', '5156/48685']
['601/24610', '361/12305', '1687/49220', '21/535', '2177/49220', '606/12305', '2673/49220', '731/12305', '635/9844', '3433/49220', '3691/49220', '3951/49220', '2109/24610', '4487/49220', '207/2140', '5041/49220']
['1349/49654', '788/24827', '1803/49654', '2033/49654', '2263/49654', '1247/24827', '2727/49654', '1482/24827', '3195/49654', '1720/24827', '1839/24827', '3923/49654', '2086/24827', '4423/49654', '4677/49654', '4937/49654']
['2955/100022', '3383/100022', '293/7694', '4241/100022', '4673/100022', '393/7694', '5547/100022', '5995/100022', '6423/100022', '6885/100022', '7333/100022', '7795/100022', '8257/100022', '8727/100022', '9203/100022', '9687/100022']
['3181/100616', '3587/100616', '3987/100616', '4395/100616', '4803/100616', '5213/100616', '5625/100616', '6051/100616', '6453/100616', '6889/100616', '7309/100616', '7743/100616', '8177/100616', '8619/100616', '9065/100616', '9519/100616']
['3377/101108', '3765/101108', '4145/101108', '647/14444', '4917/101108', '5303/101108', '813/14444', '871/14444', '6477/101108', '6889/101108', '1041/14444', '7695/101108', '8105/101108', '8521/101108', '8941/101108', '9369/101108']
['1773/50759', '1960/50759', '2142/50759', '2324/50759', '2508/50759', '2692/50759', '2875/50759', '3068/50759', '3249/50759', '3443/50759', '3632/50759', '3825/50759', '4019/50759', '4216/50759', '4415/50759', '4618/50759']
['1845/50927', '2026/50927', '2201/50927', '2376/50927', '2551/50927', '2727/50927', '2901/50927', '3084/50927', '3258/50927', '3441/50927', '3621/50927', '3804/50927', '3989/50927', '4177/50927', '4366/50927', '4560/50927']
['635/17021', '694/17021', '2251/51063', '2420/51063', '2588/51063', '919/17021', '2923/51063', '3097/51063', '3265/51063', '3439/51063', '3611/51063', '1262/17021', '1321/17021', '1381/17021', '1441/17021', '4510/51063']
['1954/51171', '2128/51171', '2293/51171', '2456/51171', '873/17057', '2782/51171', '2942/51171', '28/461', '1090/17057', '3437/51171', '3602/51171', '1257/17057', '3941/51171', '1371/17057', '1429/17057', '4468/51171']
