['244[0, 8, 16, 28, 32, 44, 52, 64]']
['258[7, 13, 19, 29, 35, 43, 51, 61]']
['268[12, 18, 22, 30, 36, 42, 50, 58]']
['274[15, 21, 25, 31, 35, 43, 49, 55]']
['278[17, 23, 27, 33, 35, 43, 47, 53]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
['280[18, 24, 28, 34, 36, 42, 46, 52]']
