['1096[0, 24, 48, 72, 88, 120, 144, 168, 200, 232]']
['1152[20, 40, 60, 84, 100, 124, 144, 168, 192, 220]']
['1188[34, 54, 70, 90, 106, 126, 146, 166, 186, 210]']
['1212[46, 62, 78, 94, 110, 130, 146, 162, 182, 202]']
['1232[56, 72, 84, 100, 112, 132, 144, 160, 176, 196]']
['1244[62, 78, 90, 102, 114, 134, 142, 158, 174, 190]']
['1252[66, 82, 94, 106, 114, 134, 142, 158, 170, 186]']
['1256[68, 84, 96, 108, 116, 132, 144, 156, 168, 184]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
['1260[70, 86, 98, 110, 118, 134, 142, 154, 166, 182]']
