['1909/410876', '3819/410876', '5731/410876', '15295/821752', '19137/821752', '2874/102719', '26861/821752', '30755/821752', '34657/821752', '19297/410876', '21277/410876', '46547/821752', '25287/410876', '54643/821752', '58755/821752', '31459/410876', '67137/821752', '17855/205438', '75777/821752', '40109/410876']
['14239/1676126', '21367/1676126', '28507/1676126', '35667/1676126', '42843/1676126', '50045/1676126', '57271/1676126', '64545/1676126', '71843/1676126', '79195/1676126', '86591/1676126', '94043/1676126', '101563/1676126', '109147/1676126', '116809/1676126', '124563/1676126', '132409/1676126', '140365/1676126', '148447/1676126', '156667/1676126']
['19985/1702706', '26661/1702706', '33353/1702706', '40061/1702706', '46785/1702706', '53539/1702706', '60311/1702706', '67125/1702706', '73969/1702706', '80855/1702706', '3027/58714', '3057/54926', '101801/1702706', '108897/1702706', '116065/1702706', '123303/1702706', '130625/1702706', '138047/1702706', '145567/1702706', '5283/58714']
['12510/862291', '15647/862291', '18791/862291', '21944/862291', '25106/862291', '28282/862291', '31466/862291', '34668/862291', '37886/862291', '41122/862291', '44378/862291', '47657/862291', '50959/862291', '54289/862291', '57650/862291', '61043/862291', '64472/862291', '67943/862291', '71457/862291', '4413/50723']
['7364/435689', '8843/435689', '10325/435689', '11812/435689', '13302/435689', '29599/871378', '858/22931', '35623/871378', '19328/435689', '41707/871378', '44775/871378', '2081/37886', '25488/435689', '54111/871378', '57273/871378', '60463/871378', '63683/871378', '66941/871378', '70237/871378', '73575/871378']
['33387/1757998', '38981/1757998', '44589/1757998', '4565/159818', '55851/1757998', '61515/1757998', '67197/1757998', '72905/1757998', '78643/1757998', '84411/1757998', '90205/1757998', '96049/1757998', '101921/1757998', '107843/1757998', '113805/1757998', '119821/1757998', '125893/1757998', '132031/1757998', '138231/1757998', '144505/1757998']
['36893/1770882', '14065/590294', '15837/590294', '52847/1770882', '58193/1770882', '21187/590294', '22983/590294', '24787/590294', '26599/590294', '85267/1770882', '90745/1770882', '96293/1770882', '101849/1770882', '35817/590294', '37697/590294', '39595/590294', '124523/1770882', '43439/590294', '136169/1770882', '142085/1770882']
['20017/890930', '22537/890930', '12531/445465', '13799/445465', '30139/890930', '32689/890930', '3525/89093', '37821/890930', '20202/445465', '21503/445465', '45599/890930', '24119/445465', '25436/445465', '101/1681', '28103/445465', '11781/178186', '30812/445465', '32183/445465', '13427/178186', '34966/445465']
['14287/597094', '47663/1791282', '52475/1791282', '19101/597094', '20715/597094', '22335/597094', '71881/1791282', '76777/1791282', '81695/1791282', '86657/1791282', '91585/1791282', '96613/1791282', '101617/1791282', '106679/1791282', '111769/1791282', '116893/1791282', '122057/1791282', '127267/1791282', '44173/597094', '137821/1791282']
['22709/899709', '8334/299903', '9099/299903', '29602/899709', '31912/899709', '34232/899709', '36559/899709', '12965/299903', '13746/299903', '43609/899709', '45958/899709', '48355/899709', '50741/899709', '17718/299903', '55577/899709', '58018/899709', '60475/899709', '62954/899709', '21817/299903', '22657/299903']
['47735/1806488', '52127/1806488', '56517/1806488', '60927/1806488', '65343/1806488', '69779/1806488', '74231/1806488', '2127/48824', '83173/1806488', '87711/1806488', '92201/1806488', '96777/1806488', '101339/1806488', '105945/1806488', '110571/1806488', '115233/1806488', '119919/1806488', '124645/1806488', '129407/1806488', '134209/1806488']
